行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:19	ふじ	おいしい煮玉子	
1	00:00:19	陰キャバス竹中	再開煮玉子	
2	00:00:23	あい	おいしい煮玉子	
3	00:00:23	ぴねかっと	おかえり	
4	00:00:24	らうらう	おいしい煮玉子	
5	00:00:26	うぇいのる	おいたまー	
6	00:00:26	なんたら	おいしい煮玉子	
7	00:00:26	周恩来	おいしい煮玉子	
8	00:00:29	じょーげん	ご	
9	00:00:30	TKG M	おいしい煮玉子	
10	00:00:31	Lu na	おいしい煮玉子	
11	00:00:31	ノギ	おいたまー	
12	00:00:32	ミワタリ	おいしい煮玉子	
13	00:00:35	_ Die	おいしい煮玉子	
14	00:00:36	なる	おいしい煮玉子	
15	00:00:36	究極ド根性ダイコン	おいしい煮玉子	
16	00:00:40	Garden	おいしい煮玉子	
17	00:00:53	シーラpoke	おいしい煮玉子	
18	00:00:57	こみこ	おいしい煮玉子	
19	00:00:59	ミワタリ	新たな煮玉子	
20	00:01:14	うぇいのる	トラウマBGM	
21	00:01:18	九代目中山稲五朗	おいしい煮玉子	
22	00:01:22	追放	おいしい煮玉子	
23	00:01:23	いぶきんぐ	おいしい煮玉子	
24	00:01:26	究極ド根性ダイコン	病めてくれよ…	
25	00:01:29	ジョナサン・グレーン	おいしい煮玉子	
26	00:01:32	ミワタリ	ドアやふすまを少し開けるといいぞ	
27	00:01:33	アセンブラ	こんばんは	
28	00:01:38	ささささぬげ	このBGMの没バージョンほんとこわい	
29	00:01:39	ノギ	とりあえず姓名判断師でバグらせましょう	
30	00:01:42	うぇいのる	初代からお墓って…	
31	00:01:47	Ami Saika	おいしい煮玉子	
32	00:01:53	nokonokoasyu	あの女のハウスね	
33	00:02:04	岸辺一徳	おいしい煮玉子	
34	00:02:09	こみこ	ルビサファの日照りのBGMも怖かったなー	
35	00:02:10	究極ド根性ダイコン	フジ爺ちゃんとかじゃなくてフジ老人	
36	00:02:23	アセンブラ	葵ちゃんのおじいちゃん？	
37	00:02:29	ジョナサン・グレーン	印象に残る曲多いね	
38	00:02:38	ミワタリ	ワザップに書いてそう	
39	00:02:47	秋箱	低レベルクリアのお供	
40	00:02:50	九代目中山稲五朗	そんなに	
41	00:02:57	ジョナサン・グレーン	ボール買わない分お金が余る余る	
42	00:03:02	こみこ	JCが持ってていい金じゃねぇぞ	
43	00:03:03	Lu na	シオンタウンの都市伝説ってどれくらいあるんだろうか	
44	00:03:06	究極ド根性ダイコン	てぇてぇ…	
45	00:03:06	秋箱	てえてえ・・:	
46	00:03:07	周恩来	尊い…	
47	00:03:07	岸辺一徳	てぇてぇ	
48	00:03:08	毒入りトマト	美味しい煮玉子	
49	00:03:09	ミワタリ	てぇてぇ…	
50	00:00:19	ふじ	おいしい煮玉子	
51	00:00:19	陰キャバス竹中	再開煮玉子	
52	00:00:23	あい	おいしい煮玉子	
53	00:00:23	ぴねかっと	おかえり	
54	00:00:24	らうらう	おいしい煮玉子	
55	00:00:26	うぇいのる	おいたまー	
56	00:00:26	なんたら	おいしい煮玉子	
57	00:00:26	周恩来	おいしい煮玉子	
58	00:00:29	じょーげん	ご	
59	00:00:30	TKG M	おいしい煮玉子	
60	00:00:31	Lu na	おいしい煮玉子	
61	00:00:31	ノギ	おいたまー	
62	00:00:32	ミワタリ	おいしい煮玉子	
63	00:00:35	_ Die	おいしい煮玉子	
64	00:00:36	なる	おいしい煮玉子	
65	00:00:36	究極ド根性ダイコン	おいしい煮玉子	
66	00:00:40	Garden	おいしい煮玉子	
67	00:00:53	シーラpoke	おいしい煮玉子	
68	00:00:57	こみこ	おいしい煮玉子	
69	00:00:59	ミワタリ	新たな煮玉子	
70	00:01:14	うぇいのる	トラウマBGM	
71	00:01:18	九代目中山稲五朗	おいしい煮玉子	
72	00:01:22	追放	おいしい煮玉子	
73	00:01:23	いぶきんぐ	おいしい煮玉子	
74	00:01:26	究極ド根性ダイコン	病めてくれよ…	
75	00:01:29	ジョナサン・グレーン	おいしい煮玉子	
76	00:01:32	ミワタリ	ドアやふすまを少し開けるといいぞ	
77	00:01:33	アセンブラ	こんばんは	
78	00:01:38	ささささぬげ	このBGMの没バージョンほんとこわい	
79	00:01:39	ノギ	とりあえず姓名判断師でバグらせましょう	
80	00:01:42	うぇいのる	初代からお墓って…	
81	00:01:47	Ami Saika	おいしい煮玉子	
82	00:01:53	nokonokoasyu	あの女のハウスね	
83	00:02:04	岸辺一徳	おいしい煮玉子	
84	00:02:09	こみこ	ルビサファの日照りのBGMも怖かったなー	
85	00:02:10	究極ド根性ダイコン	フジ爺ちゃんとかじゃなくてフジ老人	
86	00:02:23	アセンブラ	葵ちゃんのおじいちゃん？	
87	00:02:29	ジョナサン・グレーン	印象に残る曲多いね	
88	00:02:38	ミワタリ	ワザップに書いてそう	
89	00:02:47	秋箱	低レベルクリアのお供	
90	00:02:50	九代目中山稲五朗	そんなに	
91	00:02:57	ジョナサン・グレーン	ボール買わない分お金が余る余る	
92	00:03:02	こみこ	JCが持ってていい金じゃねぇぞ	
93	00:03:03	Lu na	シオンタウンの都市伝説ってどれくらいあるんだろうか	
94	00:03:06	究極ド根性ダイコン	てぇてぇ…	
95	00:03:06	秋箱	てえてえ・・:	
96	00:03:07	周恩来	尊い…	
97	00:03:07	岸辺一徳	てぇてぇ	
98	00:03:08	毒入りトマト	美味しい煮玉子	
99	00:03:09	ミワタリ	てぇてぇ…	
100	00:03:10	なんたら	たっといひ…	
101	00:03:12	Garden	てぇてぇ…	
102	00:03:16	うぇいのる	てぇてぇ…	
103	00:03:16	あい	尊い…	
104	00:03:16	竹輪	おいたま〜	
105	00:03:18	ブロア	おいしい煮玉子！	
106	00:03:24	じょーげん	ウェーイ！	
107	00:03:24	ジョナサン・グレーン	てぇてぇ	
108	00:03:27	タケノコ男	てぇてぇ	
109	00:03:31	ナウ	おいしい煮玉子	
110	00:03:31	九代目中山稲五朗	ギエピー	
111	00:03:32	ノギ	陽キャこんなところいちゃいかん	
112	00:03:40	うぇいのる	ウェイウェイしてきた	
113	00:03:53	秋箱	このBGMは世界で一番トラウマ生み出してそう	
114	00:03:54	さむと	ここだけ異色	
115	00:04:01	どんとこいぼのえもん侍	タチサレ...	
116	00:04:06	ブロア	なんでラジオ塔にしちゃったんだっけ	
117	00:04:06	ノギ	空気間違えたやつがいる	
118	00:04:10	アセンブラ	ラッタ……	
119	00:04:15	ブロア	ラッタ…	
120	00:04:17	ジョナサン・グレーン	おう！いんキャ！	
121	00:04:17	周恩来	おういんキャ！	
122	00:04:20	ぴねかっと	ラッタどこ…	
123	00:04:22	タケノコ男	おう！いんキャ！	
124	00:04:23	究極ド根性ダイコン	ここの一転攻勢すき	
125	00:04:25	周恩来	不謹慎やぞ！	
126	00:04:26	ささささぬげ	ラッタ…	
127	00:04:27	草ぺんぺん	死んだのはどっちのポケモンですかね…	
128	00:04:28	うぇいのる	ひどい…色々と…	
129	00:04:28	秋箱	ラッタ…	
130	00:04:29	ミワタリ	ラッタ…	
131	00:04:33	nokonokoasyu	ラッタ…	
132	00:04:37	ジョナサン・グレーン	おかしいねラッタがいないね	
133	00:04:39	究極ド根性ダイコン	せんとうふのうにしてやるか！	
134	00:04:39	こみこ	陽キャ…	
135	00:04:39	さむと	男の子の空元気かわいい･･･	
136	00:04:47	Vごんぞう	ラッタどこ行った？	
