行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	T.のかね	なんでや！upd8は関係ないやろ！	
1	00:00:00	レアリスム星人	おいしい煮玉子	
2	00:00:00	なんたら	姉ちゃんは何も悪くなかった	
3	00:00:00	竹輪	upd8ただの風評被害で草	
4	00:00:00	うぇいのる	おのれウンチ事務所	
5	00:00:00	こみこ	マジかよモスおじ最低だな	
6	00:00:00	Shota Hamada	罪のないupd8が...	
7	00:00:00	ジョナサン・グレーン	うんこばっかりじゃねえかupd8！	
8	00:00:00	ログ	8がディスられてて草	
9	00:00:00	Shota Hamada	モスおじに流れ弾いって草	
10	00:00:00	周恩来	upd8見損ないました きのこ派になります	
11	00:00:00	究極ド根性ダイコン	マジかよactiv8最低だな	
12	00:00:00	むらさきあんこ	アップランドたすけて	
13	00:00:00	タケノコ男	姉ちゃんも実質upd8だからセーフ	
14	00:00:00	Shota Hamada	企業に媚び売るな	
15	00:00:00	ヘンリーダーガー	助けてニーツちゃん！	
16	00:00:00	ログ	タケノコ派だけは譲れない	
17	00:00:00	T.のかね	地固めは大事だから…	
18	00:00:00	ジョナサン・グレーン	ニーツちゃんはヒロインレースで敗北したのでいない	
19	00:00:00	なんたら	風評被害が拡大しすぎる…	
20	00:00:00	うぇいのる	おのれアイちゃん…	
21	00:00:00	カーマイン	そういうとこやぞ弟	
22	00:00:00	霜月翔生希	upd8は犠牲になったのだ…	
23	00:00:00	らうらう	あせって誤字しててかわいい	
24	00:00:00	あい	もうすぐてです	
25	00:00:00	タケノコ男	誤字かわいい	
26	00:00:00	竹輪	かわいい	
27	00:00:00	T.のかね	もうすぐてです	
28	00:00:00	なんたら	おてて	
29	00:00:00	あい	かわいい	
30	00:00:00	こみこ	もうすぐ手です	
31	00:00:00	じょーげん	かわいい	
32	00:00:00	周恩来	かわいい	
33	00:00:00	らうらう	おいしいおてて	
34	00:00:00	ジョナサン・グレーン	かわいい	
35	00:00:00	T.のかね	おてて民怖い	
36	00:00:00	カーマイン	いいですよね新品同様の姉ちゃんのツルツルおてて	
37	00:00:00	うぇいのる	2箇所も誤字してるのかわいい	
38	00:00:00	Shota Hamada	姉ちゃんのファンアートのハッシュタグって決まってたっけ？	
39	00:00:00	T.のかね	ファンアートは名前でいいのでは？	
40	00:00:00	ヌルヌペペ	あんころもちデスブレイカーじゃなかった？	
41	00:00:00	なんたら	bioにある詳しい方のプロフを見よう	
42	00:00:00	ヘンリーダーガー	クゥラスタ誰も使ってない問題	
43	00:00:00	あい	おいしい煮玉子	
44	00:00:00	さんぽーる祐三	おいしい煮玉子	
45	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
