行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	リフェ	おいしい煮玉子	
2	00:00:00	ジャック・オー	おいしい煮玉子　	
3	00:00:00	ふーばー	おいしい煮玉子	
4	00:00:00	白銀ユリア	おいしい煮玉子	
5	00:00:00	パンセポンセ	おいしい煮玉子	
6	00:00:00	竹輪	おいたまー	
7	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
8	00:00:00	りあすて	おいしい煮玉子	
9	00:00:00	じょーげん	おいしい煮玉子	
10	00:00:12	motiyomogi	おいしい煮玉子	
11	00:00:17	ジャック・オー	おいしい煮玉子	
12	00:00:18	なんたら	おいしい煮玉子	
13	00:00:19	seafood	おいしい煮玉子	
14	00:00:19	ふーばー	​おいしい煮玉子	
15	00:00:21	らうらう	おいしい煮玉子	
16	00:00:22	ジュンペイ	おいいいいいいい	
17	00:00:25	竹輪	おいしい煮玉子	
18	00:00:25	パンセポンセ	おいしい煮玉子	
19	00:00:26	eve	おいしい煮玉子	
20	00:00:35	なんたら	コンタクト変えた？	
21	00:00:37	白銀ユリア	おいしい煮玉子	
22	00:00:44	リフェ	おいしい煮玉子	
23	00:00:56	motiyomogi	草	
24	00:00:58	竹輪	ほんとだお目々が	
25	00:01:02	らうらう	草	
26	00:01:04	ジュンペイ	し、死んでる…	
27	00:01:11	なんたら	死んでたんだ…	
28	00:01:16	らうらう	貴重なシーン	
29	00:01:22	スモーク	おいしい煮玉子	
30	00:01:35	motiyomogi	兄ちゃんも大姉ちゃんも死んでる…？	
31	00:01:54	Shota Hamada	おいしい煮玉子	
32	00:02:13	Shota Hamada	大姉ちゃんどこ？	
33	00:02:35	ジュンペイ	どうせみんないなくなる	
34	00:02:38	なんたら	お色直し中	
35	00:02:45	ああ	おいしい煮玉子	
36	00:02:47	りあすて	姉BB	
37	00:02:57	Shota Hamada	BBたすかる	
38	00:03:20	eve	目が生き返った	
39	00:03:28	motiyomogi	なるほどね	
