行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	くものいと	グミ族見れるまでは死ねない	
1	00:00:00	【たつーや】TA2-YA	データよ耐えてくれ	
2	00:00:00	ばくろす	中断？	
3	00:00:00	飛ばし屋ごはん	次14：00からよ	
4	00:00:00	ばくろす	ごはんかな ありがとう！	
5	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
6	00:00:00	らうらう	おいしい煮玉子	
7	00:00:00	くものいと	おいしい煮玉子	
8	00:00:00	せせらぎ	おいしい煮玉子	
9	00:00:00	ふーばー	おいしい煮玉子	
10	00:00:00	_ Die	​おいしい煮玉子	
11	00:00:00	ヌルヌペペ	おいしい煮玉子	
12	00:00:00	のどあめ	おいしい煮玉子	
13	00:00:00	ブロア	おいしい煮玉子	
14	00:00:00	佐々野いちご	おいしい煮玉子	
15	00:00:00	みよ	おいしい煮玉子	
16	00:00:00	ラテ	おいしい煮玉子	
17	00:00:00	名馬ポニー	おいしい煮玉子	
18	00:00:00	ハイナマ	おいしい煮玉子	
19	00:00:00	追放	おいしい煮玉子	
20	00:00:00	ミワタリ	おいしい煮玉子	
21	00:00:09	あい	おいしい煮玉子	
22	00:00:14	monyamon	おいしい煮玉子	
23	00:00:20	Strayed	おかえりー	
24	00:00:20	くものいと	おかえり	
25	00:00:23	ささささぬげ	よかった無事か	
26	00:00:23	_ Die	おかえり	
27	00:00:24	K. u	おかえり	
28	00:00:27	mori mori	おかえり	
29	00:00:27	みよ	おかえり煮玉子	
30	00:00:32	ハイナマ	おかえり	
31	00:00:33	くれみ	おか	
32	00:00:36	名馬ポニー	サターンバレーまで戻ってこれたのか	
33	00:00:39	せせらぎ	データは大丈夫そうですね	
34	00:00:40	ブロア	煮玉子	
35	00:00:40	Vtuber視聴ロボマークツー	おかえり	
36	00:00:40	わっしーな	おかえり	
37	00:00:42	耶律阿保機	身体がグネグネ	
38	00:00:43	みね	おいしい煮玉子	
39	00:00:43	mori mori	まさかつけっぱ？	
40	00:00:45	ふーばー	おいしい煮玉子ー（あいさつ）	
41	00:00:46	たびびと	おいしい煮玉子	
42	00:00:49	ぴちぴち鮮魚	おかえり	
43	00:00:49	biggs	よかった	
44	00:00:53	めろんソーダ	おいしい煮玉子～	
45	00:00:53	サライス研究所	おいしい煮玉子	
46	00:00:53	なる	おいしい煮玉子	
47	00:00:54	究極ド根性ダイコン	おかえり	
48	00:00:54	ばいおーむヤマト	おかえり	
49	00:00:56	fami fami	生きてた	
50	00:00:57	くものいと	おいしい煮玉子～(気さくな挨拶)	
51	00:00:57	ミワタリ	おかえり	
52	00:00:59	らうらう	おいしい煮玉子～～	
53	00:00:59	ハイナマ	食事は許された	
54	00:01:03	みりーむ	おいしい煮卵	
55	00:01:08	_ Die	本当によかった	
56	00:01:14	mori mori	SFCの負荷で消えたりしない？	
57	00:01:22	八木谷	おかえりー なんとか耐えた	
58	00:01:34	ささささぬげ	やることはやるのか…	
59	00:01:36	Two-tone	おいしい煮玉子	
60	00:01:52	ブロア	GBAは消えたこと無いな	
61	00:01:54	くものいと	文明の進化に頼ることは悪い事ではない	
62	00:01:56	AibaAchi ch	アドバンスのMOTHER2はSEが残念過ぎるんだよね	
63	00:02:06	【たつーや】TA2-YA	レトロフリークいいよレトロフリーク	
64	00:02:07	Ami Saika	電池切れてるのか	
65	00:02:20	K. u	GBAはセーブ中の電池切れで何度データ消えたことか	
66	00:02:45	ふじ	おはよう姉ちゃん(白昼堂々) 2週目って…あっ(察し)	
67	00:02:56	mori mori	アドバンスの逆転裁判で本体落っことしてデータ消えたよ	
68	00:03:16	ささささぬげ	ドンキーの記録越えよう	
69	00:03:26	ふーばー	むしろマザー２クリアするまでが母の日だよ	
70	00:03:28	AibaAchi ch	GBAは電池とフラッシュメモリどっちもあるみたいだね	
71	00:00:00	くものいと	グミ族見れるまでは死ねない	
72	00:00:00	【たつーや】TA2-YA	データよ耐えてくれ	
73	00:00:00	ばくろす	中断？	
74	00:00:00	飛ばし屋ごはん	次14：00からよ	
75	00:00:00	ばくろす	ごはんかな ありがとう！	
76	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
77	00:00:00	らうらう	おいしい煮玉子	
78	00:00:00	くものいと	おいしい煮玉子	
79	00:00:00	せせらぎ	おいしい煮玉子	
80	00:00:00	ふーばー	おいしい煮玉子	
81	00:00:00	_ Die	​おいしい煮玉子	
82	00:00:00	ヌルヌペペ	おいしい煮玉子	
83	00:00:00	のどあめ	おいしい煮玉子	
84	00:00:00	ブロア	おいしい煮玉子	
85	00:00:00	佐々野いちご	おいしい煮玉子	
86	00:00:00	みよ	おいしい煮玉子	
87	00:00:00	ラテ	おいしい煮玉子	
88	00:00:00	名馬ポニー	おいしい煮玉子	
89	00:00:00	ハイナマ	おいしい煮玉子	
90	00:00:00	追放	おいしい煮玉子	
91	00:00:00	ミワタリ	おいしい煮玉子	
92	00:00:09	あい	おいしい煮玉子	
93	00:00:14	monyamon	おいしい煮玉子	
94	00:00:20	Strayed	おかえりー	
95	00:00:20	くものいと	おかえり	
96	00:00:23	ささささぬげ	よかった無事か	
97	00:00:23	_ Die	おかえり	
98	00:00:24	K. u	おかえり	
99	00:00:27	mori mori	おかえり	
100	00:00:27	みよ	おかえり煮玉子	
101	00:00:32	ハイナマ	おかえり	
102	00:00:33	くれみ	おか	
