行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	フレイムリンクス	おいしい煮玉子	
1	00:00:00	スモーク	おいしい煮玉子	
2	00:00:00	ほるもん	おいしい煮玉子	
3	00:00:00	リフェ	おいしい煮玉子	
4	00:00:00	らうらう	おいしい煮玉子	
5	00:00:00	竹輪	おいしい煮玉子	
6	00:00:00	パンセポンセ	おいしい煮玉子	
7	00:00:00	カギカギ	おいしい煮玉子	
8	00:00:05	おさかな	おいしい煮玉子	
9	00:00:10	岸辺一徳	おいしい煮玉子	
10	00:00:14	伏葦たぐい	おいしい煮玉子	
11	00:00:19	ss kk	おいしい煮玉子	
12	00:00:23	ジャック・オー	おいしい煮玉子:クゥフランゾーパー旧フランゾーパー:💪	
13	00:00:30	JUNY	よろしくねがいします	
14	00:00:31	ぽぼす	おいしい煮玉子	
15	00:00:40	カギカギ	こんにちはー	
16	00:00:40	竹輪	筋肉すごい	
17	00:00:41	パンセポンセ	こんにちはー	
18	00:00:43	ss kk	ナイスバルク！	
19	00:00:43	とと1010	お、おいしい煮玉子	
20	00:00:51	おさかな	強い	
21	00:00:51	フレイムリンクス	よろしくおねがいします～	
22	00:00:55	匿名希望	腹筋好き	
23	00:01:30	ヘンリーダーガー	おいしい煮玉子	
24	00:01:33	ナウ	おいしい煮玉子	
25	00:01:33	パンセポンセ	トレマーズ好き	
26	00:01:37	リフェ	トレマーズ面白いよね	
27	00:01:37	らうらう	草	
28	00:01:39	とと1010	トレマーズ懐かしいですね♪	
29	00:01:39	ss kk	サボテンのやつ	
30	00:01:40	スモーク	草	
31	00:01:40	D W	こんにちは	
32	00:01:46	カギカギ	草	
33	00:01:46	フレイムリンクス	草	
34	00:01:49	おさかな	草	
35	00:01:56	ナウ	無双するかすぐやられるかどっちか	
36	00:02:04	ss kk	草	
37	00:02:06	伏葦たぐい	強さを示すためにやられるポジ	
38	00:02:10	motiyomogi	わかる	
39	00:03:24	Redmix	おいしい煮玉子	
40	00:03:43	ナウ	目の付け所が違う	
41	00:03:54	フレイムリンクス	風間くんお姉さま方に人気だもんね	
42	00:03:59	ぽぼす	しん風	
43	00:04:10	おさかな	風間くんはあざとい	
44	00:04:20	伏葦たぐい	教育に疲れた隠れオタク	
45	00:04:25	フレイムリンクス	本編の風間くんはアニメにハマってたりで結構楽しんでるから…	
46	00:04:29	ジャック・オー	貴腐人のお姉様に人気の風間くん	
47	00:04:39	ジョナサン・グレーン	おいしい煮玉子	
48	00:05:10	匿名希望	チーター	
49	00:05:13	パンセポンセ	そういえば	
50	00:05:27	ss kk	松坂先生のとこの子	
51	00:05:54	パンセポンセ	東宝	
52	00:05:56	おさかな	東宝	
53	00:05:59	ピヨリ.	こんばんは	
54	00:06:02	伏葦たぐい	カンタム	
55	00:06:05	フレイムリンクス	カンタム！	
56	00:06:07	クロム	カンタムかっこいい	
57	00:06:13	パンセポンセ	カンタム！	
58	00:00:00	フレイムリンクス	おいしい煮玉子	
59	00:00:00	スモーク	おいしい煮玉子	
60	00:00:00	ほるもん	おいしい煮玉子	
