行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:19	motiyomogi	おかえり	
1	00:00:20	JUNY	くっきりJC	
2	00:00:21	リフェ	なおったー	
3	00:00:24	岸辺一徳	おかえり煮玉子	
4	00:00:24	こみこ	神画質	
5	00:00:24	seafood	なおった	
6	00:00:26	なんたら	720まできた	
7	00:00:27	ジャック・オー	おかえり	
8	00:00:28	T.のかね	おかえり治っとる	
9	00:00:29	いぶきんぐ	おかえり	
10	00:00:29	ナウ	枠変わった	
11	00:00:30	たんこぶ	なおったー	
12	00:00:31	むらさきあんこ	720！	
13	00:00:31	ふーばー	720なった	
14	00:00:31	天然ステルス	ちゃんとHD表示されてる	
15	00:00:32	パンセポンセ	なおった	
16	00:00:32	究極ド根性ダイコン	おけまる	
17	00:00:32	らうらう	神画質になった	
18	00:00:32	クロムア	もしもし	
19	00:00:33	ヘンリーダーガー	なおってる	
20	00:00:35	ss kk	おかえり	
21	00:00:36	タケノコ男	おかえり	
22	00:00:36	じょーげん	おいしい煮玉子	
23	00:00:37	aa aa	おいしい煮玉子	
24	00:00:38	biggs	おかえり	
25	00:00:40	いぶきんぐ	なおってるね	
26	00:00:42	JUNY	クゥ・フラン・ゾーパーHDリマスタード	
27	00:00:44	八木谷	おかえり	
28	00:00:45	ぼくさー	神羅画質	
29	00:00:48	ミワタリ	おいしい煮玉子	
30	00:00:49	りあすて	なおった	
31	00:00:52	フレイムリンクス	おかえり	
32	00:00:53	キタカシ	高画質姉	
33	00:00:54	ナウ	🔥ようつべ🔥	
34	00:01:00	八木谷	720姉ちゃん	
35	00:01:02	リフェ	画面のコメント動いてないかな？	
36	00:01:06	フレイムリンクス	画質も上がったー	
37	00:01:08	パンセポンセ	画面のコメ止まってる	
38	00:01:08	らうらう	もぞもぞ	
39	00:01:21	いぶきんぐ	ほんとだコメ表示止まってる	
40	00:01:25	たんこぶ	YouTubeいつもありがとう！！	
41	00:01:30	biggs	がんばえー	
42	00:01:42	ぴねかっと	おいしい煮玉子	
43	00:01:43	T.のかね	凸	
44	00:01:50	クゥの部屋 Ch	ゔぇえ	
45	00:01:54	eve	おいしい煮玉子	
46	00:01:56	なんたら	ゔぇえ	
47	00:01:56	らうらう	うぇえ	
48	00:01:56	リフェ	大丈夫かな？	
49	00:01:58	こみこ	ゔぇえ	
50	00:00:19	motiyomogi	おかえり	
51	00:00:20	JUNY	くっきりJC	
52	00:00:21	リフェ	なおったー	
53	00:00:24	岸辺一徳	おかえり煮玉子	
54	00:00:24	こみこ	神画質	
55	00:00:24	seafood	なおった	
56	00:00:26	なんたら	720まできた	
57	00:00:27	ジャック・オー	おかえり	
58	00:00:28	T.のかね	おかえり治っとる	
59	00:00:29	いぶきんぐ	おかえり	
60	00:00:29	ナウ	枠変わった	
61	00:00:30	たんこぶ	なおったー	
62	00:00:31	むらさきあんこ	720！	
63	00:00:31	ふーばー	720なった	
64	00:00:31	天然ステルス	ちゃんとHD表示されてる	
65	00:00:32	パンセポンセ	なおった	
66	00:00:32	究極ド根性ダイコン	おけまる	
67	00:00:32	らうらう	神画質になった	
68	00:00:32	クロムア	もしもし	
69	00:00:33	ヘンリーダーガー	なおってる	
70	00:00:35	ss kk	おかえり	
71	00:00:36	タケノコ男	おかえり	
72	00:00:36	じょーげん	おいしい煮玉子	
73	00:00:37	aa aa	おいしい煮玉子	
74	00:00:38	biggs	おかえり	
75	00:00:40	いぶきんぐ	なおってるね	
76	00:00:42	JUNY	クゥ・フラン・ゾーパーHDリマスタード	
77	00:00:44	八木谷	おかえり	
