行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	むむめめ	おいしい煮玉子	
1	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
2	00:00:00	piyo2840	おいしい煮た孫	
3	00:00:00	桜田紅	おいしい煮玉子	
4	00:00:00	小さい胡麻塩	おいしい煮玉子	
5	00:00:00	_ Die	おいしい煮玉子	
6	00:00:00	スモーク	おいしい煮玉子	
7	00:00:00	プッ	おいしい煮玉子	
8	00:00:00	らうらう	おいしい煮玉子	
9	00:00:00	ミワタリ	おいしい煮玉子	
10	00:00:00	D W	おいしい煮玉子	
11	00:00:00	Dive B2	おいしい煮卵子	
12	00:00:00	ジャック・オー	おいしい煮玉子	
13	00:00:22	タケノコ男	おいしい煮玉子	
14	00:00:35	motiyomogi	おいしい煮玉子	
15	00:00:36	JUNY	おいしい煮玉子	
16	00:00:53	らうらう	kawaii	
17	00:00:56	azcatいなもり	準備万端だぜ	
18	00:01:03	パック	おいしい煮玉子	
19	00:01:05	ニャンコ先生	おいしい煮玉子	
20	00:01:06	ホワイトラン衛兵	おいしい煮玉子	
21	00:01:12	いぶきんぐ	おいしい煮玉子	
22	00:01:14	渚乃奏	おいしい煮卵	
23	00:01:14	ホワイトラン衛兵	かわいい	
24	00:01:16	sio3go	おいしい煮玉子	
25	00:01:19	タケノコ男	かわいい	
26	00:01:33	ナウ	おいしい煮玉子	
27	00:01:45	らうらう	かわいい	
28	00:01:50	あぶりカルビン	ﾎﾟﾆｰｷｬﾆｵﾝのロゴが終わってからね	
29	00:02:14	プッ	なってる	
30	00:02:40	渚乃奏	クゥさんと一緒に何か見るのミソパぶりっすね。	
31	00:03:04	ナウ	おいしい煮玉子になってしまう	
32	00:03:27	D W	やるか	
33	00:03:43	らうらう	草	
34	00:03:46	motiyomogi	草	
35	00:03:47	渚乃奏	アフリカの人気になりすぎる	
36	00:03:49	タケノコ男	アフリカの方ほんと草	
37	00:03:52	スモーク	え	
38	00:03:53	パック	草	
39	00:03:53	大地	自由すぎた	
40	00:03:54	Habaki Satou	ED治った人	
41	00:04:19	らうらう	かわいい	
42	00:04:26	あぶりカルビン	ぼくはミソシタ	
43	00:04:27	D W	僕はミソシタ・・・	
44	00:04:29	いぶきんぐ	僕はミソシタ	
45	00:04:32	岸辺一徳	はじまた	
46	00:04:37	大地	誰このおっさん	
47	00:04:51	あぶりカルビン	初手顔バレ	
48	00:05:02	タケノコ男	🐱	
49	00:05:05	いぶきんぐ	顔も出とるが腹も出とる	
50	00:05:27	D W	字幕のカラーに落ち着きがない	
51	00:05:30	渚乃奏	Youtuber感のある字幕草	
52	00:05:38	piyo2840	じゃあ無職じゃないか	
53	00:05:45	motiyomogi	字幕つけたりつけなかったり	
54	00:05:51	パック	やっぱり無職じゃないか	
55	00:06:06	_ Die	いいおっさんじゃないか！	
56	00:06:39	パック	Get Money	
57	00:06:41	ともはね	セーター可愛い	
58	00:06:46	あぶりカルビン	稼げると思ってるのか……	
59	00:06:47	いぶきんぐ	ゲットマネーは大分難易度高い	
60	00:06:50	タケノコ男	金よりスケベ	
61	00:07:00	プッ	このセーター歩くとシャラシャラいう	
62	00:07:00	motiyomogi	草	
63	00:00:00	むむめめ	おいしい煮玉子	
64	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
65	00:00:00	piyo2840	おいしい煮た孫	
66	00:00:00	桜田紅	おいしい煮玉子	
67	00:00:00	小さい胡麻塩	おいしい煮玉子	
68	00:00:00	_ Die	おいしい煮玉子	
69	00:00:00	スモーク	おいしい煮玉子	
70	00:00:00	プッ	おいしい煮玉子	
71	00:00:00	らうらう	おいしい煮玉子	
72	00:00:00	ミワタリ	おいしい煮玉子	
73	00:00:00	D W	おいしい煮玉子	
74	00:00:00	Dive B2	おいしい煮卵子	
75	00:00:00	ジャック・オー	おいしい煮玉子	
76	00:00:22	タケノコ男	おいしい煮玉子	
77	00:00:35	motiyomogi	おいしい煮玉子	
78	00:00:36	JUNY	おいしい煮玉子	
79	00:00:53	らうらう	kawaii	
80	00:00:56	azcatいなもり	準備万端だぜ	
81	00:01:03	パック	おいしい煮玉子	
82	00:01:05	ニャンコ先生	おいしい煮玉子	
83	00:01:06	ホワイトラン衛兵	おいしい煮玉子	
84	00:01:12	いぶきんぐ	おいしい煮玉子	
85	00:01:14	渚乃奏	おいしい煮卵	
86	00:01:14	ホワイトラン衛兵	かわいい	
87	00:01:16	sio3go	おいしい煮玉子	
88	00:01:19	タケノコ男	かわいい	
89	00:01:33	ナウ	おいしい煮玉子	
90	00:01:45	らうらう	かわいい	
91	00:01:50	あぶりカルビン	ﾎﾟﾆｰｷｬﾆｵﾝのロゴが終わってからね	
92	00:02:14	プッ	なってる	
93	00:02:40	渚乃奏	クゥさんと一緒に何か見るのミソパぶりっすね。	
94	00:03:04	ナウ	おいしい煮玉子になってしまう	
95	00:03:27	D W	やるか	
