行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ゆおた	おつたま	
1	00:00:00	akikaze616	姉ちゃん・・・	
2	00:00:00	らうらう	おいしい煮玉子	
3	00:00:00	Kei H	伝説の誕生に立ち会えると聞いて	
4	00:00:00	竹輪	おいしい煮玉子	
5	00:00:00	ゆおた	おいしい煮玉子	
6	00:00:00	リフェ	おいしい煮玉子	
7	00:00:00	JUNY	おいしい煮玉子を待っています	
8	00:00:00	biggs	おいしい煮玉子	
9	00:00:00	のねずみ		￥1,000
10	00:00:11	スモーク	おいしい煮玉子	
11	00:00:11	究極ド根性ダイコン	おいしい煮玉子	
12	00:00:13	sas b	おいしい煮玉子	
13	00:00:16	タケノコ男	おいしい煮玉子	
14	00:00:18	K. u	おいしい煮玉子	
15	00:00:19	御早和杯	おいしい煮玉子	
16	00:00:21	ヌルヌペペ	おいしい煮玉子	
17	00:00:21	パンセポンセ	おいしい煮玉子	
18	00:00:22	のねずみ	おいしい煮玉子	
19	00:00:23	リフェ	おいしい煮玉子	
20	00:00:24	竹輪	おいしい煮玉子	
21	00:00:27	Ryo Kamiya	おいしい煮玉子	
22	00:00:29	せせらぎ	こんにちは～	
23	00:00:32	田中ぷにえ	ごきげんよう	
24	00:00:35	ナウ	おいしい煮玉子	
25	00:00:38	motiyomogi	おいしい煮玉子	
26	00:00:40	sio3go	おいしい煮玉子	
27	00:00:42	JUNY	ティーダくん足ケガした？	
28	00:00:43	にけい	おいしい煮玉子	
29	00:00:45	せせらぎ	40時間...すごい	
30	00:00:46	SyG TTT	姉ちゃんまだやってたの…がんばって…	
31	00:00:49	D W	おいしい煮玉子	
32	00:00:51	白雪	おいしい煮玉子	
33	00:00:56	ZX bankara	始まった	
34	00:00:56	タケノコ男	フラグ	
35	00:01:00	biggs	頑張って…	
36	00:01:16	東京コノハムシ	おいしい煮玉子	
37	00:01:17	いぶきんぐ	おいしい煮玉子	
38	00:01:17	Kei H	道中お気をつけて	
39	00:01:18	八木谷	おいしい煮玉子	
40	00:01:20	biggs	いかにもな敵	
41	00:01:21	けー	おたまご	
42	00:01:26	のねずみ	まさかクリアまで行くとは思わなかった	
43	00:01:41	爆盛飯太郎	おいしい煮卵姉ちゃんがんばれ～	
44	00:01:41	究極ド根性ダイコン	この亀から盗めるアイテム超強いよ	
45	00:01:42	Kei H	２時間前やばかったもんなー	
46	00:01:49	sas b	姉ちゃん開始ツイートしてない？	
47	00:02:02	けー	レベリング中がやばかったね	
48	00:02:03	ZX bankara	逃げるんじゃないかな	
49	00:02:19	タケノコ男	かわいい	
50	00:02:19	biggs	小数点以下の確率じゃなく盗める	
51	00:02:24	竹輪	ツイーティングかわいい	
52	00:02:27	sas b	かわいい	
53	00:02:29	究極ド根性ダイコン	かわいい	
54	00:02:30	リフェ	FF7でも見たラスダン常連モンスターがいっぱい…	
55	00:02:32	いぶきんぐ	かわいい	
56	00:02:33	SyG TTT	ツイツイしてる姉ちゃんかわいいね	
57	00:02:34	toritorino	基本ここら辺のモンスターのアイテムおいしいね	
58	00:02:34	biggs	かわいい	
59	00:00:00	ゆおた	おつたま	
60	00:00:00	akikaze616	姉ちゃん・・・	
61	00:00:00	らうらう	おいしい煮玉子	
62	00:00:00	Kei H	伝説の誕生に立ち会えると聞いて	
63	00:00:00	竹輪	おいしい煮玉子	
64	00:00:00	ゆおた	おいしい煮玉子	
65	00:00:00	リフェ	おいしい煮玉子	
66	00:00:00	JUNY	おいしい煮玉子を待っています	
67	00:00:00	biggs	おいしい煮玉子	
68	00:00:00	のねずみ		￥1,000
69	00:00:11	スモーク	おいしい煮玉子	
70	00:00:11	究極ド根性ダイコン	おいしい煮玉子	
71	00:00:13	sas b	おいしい煮玉子	
72	00:00:16	タケノコ男	おいしい煮玉子	
73	00:00:18	K. u	おいしい煮玉子	
74	00:00:19	御早和杯	おいしい煮玉子	
75	00:00:21	ヌルヌペペ	おいしい煮玉子	
76	00:00:21	パンセポンセ	おいしい煮玉子	
77	00:00:22	のねずみ	おいしい煮玉子	
78	00:00:23	リフェ	おいしい煮玉子	
79	00:00:24	竹輪	おいしい煮玉子	
80	00:00:27	Ryo Kamiya	おいしい煮玉子	
81	00:00:29	せせらぎ	こんにちは～	
82	00:00:32	田中ぷにえ	ごきげんよう	
83	00:00:35	ナウ	おいしい煮玉子	
84	00:00:38	motiyomogi	おいしい煮玉子	
85	00:00:40	sio3go	おいしい煮玉子	
86	00:00:42	JUNY	ティーダくん足ケガした？	
87	00:00:43	にけい	おいしい煮玉子	
88	00:00:45	せせらぎ	40時間...すごい	
89	00:00:46	SyG TTT	姉ちゃんまだやってたの…がんばって…	
90	00:00:49	D W	おいしい煮玉子	
91	00:00:51	白雪	おいしい煮玉子	
92	00:00:56	ZX bankara	始まった	
93	00:00:56	タケノコ男	フラグ	
94	00:01:00	biggs	頑張って…	
95	00:01:16	東京コノハムシ	おいしい煮玉子	
96	00:01:17	いぶきんぐ	おいしい煮玉子	
97	00:01:17	Kei H	道中お気をつけて	
98	00:01:18	八木谷	おいしい煮玉子	
99	00:01:20	biggs	いかにもな敵	
100	00:01:21	けー	おたまご	
101	00:01:26	のねずみ	まさかクリアまで行くとは思わなかった	
102	00:01:41	爆盛飯太郎	おいしい煮卵姉ちゃんがんばれ～	
103	00:01:41	究極ド根性ダイコン	この亀から盗めるアイテム超強いよ	
104	00:01:42	Kei H	２時間前やばかったもんなー	
105	00:01:49	sas b	姉ちゃん開始ツイートしてない？	
106	00:02:02	けー	レベリング中がやばかったね	
107	00:02:03	ZX bankara	逃げるんじゃないかな	
108	00:02:19	タケノコ男	かわいい	
109	00:02:19	biggs	小数点以下の確率じゃなく盗める	
110	00:02:24	竹輪	ツイーティングかわいい	
111	00:02:27	sas b	かわいい	
112	00:02:29	究極ド根性ダイコン	かわいい	
113	00:02:30	リフェ	FF7でも見たラスダン常連モンスターがいっぱい…	
114	00:02:32	いぶきんぐ	かわいい	
115	00:02:33	SyG TTT	ツイツイしてる姉ちゃんかわいいね	
116	00:02:34	toritorino	基本ここら辺のモンスターのアイテムおいしいね	
117	00:02:34	biggs	かわいい	
118	00:02:38	パンセポンセ	かわいい	
119	00:02:39	らうらう	かわいい	
120	00:02:40	eve	おいしい煮玉子	
121	00:02:40	八木谷	かわいい	
122	00:02:45	motiyomogi	かわいい	
123	00:02:46	スモーク	かわいい	
124	00:02:54	御早和杯	クソメガネ３体	
125	00:02:58	らうらう	我はラスダン	
126	00:03:01	ゆかり	おいしい煮玉子	
127	00:03:15	Lain 428	おいしい煮玉子	
128	00:03:23	JUNY	わー	
129	00:03:24	竹輪	かわいい	
130	00:03:34	biggs	鉄巨人の双子だ	
131	00:04:31	リフェ	草	
132	00:04:35	biggs	人はしゃくりあげられると死ぬ	
133	00:04:36	らうらう	つよい	
134	00:04:37	スモーク	つっよ	
135	00:04:38	ゆかり	いやん	
136	00:04:38	D W	草	
137	00:04:43	ZX bankara	Vチューバーさんはモーションキャプチャーみたいの付けてるんですか	
138	00:04:56	SyG TTT	全身粉砕骨折でしょ…	
139	00:05:12	らうらう	実写	
140	00:05:14	biggs	バーチャル実写	
141	00:05:16	東京コノハムシ	姉ちゃんは顔出しだからね	
142	00:05:20	パンセポンセ	バーチャル実写	
143	00:05:24	竹輪	バーチャルだからね	
144	00:05:31	SyG TTT	#とは	
145	00:05:37	D W	バーチャル実写…	
146	00:05:39	けー	カメラが読み込んでるだけだね	
147	00:05:41	マイフェイバリットトリビアン	バーチャル顔出し配信	
148	00:05:42	リフェ	ニューロンを利用したバーチャル実写	
149	00:05:44	JUNY	NEURONはウェブカメラ	
150	00:06:03	究極ド根性ダイコン	亀は味方全回復のアイテムが盗めるから余裕あったら盗んだ方がいいと思う	
151	00:06:24	近藤大輔	わかる	
152	00:06:28	内海柚	おいしい煮玉子ー	
153	00:06:31	biggs	我はラスダンの敵・・・	
154	00:06:41	JUNY	我はエリート雑魚…	
155	00:06:43	ゆかり	セーブポイント発見！	
156	00:07:11	ああ	おいしい煮玉子	
157	00:07:16	fire fly	４０時間・・・・・	
158	00:07:34	にけい	オヤジのなかネチョネチョしてるね	
159	00:07:46	マイフェイバリットトリビアン	我はラスダン前の階段…	
160	00:07:47	御早和杯	我はラスダン…	
161	00:07:52	ナウ	我はラスダン	
162	00:07:53	ゆかり	13階段のようなw	
163	00:07:59	究極ド根性ダイコン	あっよりによって外れ（レア）の方が…	
164	00:08:22	究極ド根性ダイコン	HP最大値倍にするやつだから強いのは確か	
165	00:09:40	白黒	今はレベリング兼ねるアイテム集め？	
166	00:09:44	biggs	配信バフがこんなところで	
167	00:10:01	man book	また盗むガチャしてる...	
168	00:10:18	ポンポン	アイテムこそパワー	
169	00:10:20	究極ド根性ダイコン	確か石化効いたと思うからレベル上げも兼ねられそうではあるけど	
170	00:10:23	Kizu 7.1ch	アイテムを整理しないんですか？	
171	00:11:10	にけい	ティーダも石化武器あるよ	
172	00:11:12	JUNY	かたい	
173	00:11:20	D W	効くみたいだ	
174	00:11:52	八木谷	草	
175	00:11:53	スモーク	草	
176	00:11:55	biggs	お部屋	
177	00:11:55	タケノコ男	草	
178	00:11:56	K. u	整理して	
179	00:12:03	ナウ	今は部屋綺麗って言ってたのに・・・	
180	00:12:03	パンセポンセ	草	
181	00:12:07	ああ	お部屋は	
182	00:12:15	ふかふかねこ	自動で整理してくれるボタンがあったような	
183	00:12:17	ポンポン	汚部屋…	
184	00:12:19	D W	草	
185	00:12:28	パンセポンセ	比較的かぁ	
186	00:12:28	東京コノハムシ	断捨離でもしたの	
187	00:12:58	バーチャルYouTuberガニメデちゃんねる	部屋が汚い人の比較的は……	
188	00:13:05	りあすて	大体の御宅に断捨離は無理	
189	00:13:25	竹輪	姉ちゃん使わないけどとりあえずとってるもの多そう	
190	00:13:27	スモーク	いつか…	
191	00:13:28	ゆかり	うちの子供もゴミばかり集めてる	
192	00:13:28	東京コノハムシ	本バラしてもいい奴は自炊するとか	
193	00:13:29	man book	断捨離は心のアド	
194	00:13:32	SyG TTT	物は床から取るのが一番効率いいもんな	
195	00:13:32	白黒	石化が有効、その他にも状態異常が大体有効で、召喚獣を呼ぶと炎属性の攻撃しかしない＝イフリートで完封出来る との事（亀）	
196	00:13:40	ポンポン	捨てるにも金がかかるぜよ	
197	00:14:08	白黒	物欲センサー的なアレが働いておる	
198	00:14:23	D W	亀でないな	
199	00:14:34	にけい	場所悪いのかな	
200	00:14:34	リフェ	物欲センサーなのかなぁ	
201	00:14:37	biggs	いやしの水×２の調合も強力だからね…	
202	00:14:38	究極ド根性ダイコン	仕事のできるセンサーだ	
203	00:15:06	biggs	はい	
204	00:15:09	ポンポン	ヴァルファーレのデザインすこ	
205	00:15:13	ふかふかねこ	ついでにさっきの宝箱でも取りに行きます？回り道するだけですけど	
206	00:15:55	究極ド根性ダイコン	出たよ…	
207	00:15:56	ゆかり	あ･･･	
208	00:15:57	スモーク	きたな	
209	00:16:01	八木谷	あっ	
210	00:16:01	D W	うわぁ出た	
211	00:16:03	ナウ	しつこい	
212	00:16:04	白黒	来たなしつこいの	
213	00:16:08	東京コノハムシ	シーモア！	
214	00:16:08	K. u	触角ストーカー	
215	00:16:09	けー	楽しそうなアトラクション	
216	00:16:10	竹輪	あっ	
217	00:16:13	リフェ	何度目だ…	
218	00:16:21	ポンポン	粘着されてますな！	
219	00:16:23	man book	ツインテール男	
220	00:16:27	いぶきんぐ	めんどくさいやつだな！	
221	00:16:29	ゆかり	つまりは暇なんですね	
222	00:16:31	ちよくん	名曲くるぅ	
223	00:16:32	JUNY	成仏しろや！！	
224	00:16:33	Kei H	これは・・・	
225	00:16:36	パンセポンセ	マジしつこい	
226	00:16:44	究極ド根性ダイコン	名曲なのに本体が弱すぎて聞き惚れられないやつ！	
227	00:16:44	けー	シーモアバトルほんとすこ	
228	00:16:48	ニオ_	名曲	
229	00:16:49	たびびと	神BGM	
230	00:16:52	SyG TTT	あわわ…	
231	00:16:52	竹輪	かっこいい	
232	00:16:53	ゆかり	曲w	
233	00:16:54	ZX bankara	死に救いを求めるやつ	
234	00:16:56	りあすて	かっこいい	
235	00:16:57	のねずみ	かっこいい	
236	00:16:58	八木谷	いい曲	
237	00:17:01	biggs	BGMが素晴らしい	
238	00:17:02	デンキヒツジ	良い曲	
