行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
1	00:00:00	tamachan0312	おいしい煮玉子	
2	00:00:00	じょーげん	おいしい煮玉子	
3	00:00:00	はるにれ	おいしい煮玉子	
4	00:00:00	らうらう	おいたま♪	
5	00:00:00	究極ド根性ダイコン	おいしい煮玉子マン	
6	00:00:00	モノちゃんねる	おいしい煮玉子	
7	00:00:00	たんこぶ	おいしい必勝法	
8	00:00:00	弥七	貴公のおい玉も限界と見える	
9	00:00:00	うぇいのる	おいしい煮玉子	
10	00:00:00	ジュンペイ	おいしい煮玉子	
11	00:00:00	八木谷	絶対に勝つという強い意志	
12	00:00:00	Garden	おにたま～	
13	00:00:00	tage	おいしい煮玉子	
14	00:00:00	竹輪	おいしい煮玉子	
15	00:00:00	kizakura sakura	がんばれー、応援してるよー	
16	00:00:00	フレイムリンクス	オンスモ攻略なるか	
17	00:00:00	周恩来	ダクソだけやって生きていきたい煮玉子	
18	00:00:00	くりお	おいしい煮玉子〜	
19	00:00:00	ジョナサン・グレーン	おにたま～	
20	00:00:00	ジャック・オー	おいしい煮玉子	
21	00:00:00	えび	おいしい煮玉子	
22	00:00:00	eve 8848	おいしい煮玉子	
23	00:00:00	mori mori	いえーい姉ちゃん元気ぃー	
24	00:00:00	早坂達夫	おいしい煮玉子	
25	00:00:00	ジョナサン・グレーン	クゥChannelを待っています	
26	00:00:00	周恩来	おいしい煮玉子	
27	00:00:00	lunes	おいしい煮玉子	
28	00:00:00	zaff	おいたま～	
29	00:00:00	ポルポル	おいしい煮玉子	
30	00:00:00	結城晶	おにたま～	
31	00:00:00	タケノコ男	おいしい煮玉子	
32	00:00:00	食べる小魚	おやすみ、ゆっくり休んでね	￥240
33	00:00:00	core quad		￥100
34	00:00:00	秋箱	クゥ・バトル・タクティクスを末代まで残します	￥500
35	00:00:00	たんこぶ	クゥバトルタクティクスの勝利！！	￥200
36	00:00:12	monyamon	おいしい煮玉子	
37	00:00:14	あい	おいしい煮玉子	
38	00:00:15	あぶやま	おいしい煮卵	
39	00:00:16	むらさきあんこ	おいしい煮玉子	
40	00:00:17	ジョナサン・グレーン	おにたま～	
41	00:00:17	八木谷	おいしい煮玉子	
42	00:00:19	袖口	おいしい煮玉子	
43	00:00:23	腰痛おじ様	おいしい煮卵🍳	
44	00:00:24	周恩来	おせき	
45	00:00:24	Amserd	おいしい煮玉子	
46	00:00:24	imo	おいしい煮玉子	
47	00:00:25	ジャック・オー	おにたまー	
48	00:00:25	えび	おにたま～	
49	00:00:26	とがま日和	こんばんはー	
50	00:00:28	tage	おいたま～	
51	00:00:28	竹輪	おいたま〜	
52	00:00:29	ヌルヌペペ	おいしい煮玉子	
53	00:00:29	R gon	おいしい煮玉子	
54	00:00:34	さんぽーる	おいしい煮玉子	
55	00:00:34	助六	おいしい煮卵	
56	00:00:37	味噌煮込みじゅごん	おいしい煮玉子～～	
57	00:00:37	_ Die	おいたま～	
58	00:00:37	いぶきんぐ	おいしい煮玉子	
59	00:00:39	メレンゲ	おいたまー	
60	00:00:42	TKG M	おいしい煮玉子	
61	00:00:44	tan sutan	​おいしい煮玉子	
62	00:00:44	スルーラスト	おいしい煮玉子(๑>ڡ<๑)	
63	00:00:45	究極ド根性ダイコン	おいしい煮玉子	
64	00:00:47	ノフブタ	こんばんは	
65	00:00:50	もふ	おいしい煮玉子	
66	00:00:50	太陽サン	おみたま	
67	00:00:50	あざーら	おいしい煮玉子～！	
68	00:00:56	竹本カキフライ	おはよーチュッw💋	
69	00:00:56	牧歩	おいしい煮玉子	
70	00:00:56	5656 xyz	こんばんわー	
71	00:00:57	lunes	姉ちゃんには必勝法がある	
72	00:00:58	秋箱	おにたま！	
73	00:01:00	弥七	オンスモ戦？ロートレクは倒したの？	
74	00:01:01	たんめん	オンスモ耐久戦	
75	00:01:02	のどあめ	おいたま〜	
76	00:01:02	kizakura sakura	こんばんわー	
77	00:01:03	周恩来	姉ちゃん体調大丈夫…？	
78	00:01:04	早坂達夫	姉ちゃんテンション低くない？	
79	00:01:05	N. Masaki	おいしい煮玉子	
80	00:01:06	行方不明	落ち着いてね	
