行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
2	00:00:00	リフェ	おいしい煮玉子	
3	00:00:00	竹輪	おいしい煮玉子	
4	00:00:00	スモーク	おいしい煮玉子	
5	00:00:00	にけい	缶バッヂいい出来	
6	00:00:00	カーマイン	おいしい煮玉子	
7	00:00:00	JUNY	おいしい煮玉子	
8	00:00:00	小さい胡麻塩	おいしい煮玉子	
9	00:00:00	いぶきんぐ	おいしい煮玉子	
10	00:00:00	いぶきんぐ	缶バッジかわいい…	
11	00:00:00	T.のかね	おいしい煮玉子	
12	00:00:00	りあすて	おいしい煮玉子	
13	00:00:17	カーマイン	おいしい煮玉子	
14	00:00:22	リフェ	おいしい煮玉子	
15	00:00:26	いぶきんぐ	おいしい煮玉子	
16	00:00:27	motiyomogi	おいしい煮玉子	
17	00:00:30	らうらう	かわいい	
18	00:00:33	ホワイトラン衛兵	おいしい煮玉子	
19	00:00:36	にけい	カミングスーン…	
20	00:00:40	マルピギア	おいしい煮玉子	
21	00:00:47	JUNY	こんばんは	
22	00:00:47	究極ド根性ダイコン	おいしい煮玉子	
23	00:00:51	スモーク	見つかってよかった	
24	00:00:52	カーマイン	見つかってよかった…	
25	00:00:57	リフェ	見つかってよかった	
26	00:00:58	らうらう	え？？？？？？？	
27	00:01:05	クロム	えぇ・・・	
28	00:01:05	motiyomogi	草	
29	00:01:07	ホワイトラン衛兵	えぇ…	
30	00:01:08	せせらぎ	ディスクを栞に？？？	
31	00:01:08	スモーク	草	
32	00:01:09	いぶきんぐ	えぇ…	
33	00:01:10	JUNY	形兆兄貴には聞かせられないね	
34	00:01:10	りあすて	２もｇｃなんだ	
35	00:01:10	リフェ	しおり？	
36	00:01:14	らうらう	服飾？？？？？？	
37	00:01:18	カーマイン	なんで…？	
38	00:01:29	近藤大輔	よく起動したねそれ	
39	00:01:42	mori mori	かわいい	
40	00:01:46	JUNY	バンド・デシネみたいな	
41	00:01:54	りあすて	しおり…？	
42	00:01:56	カーマイン	モンティパイソンのアニメみたい	
43	00:01:56	究極ド根性ダイコン	味がある演出だ	
44	00:01:58	マルピギア	前作の売り上げがイマイチやったから予算が少なかったんや	
45	00:02:18	水澤悠仮面ライダーアマゾンオメガ	ルゥ姉こんばんは😃🌃	
46	00:02:21	リフェ	かなしい	
47	00:02:25	らうらう	かなしいなあ	
48	00:02:26	mori mori	そらGCで出せばそうよ	
49	00:02:35	ホワイトラン衛兵	かなしい	
50	00:02:40	らうらう	かなしい	
51	00:02:41	竹輪	かなしい	
52	00:02:46	カーマイン	かなしい	
53	00:02:58	リフェ	きびしい…	
54	00:03:05	いぶきんぐ	かなしい	
55	00:03:09	にけい	よく２作れたな…	
56	00:03:29	ワイン妖精	遅れたこんばんおいしい煮玉子	
57	00:03:37	T.のかね	今回も＝プレイヤー？	
58	00:03:41	マルピギア	DSあたりでリメイクしてくれると思ってたんだけどなぁ	
59	00:03:55	mori mori	ルゥが使えない！	
60	00:03:59	竹輪	なんで…	
61	00:04:01	T.のかね	草	
62	00:04:07	究極ド根性ダイコン	なんで…？	
63	00:00:00	らうらう	おいしい煮玉子	
64	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
65	00:00:00	リフェ	おいしい煮玉子	
66	00:00:00	竹輪	おいしい煮玉子	
67	00:00:00	スモーク	おいしい煮玉子	
68	00:00:00	にけい	缶バッヂいい出来	
69	00:00:00	カーマイン	おいしい煮玉子	
70	00:00:00	JUNY	おいしい煮玉子	
71	00:00:00	小さい胡麻塩	おいしい煮玉子	
72	00:00:00	いぶきんぐ	おいしい煮玉子	
73	00:00:00	いぶきんぐ	缶バッジかわいい…	
74	00:00:00	T.のかね	おいしい煮玉子	
75	00:00:00	りあすて	おいしい煮玉子	
76	00:00:17	カーマイン	おいしい煮玉子	
77	00:00:22	リフェ	おいしい煮玉子	
78	00:00:26	いぶきんぐ	おいしい煮玉子	
79	00:00:27	motiyomogi	おいしい煮玉子	
80	00:00:30	らうらう	かわいい	
81	00:00:33	ホワイトラン衛兵	おいしい煮玉子	
82	00:00:36	にけい	カミングスーン…	
83	00:00:40	マルピギア	おいしい煮玉子	
84	00:00:47	JUNY	こんばんは	
85	00:00:47	究極ド根性ダイコン	おいしい煮玉子	
86	00:00:51	スモーク	見つかってよかった	
87	00:00:52	カーマイン	見つかってよかった…	
88	00:00:57	リフェ	見つかってよかった	
89	00:00:58	らうらう	え？？？？？？？	
90	00:01:05	クロム	えぇ・・・	
91	00:01:05	motiyomogi	草	
92	00:01:07	ホワイトラン衛兵	えぇ…	
93	00:01:08	せせらぎ	ディスクを栞に？？？	
94	00:01:08	スモーク	草	
95	00:01:09	いぶきんぐ	えぇ…	
96	00:01:10	JUNY	形兆兄貴には聞かせられないね	
97	00:01:10	りあすて	２もｇｃなんだ	
98	00:01:10	リフェ	しおり？	
99	00:01:14	らうらう	服飾？？？？？？	
100	00:01:18	カーマイン	なんで…？	
101	00:01:29	近藤大輔	よく起動したねそれ	
102	00:01:42	mori mori	かわいい	
103	00:01:46	JUNY	バンド・デシネみたいな	
104	00:01:54	りあすて	しおり…？	
