行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジョナサン・グレーン	姉ちゃんゴリラ好きすぎる…	
1	00:00:00	竹輪	ゴリラは楽しいからな…	
2	00:00:00	aarar scsrt		￥100
3	00:00:00	ジャック・オー	ナイスゴリラ！	￥1,000
4	00:00:00	桜田紅		￥100
5	00:00:16	ジョナサン・グレーン	おいしい煮玉子	
6	00:00:17	ナウ	おいしい煮玉子	
7	00:00:20	motiyomogi	おいしい煮玉子	
8	00:00:20	クロム	おいしい煮玉子	
9	00:00:21	スモーク	おいしい煮玉子	
10	00:00:26	桜田紅	おいしい煮玉子	
11	00:00:27	八木谷	おいしい煮玉子	
12	00:00:27	いぶきんぐ	おいしい煮玉子	
13	00:00:29	竹輪	おいしい煮玉子	
14	00:00:30	リフェ	おいしい煮玉子	
15	00:00:32	刀根雅武	おいしい煮玉子	
16	00:00:37	JUNY	おいしい煮玉子	
17	00:00:38	miasa	おいしい煮玉子	
18	00:00:39	竹輪	我慢できないのかわいい	
19	00:00:40	イカを干す機械	おいしい煮玉子	
20	00:00:42	seafood	おいしい煮玉子	
21	00:00:42	ニャンコ先生	ゴリラ禁断症状？	
22	00:00:56	竹輪	そんなに	
23	00:00:57	ああ	おいしい煮玉子	
24	00:01:09	スモーク	バチャマケ巡りながら見るか	
25	00:01:10	あまいさい	おいしい煮玉子	
26	00:01:15	畑秋	おいしい煮玉子	
27	00:01:15	竹輪	期待	
28	00:01:17	x 7up	おいしい煮玉子	
29	00:01:30	ジョナサン・グレーン	ゴリラ中毒になってる…	
30	00:01:35	x 7up	チャマケはあと１時間くらい	
31	00:01:51	x 7up	ゴールで一体何が…	
32	00:01:58	sio3go	おいしい煮玉子	
33	00:02:16	HILO	おいしい煮玉子	
34	00:02:16	こをたく	グロくて草	
35	00:02:21	竹輪	うまい	
36	00:02:30	motiyomogi	草	
37	00:02:31	竹輪	草	
38	00:02:32	JUNY	上達がわかるのいいね	
39	00:02:32	ああ	投げ活用するようになってる	
40	00:02:34	ジョナサン・グレーン	草	
41	00:02:36	いぶきんぐ	はい	
42	00:02:37	ナウ	何もなかった	
43	00:02:53	畑秋	神楽すずさんもAPE OUTやってた！	
44	00:02:53	x 7up	爆弾マ見分ける方法はないの？	
45	00:03:00	マイフェイバリットトリビアン	あっ黒姉ちゃんだ	
46	00:03:04	竹輪	運も絡むわけね	
47	00:03:18	リフェ	すごい上手くなってる！	
48	00:03:22	HILO	音が良いねこのゲーム	
49	00:03:35	カーマイン	おいしい煮玉子	
50	00:03:38	mk 95	おいしい煮玉子、姉ちゃんゴリラにドハマリしてる	
51	00:03:43	竹輪	かわいい	
52	00:00:00	ジョナサン・グレーン	姉ちゃんゴリラ好きすぎる…	
53	00:00:00	竹輪	ゴリラは楽しいからな…	
54	00:00:00	aarar scsrt		￥100
55	00:00:00	ジャック・オー	ナイスゴリラ！	￥1,000
56	00:00:00	桜田紅		￥100
57	00:00:16	ジョナサン・グレーン	おいしい煮玉子	
58	00:00:17	ナウ	おいしい煮玉子	
59	00:00:20	motiyomogi	おいしい煮玉子	
60	00:00:20	クロム	おいしい煮玉子	
61	00:00:21	スモーク	おいしい煮玉子	
62	00:00:26	桜田紅	おいしい煮玉子	
63	00:00:27	八木谷	おいしい煮玉子	
64	00:00:27	いぶきんぐ	おいしい煮玉子	
65	00:00:29	竹輪	おいしい煮玉子	
66	00:00:30	リフェ	おいしい煮玉子	
67	00:00:32	刀根雅武	おいしい煮玉子	
68	00:00:37	JUNY	おいしい煮玉子	
69	00:00:38	miasa	おいしい煮玉子	
70	00:00:39	竹輪	我慢できないのかわいい	
71	00:00:40	イカを干す機械	おいしい煮玉子	
72	00:00:42	seafood	おいしい煮玉子	
73	00:00:42	ニャンコ先生	ゴリラ禁断症状？	
74	00:00:56	竹輪	そんなに	
75	00:00:57	ああ	おいしい煮玉子	
76	00:01:09	スモーク	バチャマケ巡りながら見るか	
77	00:01:10	あまいさい	おいしい煮玉子	
78	00:01:15	畑秋	おいしい煮玉子	
79	00:01:15	竹輪	期待	
80	00:01:17	x 7up	おいしい煮玉子	
81	00:01:30	ジョナサン・グレーン	ゴリラ中毒になってる…	
82	00:01:35	x 7up	チャマケはあと１時間くらい	
83	00:01:51	x 7up	ゴールで一体何が…	
84	00:01:58	sio3go	おいしい煮玉子	
85	00:02:16	HILO	おいしい煮玉子	
86	00:02:16	こをたく	グロくて草	
87	00:02:21	竹輪	うまい	
88	00:02:30	motiyomogi	草	
