行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	うぇいのる	お疲れ様です	
1	00:00:00	バーチャルYouTuberガニメデちゃんねる	おつかれさまです	
2	00:00:00	みよ	おいしい煮玉子	
3	00:00:00	ふーばー	煮...煮....	
4	00:00:00	くものいと	おいしい煮玉子	
5	00:00:00	らうらう	お煮玉～	
6	00:00:00	ブロア	おいしい煮玉子	
7	00:00:00	メレンゲ	おいしい煮玉子	
8	00:00:00	じょーげん	おいしい煮玉子	
9	00:00:00	Fish Sausage	おいしい煮玉子	
10	00:00:00	ふーばー	おいしい煮玉子	
11	00:00:00	もっぃ	Delicious boiled egg	
12	00:00:00	ネズミ2/2/6	おいしい煮玉子	
13	00:00:00	ドソドソ	おいしい煮玉子	
14	00:00:00	biggs	おいしい煮玉子	
15	00:00:00	たびびと	おいしい煮玉子	
16	00:00:00	らうらう	​おいしい煮玉子	
17	00:00:15	monyamon	おいしい煮玉子	
18	00:00:16	なんたら	おいしい煮玉子	
19	00:00:16	あい	おいしい煮玉子	
20	00:00:17	【たつーや】TA2-YA	おかえり	
21	00:00:19	愛飢男	おいしい煮玉子	
22	00:00:21	mori mori	えりおか	
23	00:00:23	ブロア	おいしい煮玉子！	
24	00:00:24	王猫	おいしい煮玉子	
25	00:00:25	もふ	おいしい煮玉子	
26	00:00:26	habanero	おいしい煮玉子	
27	00:00:31	_ Die	​おいしい煮玉子～	
28	00:00:31	くれみ	ハロー！そして美味しい煮玉子！	
29	00:00:31	始祖くらげ	おかえり	
30	00:00:34	鈴木おじさん	おいしい煮玉子	
31	00:00:37	馬の骨に念仏	おいしい煮玉子	
32	00:00:38	zero kuma	おかえりー	
33	00:00:38	くものいと	おかえり煮玉子	
34	00:00:39	ハラミンミン	おいしい煮玉子	
35	00:00:40	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
36	00:00:41	Strayed	おかえり	
37	00:00:42	K. u	おいしい煮卵	
38	00:00:43	味付けタマゴ	おいしい煮玉子	
39	00:00:43	ノンフロン	おいしい煮玉子	
40	00:00:44	fami fami	海砂利水魚から開始	
41	00:00:44	もみじおろし	おかえり	
42	00:00:49	あい	カプコン製だったんだな	
43	00:00:55	まぃと	おいっしい煮玉子～	
44	00:00:58	ああ	おいしい煮玉子	
45	00:01:03	もっぃ	ﾃﾞｭｸｼ	
46	00:01:04	たぬたぬ	おいしい煮玉子	
47	00:01:07	mori mori	どーぶつ虐待はんたーい	
48	00:01:10	くれみ	レストランに写真スポット	
49	00:01:19	不死身探偵	言うてあいつの発明品成功例の方が少ないし	
50	00:01:22	始祖くらげ	シールドキラー取り忘れが痛いけど後でも取れるし何とかなるか	
51	00:01:30	くものいと	シェフのおすすめ風パスタ	
52	00:01:32	みてるぞ	おいしい煮玉子	
53	00:01:34	もっぃ	✌😃	
54	00:01:37	zaff	おいしい煮玉子	
55	00:01:38	ちっく	おいしい煮玉子	
56	00:01:40	ブロア	ストーンヘンジ行く時にとれればいいや感	
57	00:01:47	くれみ	ここの料理全体的に美味しそうで好き	
58	00:01:55	ぴちぴち鮮魚	おいしい煮玉子	
