行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	白黒	待機	
1	00:00:00	むむめめ	おいしい煮玉子	
2	00:00:00	ナウ	一体どんな攻略法を思いついたんだろう	
3	00:00:00	ゆおた	おいしい煮玉子	
4	00:00:00	桜田紅	おいしい煮玉子	
5	00:00:00	パンセポンセ	おいしい煮玉子	
6	00:00:00	らうらう	おいしい煮玉子	
7	00:00:00	ミワタリ	おいしい煮玉子	
8	00:00:00	ジャック・オー	おいしい煮玉子　	
9	00:00:00	いぶきんぐ	おいしい煮玉子	
10	00:00:00	防人	おいしい煮玉子	
11	00:00:00	JUNY	おいしい煮玉子	
12	00:00:00	ゆかり	おいしい煮玉子	
13	00:00:00	K. u	おいしい煮玉子	
14	00:00:00	H Y	おいしいポーション煮卵	
15	00:00:00	スモーク	おいしい煮玉子	
16	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
17	00:00:00	近藤亮	おいしい煮玉子	
18	00:00:00	Kei H	wako	
19	00:00:00	クロムア	おいしい煮玉子	
20	00:00:00	デンキヒツジ	おいしい煮玉子	
21	00:00:00	スモーク	お疲れさま	￥10,000
22	00:00:15	seafood	おいしい煮玉子	
23	00:00:18	いぶきんぐ	おいしい煮玉子	
24	00:00:18	ジャック・オー	おいしい煮玉子	
25	00:00:20	のねずみ	おいしい煮玉子	
26	00:00:21	まつしたうらら	おいしい煮玉子	
27	00:00:21	JUNY	おいしい煮玉子	
28	00:00:22	小さい胡麻塩	おいしい煮玉子	
29	00:00:22	近藤亮	おいしい煮玉子	
30	00:00:24	K. u	おいしい煮玉子	
31	00:00:25	パンセポンセ	おいしい煮玉子	
32	00:00:28	竹やぶ	おいしい煮玉子	
33	00:00:28	岸辺一徳	おいしい煮玉子	
34	00:00:30	ログ	おいしい煮玉子	
35	00:00:31	せせらぎ	おはようございます～	
36	00:00:32	田中ぷにえ	ごきげんよう	
37	00:00:33	ナウ	おいしい煮玉子	
38	00:00:33	ミワタリ	おいしい煮玉子	
39	00:00:34	JUNY	おはよう	
40	00:00:36	ニャンコ先生	おはよう煮玉子	
41	00:00:36	追放	おいしい煮玉子	
42	00:00:38	らうらう	おいしい煮玉子	
43	00:00:38	近藤亮	おはよう	
44	00:00:38	ゆおた	おいしい煮玉子	
45	00:00:38	なる	おいしい煮玉子	
46	00:00:41	タケノコ男	おいしい煮玉子	
47	00:00:45	ゆかり	おはよう！	
48	00:00:46	Ryo Kamiya	おいしい煮玉子	
49	00:00:48	ぴねかっと	おいしい煮玉子	
50	00:00:48	ニオ_	おはようございます	
51	00:00:53	久世友希	おはようー	
52	00:01:06	らうらう	がんばえ	
53	00:01:06	K. u	有能マシュマロ	
54	00:01:14	eve	おいしい煮玉子	
55	00:01:15	たびびと	おいしい煮玉子	
56	00:01:16	mori mori	声が元気	
57	00:01:19	近藤大輔	簡単に！？すごいね	
58	00:01:19	ジャック・オー	姉ちゃんがんばえー	
59	00:01:19	クロムア	いっぱい寝た？	
60	00:01:23	D W	おはよう	
61	00:01:31	にけい	おいしい煮玉子	
62	00:01:34	のねずみ	かなしい	
63	00:01:52	ゆかり	今日は気合い入れてユウナ風メイク＆ヘアにしたよw	
64	00:01:56	らうらう	mpなくなってたから	
65	00:02:00	竹やぶ	寝なきゃ理解できなかった可能性も	
66	00:02:01	JUNY	その時にはその時の状況とかあるからね…	
67	00:02:08	タケノコ男	眠気がすでに限界を越えてたのでは	
68	00:02:08	mori mori	何だこの3D酔い御用達マップは	
69	00:02:20	ナウ	配信中にマシュマロ見ないだろうしなあ	
70	00:02:36	スモーク	カルテット使うのかな	
71	00:00:00	白黒	待機	
72	00:00:00	むむめめ	おいしい煮玉子	
73	00:00:00	ナウ	一体どんな攻略法を思いついたんだろう	
74	00:00:00	ゆおた	おいしい煮玉子	
75	00:00:00	桜田紅	おいしい煮玉子	
76	00:00:00	パンセポンセ	おいしい煮玉子	
77	00:00:00	らうらう	おいしい煮玉子	
78	00:00:00	ミワタリ	おいしい煮玉子	
79	00:00:00	ジャック・オー	おいしい煮玉子　	
80	00:00:00	いぶきんぐ	おいしい煮玉子	
81	00:00:00	防人	おいしい煮玉子	
82	00:00:00	JUNY	おいしい煮玉子	
83	00:00:00	ゆかり	おいしい煮玉子	
84	00:00:00	K. u	おいしい煮玉子	
85	00:00:00	H Y	おいしいポーション煮卵	
86	00:00:00	スモーク	おいしい煮玉子	
87	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
88	00:00:00	近藤亮	おいしい煮玉子	
89	00:00:00	Kei H	wako	
90	00:00:00	クロムア	おいしい煮玉子	
91	00:00:00	デンキヒツジ	おいしい煮玉子	
92	00:00:00	スモーク	お疲れさま	￥10,000
93	00:00:15	seafood	おいしい煮玉子	
94	00:00:18	いぶきんぐ	おいしい煮玉子	
95	00:00:18	ジャック・オー	おいしい煮玉子	
96	00:00:20	のねずみ	おいしい煮玉子	
97	00:00:21	まつしたうらら	おいしい煮玉子	
98	00:00:21	JUNY	おいしい煮玉子	
99	00:00:22	小さい胡麻塩	おいしい煮玉子	
100	00:00:22	近藤亮	おいしい煮玉子	
101	00:00:24	K. u	おいしい煮玉子	
102	00:00:25	パンセポンセ	おいしい煮玉子	
103	00:00:28	竹やぶ	おいしい煮玉子	
104	00:00:28	岸辺一徳	おいしい煮玉子	
105	00:00:30	ログ	おいしい煮玉子	
106	00:00:31	せせらぎ	おはようございます～	
107	00:00:32	田中ぷにえ	ごきげんよう	
108	00:00:33	ナウ	おいしい煮玉子	
109	00:00:33	ミワタリ	おいしい煮玉子	
110	00:00:34	JUNY	おはよう	
111	00:00:36	ニャンコ先生	おはよう煮玉子	
112	00:00:36	追放	おいしい煮玉子	
113	00:00:38	らうらう	おいしい煮玉子	
114	00:00:38	近藤亮	おはよう	
115	00:00:38	ゆおた	おいしい煮玉子	
116	00:00:38	なる	おいしい煮玉子	
117	00:00:41	タケノコ男	おいしい煮玉子	
118	00:00:45	ゆかり	おはよう！	
119	00:00:46	Ryo Kamiya	おいしい煮玉子	
120	00:00:48	ぴねかっと	おいしい煮玉子	
121	00:00:48	ニオ_	おはようございます	
122	00:00:53	久世友希	おはようー	
123	00:01:06	らうらう	がんばえ	
124	00:01:06	K. u	有能マシュマロ	
125	00:01:14	eve	おいしい煮玉子	
126	00:01:15	たびびと	おいしい煮玉子	
127	00:01:16	mori mori	声が元気	
128	00:01:19	近藤大輔	簡単に！？すごいね	
129	00:01:19	ジャック・オー	姉ちゃんがんばえー	
130	00:01:19	クロムア	いっぱい寝た？	
131	00:01:23	D W	おはよう	
132	00:01:31	にけい	おいしい煮玉子	
133	00:01:34	のねずみ	かなしい	
134	00:01:52	ゆかり	今日は気合い入れてユウナ風メイク＆ヘアにしたよw	
135	00:01:56	らうらう	mpなくなってたから	
136	00:02:00	竹やぶ	寝なきゃ理解できなかった可能性も	
137	00:02:01	JUNY	その時にはその時の状況とかあるからね…	
138	00:02:08	タケノコ男	眠気がすでに限界を越えてたのでは	
139	00:02:08	mori mori	何だこの3D酔い御用達マップは	
140	00:02:20	ナウ	配信中にマシュマロ見ないだろうしなあ	
141	00:02:36	スモーク	カルテット使うのかな	
142	00:02:46	いぶきんぐ	どうかな…	
143	00:02:46	JUNY	その策はレベリングは関係なかったんだ	
144	00:02:49	らうらう	マシュマロタイムもうければワンチャン	
145	00:03:02	ジョナサン・グレーン	おいしい煮玉子 姉ちゃんがんばえー！	
146	00:03:25	ニャンコ先生	にゃんと！？	
147	00:03:26	城ヶ崎涼	やっぱ(眠気)つれぇわ	
148	00:03:35	キツネコ	おいしい煮卵	
149	00:03:36	ゆおた	あ	
150	00:03:47	スモーク	あ	
151	00:03:47	パンセポンセ	あっ	
152	00:03:53	D W	ひえー	
153	00:03:54	ぴねかっと	あらら	
154	00:04:02	mori mori	あっぶ	
155	00:04:02	ゆおた	セーフ	
156	00:04:08	岸辺一徳	危い	
157	00:04:34	ニオ_	勝負師の魂ってそんな簡単に手に入ったっけ？	
158	00:04:41	スモーク	昨日ここで全滅したくらいで寝てしまった…	
159	00:04:45	ウホウホマン	いや体調崩すほうが辛いよ…	
160	00:04:52	らうらう	体調くずさないで	
161	00:04:59	オサレージ	おいしい煮玉子	
162	00:05:11	D W	草	
163	00:05:14	タケノコ男	えぇ…	
164	00:05:16	eve	草	
165	00:05:19	K. u	体労わって	
166	00:05:19	ジャック・オー	しなないで	
167	00:05:19	seafood	草	
168	00:05:20	H Y	えぇ . . .	
169	00:05:20	ナウ	使命感がすごい	
170	00:05:21	ニオ_	崩してからじゃ遅いので・・・	
171	00:05:22	ゆおた	たしかに（？）	
172	00:05:23	近藤大輔	考え方が敵サイドに	
173	00:05:25	JUNY	召喚士かな？	
174	00:05:25	らうらう	今日コラボなければまあ・・・	
175	00:05:25	ぴねかっと	姉ちゃん…	
176	00:05:26	アルキメ	自己犠牲系主人公じゃん	
177	00:05:28	ゆかり	大事に	
178	00:05:32	ログ	姉ちゃん…	
179	00:05:39	クロムア	せめて栄養たっぷりとって	
180	00:05:43	デンキヒツジ	同時実況もあるからね	
181	00:05:48	スモーク	ユウナレスカと化した姉ちゃん	
182	00:05:55	ゆおた	姉ちゃんは祈り子様だった・・・？	
183	00:05:57	いぶきんぐ	配信の向こうで姉ちゃんになにかあっても俺達には何もできない…	
184	00:05:57	パンセポンセ	姉ちゃんは召喚士だった…？	
185	00:05:57	むむめめ	今度は万全の状態で	
186	00:06:03	近藤大輔	10-2はどんくらいかかるの？	
187	00:06:04	mori mori	これより長くない？	
188	00:06:14	キツネコ	10-2は(寄り道しなければ)短い	
189	00:06:16	オサレージ	視聴者はスピラより姉ちゃんのほうが大事なんだぞ	
190	00:06:23	アルキメ	10-2やったはずだがあんまり覚えてない	
191	00:06:24	JUNY	わかる	
192	00:06:26	竹やぶ	え？10-2の100%クリアを！？	
193	00:06:31	久世友希	今度こそ倒しましょう笑	
194	00:06:36	なる	X2はちょっと寄り道気味の方が楽になると思う	
195	00:06:47	3レウコテア	ぐっすり寝れました？	
196	00:06:53	スモーク	実家から10-2のアルティマニア取ってきた	
197	00:06:55	mori mori	10-2寄り道しないと地獄のレベリングが必要になるのでは	
198	00:06:59	クロサマー	おはこんばんちわ	
199	00:07:01	もっけい	シンと化してしまった	
200	00:07:05	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
201	00:07:07	H Y	姉ちゃん声が...	
202	00:07:08	K. u	早いうちにちょっと寄り道して強くした方がいいかもね	
203	00:07:15	らうらう	ぐっすり姉ちゃん	
204	00:07:17	ゆかり	20時間くらいかな？100%は90時間くらいかなw	
205	00:07:31	近藤大輔	悔しさのせいで殺意が	
206	00:07:34	スモーク	草	
207	00:07:41	ゆかり	頑張れ！	
208	00:07:43	らうらう	二度寝した？	
209	00:07:43	クロサマー	クゥさんだ！遊戯王好きの！	
210	00:07:46	JUNY	声がすでにへろへろになってる…	
211	00:08:06	3レウコテア	確かに、寝すぎると疲れますよねw	
212	00:08:17	ぴねかっと	睡眠が足りてないんじゃ	
213	00:08:35	もっけい	ニコニコ超会議がなかったら勝っていたかもしれない	
214	00:08:35	ナウ	がんばっててえらい	
215	00:08:45	Tsurai 3	栄養ドリンクを飲んで寝る人もいるくらいなのだ	
216	00:08:51	Kei H	がんばえ～	
217	00:09:04	H Y	シンだからな	
218	00:09:09	ログ	寝過ぎは睡眠不足と同じくらい体に悪いからね	
219	00:09:13	タケノコ男	マゾすぎる	
220	00:09:21	ジャック・オー	できるできる！やれるやれる！気持ちの問題だ！	
221	00:09:21	近藤大輔	松岡修造かな？	
222	00:09:24	もっけい	それで死んだ人がいるから	
223	00:09:31	クロサマー	^^) _旦~~	
224	00:09:31	mori mori	それで姉ちゃんポックリ言ったら教唆犯やで	
225	00:09:32	ろりはるこん	おいしい煮玉子	
226	00:09:41	Oops	それが姉ちゃんの物語なら…	
227	00:09:53	H Y	姉ちゃん...	
228	00:10:00	タケノコ男	草	
229	00:10:04	らうらう	やだああああ	
230	00:10:05	miasa	草	
231	00:10:05	seafood	草	
232	00:10:05	ナウ	言われたくないよお	
233	00:10:06	岸辺一徳	草	
234	00:10:09	ゆおた	草	
235	00:10:12	K. u	草	
236	00:10:13	D W	笑えねぇよ！	
237	00:10:14	なる	笑えない！	
238	00:10:15	パンセポンセ	草	
239	00:10:16	ザクレロ	韓国とかでよくある事件	
240	00:10:17	3レウコテア	タイムマシンに乗って？	
241	00:10:17	ろりはるこん	コメントなくなりそう	
242	00:10:18	ログ	草	
243	00:10:18	クロムア	やだー	
244	00:10:19	まつしたうらら	現代日本の闇として取り上げられちゃう	
245	00:10:19	ゆかり	捕まるw	
246	00:10:20	クロサマー	クゥさんきえちゃうの？	
247	00:10:22	むむめめ	全国デビューだ	
248	00:10:23	いぶきんぐ	笑えないよぉ！	
249	00:10:27	小さい胡麻塩	笑えない…	
250	00:10:30	Oops	ぼくは無実です	
251	00:10:31	らうらう	草	
252	00:10:37	JUNY	ここのティーダすき	
253	00:10:38	東京コノハムシ	嫌すぎる…	
254	00:10:40	K. u	勘弁してぇ…	
255	00:10:42	ウホウホマン	僕のレスは虹色でお願いします	
256	00:10:51	ニャンコ先生	🚨Lv上げろ🚨	
257	00:10:57	もっけい	レスの番号飛び飛びなのきらい	
258	00:10:59	H Y	姉ちゃんのことは忘れないよ	
259	00:11:01	JUNY	マーキーでたのむ	
260	00:11:11	ゆかり	取材されるwモザイクの練習しなきゃ	
261	00:11:40	クロサマー	大きいおやーじ	
262	00:11:42	もっけい	いつかやると思ってました	
263	00:11:43	二階堂義盛	近隣ってどこ…？	
264	00:11:44	Anchor Anger	究極償還だー	
265	00:11:44	JUNY	「夜中によく歌ってました」	
266	00:11:48	近藤大輔	耐久配信すると思ってました	
267	00:11:48	竹やぶ	いつかやると思ってました	
268	00:11:52	ナウ	さっさとやられろよ！	
269	00:11:57	K. u	裏声でインタビューする練習しなくちゃ	
270	00:11:57	まつしたうらら	耐久配信が犯罪のような扱い	
271	00:11:58	mori mori	ティーダの武器がダサい	
272	00:12:00	白雪	おいしい煮玉子 すぐに終わらせてやれそう？	
273	00:12:02	パンセポンセ	姉弟の仲もよくって…	
274	00:12:05	東京コノハムシ	クラスでは大人しい子で…	
275	00:12:06	Tsurai 3	ヴェー ヴェーヴェーヴェー！	
276	00:12:14	H Y	bgmいいね	
277	00:12:18	ぴねかっと	私は止めたんですけど周りがやれやれというもんで	
278	00:12:19	岸辺一徳	ファンからは大量のアイカツ！ファンアートがたむけられ	
279	00:12:20	スモーク	草	
280	00:12:23	JUNY	いきなり想定外	
281	00:12:25	小さい胡麻塩	いつも煮玉子ばかり食べていて不思議な子でした…	
282	00:12:34	ジャック・オー	足を引っ張るおじさん	
283	00:13:24	オサレージ	Fight！Fight！Fight！	
284	00:14:03	スモーク	ルールー1撃で死ぬのか	
285	00:14:11	クロサマー	ふと思うんだけどヘイストばかりして暮らしてたら寿命がマッハでなくなりそう	
286	00:14:41	mori mori	最終盤なのにHPこんなもんなんだ	
287	00:14:43	K. u	戦闘そのままだろうから引き継ぐんじゃないかな	
288	00:14:59	Kei H	光・・・	
289	00:15:24	Kei H	うわあああ	
290	00:15:25	キツネコ	日常生活にスロウかけて調和とるんだよ	
291	00:15:25	ジャック・オー	お、アースイーターから盗んだね	
292	00:15:30	mori mori	クソつよ草	
293	00:15:30	スモーク	勝ったな！	
294	00:15:30	D W	つよい	
295	00:15:30	ゆかり	お！	
296	00:15:36	パンセポンセ	草	
297	00:15:38	K. u	買ったな	
298	00:15:42	JUNY	第一形態はHP6万だからすぐだね	
299	00:15:42	ゆおた	パチ屋ｗｗ	
300	00:15:44	むむめめ	いける！	
301	00:15:44	せせらぎ	精神攻撃がつらい	
302	00:15:48	クロサマー	ヘイストって言う注射をやめちゃな	
303	00:15:49	Anchor Anger	パチ屋の扉が開かれたぁ～	
304	00:15:50	タケノコ男	これもう勝ちじゃん	
305	00:16:05	デンキヒツジ	草	
306	00:16:07	近藤大輔	草	
307	00:16:10	ナウ	想定外が多い	
308	00:16:11	パンセポンセ	ランダムだから…	
309	00:16:15	ジャック・オー	殴って止めよう	
310	00:16:18	ゆかり	ドーピング	
311	00:16:23	スモーク	予定外がたくさん！	
312	00:16:38	Kei H	やるしかない	
313	00:16:52	ジャック・オー	体力の秘薬使っとけば？	
314	00:16:55	オサレージ	ワッカ9999じゃなくえ？	
315	00:17:17	ゆおた	左右もHP高いよ	
316	00:17:20	オサレージ	HP5000	
317	00:17:26	K. u	初期HP5000みたい	
318	00:17:28	スモーク	ティーダで殴って止めちゃダメなのか	
319	00:17:29	クロサマー	息子はヘイスト依存症 親父はパチンコ依存症で体が変化こえー親子関係だな	
320	00:17:58	究極ド根性ダイコン	おいしい煮玉子 がんばえー	
321	00:18:05	アルキメ	本日も自営業	
322	00:18:10	東京コノハムシ	自営業！	
323	00:18:10	JUNY	自営業なのにGWも働いててえらいね！	
324	00:18:20	ジャック・オー	リュックの手榴弾とかでもいいんじゃないかな	
325	00:18:32	D W	自営業に休みはない…	
326	00:18:38	ぴねかっと	おつらい	
327	00:18:46	K. u	自営業は自分で休み作らないとね	
328	00:18:52	究極ド根性ダイコン	インパルス待機時間長いんだよねえ	
329	00:18:58	mori mori	与えたダメージ以上回復されとる	
330	00:19:14	ゆかり	自営業という名の自由業でもある	
331	00:19:16	いぶきんぐ	耐えた！	
332	00:19:17	パンセポンセ	耐えた	
333	00:19:40	D W	計画倒産！	
334	00:19:52	オサレージ	OD使うと次の石の多分2万になるからインパルスでOK	
335	00:19:58	K. u	ヘイスト掛かってないから遅い…	
336	00:20:28	Kei H	アルベド薬も９９９９になっとるｗ	
337	00:20:32	ナウ	姉ちゃんが普通にアルベド回復薬使ってる・・・	
338	00:20:45	ゆかり	いい感じ	
339	00:21:17	ナウ	お？	
340	00:21:18	オサレージ	第2形態	
341	00:21:21	たびびと	やったか！？	
342	00:21:21	究極ド根性ダイコン	おおー	
343	00:21:22	JUNY	よっしゃ！	
344	00:21:26	田中ぷにえ	はやい！	
345	00:21:28	近藤亮	おお！	
346	00:21:31	竹やぶ	自営業のおかげ	
347	00:21:32	究極ド根性ダイコン	ザナルカンドエイブスのマーク！	
348	00:21:33	らうらう	よゆうやん	
349	00:21:35	東京コノハムシ	よし！	
350	00:21:37	いぶきんぐ	じえいぎょうが殴ってたもんね	
351	00:21:38	パンセポンセ	よっしゃ！	
352	00:21:39	アルキメ	今気づいたの…	
353	00:21:40	りあすて	やったか！？	
354	00:21:45	ゆかり	いけるよ！	
355	00:21:46	岸辺一徳	オッケ！	
356	00:21:53	K. u	剣がかっこいい	
357	00:21:54	オサレージ	胸のマークはザナルカンドエイブスのチームマーク	
358	00:21:56	ジャック・オー	グルグルがんばえー	
359	00:22:01	Anchor Anger	じえいぎょうのJ	
360	00:22:04	もっけい	ちなみにこの姿はジェクトがイメージした最強の自分	
361	00:22:05	Tsurai 3	手のひらグルグル	
362	00:22:05	パンセポンセ	最高9回！	
363	00:22:05	クロサマー	パチンコ依存症第二形態だと！借金形態だな	
364	00:22:06	むむめめ	かわいい	
365	00:22:08	mori mori	ガ魔法ないんだ	
366	00:22:09	ろりはるこん	頑張れー	
367	00:22:09	ぴねかっと	ワザップかな	
368	00:22:10	ナウ	ほう	
369	00:22:14	タケノコ男	かわいい	
370	00:22:15	にけい	裏技！？	
371	00:22:18	桜田紅	裏技すごい	
