行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ssk佐々木	始まる	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	リフェ	おいしい煮玉子	
3	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
4	00:00:00	JUNY	おいしい煮玉子	
5	00:00:00	_ Die	おいしい煮玉子	
6	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
7	00:00:00	K. u	おいしい煮玉子	
8	00:00:00	スモーク	おいしい煮玉子	
9	00:00:00	小さい胡麻塩	おいしい煮玉子	
10	00:00:00	匿名希望	おいしい煮玉子	
11	00:00:00	Shota Hamada	おいしい煮玉子	
12	00:00:00	おさかな	おいしい煮玉子	
13	00:00:00	タケノコ男	おいしい煮玉子	
14	00:00:00	ssk佐々木	異文化感。初見です	
15	00:00:00	3s	おいしい煮卵	
16	00:00:00	you _	おいしいにたまご	
17	00:00:00	motiyomogi	おいしい煮玉子	
18	00:00:00	こみこ	おいしい煮玉子	
19	00:00:00	君山銀針	おいしい煮玉子	
20	00:00:12	T.のかね	おいしい煮玉子	
21	00:00:17	クロムア	おいしい煮玉子	
22	00:00:19	D W	こんばんわ	
23	00:00:22	らうらう	はい	
24	00:00:25	ほるもん	おいしいにたまご	
25	00:00:25	seafood	おいしい煮玉子	
26	00:00:38	you _	こんばんはー	
27	00:00:39	らうらう	こんばんは	
28	00:00:39	Shota Hamada	こんばんは～	
29	00:00:40	フレイムリンクス	おいしい煮玉子	
30	00:00:40	リフェ	こんばんわー！	
31	00:00:41	motiyomogi	こんばんはー	
32	00:00:41	_ Die	こんばんはー	
33	00:00:42	レモンスイカ	こんばんは～	
34	00:00:42	こみこ	かわいい	
35	00:00:43	スモーク	かわいい	
36	00:00:44	おさかな	こんばんは	
37	00:00:45	スルーラスト	おいしい煮玉子	
38	00:00:50	小さい胡麻塩	こんばんわ～～	
39	00:00:50	K. u	こんばんは！	
40	00:00:51	JUNY	はじまってた	
41	00:00:53	匿名希望	こんばんは	
42	00:00:54	mk 95	おいしい煮玉子	
43	00:00:57	クロムア	こんばんはー	
44	00:01:06	ナウ	おいしい煮玉子	
45	00:01:12	ss kk	こんばんは！	
46	00:01:12	ssk佐々木	スタンバイおっけいです	
47	00:01:16	タケノコ男	かわいい	
48	00:01:21	刀根雅武	おいしい煮玉子	
49	00:01:22	いぶきんぐ	おいしい煮玉子	
50	00:01:24	スモーク	草	
51	00:01:25	らうらう	かわいい	
52	00:01:26	Shota Hamada	かわいい	
53	00:01:27	リフェ	草	
54	00:01:33	こみこ	草	
55	00:01:34	らうらう	かわいすぎるかよ	
56	00:01:35	motiyomogi	かわいい	
57	00:01:39	K. u	よわよわ姉ちゃん	
58	00:01:40	you _	気弱な姉ちゃんかわいい	
59	00:01:49	リフェ	草	
60	00:01:55	タケノコ男	草	
61	00:01:56	スモーク	姉ちゃん…	
62	00:01:56	ホワイトラン衛兵	草	
63	00:01:57	Shota Hamada	草	
64	00:01:58	らうらう	まだ産まれてないのか・・・・	
65	00:01:58	じょーげん	草	
66	00:02:00	小さい胡麻塩	弟は退治未満	
67	00:02:03	おさかな	腰が低すぎる…	
68	00:02:09	JUNY	小5に弱いJC	
69	00:02:09	いぶきんぐ	これを気に産まれよう	
70	00:00:00	ssk佐々木	始まる	
71	00:00:00	らうらう	おいしい煮玉子	
72	00:00:00	リフェ	おいしい煮玉子	
73	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
74	00:00:00	JUNY	おいしい煮玉子	
75	00:00:00	_ Die	おいしい煮玉子	
76	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
77	00:00:00	K. u	おいしい煮玉子	
78	00:00:00	スモーク	おいしい煮玉子	
