行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:13	あい	おいしい煮玉子	
1	00:00:15	べるべる	おいしい煮玉子	
2	00:00:17	なんたら	おいしい煮玉子	
3	00:00:18	周恩来	おいしいだえき	
4	00:00:18	プレコ	おにたま	
5	00:00:19	_ Die	おいしい煮玉子	
6	00:00:19	肉赤子ちゃんPB	おいしい煮卵	
7	00:00:20	Garden	おいしい煮玉子	
8	00:00:23	うぇいのる	おいゾパ～	
9	00:00:25	こみこ	おはよう煮玉子	
10	00:00:30	ふじ	おいしい煮玉子	
11	00:00:33	スモーク	おいたま	
12	00:00:38	なる	おいしい煮玉子	
13	00:00:41	らうらう	​おいしい煮玉子	
14	00:00:43	neiteng	おいしい煮卵	
15	00:00:43	_ Die	おはにたー	
16	00:00:49	天然ステルス	暴れん坊煮玉子	
17	00:00:54	ゆうきジョン	おいしい煮玉子	
18	00:00:59	真新八	おはたま〜	
19	00:00:59	ノギ	おいたまー	
20	00:01:18	ふたばred	おいしい煮玉子	
21	00:01:20	あかきき	おいしい煮玉子	
22	00:01:41	こみこ	ヤマブキの下	
23	00:01:47	肉赤子ちゃんPB	マサラから下って行けんの茶？	
24	00:02:14	らうらう	ヤマブキから下はふたごじまルートかな	
25	00:02:18	ミワタリ	おいしい煮玉子	
26	00:02:20	御早和杯	おいしい煮玉子	
27	00:02:22	/ Regulus	コハクも忘れずに	
28	00:02:44	ノギ	やっとプテラが	
29	00:02:47	ふーばー	おいしい煮玉子	
30	00:03:00	うぇいのる	ようやくフルメンバーに	
31	00:03:03	アセンブラ	おはようございます	
32	00:03:11	肉赤子ちゃんPB	だえきなんていらんかったんや	
33	00:03:14	/ Regulus	その金でコイン買ってなんかゲットすればいいんじゃ・・・？	
34	00:03:38	味付けタマゴ	おいしい煮玉子	
35	00:04:09	やなぎかげ	おいしい煮玉子	
36	00:04:12	/ Regulus	プテラとぎえぴーどっちに使うん？	
37	00:04:14	なんたら	シカティングしていく	
38	00:04:17	アセンブラ	ﾃﾞｨｸﾀﾞ ﾃﾞｨｸﾀﾞ	
39	00:04:42	プレコ	シカッティング	
40	00:05:08	あかきき	だいぶ進みましたね	
41	00:05:10	うぇいのる	ぎえぴーかな…	
42	00:05:40	こみこ	だえき破壊光線覚えるっけ	
43	00:06:11	Garden	52で覚えるね	
44	00:06:15	らうらう	だえきどこから破壊光線だすの	
45	00:06:35	たんこぶ	だえき光線	
46	00:06:42	うぇいのる	唾液の破壊光線…	
47	00:06:43	らうらう	たしかに	
48	00:06:46	/ Regulus	ロケットずつき覚えさせたいわｗ	
49	00:06:48	こみこ	調べたらだえき光線無理だった	
50	00:00:13	あい	おいしい煮玉子	
51	00:00:15	べるべる	おいしい煮玉子	
52	00:00:17	なんたら	おいしい煮玉子	
53	00:00:18	周恩来	おいしいだえき	
54	00:00:18	プレコ	おにたま	
55	00:00:19	_ Die	おいしい煮玉子	
56	00:00:19	肉赤子ちゃんPB	おいしい煮卵	
57	00:00:20	Garden	おいしい煮玉子	
58	00:00:23	うぇいのる	おいゾパ～	
59	00:00:25	こみこ	おはよう煮玉子	
60	00:00:30	ふじ	おいしい煮玉子	
61	00:00:33	スモーク	おいたま	
62	00:00:38	なる	おいしい煮玉子	
63	00:00:41	らうらう	​おいしい煮玉子	
64	00:00:43	neiteng	おいしい煮卵	
65	00:00:43	_ Die	おはにたー	
66	00:00:49	天然ステルス	暴れん坊煮玉子	
67	00:00:54	ゆうきジョン	おいしい煮玉子	
68	00:00:59	真新八	おはたま〜	
69	00:00:59	ノギ	おいたまー	
70	00:01:18	ふたばred	おいしい煮玉子	
71	00:01:20	あかきき	おいしい煮玉子	
72	00:01:41	こみこ	ヤマブキの下	
73	00:01:47	肉赤子ちゃんPB	マサラから下って行けんの茶？	
74	00:02:14	らうらう	ヤマブキから下はふたごじまルートかな	
75	00:02:18	ミワタリ	おいしい煮玉子	
76	00:02:20	御早和杯	おいしい煮玉子	
77	00:02:22	/ Regulus	コハクも忘れずに	
78	00:02:44	ノギ	やっとプテラが	
79	00:02:47	ふーばー	おいしい煮玉子	
80	00:03:00	うぇいのる	ようやくフルメンバーに	
81	00:03:03	アセンブラ	おはようございます	
82	00:03:11	肉赤子ちゃんPB	だえきなんていらんかったんや	
83	00:03:14	/ Regulus	その金でコイン買ってなんかゲットすればいいんじゃ・・・？	
84	00:03:38	味付けタマゴ	おいしい煮玉子	
85	00:04:09	やなぎかげ	おいしい煮玉子	
86	00:04:12	/ Regulus	プテラとぎえぴーどっちに使うん？	
87	00:04:14	なんたら	シカティングしていく	
88	00:04:17	アセンブラ	ﾃﾞｨｸﾀﾞ ﾃﾞｨｸﾀﾞ	
89	00:04:42	プレコ	シカッティング	
90	00:05:08	あかきき	だいぶ進みましたね	
91	00:05:10	うぇいのる	ぎえぴーかな…	
92	00:05:40	こみこ	だえき破壊光線覚えるっけ	
93	00:06:11	Garden	52で覚えるね	
94	00:06:15	らうらう	だえきどこから破壊光線だすの	
95	00:06:35	たんこぶ	だえき光線	
96	00:06:42	うぇいのる	唾液の破壊光線…	
97	00:06:43	らうらう	たしかに	
98	00:06:46	/ Regulus	ロケットずつき覚えさせたいわｗ	
99	00:06:48	こみこ	調べたらだえき光線無理だった	
100	00:07:20	周恩来	雰囲気で技を出している	
101	00:07:26	天然ステルス	だから誰だ	
102	00:07:34	こみこ	草	
103	00:07:39	らうらう	おしい	
104	00:07:44	うぇいのる	おしい	
105	00:07:57	「とまと」	ケーシィとれば?	
106	00:08:20	たべ太	握り取る	
107	00:08:25	沖ノ手蔓藻蔓	、。！？	
108	00:08:30	べるべる	姉ちゃんならいける	
109	00:08:33	/ Regulus	ゲーセン	
110	00:08:35	なんたら	ケーシィを刈り取る姿をしているだろう	
111	00:08:35	ノギ	つかみ取り	
112	00:08:38	Garden	一応景品交換所にもおるにはおる	
113	00:08:41	アセンブラ	プテラ復元でええやん	
114	00:08:53	周恩来	いんキャ…！	
115	00:08:56	味付けタマゴ	あいさつ大事	
