行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	クゥの部屋 Ch	test	
1	00:00:00	ジャック・オー	oisii nitamago	
2	00:00:00	らうらう	test nitamago	
3	00:00:00	あい	test ok	
4	00:00:00	竹輪	oisii test	
5	00:00:00	陰キャバス竹中	test nitamago	
6	00:00:00	岸辺一徳	oishii nitaegg	
7	00:00:00	ミワタリ	​oishii nitaegg	
8	00:00:00	クロノス	nandakore~(笑)	
9	00:00:00	ジャック・オー	tasty boiled egg	
10	00:00:00	岸辺一徳	jun bi hayai! kou hyouka!	
11	00:00:00	近藤亮	aikatsu dash	
12	00:00:00	らうらう	gakko owaru no osoi	
13	00:00:00	スモーク	cyanto banmeshi tabete	
14	00:00:00	ログ	hello	
15	00:00:00	スモーク	おいたま！	
16	00:00:00	桜田紅	oishii nitamago	
17	00:00:00	天然ステルス	very very nitamago	
18	00:00:00	らうらう	　	
19	00:00:00	あい	cute nitamago	
20	00:00:00	〈ミサキ〉	おいしい煮卵	
21	00:00:00	Sea Sting	oishii banana	
22	00:00:00	岸辺一徳	cute	
23	00:00:00	なにここ	遅刻！高評価！	
24	00:00:00	陰キャバス竹中	so cute	
25	00:00:00	ログ	delicious boiled egg	
26	00:00:00	ジャック・オー	　💨＜アイカツダッシュ！	
27	00:00:00	せせらぎ	delicious orange	
28	00:00:00	なんたら	such cute sister	
29	00:00:00	らうらう	hayai	
30	00:00:00	むらさきあんこ	kawaii	
31	00:00:00	岸辺一徳	wow	
32	00:00:00	陰キャバス竹中	oh...	
33	00:00:00	ねこくーる	lol	
34	00:00:00	タケノコ男	oishi nitamago	
35	00:00:00	T.のかね	oitama	
36	00:00:00	らうらう	　💨💨💨💨	
37	00:00:00	カギカギ	oishi nitamago	
38	00:00:00	なにここ	dogeみたいな流れで吹いた	
39	00:00:00	陰キャバス竹中	toire ni ittemo iidesuka?	
40	00:00:00	近藤大輔	dame desu	
41	00:00:00	陰キャバス竹中	yes	
42	00:00:00	ジャック・オー	eenyade	
43	00:00:13	陰キャバス竹中	oisii nitamago	
44	00:00:16	山本山田	おいたま～	
45	00:00:19	なにここ	美味しい煮玉子	
46	00:00:21	Redmix	おいしい煮玉子	
47	00:00:23	K.T. ジャックリン	美味しい煮玉子	
48	00:00:24	むらさきあんこ	ダチョウの煮玉子	
49	00:00:25	陰キャバス竹中	かわいい	
50	00:00:25	EEB	おいしい煮玉子	
51	00:00:29	八木谷	おいしい煮玉子	
52	00:00:29	竹輪	おいしい煮玉子	
53	00:00:30	カギカギ	おいしい煮玉子	
54	00:00:31	岸辺一徳	おいしい煮玉子	
55	00:00:33	ジャック・オー	おいしい煮玉子！耳が変わってる！かわいい！	
56	00:00:33	タケノコ男	おいしい煮玉子	
57	00:00:33	_ Die	おいしい煮玉子	
58	00:00:34	たびびと	おいしい煮玉子	
59	00:00:34	スモーク	姉ちゃん！	
60	00:00:35	ジョナサン・グレーン	美味しい煮玉子	
61	00:00:36	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
62	00:00:38	あい	おいしい煮玉子	
63	00:00:39	山本山田	耳が可愛い	
64	00:00:40	Tokonomo	おいしい煮玉子	
65	00:00:41	らうらう	おいしい煮玉子	
66	00:00:43	カギカギ	ケモみみ！	
67	00:00:44	T.のかね	おいしい煮玉子	
68	00:00:48	ジョナサン・グレーン	かわいい！	
69	00:00:48	ポンコツジョン	おいしい煮玉子	
70	00:00:48	_ Die	かわいい	
71	00:00:49	らうらう	おみみが！	
72	00:00:54	竹輪	姉ちゃんに耳が！かわいい！	
73	00:00:55	岸辺一徳	かわいい！	
74	00:01:02	のどあめ	おいたま〜アイカツがスパロボだってね	
75	00:01:03	あい	かわいいおみみ	
76	00:01:06	山本山田	トラブルは起こるさ	
77	00:01:14	あい	WiiUは駄目な奴だな	
78	00:01:14	タケノコ男	かわいい	
79	00:01:15	なにここ	わるいwiiuだ	
80	00:01:18	T.のかね	wiiuがわるい	
81	00:01:19	ジャック・オー	ＷｉｉＵそういうとこやぞ！	
82	00:01:20	biki koto	うぃーゆーがわるいんなぁ	
83	00:01:22	フレイムリンクス	美味しいダチョウ	
84	00:01:30	竹輪	更新はしょうがない	
85	00:01:32	ygk ichi	おいしい煮玉子	
86	00:01:32	なんたら		￥200
87	00:01:33	のどあめ	姉ちゃんが1時間で終わるなんてそんなバカな	
88	00:01:35	T.のかね	えらい	
89	00:01:37	あい	やさしい	
90	00:01:42	タケノコ男	やさしい	
91	00:01:42	カギカギ	やさしい	
92	00:01:43	ジョナサン・グレーン	今日は台風のせいで屋根が飛んで修理中だからアーカイブで見るね…ごめんね姉ちゃん…	
93	00:00:00	クゥの部屋 Ch	test	
94	00:00:00	ジャック・オー	oisii nitamago	
95	00:00:00	らうらう	test nitamago	
96	00:00:00	あい	test ok	
97	00:00:00	竹輪	oisii test	
98	00:00:00	陰キャバス竹中	test nitamago	
99	00:00:00	岸辺一徳	oishii nitaegg	
100	00:00:00	ミワタリ	​oishii nitaegg	
101	00:00:00	クロノス	nandakore~(笑)	
102	00:00:00	ジャック・オー	tasty boiled egg	
103	00:00:00	岸辺一徳	jun bi hayai! kou hyouka!	
104	00:00:00	近藤亮	aikatsu dash	
105	00:00:00	らうらう	gakko owaru no osoi	
106	00:00:00	スモーク	cyanto banmeshi tabete	
107	00:00:00	ログ	hello	
108	00:00:00	スモーク	おいたま！	
109	00:00:00	桜田紅	oishii nitamago	
110	00:00:00	天然ステルス	very very nitamago	
111	00:00:00	らうらう	　	
112	00:00:00	あい	cute nitamago	
113	00:00:00	〈ミサキ〉	おいしい煮卵	
114	00:00:00	Sea Sting	oishii banana	
115	00:00:00	岸辺一徳	cute	
116	00:00:00	なにここ	遅刻！高評価！	
117	00:00:00	陰キャバス竹中	so cute	
118	00:00:00	ログ	delicious boiled egg	
119	00:00:00	ジャック・オー	　💨＜アイカツダッシュ！	
120	00:00:00	せせらぎ	delicious orange	
121	00:00:00	なんたら	such cute sister	
122	00:00:00	らうらう	hayai	
123	00:00:00	むらさきあんこ	kawaii	
124	00:00:00	岸辺一徳	wow	
125	00:00:00	陰キャバス竹中	oh...	
126	00:00:00	ねこくーる	lol	
127	00:00:00	タケノコ男	oishi nitamago	
128	00:00:00	T.のかね	oitama	
129	00:00:00	らうらう	　💨💨💨💨	
130	00:00:00	カギカギ	oishi nitamago	
131	00:00:00	なにここ	dogeみたいな流れで吹いた	
132	00:00:00	陰キャバス竹中	toire ni ittemo iidesuka?	
133	00:00:00	近藤大輔	dame desu	
134	00:00:00	陰キャバス竹中	yes	
135	00:00:00	ジャック・オー	eenyade	
136	00:00:13	陰キャバス竹中	oisii nitamago	
137	00:00:16	山本山田	おいたま～	
138	00:00:19	なにここ	美味しい煮玉子	
139	00:00:21	Redmix	おいしい煮玉子	
140	00:00:23	K.T. ジャックリン	美味しい煮玉子	
141	00:00:24	むらさきあんこ	ダチョウの煮玉子	
142	00:00:25	陰キャバス竹中	かわいい	
143	00:00:25	EEB	おいしい煮玉子	
144	00:00:29	八木谷	おいしい煮玉子	
145	00:00:29	竹輪	おいしい煮玉子	
146	00:00:30	カギカギ	おいしい煮玉子	
147	00:00:31	岸辺一徳	おいしい煮玉子	
148	00:00:33	ジャック・オー	おいしい煮玉子！耳が変わってる！かわいい！	
149	00:00:33	タケノコ男	おいしい煮玉子	
150	00:00:33	_ Die	おいしい煮玉子	
151	00:00:34	たびびと	おいしい煮玉子	
152	00:00:34	スモーク	姉ちゃん！	
153	00:00:35	ジョナサン・グレーン	美味しい煮玉子	
154	00:00:36	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
155	00:00:38	あい	おいしい煮玉子	
156	00:00:39	山本山田	耳が可愛い	
157	00:00:40	Tokonomo	おいしい煮玉子	
158	00:00:41	らうらう	おいしい煮玉子	
159	00:00:43	カギカギ	ケモみみ！	
160	00:00:44	T.のかね	おいしい煮玉子	
161	00:00:48	ジョナサン・グレーン	かわいい！	
162	00:00:48	ポンコツジョン	おいしい煮玉子	
163	00:00:48	_ Die	かわいい	
164	00:00:49	らうらう	おみみが！	
165	00:00:54	竹輪	姉ちゃんに耳が！かわいい！	
166	00:00:55	岸辺一徳	かわいい！	
167	00:01:02	のどあめ	おいたま〜アイカツがスパロボだってね	
168	00:01:03	あい	かわいいおみみ	
169	00:01:06	山本山田	トラブルは起こるさ	
170	00:01:14	あい	WiiUは駄目な奴だな	
171	00:01:14	タケノコ男	かわいい	
172	00:01:15	なにここ	わるいwiiuだ	
173	00:01:18	T.のかね	wiiuがわるい	
174	00:01:19	ジャック・オー	ＷｉｉＵそういうとこやぞ！	
175	00:01:20	biki koto	うぃーゆーがわるいんなぁ	
176	00:01:22	フレイムリンクス	美味しいダチョウ	
177	00:01:30	竹輪	更新はしょうがない	
178	00:01:32	ygk ichi	おいしい煮玉子	
179	00:01:32	なんたら		￥200
180	00:01:33	のどあめ	姉ちゃんが1時間で終わるなんてそんなバカな	
181	00:01:35	T.のかね	えらい	
182	00:01:37	あい	やさしい	
183	00:01:42	タケノコ男	やさしい	
184	00:01:42	カギカギ	やさしい	
185	00:01:43	ジョナサン・グレーン	今日は台風のせいで屋根が飛んで修理中だからアーカイブで見るね…ごめんね姉ちゃん…	
186	00:01:58	のどあめ	屋根飛んだのか…	
187	00:02:00	ミワタリ	かわいい	
188	00:02:01	Tokonomo	やさしい	
189	00:02:09	ねこくーる	やさしい弟想い	
190	00:02:17	biki koto	お大事…	
191	00:02:19	〈ミサキ〉	姉ちゃん台風大丈夫?	
192	00:02:19	いぶきんぐ	おいしい煮玉子	
193	00:02:21	クロノス	どうなんだろう～ ステージ2いけるかな～🤔	
194	00:02:22	せせらぎ	操作が…	
195	00:02:24	T.のかね	姉ちゃん家は大丈夫？	
196	00:02:26	ジャック・オー	弟想いの姉ちゃん優しい	
197	00:02:31	山本/バンギ	ありがてぇ	
198	00:02:36	らうらう	記憶も台風でとんでったの	
199	00:03:00	T.のかね	ウチの家	
200	00:03:05	ミワタリ	薄い本	
201	00:03:06	らうらう	姉ちゃん？！	
202	00:03:09	あい	草	
203	00:03:13	スモーク	草	
204	00:03:15	山本/バンギ	草	
205	00:03:15	岸辺一徳	姉ちゃん…	
206	00:03:15	陰キャバス竹中	ウ＝ス異本	
207	00:03:15	ジャック・オー	ウスイホン	
208	00:03:16	鼻詰まりつらい	草	
209	00:03:18	むらさきあんこ	健全な薄い本だから…	
210	00:03:19	タケノコ男	JCが何買ってるの	
211	00:03:19	竹輪	この天気の中メロブに行ったのか	
212	00:03:19	T.のかね	草	
213	00:03:20	ログ	草	
214	00:03:28	EEB	草	
215	00:03:32	陰キャバス竹中	全年齢だから	
216	00:03:36	なにここ	JCが薄い本を・・・	
217	00:03:38	〈ミサキ〉	薄い本[全年齢]	
218	00:03:56	タケノコ男	草	
219	00:04:14	〈ミサキ〉	薄い本代	￥400
220	00:04:22	Tokonomo	ステージ2は上やで	
221	00:04:40	むらさきあんこ	メロンだけに委託する健全本はそこそこある	
222	00:04:51	Lu na	後でまた来るパターン	
223	00:05:07	クロノス	ここは小さくなれるようになったらすぐきたほうがいいかも～🤔	
224	00:05:11	桃玉葱トーニオン	初見です	
225	00:05:12	ログ	メロンは優秀	
226	00:05:17	周恩来	わかるぅ～	
227	00:05:27	せせらぎ	＠メロン便利だよね	
228	00:05:32	Cランサー	おいしい似卵	
229	00:05:34	〈ミサキ〉	ステージ2そこ上がるのよ	
230	00:05:35	いぶきんぐ	メロン専売にばかり縁があるのわかる	
231	00:05:38	_ Die	とらはなぁ…	
232	00:05:42	天然ステルス	おいしい煮玉子	
233	00:05:46	あい	へー	
234	00:05:49	桃玉葱トーニオン	ドンキーコング64は挫折しました	
235	00:05:49	せせらぎ	しゃがみジャンプを思い出して	
236	00:05:52	なんたら	しゃがんでジャンプだよ	
237	00:05:53	ジャック・オー	🍈＞🐅	
238	00:05:57	Tokonomo	しゃがみジャンプで多角ジャンプやで	
239	00:06:13	らうらう	草	
240	00:06:14	天然ステルス	とんぼ返りジャンプ	
241	00:06:27	弥七	密着してええよ別に	
242	00:06:45	山本/バンギ	ちょっとわかる	
243	00:06:59	T.のかね	読むだけでもエネルギー使うからね	
244	00:07:18	タケノコ男	うまい	
245	00:07:23	竹輪	草	
246	00:07:29	カギカギ	おしい	
247	00:07:31	biki koto	おしい	
248	00:07:34	周恩来	そんなに難しいものを半分以上できるとか天才か～？	
249	00:07:47	桃玉葱トーニオン	ジャンプするタイミングちゃんと決めましょう	
250	00:07:52	ログ	スイカ両成敗	
251	00:07:54	hibisティオレー	スイカ両成敗	
252	00:07:54	biki koto	スイカ両成敗！	
253	00:07:55	EEB	開始10分でラスボスに遭遇する姉ちゃん	
254	00:08:00	陰キャバス竹中	ゴリラパワー	
255	00:08:08	究極ド根性ダイコン	遅刻読みで飯食って来たら始まってる！？	
256	00:08:09	らうらう	草	
257	00:08:09	タケノコ男	草	
258	00:08:16	クロノス	(笑)	
259	00:08:22	山本/バンギ	ケツ熱そう	
260	00:08:24	らうらう	ラスボスなんかもしれんな	
261	00:08:39	ジャック・オー	ノーゴリラパワー！キンジラレタチカラ！	
262	00:08:41	Tokonomo	ジャンプ中にBで攻撃と共に滞空時間延びるで	
263	00:08:45	らうらう	大丈夫（大丈夫じゃない）	
264	00:09:03	周恩来	かわいい	
265	00:09:06	陰キャバス竹中	闇	
266	00:09:06	あい	悪姉ちゃん	
267	00:09:06	竹輪	ワルな姉ちゃんかわいい	
268	00:09:06	せせらぎ	なんか小悪魔的	
269	00:09:07	Tokonomo	かわいい	
270	00:09:09	スモーク	こいつぁ強敵だ	
271	00:09:11	桃玉葱トーニオン	アメリカでは売られてたらしい（ネクタイ）	
272	00:09:12	究極ド根性ダイコン	闇のケモミミ	
273	00:09:13	岸辺一徳	kawaii	
274	00:09:14	T.のかね	こうもりっぽくてかわいい	
275	00:09:16	Sea Sting	小悪魔kawaii	
276	00:09:19	ジャック・オー	コウモリ耳っぽい	
277	00:09:19	ねこくーる	闇属性	
278	00:09:19	らうらう	かわいい	
279	00:09:20	タケノコ男	闇の中で流行ってる	
280	00:09:25	ログ	薄い本を買ってしまう悪なJC	
281	00:09:37	クロノス	ヤバイ、ここで1時間かかっちゃう～(´□`; 三 ;´□`)	
282	00:09:40	らうらう	ドンキー女子	
283	00:09:44	biki koto	ダークネス！	
284	00:09:47	周恩来	女子もネクタイが制服の学校あるよね	
285	00:09:58	Shota Hamada	おいしい煮玉子	
286	00:10:02	のなちき	吉良吉影のネクタイ買お	
287	00:10:04	毒入りトマト	おいしい煮玉子、姉ちゃんJCなのに薄い本？	
288	00:10:10	いぶきんぐ	そうだね	
289	00:10:10	究極ド根性ダイコン	おっそうだな	
290	00:10:14	周恩来	そうかな…そうかも…	
291	00:10:16	タケノコ男	せやな	
292	00:10:16	T.のかね	そうだね	
293	00:10:24	岸辺一徳	そうだね	
294	00:10:24	八木谷	そうだね	
295	00:10:24	陰キャバス竹中	なるほど・・	
296	00:10:28	なんたら	完璧な理論だ…	
297	00:10:31	らうらう	あーあれ	
298	00:10:33	あい	セーフセーフ	
299	00:10:33	むらさきあんこ	いいなあ	
300	00:10:43	Tokonomo	セーフ	
301	00:10:45	せせらぎ	難易度たかくない？	
302	00:10:50	〈ミサキ〉	コスプレセットではDKの服あるね	
303	00:10:50	らうらう	邪念のせいでツタジャンプもできなくなった姉ちゃん	
304	00:10:55	ログ	セーフか	
305	00:11:04	桃玉葱トーニオン	つたが振り切れた時にジャンプすると飛び移れます	
306	00:11:11	竹輪	これは…長期戦になりそうだな…	
307	00:11:16	スモーク	姉ちゃん本はあるのかな	
308	00:11:23	周恩来	パジャマ配信また見たいな	
309	00:11:26	タケノコ男	ロックマンパジャマ欲しい	
310	00:11:28	らうらう	ぜったいかわいい	
311	00:11:31	いぶきんぐ	需要あると思うよ	
312	00:11:34	あい	着て欲しい	
313	00:11:34	らうらう	草	
314	00:11:34	ログ	草	
315	00:11:40	なんたら	ロックマンだぜ？	
316	00:11:44	毒入りトマト	なんか、姉ちゃんの耳が生ハムじゃなくなってる	
317	00:11:51	T.のかね	雑談枠かな？	
318	00:11:53	桃玉葱トーニオン	ここで時間かかると先が思いやられるわー	
319	00:12:03	ジャック・オー	ミサワｗ	
320	00:12:30	毒入りトマト	クゥ姉ちゃんは自前？	
321	00:12:32	T.のかね	伊織好きらしいな	
322	00:12:37	究極ド根性ダイコン	ミリシタ1stアニバーサリーですばるんの部で上位入賞してたよ	
323	00:12:38	Tokonomo	ツタ移る時はスティックから指離してていいで	
324	00:12:52	ジャック・オー	夫婦でどハマリしたってやつか	
325	00:12:55	なにここ	仲いいのかぁー！！（ミサワ）	
326	00:12:55	竹輪	実はここ最高難易度では	
327	00:12:59	味付けタマゴ	おいしい煮玉子	
328	00:13:00	Cランサー	姉ちゃんロープ渡り苦手だな	
329	00:13:06	陰キャバス竹中	伊織好きすぎて公式にでた鉄拳の原田Pかな？	
330	00:13:21	しろいぬ	おいしい煮玉子	
331	00:13:36	なんたら	ちゅわちゅわ	
332	00:13:37	T.のかね	わかる	
333	00:13:38	むらさきあんこ	1周年上位狙いめちゃくちゃ大変だったのに…	
334	00:13:41	らうらう	あれおもしろかった	
335	00:13:45	究極ド根性ダイコン	ちゅーわっちゅーわっ	
336	00:13:48	スモーク	やよいおりは正義だからな	
337	00:13:59	らうらう	うまい！！！	
338	00:14:00	かたもく	美味しい煮卵	
339	00:14:02	山本/バンギ	いけたか	
340	00:14:02	竹輪	うまい！高評価！	
341	00:14:07	せせらぎ	やった！クリア！	
342	00:14:09	八木谷	うまい	
343	00:14:10	桃玉葱トーニオン	飛びうつれましたね	
344	00:14:11	ねこくーる	いけた！すごい！	
345	00:14:14	タケノコ男	グリマス...	
346	00:14:14	のなちき	うまい	
347	00:14:14	周恩来	やったね	
348	00:14:24	カギカギ	やったね！	
349	00:14:26	ジャック・オー	すごい！うまい！	
350	00:14:39	桃玉葱トーニオン	ん？バナナ足りない	
351	00:14:39	なにここ	JSの身でアイマスを死にかけるまで・・・！	
352	00:14:40	T.のかね	姉ちゃんもミリシタやって❤️	
353	00:14:40	弥七	あれ４つで入れるかな…？	
354	00:14:53	毒入りトマト	最近のJCは凄いなぁ	
355	00:14:59	Lu na	最初のステージで探索かな	
356	00:14:59	〈ミサキ〉		￥100
