行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	八木谷	はーい	
1	00:00:00	Sakutaro Hayamine	きーたよ	
2	00:00:00	-カツキ-	後半戦、ですね	
3	00:00:00	らうらう	完ってまじ？	
4	00:00:00	むぎやちゃんねる	きたよー	
5	00:00:00	もっぃ	絶対におわらせてやるぞという強い意志を感じる	
6	00:00:00	ついたち	鉄の意志と鋼の強さを感じる	
7	00:00:00	にりつかなえ	このあと劇場版とか続くよ	
8	00:00:21	古今東西	熱いミソシタを感じる	
9	00:00:25	-カツキ-	おかえりなさい	
10	00:00:27	らうらう	あっあっ	
11	00:00:28	ついたち	聞こえるよ	
12	00:00:29	N. Masaki	おかえり	
13	00:00:30	蜘蛛愛好家	おかえりなさい	
14	00:00:30	はるにれ	おかえり	
15	00:00:32	むらさきあんこ	あ～	
16	00:00:33	タコスドン	おかえりなさい	
17	00:00:37	ジュンペイ	さぁこの枠で終わりだ…	
18	00:00:37	ウイｌお	おかえりなさい	
19	00:00:46	Luce	おかえり	
20	00:00:49	鼻毛の錬金術師	こんばんは	
21	00:00:52	八木谷	おかえりー	
22	00:00:54	ちゃん。わに わに	20:00までには終わりそうですか？（おかえり）	
23	00:01:00	夕月	こんばんはー	
24	00:01:11	八木谷	終わらせるという強い意志	
25	00:01:13	一次元子itijigen-ko	───────┐	
26	00:01:14	むぎやちゃんねる	おかえりー	
27	00:01:16	水無月銀	お帰りー	
28	00:01:17	古今東西	こんばんミソシタ	
29	00:01:19	ミワタリ	おかえりー	
30	00:01:21	悠	おかえりー	
31	00:01:33	らうらう	実際どのへんなのこれ	
32	00:01:38	りあすて	おかえり	
33	00:01:40	むぎやちゃんねる		￥100
34	00:01:46	水無月銀	一次元子もようみとる	
35	00:01:52	しろみんてぃS	おかえりー	
36	00:01:54	mk 95	おかえりー	
37	00:01:55	ちゃん。わに わに	8割くらいかな？	
38	00:01:58	りあすて	未知との遭遇すき	
39	00:01:58	shuu Mochiri	キズ●アイさんのライブ人数すごいw	
40	00:02:00	行方不明	一次元言語来た	
41	00:02:14	餃子の皮むき	ラスダンが少し見えてきた	
42	00:02:17	shuu Mochiri	あ	
43	00:02:20	gossy	草	
44	00:02:23	八木谷	キズなんとかアイさん	
45	00:02:29	菊くん	くぅちゃんが徹夜しても終わると聞いて仮眠してきました、おはようございます	
46	00:02:39	ついたち	すげぇなぁ	
47	00:02:41	さぐん	さすが親分	
48	00:02:43	らんたんだむ	圧倒的人数…！	
49	00:02:46	ミワタリ	さすが親分	
50	00:02:47	しろみんてぃS	アクティブ20000かー	
51	00:02:50	shuu Mochiri	会場冷えまくりで草	
