行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	スモーク	おいしい煮玉子	
2	00:00:00	小さい胡麻塩	おいしい煮玉子	
3	00:00:00	カギカギ	おいしい煮玉子	
4	00:00:00	mori mori	喜びのサムネ	
5	00:00:00	リフェ	おいしい煮玉子	
6	00:00:00	クロム	おいしい煮玉子	
7	00:00:00	竹輪	おいしい煮玉子	
8	00:00:00	桜田紅	おいしい煮玉子	
9	00:00:00	りあすて	すしざんまい	
10	00:00:00	竹輪	サムネかわいい	
11	00:00:16	なんたら	おいしい煮玉子	
12	00:00:16	motiyomogi	おいしい煮玉子	
13	00:00:18	ナウ	おいしい煮玉子	
14	00:00:22	カギカギ	おいしい煮玉子	
15	00:00:26	ヘンリーダーガー	おいしい煮玉子	
16	00:00:28	ねぎ男	おいしい煮玉子	
17	00:00:28	むらさきあんこ	おいしい煮玉子	
18	00:00:30	らうらう	おいしい煮玉子	
19	00:00:31	パンセポンセ	おいしい煮玉子	
20	00:00:35	Ryo Kamiya	おいしい煮玉子	
21	00:00:36	なんたら	説明がすごい	
22	00:00:37	竹輪	おいしい煮玉子	
23	00:00:43	ジョナサン・グレーン	おいしい煮玉子	
24	00:00:44	水澤悠仮面ライダーアマゾンオメガ	茶髪のクゥ姉だ！😍こんばんは😃🌃	
25	00:00:46	リフェ	ラジアタの説明ありがたい	
26	00:01:01	スモーク	草	
27	00:01:13	motiyomogi	おおい	
28	00:01:14	カギカギ	そんなに	
29	00:01:23	mori mori	多っ	
30	00:01:27	竹輪	草	
31	00:01:28	リフェ	草	
32	00:01:31	小さい胡麻塩	そんなに	
33	00:01:32	いぶきんぐ	おいしい煮玉子	
34	00:01:38	J u d a s s	おいしい煮玉子ー	
35	00:02:19	いぶきんぐ	あらかわいい	
36	00:02:32	motiyomogi	かわいい	
37	00:02:37	にけい	こんなロリロリしてたっけ	
38	00:02:40	水澤悠仮面ライダーアマゾンオメガ	リドリー…？🤔	
39	00:02:58	T.のかね	おいしい煮玉子	
40	00:03:17	カギカギ	ひどい	
41	00:03:18	motiyomogi	草	
42	00:03:23	いぶきんぐ	草	
43	00:03:28	らうらう	かわいい	
44	00:03:30	リフェ	草	
45	00:03:38	パンセポンセ	懐かしい	
46	00:04:36	いぶきんぐ	つよい	
47	00:04:42	motiyomogi	つよい	
48	00:04:43	カギカギ	つよい	
49	00:04:44	ホワイトラン衛兵	おいしい煮玉子	
50	00:04:48	mori mori	でもすぐにダメージ受けるんじゃないの？	
51	00:04:56	リフェ	なるほど	
52	00:04:57	水澤悠仮面ライダーアマゾンオメガ	選択がバットエンドしかなくて草	
53	00:05:33	D W	えぇ	
54	00:05:38	竹輪	エグイ	
55	00:05:47	はまちハウマッチ	こわい	
56	00:05:51	なんたら	らしいらしい	
57	00:05:54	りあすて	インターネット	
58	00:05:55	竹輪	インターネットありがとう	
59	00:06:09	はまちハウマッチ	大切なことは全てインターネットで学んだ	
60	00:06:42	竹輪	すごい	
61	00:00:00	らうらう	おいしい煮玉子	
62	00:00:00	スモーク	おいしい煮玉子	
63	00:00:00	小さい胡麻塩	おいしい煮玉子	
64	00:00:00	カギカギ	おいしい煮玉子	
65	00:00:00	mori mori	喜びのサムネ	
66	00:00:00	リフェ	おいしい煮玉子	
67	00:00:00	クロム	おいしい煮玉子	
68	00:00:00	竹輪	おいしい煮玉子	
69	00:00:00	桜田紅	おいしい煮玉子	
70	00:00:00	りあすて	すしざんまい	
71	00:00:00	竹輪	サムネかわいい	
72	00:00:16	なんたら	おいしい煮玉子	
73	00:00:16	motiyomogi	おいしい煮玉子	
74	00:00:18	ナウ	おいしい煮玉子	
75	00:00:22	カギカギ	おいしい煮玉子	
76	00:00:26	ヘンリーダーガー	おいしい煮玉子	
77	00:00:28	ねぎ男	おいしい煮玉子	
78	00:00:28	むらさきあんこ	おいしい煮玉子	
79	00:00:30	らうらう	おいしい煮玉子	
80	00:00:31	パンセポンセ	おいしい煮玉子	
81	00:00:35	Ryo Kamiya	おいしい煮玉子	
82	00:00:36	なんたら	説明がすごい	
83	00:00:37	竹輪	おいしい煮玉子	
84	00:00:43	ジョナサン・グレーン	おいしい煮玉子	
85	00:00:44	水澤悠仮面ライダーアマゾンオメガ	茶髪のクゥ姉だ！😍こんばんは😃🌃	
86	00:00:46	リフェ	ラジアタの説明ありがたい	
87	00:01:01	スモーク	草	
88	00:01:13	motiyomogi	おおい	
89	00:01:14	カギカギ	そんなに	
90	00:01:23	mori mori	多っ	
91	00:01:27	竹輪	草	
92	00:01:28	リフェ	草	
93	00:01:31	小さい胡麻塩	そんなに	
94	00:01:32	いぶきんぐ	おいしい煮玉子	
95	00:01:38	J u d a s s	おいしい煮玉子ー	
96	00:02:19	いぶきんぐ	あらかわいい	
97	00:02:32	motiyomogi	かわいい	
98	00:02:37	にけい	こんなロリロリしてたっけ	
99	00:02:40	水澤悠仮面ライダーアマゾンオメガ	リドリー…？🤔	
100	00:02:58	T.のかね	おいしい煮玉子	
101	00:03:17	カギカギ	ひどい	
102	00:03:18	motiyomogi	草	
103	00:03:23	いぶきんぐ	草	
104	00:03:28	らうらう	かわいい	
105	00:03:30	リフェ	草	
106	00:03:38	パンセポンセ	懐かしい	
107	00:04:36	いぶきんぐ	つよい	
108	00:04:42	motiyomogi	つよい	
109	00:04:43	カギカギ	つよい	
110	00:04:44	ホワイトラン衛兵	おいしい煮玉子	
111	00:04:48	mori mori	でもすぐにダメージ受けるんじゃないの？	
112	00:04:56	リフェ	なるほど	
113	00:04:57	水澤悠仮面ライダーアマゾンオメガ	選択がバットエンドしかなくて草	
114	00:05:33	D W	えぇ	
115	00:05:38	竹輪	エグイ	
116	00:05:47	はまちハウマッチ	こわい	
117	00:05:51	なんたら	らしいらしい	
118	00:05:54	りあすて	インターネット	
119	00:05:55	竹輪	インターネットありがとう	
120	00:06:09	はまちハウマッチ	大切なことは全てインターネットで学んだ	
121	00:06:42	竹輪	すごい	
122	00:08:07	mori mori	つよそう	
123	00:08:37	なんたら	ほしいね	
124	00:08:43	竹輪	がんばえー	
125	00:08:55	リフェ	がんばれー！	
126	00:09:01	motiyomogi	がんばえー	
127	00:09:01	mori mori	これだけ解説して一人も来ない可能性もある	
128	00:09:08	カギカギ	配信バフたのむぞー	
129	00:09:09	らうらう	流石にもうでないよ	
130	00:09:12	竹輪	配信バフを信じる	
131	00:09:17	うぇいのる	おいしい煮玉子	
132	00:09:19	mori mori	草	
133	00:09:36	竹輪	かわいい	
134	00:09:37	motiyomogi	かわいい	
135	00:09:38	いぶきんぐ	ちょっとおねえさん感	
136	00:09:42	カギカギ	かわいい	
137	00:09:43	にけい	短いね	
138	00:09:46	fan92	おいしい煮玉子	
139	00:09:53	なんたら	かわいい	
140	00:09:56	ホワイトラン衛兵	かわいい	
141	00:10:05	スモーク	ジャックこんなかわいい顔だっけ	
142	00:10:17	パンセポンセ	初期装備こんなんだった気がする	
143	00:10:25	T.のかね	おお	
144	00:10:25	fan92	ラジアータ懐かしー	
145	00:10:27	リフェ	おお！	
146	00:10:29	いぶきんぐ	どうだ！	
147	00:10:30	ホワイトラン衛兵	すごい	
148	00:10:30	竹輪	お！	
149	00:10:30	うぇいのる	おお	
150	00:10:31	カギカギ	２！	
151	00:10:33	なんたら	来たか…	
152	00:10:41	むらさきあんこ	これはきたか	
153	00:10:49	カギカギ	？！	
154	00:10:50	なんたら	すごい	
155	00:10:50	じょーげん	草	
156	00:10:51	motiyomogi	よっしゃ！	
157	00:10:51	リフェ	すごい！！！	
158	00:10:51	T.のかね	うおおおお	
159	00:10:52	竹輪	うおおおおおおおおおおおおおおおおお	
160	00:10:52	うぇいのる	すげええええええ！	
161	00:10:53	mori mori	大草原や	
162	00:10:54	らうらう	エエエエエエエエエエエエエエエエエ	
163	00:10:54	パンセポンセ	すご	
164	00:10:56	ホワイトラン衛兵	配信バフすごい…	
165	00:10:57	いぶきんぐ	きたああああああああ	
166	00:11:00	むらさきあんこ	引きツヨ！	
167	00:11:02	クロム	これが配信の力・・・	
168	00:11:02	桜田紅	すごい！	
169	00:11:03	スモーク	さす姉	
170	00:11:08	カギカギ	やったね！	
171	00:11:12	竹本カキフライ	演技がちょっとナルトっぽくなってるね	
172	00:11:13	motiyomogi	すごい	
173	00:11:17	mori mori	姉ちゃん大勝利まとめ動画作って	
174	00:11:19	なんたら	ありがとう	
175	00:11:24	うぇいのる	まさかぁ	
