行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	たんこぶ	おいしい煮玉子	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	もふ	おいしい煮玉子	
3	00:00:00	mimi mimi	おいしい煮玉子	
4	00:00:00	ゆきのだらり	地獄めぐりの片道切符は貴様らの命で買って貰うとするか	
5	00:00:00	なんたら	おいしい煮玉子	
6	00:00:00	mk 95	おいしい煮玉子	
7	00:00:00	EEB	おいしい煮玉子	
8	00:00:00	らうらう	パジャマ姉ちゃんなのか？	
9	00:00:00	ちきん南蛮	おいしい煮玉子	
10	00:00:00	灘こよみ	おいしい煮玉子	
11	00:00:23	ポンコツジョン	おいし煮玉子	
12	00:00:24	めるカバ	おいしい煮玉子	
13	00:00:27	究極ド根性ダイコン	おいしい煮玉子	
14	00:00:27	くりお	おいしい煮玉子	
15	00:00:31	ヱンタ猫	おいしい煮玉子	
16	00:00:31	ゴギガガガギゴ	おいしい煮玉子	
17	00:00:32	行方不明	パジャマ！	
18	00:00:32	天地煉	デュエルリンクスと聞いて	
19	00:00:32	はるにれ	おいしい煮玉子	
20	00:00:35	とがま日和	おいしい煮玉子	
21	00:00:36	Toriyaki	おいしい煮玉子	
22	00:00:37	のどあめ	おいしい煮玉子〜	
23	00:00:39	tage	おいしい煮玉子	
24	00:00:43	食べる小魚	おいしい煮玉子	
25	00:00:44	むらさきあんこ	おいしい煮玉子	
26	00:00:46	ジョナサン・グレーン	おいしい煮玉子！	
27	00:00:46	なんたら	パジャマ！	
28	00:00:47	スモーク	パジャマ！	
29	00:00:49	ゆもり	おいしい煮卵	
30	00:00:50	らうらう	おいしい煮玉子	
31	00:00:50	畑秋	​おいしい煮玉子！そしておやすみ	
32	00:00:50	たんこぶ	こんばんはー！！	
33	00:00:50	ちきん南蛮	おいしい煮玉子	
34	00:00:51	mo- papa	パジャマかわいい	
35	00:00:51	尾花	おいしい煮玉子	
36	00:00:52	Hisuki	(≧ω≦)ゞ	
37	00:00:54	たびびと	おいしい煮玉子	
38	00:00:55	くりお	パジャマ！	
39	00:00:58	究極ド根性ダイコン	パジャマ姉ちゃんだ！	
40	00:01:01	ようけん	おいしい煮玉子	
41	00:01:01	たぬたぬ	おいしい煮玉子	
42	00:01:03	とがま日和	いいとおもう	
43	00:01:05	チャキ	おいしい煮玉子	
44	00:01:06	らうらう	足！！！！！！！	
45	00:01:06	はこ	おいしい煮玉子	
46	00:01:09	FFDD	おいしい煮玉子	
47	00:01:09	めるカバ	パジャマかわいい！高評価！	
48	00:01:09	くりお	ギシュキ？	
49	00:01:11	せせらぎ	ぱじゃまだ！	
50	00:01:13	のどあめ	パジャマ姉ちゃん凄い久しぶりじゃない？	
51	00:01:23	ちきん南蛮	カラテマンワンキル	
52	00:01:27	竹輪	おいしい煮玉子。パジャマ姉ちゃんだ！かわいい！	
53	00:01:28	猫の散歩道	エアライド以来か	
54	00:01:33	ゴギガガガギゴ	ねえちゃんはあしぐせがわるいな	
55	00:01:34	みまい	こんばんわに	
56	00:01:35	灘こよみ	どこで試すの？	
57	00:01:45	sei pa-	いまは森羅とかあるからカードパワーがだいぶ違いますねぇ	
58	00:02:04	らうらう	がんばって	
59	00:02:08	究極ド根性ダイコン	着替え下手姉ちゃんかわいい	
60	00:02:08	むらさきあんこ	ルシフェルじゃなくてミカエルが来たよ姉ちゃん	
61	00:00:00	たんこぶ	おいしい煮玉子	
62	00:00:00	らうらう	おいしい煮玉子	
63	00:00:00	もふ	おいしい煮玉子	
64	00:00:00	mimi mimi	おいしい煮玉子	
65	00:00:00	ゆきのだらり	地獄めぐりの片道切符は貴様らの命で買って貰うとするか	
66	00:00:00	なんたら	おいしい煮玉子	
67	00:00:00	mk 95	おいしい煮玉子	
68	00:00:00	EEB	おいしい煮玉子	
69	00:00:00	らうらう	パジャマ姉ちゃんなのか？	
70	00:00:00	ちきん南蛮	おいしい煮玉子	
71	00:00:00	灘こよみ	おいしい煮玉子	
72	00:00:23	ポンコツジョン	おいし煮玉子	
73	00:00:24	めるカバ	おいしい煮玉子	
74	00:00:27	究極ド根性ダイコン	おいしい煮玉子	
75	00:00:27	くりお	おいしい煮玉子	
76	00:00:31	ヱンタ猫	おいしい煮玉子	
77	00:00:31	ゴギガガガギゴ	おいしい煮玉子	
78	00:00:32	行方不明	パジャマ！	
79	00:00:32	天地煉	デュエルリンクスと聞いて	
80	00:00:32	はるにれ	おいしい煮玉子	
81	00:00:35	とがま日和	おいしい煮玉子	
82	00:00:36	Toriyaki	おいしい煮玉子	
83	00:00:37	のどあめ	おいしい煮玉子〜	
84	00:00:39	tage	おいしい煮玉子	
85	00:00:43	食べる小魚	おいしい煮玉子	
86	00:00:44	むらさきあんこ	おいしい煮玉子	
87	00:00:46	ジョナサン・グレーン	おいしい煮玉子！	
88	00:00:46	なんたら	パジャマ！	
89	00:00:47	スモーク	パジャマ！	
90	00:00:49	ゆもり	おいしい煮卵	
91	00:00:50	らうらう	おいしい煮玉子	
92	00:00:50	畑秋	​おいしい煮玉子！そしておやすみ	
93	00:00:50	たんこぶ	こんばんはー！！	
94	00:00:50	ちきん南蛮	おいしい煮玉子	
95	00:00:51	mo- papa	パジャマかわいい	
96	00:00:51	尾花	おいしい煮玉子	
97	00:00:52	Hisuki	(≧ω≦)ゞ	
98	00:00:54	たびびと	おいしい煮玉子	
99	00:00:55	くりお	パジャマ！	
100	00:00:58	究極ド根性ダイコン	パジャマ姉ちゃんだ！	
101	00:01:01	ようけん	おいしい煮玉子	
102	00:01:01	たぬたぬ	おいしい煮玉子	
103	00:01:03	とがま日和	いいとおもう	
104	00:01:05	チャキ	おいしい煮玉子	
105	00:01:06	らうらう	足！！！！！！！	
106	00:01:06	はこ	おいしい煮玉子	
107	00:01:09	FFDD	おいしい煮玉子	
108	00:01:09	めるカバ	パジャマかわいい！高評価！	
109	00:01:09	くりお	ギシュキ？	
110	00:01:11	せせらぎ	ぱじゃまだ！	
111	00:01:13	のどあめ	パジャマ姉ちゃん凄い久しぶりじゃない？	
112	00:01:23	ちきん南蛮	カラテマンワンキル	
113	00:01:27	竹輪	おいしい煮玉子。パジャマ姉ちゃんだ！かわいい！	
114	00:01:28	猫の散歩道	エアライド以来か	
115	00:01:33	ゴギガガガギゴ	ねえちゃんはあしぐせがわるいな	
116	00:01:34	みまい	こんばんわに	
117	00:01:35	灘こよみ	どこで試すの？	
118	00:01:45	sei pa-	いまは森羅とかあるからカードパワーがだいぶ違いますねぇ	
119	00:02:04	らうらう	がんばって	
120	00:02:08	究極ド根性ダイコン	着替え下手姉ちゃんかわいい	
121	00:02:08	むらさきあんこ	ルシフェルじゃなくてミカエルが来たよ姉ちゃん	
122	00:02:11	のどあめ	姉ちゃんリンクス配信するのかー、アマリリス組の人もしてたね	
123	00:02:12	ゆもり	受付嬢リリアちゃん	
124	00:02:18	tage	姉ちゃんえらい	
125	00:02:19	もふ	ねむねむ姉ちゃん	
126	00:02:23	らうらう	夜更かしJC	
127	00:02:24	めるカバ	おいしい煮玉子Tシャツの予定は？	
128	00:02:24	ジョナサン・グレーン	かわいい	
129	00:02:30	はこ	お着替え大変な姉ちゃん	
130	00:02:50	ハインツ	今回の周回量がエグい	
131	00:02:53	キラ	美味しい煮玉子	
132	00:03:16	ゆもり	地獄への片道切符だ	
133	00:03:21	ゆきのだらり	ミカエルが強すぎて影が薄いルシフェル	
134	00:03:21	tage	イケメソ	
135	00:03:21	ジュンペイ	遅れた煮玉子	
136	00:03:23	のどあめ	れらたんもリンクス始めるとか言ってたね	
137	00:03:25	くりお	三木眞	
138	00:03:28	uraraうらら	いつもの突発	
139	00:03:30	ジョナサン・グレーン	ミキシンだ！	
140	00:03:32	究極ド根性ダイコン	CV櫻井かと思ったらミキシンだった	
141	00:03:36	くりお	コジロー	
142	00:03:38	めるカバ	尊い声がする	
143	00:03:40	むらさきあんこ	姉ちゃん配信絡むと引き運あるよね	
144	00:03:46	行方不明	みきしんや	
145	00:03:53	ちきん南蛮	モデルかっこいいよね	
146	00:04:05	究極ド根性ダイコン	いや何となく外観から想像しただけ	
147	00:04:08	キラ	イケメンだなあ	
148	00:04:22	fami fami	はーイケメン	
149	00:04:24	KP'sRoom 塩Nukumizu	こんばんは	
150	00:04:28	みさと	ミカエルと並べて使いたい	
151	00:04:34	uraraうらら	いくらでひけたの？	
152	00:04:46	くりお	青春メリクルかわいすぎる	
153	00:04:47	猫の散歩道	２では耐性装備忘れて滅びの風で瞬殺されたいい思い出	
154	00:04:54	はこ	SO2は敵まで含めてやっぱり人気だ	
155	00:05:07	尾花	マジか、引かなきゃ	
156	00:05:08	ゆもり	パンツメリクル引けなかった	
157	00:05:14	むらさきあんこ	止まるのにプンレク関係なかったか	
158	00:05:19	めるカバ	メリクル1発で引けたわ	
159	00:05:20	くりお	みんなパンツスクショしてて草	
160	00:05:21	灘こよみ	ルシフェルほしいわ〜	
161	00:05:28	ジョナサン・グレーン	む！	
162	00:05:37	tage	みえ･･･みえ･･･	
163	00:05:38	尾花	元の服は痴女すぎる	
164	00:05:39	究極ド根性ダイコン	みえ	
165	00:05:40	はこ	むっ	
166	00:05:43	たんこぶ	いいね！	
167	00:05:47	くりお	チョコミント的な柄	
168	00:05:47	らうらう	みえ	
169	00:05:49	行方不明	わかる	
170	00:05:49	なんたら	やっぱりCGすごいな…	
171	00:05:49	猫の散歩道	JCだからね	
172	00:05:58	fami fami	防御力低そうなスカート	
173	00:06:02	ゴギガガガギゴ	よし	
174	00:06:02	キラ	エッッッッッ	
175	00:06:03	ゆきのだらり	よし	
176	00:06:04	みさと	よし	
177	00:06:04	らうらう	ッシィ！！	
178	00:06:07	かさひと	ふむ…	
179	00:06:07	竹輪	姉ちゃん…	
180	00:06:07	むらさきあんこ	水玉かー！	
181	00:06:08	たんこぶ	よし…！	
182	00:06:08	究極ド根性ダイコン	ナイス姉ちゃん	
183	00:06:08	くりお	おさかなパンツ	
184	00:06:08	tage	やったああああ	
185	00:06:08	灘こよみ	よし	
186	00:06:10	ゆもり	よし	
187	00:06:10	めるカバ	やったぜ。	
188	00:06:11	食べる小魚	謎の達成感	
189	00:06:11	なんたら	よし	
190	00:06:12	とがま日和	よし	
191	00:06:13	はこ	一時停止ボタンありがとう	
192	00:06:18	くりお	かわいい	
193	00:06:21	キラ	よし	
194	00:06:22	なんたら	姉ちゃんとおそろい	
195	00:06:23	EEB	助かる	
196	00:06:25	ジョナサン・グレーン	むっ！	
197	00:06:36	ゆもり	勝ったな…	
198	00:06:37	灘こよみ	愛すべき変態トライエース	
199	00:06:37	キラ	ありがたい	
200	00:06:53	めるカバ	モンクかな？	
201	00:06:58	asi max	おは地獄への片道切符	
202	00:07:08	ジョナサン・グレーン	ディアブロのモンクみたいな	
203	00:07:15	味付けタマゴ	こんばんわ	
204	00:07:15	くりお	キャスターですな	
205	00:07:25	めるカバ	とま	
206	00:07:26	いぶきんぐ	こんばんわ	
207	00:07:30	りあすて	遅まきながら煮玉子	
208	00:07:32	死骸	パジャマ姉ちゃん生で見られたの初	
209	00:07:38	ちきん南蛮	止まってる？	
210	00:07:42	ゆもり	被らない特殊バフつおい	
211	00:07:44	くりお	レザードバフ	
212	00:08:00	尾花	原作だと大抵の場合属性無効装備したレナに殴り殺されることになる人	
213	00:08:50	猫の散歩道	画面止まってる？	
214	00:08:53	mimi mimi	止まってるよ姉ちゃん	
215	00:08:54	いぶきんぐ	あっやっぱ画面止まってる	
216	00:08:57	灘こよみ	止まってるよ	
217	00:08:57	ジョナサン・グレーン	多分画面止まってるよ姉ちゃん！	
218	00:09:00	くりお	画面止まってる	
219	00:09:01	らうらう	とまってるよ姉ちゃん	
220	00:09:01	尾花	止まってる	
221	00:09:15	くりお	メリクルとミカエルがかわいいストーリーだった	
222	00:09:21	もふ	恒例の画面停止	
223	00:09:26	asi max	メタトロンすこだ・・・	
224	00:09:35	りあすて	姉ちゃんの画面止まってた時のコメント好き	
225	00:09:45	佐藤太郎	地味にミカエルじゃないほうも脅威だったんだけどなぁ	
226	00:09:46	fami fami	十賢者人気で言えばTOP3には入るよねミカエル	
227	00:10:01	キラ	能力は心で見るんだ	
228	00:10:39	ノンフロン	画面止まらないかな	
229	00:10:44	ジャック・オー	こんばんはー、パジャマの姉ちゃんすこだ・・・	
230	00:10:44	猫の散歩道	十賢者はこの人とあっちーの人くらいしか印象にない…	
231	00:11:12	MY k	通常でも特別なんだ	
232	00:11:21	灘こよみ	シューターみたいだよね	
233	00:11:30	はこ	人気あると流石の優遇	
234	00:11:45	キラ	魔法使いとかシューターってことか	
