行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	꧁꧂クゥの部屋꧁꧂	ｊぎぇｂｔｒｙｙｒ	
1	00:00:00	꧁꧂クゥの部屋꧁꧂	なるほどね	
2	00:00:00	にけい	なるほど	
3	00:00:00	えび	なるほど	
4	00:00:00	_ Tamaya	室温が9度	
5	00:00:00	らうらう	ええ・・・	
6	00:00:00	らうらう	んったった すき	
7	00:00:00	ホワイトラン衛兵	かわいい	
8	00:00:00	にけい	わかる	
9	00:00:00	周恩来	かしこい	
10	00:00:00	biki koto	へ？	
11	00:00:00	スモーク	ﾃｼｹﾆｨ	
12	00:00:00	ジョナサン・グレーン	あ…！そうか！そうだったのか…！	
13	00:00:00	꧁꧂クゥの部屋꧁꧂	パッケージでドヤ顔してる	
14	00:00:00	꧁꧂クゥの部屋꧁꧂	右上のいかついやつ	
15	00:00:00	周恩来	かわいい	
16	00:00:00	꧁꧂クゥの部屋꧁꧂	グライドって名前なんだけど	
17	00:00:00	T.のかね	かわいい	
18	00:00:00	꧁꧂クゥの部屋꧁꧂	こいつ出番ないから	
19	00:00:00	꧁꧂クゥの部屋꧁꧂	あんまり	
20	00:00:00	꧁꧂クゥの部屋꧁꧂	うける	
21	00:00:00	ほるもん	え	
22	00:00:00	T.のかね	そうだね	
23	00:00:00	ホワイトラン衛兵	かわいそう	
24	00:00:00	eve 8848	パッケージに出てるのに	
25	00:00:00	biki koto	モブだからな	
26	00:00:00	らうらう	かわいそう	
27	00:00:00	スモーク	かなしい	
28	00:00:00	周恩来	まじ❗❓	
29	00:00:00	JUNY	おきれた	
30	00:00:00	しののめ	やいとはまあまあ活躍するのに	
31	00:00:00	天然ステルス	おいしい煮玉子	
32	00:00:00	キタカシ	美味しい煮玉子	
33	00:00:00	周恩来	おいしい煮玉子	
34	00:00:00	꧁꧂クゥの部屋꧁꧂	アニメのっやいとちゃんの発音想像と違ったわ	
35	00:00:00	スモーク	おいしい煮玉子	
36	00:00:00	らうらう	おいしい煮玉子	
37	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
38	00:00:00	うぇいのる	おいしい煮玉子	
39	00:00:00	リフェ	おいしい煮玉子	
40	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
41	00:00:00	にけい	おいしい煮玉子	
42	00:00:00	JUNY	おいしい煮玉子	
43	00:00:00	大野カムイ	おいしい煮玉子	
44	00:00:00	らうらう	おかしいなチャットにはいるのに始まらないぞ	
45	00:00:00	えび	おいしい卍煮玉子	
46	00:00:00	りあすて	おいしい煮玉子	
47	00:00:00	周恩来	🕙	
48	00:00:18	ホワイトラン衛兵	:クゥフランゾーパークゥフランゾーパー2:💦	
49	00:00:19	T.のかね	おいしい煮玉子	
