行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	Shuzo	楽しみすぎて寝れなかった	
1	00:00:00	꧁꧂クゥの部屋꧁꧂	ちょっと再起動しよ	
2	00:00:00	Garden	おいしい煮玉子	
3	00:00:00	あい	おいしい煮玉子	
4	00:00:00	Redmix	おいしい煮玉子	
5	00:00:00	えび	おいしい煮玉子	
6	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいたまー	
7	00:00:00	ふーばー	おいしい煮玉子	
8	00:00:00	_ Die	おいしい煮玉子	
9	00:00:00	tage	1と2合わせて20時間くらいありそう煮玉子	
10	00:00:00	いぶきんぐ	おいしい煮玉子	
11	00:00:00	zaff	おいしい煮玉子	
12	00:00:00	メレンゲ	おいたまー	
13	00:00:00	箸盛り【はしもり】	おいしい煮玉子	
14	00:00:00	mori mori	今姉ちゃん混ざってるの気付いた草	
15	00:00:00	君山銀針	おいしい煮卵	
16	00:00:00	mk 95	おいしい煮玉子	
17	00:00:00	鼻毛の錬金術師	おいしい煮玉子	
18	00:00:00	えび	自然すぎてサムネの姉ちゃんに気づかなかった…	
19	00:00:00	鼻毛の錬金術師	ロックマンDASH3はいつでるんだ…	
20	00:00:00	mussaOren	おいしい煮玉子～	
21	00:00:00	おくにん	冷蔵庫においしい煮玉子作ってあるから、あとで一緒に食べよ♪	
22	00:00:15	宮本つばさ	おはようございます‼	
23	00:00:17	mori mori	おはよう姉ちゃん	
24	00:00:19	のどあめ	おいしい煮玉子ー	
25	00:00:23	バリ島のサボテン	おいしい煮玉子	
26	00:00:23	鼻毛の錬金術師	おいしい煮玉子	
27	00:00:24	えび	おいたま～	
28	00:00:26	tage	水着！！！高評価！！！！！	
29	00:00:27	あい	おいしい煮玉子	
30	00:00:28	Shuzo	水着！高評価！	
31	00:00:29	バリ島のサボテン	水着だ！	
32	00:00:29	匿名希望	おはようございます	
33	00:00:29	けたろう	おはようございます	
34	00:00:29	むらさきあんこ	おは姉ちゃんが水着着てる！	
35	00:00:30	もっけいChannel	エッッッッッッッッッッ	
36	00:00:30	究極ド根性ダイコン	おいしい煮玉子…水着！？	
37	00:00:30	ジュンペイ	おにたま〜	
38	00:00:31	バーチャルYouTuberガニメデちゃんねる	おいたまー	
39	00:00:31	いぶきんぐ	おはよう煮玉子	
40	00:00:31	Garden	水着だ	
41	00:00:34	あざーら	おは煮玉子～！！！	
42	00:00:35	あい	水着だ！	
43	00:00:35	_ Die	姉ちゃんその恰好は！？	
44	00:00:35	タケノコ男	おいしい煮玉子	
45	00:00:36	スルーラスト	おいしい煮玉子(๑>ڡ<๑)	
46	00:00:37	バーチャルYouTuberガニメデちゃんねる	むっ	
47	00:00:39	なつヲキク	おはようございます	
48	00:00:39	鼻毛の錬金術師	下着！？	
49	00:00:40	くら	おいたまー	
50	00:00:41	箸盛り【はしもり】	おはたま	
51	00:00:41	ぼたん	おはようございます	
52	00:00:44	ジュンペイ	姉ちゃんが水着だ！	
53	00:00:45	らうらう	！？	
54	00:00:48	N. Masaki	おいしい煮玉子	
