行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	フレイムリンクス	おいたま待機	
1	00:00:00	クロノス	待機～( ・`д・´)	
2	00:00:00	Redmix	おいしい煮玉子	
3	00:00:00	天然ステルス	おいたま	
4	00:00:00	岸辺一徳	おいしい煮玉子	
5	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
6	00:00:00	Garden	おいしい煮玉子	
7	00:00:00	袖口	おいしい煮玉子	
8	00:00:00	伏葦たぐい	おいたま	
9	00:00:00	スモーク	おいたま！2時頃に寝ちゃったけどBANトークいつまでやってたんだろ	
10	00:00:00	こみこ	ディ・モールトおいしい煮玉子	
11	00:00:00	フレイムリンクス	おいしい煮玉子	
12	00:00:00	ほるもん	おいしい煮玉子	
13	00:00:00	ふじ	おいしい煮玉子	
14	00:00:00	らうらう	おいしい煮玉子	
15	00:00:00	バリ島のサボテン	おいしい煮玉子	
16	00:00:00	nathan alucard	おいしい煮玉子	
17	00:00:00	ミワタリ	おいしい煮玉子	
18	00:00:00	むらさきあんこ	BANトークは3時までやってましたね…	
19	00:00:00	ロンドベルジェニ	おいしい煮玉子	
20	00:00:00	野菜太郎	おいしい煮玉子	
21	00:00:00	てぃてぃジャン	マスターフォートレス撃破はこれまでの目標に比べると簡単な気がする（最高難度は知らん	
22	00:00:00	バリ島のサボテン	おいしい遅刻	
23	00:00:00	ミワタリ		￥100
24	00:00:00	ミワタリ	おめでとう！	￥500
25	00:00:00	秋箱	お疲れ様姉ちゃん。楽しかった！	￥240
26	00:00:00	あい		￥100
27	00:00:09	近藤亮	おいしい煮玉子	
28	00:00:12	岸辺一徳	おいしい煮玉子	
29	00:00:14	究極ド根性ダイコン	おいしい煮玉子	
30	00:00:15	むらさきあんこ	おいしい煮玉子	
31	00:00:15	ミワタリ	おいしい煮玉子	
32	00:00:17	御早和杯	おいしい煮玉子	
33	00:00:18	Redmix	おいしい煮玉子	
34	00:00:20	K.T. ジャックリン	おいしい煮玉子	
35	00:00:22	バリ島のサボテン	おいしい煮玉子	
36	00:00:22	天然ステルス	おいしい煮玉子	
37	00:00:22	らうらう	おいしい煮玉子	
