行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	_ Tamaya	おいしい煮玉子	
1	00:00:00	ジョナサン・グレーン	おいしい待機	
2	00:00:00	なにここ	姉ちゃんのロックマン１１となったらもう待機するしかない	
3	00:00:00	あまいさい	おいしい煮玉子	
4	00:00:00	レザクリエ	おいしい煮玉子	
5	00:00:00	にけい	おいしかろう煮玉子待機	
6	00:00:00	天然ステルス	おいしい煮玉子	
7	00:00:00	らうらう	おいしいE缶	
8	00:00:00	ブロア	おいしい煮玉子	
9	00:00:00	あい	おいしい煮玉子	
10	00:00:00	しねちゅー	oisiinitamago	
11	00:00:00	カギアカギ	おいしい煮玉子	
12	00:00:00	プラスワン	おいしい煮玉子	
13	00:00:00	リフェ	おいしい煮玉子	
14	00:00:00	sio3go	おいしい煮玉子	
15	00:00:00	biki koto	おいしい煮卵	
16	00:00:00	たまくろー	おいしい煮玉子	
17	00:00:10	eve 8848	おいしい煮玉子	
18	00:00:13	mori mori	おいしいE缶	
19	00:00:13	ブロア	おいしい煮玉子	
20	00:00:13	岸辺一徳	おいしい煮玉子	
21	00:00:15	なにここ	おいしい煮玉子	
22	00:00:17	天然ステルス	おいしい煮玉子	
23	00:00:18	あい	おいしい煮玉子	
24	00:00:22	biki koto	かわいい	
25	00:00:23	あい	かわいい！	
26	00:00:24	らうらう	え・・・・・・・・・・かわいい・・・・・・	
27	00:00:30	ブロア	声がわりした？	
28	00:00:30	かたもく	おいしいE缶	
29	00:00:31	ファイ鯖	おいしい煮玉子	
30	00:00:31	岸辺一徳	おいしい煮玉子	
31	00:00:31	mori mori	姉ちゃんが外行き用の声を	
32	00:00:32	20分ねずみ	おいしい煮玉子	
33	00:00:33	nakiouzyo	おいしい煮卵	
34	00:00:33	てんめい	おいしい煮玉子	
35	00:00:33	ジョナサン・グレーン	かわいい！	
36	00:00:35	たんこぶ	おはようございます	
37	00:00:35	biki koto	ハロー姉ちゃん！	
38	00:00:36	カギアカギ	おいしいかわいい	
39	00:00:36	究極ド根性ダイコン	おいしい煮玉子	
40	00:00:37	ss kk	おいしい煮玉子	
41	00:00:37	なにここ	やったー！時間どおり！ 高評価！	
42	00:00:37	リアレミ	美味しい煮たまご	
43	00:00:38	天然ステルス	声変わりした？	
44	00:00:38	ボマーズ大佐	おはよう煮玉子	
45	00:00:40	しろいぬ	おいしい煮玉子	
46	00:00:40	プラスワン	おいしい煮玉子	
47	00:00:43	Redmix	かわいい	
48	00:00:46	ねこくーる	おいしい煮玉子	
49	00:00:46	レザクリエ	可愛い！	
50	00:00:46	プラスワン	定刻通り！かわいい！	
51	00:00:48	究極ド根性ダイコン	かわいい	
52	00:00:50	ブロア	かわいい	
53	00:00:51	eve 8848	かわいい	
54	00:00:52	らうらう	おいしい煮玉子	
55	00:00:57	スルーラスト	おいしい煮玉子	
56	00:00:58	カギアカギ	かわいい	
57	00:01:06	夕張檸檬	おいしい煮玉子	
58	00:01:09	らうらう	かわいい・・・	
59	00:01:09	天然ステルス	CV飛田	
60	00:01:12	MrTama02	おいしい煮玉子	
61	00:01:13	しねちゅー	姉ちゃんかわいい	
62	00:01:13	かたもく	草	
63	00:01:16	motiyomogi	おいしい煮玉子	
64	00:01:17	biki koto	にっこりかわいい	
65	00:01:17	たんこぶ	ていうね	
66	00:01:28	ジョナサン・グレーン	かわいい	
67	00:00:00	_ Tamaya	おいしい煮玉子	
68	00:00:00	ジョナサン・グレーン	おいしい待機	
69	00:00:00	なにここ	姉ちゃんのロックマン１１となったらもう待機するしかない	
70	00:00:00	あまいさい	おいしい煮玉子	
71	00:00:00	レザクリエ	おいしい煮玉子	
72	00:00:00	にけい	おいしかろう煮玉子待機	
73	00:00:00	天然ステルス	おいしい煮玉子	
74	00:00:00	らうらう	おいしいE缶	
75	00:00:00	ブロア	おいしい煮玉子	
76	00:00:00	あい	おいしい煮玉子	
77	00:00:00	しねちゅー	oisiinitamago	
78	00:00:00	カギアカギ	おいしい煮玉子	
79	00:00:00	プラスワン	おいしい煮玉子	
80	00:00:00	リフェ	おいしい煮玉子	
81	00:00:00	sio3go	おいしい煮玉子	
82	00:00:00	biki koto	おいしい煮卵	
83	00:00:00	たまくろー	おいしい煮玉子	
84	00:00:10	eve 8848	おいしい煮玉子	
85	00:00:13	mori mori	おいしいE缶	
86	00:00:13	ブロア	おいしい煮玉子	
87	00:00:13	岸辺一徳	おいしい煮玉子	
88	00:00:15	なにここ	おいしい煮玉子	
89	00:00:17	天然ステルス	おいしい煮玉子	
90	00:00:18	あい	おいしい煮玉子	
91	00:00:22	biki koto	かわいい	
92	00:00:23	あい	かわいい！	
93	00:00:24	らうらう	え・・・・・・・・・・かわいい・・・・・・	
94	00:00:30	ブロア	声がわりした？	
95	00:00:30	かたもく	おいしいE缶	
96	00:00:31	ファイ鯖	おいしい煮玉子	
97	00:00:31	岸辺一徳	おいしい煮玉子	
98	00:00:31	mori mori	姉ちゃんが外行き用の声を	
99	00:00:32	20分ねずみ	おいしい煮玉子	
100	00:00:33	nakiouzyo	おいしい煮卵	
101	00:00:33	てんめい	おいしい煮玉子	
102	00:00:33	ジョナサン・グレーン	かわいい！	
103	00:00:35	たんこぶ	おはようございます	
104	00:00:35	biki koto	ハロー姉ちゃん！	
105	00:00:36	カギアカギ	おいしいかわいい	
106	00:00:36	究極ド根性ダイコン	おいしい煮玉子	
