行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	天然ステルス	おいしい煮玉子	
2	00:00:00	スモーク	おいしいトムヤムクン	
3	00:00:00	竹輪	おいしい煮玉子	
4	00:00:00	T.のかね	おいしい煮玉子	
5	00:00:00	ログ	おいしい煮玉子	
6	00:00:00	桜田紅	おいしい煮玉子	
7	00:00:00	biki koto	おいしい煮玉子	
8	00:00:00	東京コノハムシ	おいしい煮玉子	
9	00:00:00	sas b	おいしい煮玉子	
10	00:00:00	スモーク	おつかれさま	￥1,000
11	00:00:00	らうらう	サンズだじょ	￥200
12	00:00:10	じょーげん	おいしい煮玉子	
13	00:00:11	猫の散歩道	不死身の煮卵	
14	00:00:23	ああ	おいしい煮玉子ッス	
15	00:00:25	らうらう	おいしい煮玉子	
16	00:00:25	ジョナサン・グレーン	おいしい煮玉子	
17	00:00:26	ふーばー	おいしい煮玉子	
18	00:00:26	ヌルヌペペ	おいしい煮玉子	
19	00:00:31	にけい	おいしい煮玉子	
20	00:00:41	せせらぎ	こんばんわ～	
21	00:00:45	ジョナサン・グレーン	キーボード直ってよかったね	
22	00:00:46	お誕生日席	おいしい煮玉子	
23	00:00:47	ぴねかっと	おいしい煮玉子	
24	00:00:49	Ryo Kamiya	おいしい煮玉子	
25	00:01:00	ログ	今日はめっちゃ強いメタトンまで？	
26	00:01:05	ナウ	おいしい煮玉子	
27	00:01:09	せせらぎ	逸話？ｗ	
28	00:01:10	スモーク	逸話草	
29	00:01:11	らうらう	絶対くさい復活したキーボード	
30	00:01:13	ふーばー	メタトン勝てるかなぁ	
31	00:01:14	ジョナサン・グレーン	止まってる…	
32	00:01:16	いぶきんぐ	ありがとう妖精さん	
33	00:01:20	TKG M	おいしい煮玉子	
34	00:02:09	ジョナサン・グレーン	あっwelcomeの文字だよ 姉ちゃんは止まってないよ	
35	00:02:11	ああ	キーボードがトムヤムクン食っちまった	
36	00:02:12	ふーばー	草	
37	00:02:17	ぴねかっと	草	
38	00:02:20	mori mori	おいしいキーボード	
39	00:02:20	カギカギ	草	
40	00:02:21	sas b	この渡し守何者なんだろう	
41	00:02:22	竹輪	草	
42	00:02:27	究極ド根性ダイコン	草	
43	00:02:27	ナウ	おのれトムヤムクン	
44	00:02:27	ジョナサン・グレーン	草	
45	00:02:31	motiyomogi	草	
46	00:02:42	TKG M	草	
47	00:02:47	ひとーん	おいしい煮玉子	
48	00:02:56	フレイムリンクス	キーボードのキー外して清掃すれば直るかも？	
49	00:03:04	スモーク	買ってはないんだ	
50	00:03:08	sas b	パンを落とした時バターの面が必ず下になる的な	
51	00:03:30	リフェ	おいしい煮玉子	
52	00:04:10	究極ド根性ダイコン	バーチャル花粉	
53	00:04:11	らうらう	ええええええ	
54	00:04:11	motiyomogi	草	
55	00:04:12	せせらぎ	えぇｗ	
56	00:04:12	竹輪	草	
57	00:04:12	D W	Pルートとは完全に別のゲームだなぁ 美味しい煮玉子	
58	00:04:13	スモーク	えぇ…	
59	00:04:15	biki koto	花粉症か	
60	00:00:00	らうらう	おいしい煮玉子	
61	00:00:00	天然ステルス	おいしい煮玉子	
62	00:00:00	スモーク	おいしいトムヤムクン	
63	00:00:00	竹輪	おいしい煮玉子	
64	00:00:00	T.のかね	おいしい煮玉子	
65	00:00:00	ログ	おいしい煮玉子	
66	00:00:00	桜田紅	おいしい煮玉子	
67	00:00:00	biki koto	おいしい煮玉子	
68	00:00:00	東京コノハムシ	おいしい煮玉子	
69	00:00:00	sas b	おいしい煮玉子	
70	00:00:00	スモーク	おつかれさま	￥1,000
71	00:00:00	らうらう	サンズだじょ	￥200
72	00:00:10	じょーげん	おいしい煮玉子	
73	00:00:11	猫の散歩道	不死身の煮卵	
74	00:00:23	ああ	おいしい煮玉子ッス	
75	00:00:25	らうらう	おいしい煮玉子	
76	00:00:25	ジョナサン・グレーン	おいしい煮玉子	
77	00:00:26	ふーばー	おいしい煮玉子	
78	00:00:26	ヌルヌペペ	おいしい煮玉子	
79	00:00:31	にけい	おいしい煮玉子	
80	00:00:41	せせらぎ	こんばんわ～	
81	00:00:45	ジョナサン・グレーン	キーボード直ってよかったね	
82	00:00:46	お誕生日席	おいしい煮玉子	
83	00:00:47	ぴねかっと	おいしい煮玉子	
84	00:00:49	Ryo Kamiya	おいしい煮玉子	
85	00:01:00	ログ	今日はめっちゃ強いメタトンまで？	
86	00:01:05	ナウ	おいしい煮玉子	
87	00:01:09	せせらぎ	逸話？ｗ	
88	00:01:10	スモーク	逸話草	
89	00:01:11	らうらう	絶対くさい復活したキーボード	
90	00:01:13	ふーばー	メタトン勝てるかなぁ	
91	00:01:14	ジョナサン・グレーン	止まってる…	
92	00:01:16	いぶきんぐ	ありがとう妖精さん	
93	00:01:20	TKG M	おいしい煮玉子	
94	00:02:09	ジョナサン・グレーン	あっwelcomeの文字だよ 姉ちゃんは止まってないよ	
95	00:02:11	ああ	キーボードがトムヤムクン食っちまった	
96	00:02:12	ふーばー	草	
97	00:02:17	ぴねかっと	草	
98	00:02:20	mori mori	おいしいキーボード	
99	00:02:20	カギカギ	草	
100	00:02:21	sas b	この渡し守何者なんだろう	
101	00:02:22	竹輪	草	
102	00:02:27	究極ド根性ダイコン	草	
103	00:02:27	ナウ	おのれトムヤムクン	
104	00:02:27	ジョナサン・グレーン	草	
105	00:02:31	motiyomogi	草	
106	00:02:42	TKG M	草	
107	00:02:47	ひとーん	おいしい煮玉子	
108	00:02:56	フレイムリンクス	キーボードのキー外して清掃すれば直るかも？	
109	00:03:04	スモーク	買ってはないんだ	
110	00:03:08	sas b	パンを落とした時バターの面が必ず下になる的な	
111	00:03:30	リフェ	おいしい煮玉子	
112	00:04:10	究極ド根性ダイコン	バーチャル花粉	
113	00:04:11	らうらう	ええええええ	
114	00:04:11	motiyomogi	草	
115	00:04:12	せせらぎ	えぇｗ	
116	00:04:12	竹輪	草	
117	00:04:12	D W	Pルートとは完全に別のゲームだなぁ 美味しい煮玉子	
118	00:04:13	スモーク	えぇ…	
119	00:04:15	biki koto	花粉症か	
120	00:04:15	sas b	草	
121	00:04:16	リフェ	草	
122	00:04:18	ログ	ええｗ	
123	00:04:18	ああ	えっ	
124	00:04:22	ぴねかっと	サイレント実況…	
125	00:04:25	じょーげん	草	
126	00:04:30	D W	自由だねぇ	
127	00:04:33	ぴねかっと	かわいい	
128	00:04:40	近藤大輔	話してよｗ	
129	00:04:41	ログ	無慈悲	
130	00:04:41	ジョナサン・グレーン	かざんちゃーん！	
131	00:05:05	aarar scsrt	おいしい煮玉子	
132	00:05:17	ナウ	クゥ人間	
133	00:05:21	らうらう	おはながすごい	
134	00:06:03	東京コノハムシ	武器だよそれ	
135	00:06:07	ふーばー	薄いやつだね	
136	00:06:13	らうらう	BFKB88PC	
137	00:06:24	フレイムリンクス	フライパン装備するとアイテムの回復効果上がるよ	
138	00:06:40	ぴねかっと	あらら	
139	00:06:47	いぶきんぐ	かなしい	
140	00:06:49	東京コノハムシ	秋葉にあるかな…	
141	00:07:02	ジョナサン・グレーン	たかい	
142	00:07:32	K. u	おいしい煮玉子	
143	00:07:53	せせらぎ	後継とか出てた？	
144	00:08:03	らうらう	いいね	
145	00:08:22	天然ステルス	光るやつ？	
146	00:08:31	motiyomogi	アレね	
147	00:08:41	究極ド根性ダイコン	名前がかっこいい	
148	00:09:01	スモーク	草	
149	00:09:01	らうらう	カス！	
150	00:09:05	ふーばー	カスと申したか	
151	00:09:07	カギカギ	草	
152	00:09:07	ぴねかっと	草	
153	00:09:07	竹輪	カスみたいな	
154	00:09:08	じょーげん	草	
155	00:09:08	にけい	カスみたいなデザイン…	
156	00:09:13	mori mori	たっけえ！	
157	00:09:16	いぶきんぐ	結構いいお値段するやつだ	
158	00:09:52	Ami Saika	三倍弱では	
159	00:09:52	近藤大輔	Razerってピカピカ光ってるイメージ	
160	00:10:02	ふーばー	高いキーボードが合うとは限らないのが難しいところ	
161	00:10:04	らうらう	草	
162	00:10:09	motiyomogi	かなしい	
163	00:10:38	究極ド根性ダイコン	草	
164	00:10:39	aarar scsrt	草	
165	00:10:39	motiyomogi	草	
166	00:10:39	ぴねかっと	草	
167	00:10:39	ふーばー	草	
168	00:10:41	EEB	草	
169	00:10:42	いぶきんぐ	キーボードとかは実際に試せる場所があるのはありがたいよね	
170	00:10:42	mori mori	草	
171	00:10:43	天然ステルス	ええ…	
172	00:10:48	らうらう	でも今のキーボード臭いでしょ・・・・・・・	
173	00:10:48	いぶきんぐ	草	
174	00:10:48	T.のかね	草	
175	00:10:49	猫の散歩道	治ったわけではないのでは？	
176	00:10:49	biki koto	草	
177	00:10:51	せせらぎ	よかった...ね？	
178	00:10:52	じょーげん	草	
179	00:10:53	mori mori	買いなよ！	
180	00:10:55	クロムア	草	
181	00:10:56	TKG M	草	
182	00:10:58	クラックリン	防水防塵でも防トムヤンクンとは限らないからね	
183	00:10:59	ログ	草	
184	00:11:01	ひとーん	草	
185	00:11:02	スモーク	複数あってもいいじゃん	
186	00:11:07	近藤大輔	キーボードくさそう	
187	00:11:15	EEB	あのキーボードでもトムヤムクンにはさすがに耐えられない	
188	00:11:15	東京コノハムシ	いつ壊れるかもわからないからね？	
189	00:11:20	ヘンリーダーガー	今の声草	
190	00:11:21	クラックリン	いまの美声	
191	00:11:26	鷹丸	つよい	
192	00:11:32	らうらう	だめじゃん！	
193	00:11:38	ログ	草	
194	00:11:41	究極ド根性ダイコン	草	
195	00:11:41	スモーク	草	
196	00:11:42	motiyomogi	草	
197	00:11:43	ぴねかっと	ん？？？？	
198	00:11:43	mori mori	具かな	
199	00:11:44	らうらう	wwwww	
200	00:11:44	お誕生日席	草	
201	00:11:44	近藤大輔	はずせないの？ｗ	
202	00:11:46	T.のかね	きたない	
203	00:11:48	カギカギ	それだめなんじゃ...	
204	00:11:48	biki koto	うっ	
205	00:11:49	桜田紅	草	
206	00:11:49	クロムア	ピンセット使おう？	
207	00:11:51	ふーばー	掃除して...	
208	00:11:55	EEB	最悪で草	
209	00:11:55	ジャック・オー	草	
210	00:11:57	東京コノハムシ	腐るよそれ…	
211	00:11:59	aarar scsrt	キノコたべちゃったかー	
212	00:12:00	いぶきんぐ	きのこインY	
213	00:12:10	クラックリン	嫌すぎる	
214	00:12:14	究極ド根性ダイコン	キノコの香りのキーボード	
