行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	タケノコ男	おいしい煮玉子	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	うぇいのる	おいしい煮玉子	
3	00:00:00	なんたら	おいしい煮玉子	
4	00:00:00	あい	おいしい煮玉子	
5	00:00:00	佐藤太郎	よしっ	
6	00:00:00	スモーク	おいたま	
7	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
8	00:00:00	motiyomogi	おいしい煮玉子	
9	00:00:00	めるカバ	おいしいTAKUYA	
10	00:00:00	周恩来	おいしい煮玉子	
11	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
12	00:00:00	いぶきんぐ	おいしい煮玉子	
13	00:00:00	近藤亮	おいしい煮玉子	
14	00:00:00	ミワタリ	おいしい煮玉子	
15	00:00:00	ジャック・オー	おいしい煮玉子	
16	00:00:00	天然ステルス	おいしい煮玉子	
17	00:00:00	biki koto	おいしい煮玉子	
18	00:00:00	ヌルヌペペ	おいしい煮玉子	
19	00:00:00	味付けタマゴ	おいしい煮玉子	
20	00:00:00	リフェ	おいしい煮玉子	
21	00:00:00	ジョナサン・グレーン	姉ちゃんが遅刻なんて珍しいな…何かあったのかな…	
22	00:00:00	むむめめ		￥600
23	00:00:12	あい	おいしい煮玉子	
24	00:00:14	桜田紅	おいしい煮玉子	
25	00:00:16	eve	おいしい煮玉子	
26	00:00:17	周恩来	おいしい煮玉子	
27	00:00:18	ジャック・オー	おいしい煮玉子	
28	00:00:19	究極ド根性ダイコン	おいしい煮玉子	
29	00:00:19	ジョナサン・グレーン	おいしい煮玉子	
30	00:00:19	motiyomogi	おいしい煮玉子	
31	00:00:21	_ Die	おいしい煮玉子	
32	00:00:23	クロムア	おいしい煮玉子	
33	00:00:23	天然ステルス	おいしい煮玉子	
34	00:00:25	うぇいのる	おいしい煮玉子	
35	00:00:26	タケノコ男	おいしい煮玉子	
36	00:00:27	味付けタマゴ	おいしい煮玉子	
37	00:00:28	ナウ	おいしい煮玉子	
38	00:00:29	mori mori	おいしい	
39	00:00:31	らうらう	かわいい！	
40	00:00:31	周恩来	おめめ	
41	00:00:31	佐藤太郎	こんばんわ	
42	00:00:36	ジャック・オー	きょろきょろかわいい	
43	00:00:37	陰キャバス竹中	おいしい煮玉子	
44	00:00:37	ジョナサン・グレーン	おめめ	
45	00:00:43	eve	きょろきょろ	
46	00:00:43	なんたら	キョロキョロ	
47	00:00:43	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝ キョロキョロ～	
48	00:00:48	らうらう	おいしいキョロ目	
49	00:00:48	tokun 4	おいしい煮玉子	
50	00:00:48	スモーク	かわいい！	
51	00:00:52	TheiA -OD	わこ	
52	00:00:53	タケノコ男	かわいい	
53	00:00:55	センギ	おいしい煮玉子	
54	00:00:55	猫の散歩道	美味しい煮チンパンジー	
55	00:00:57	周恩来	かわいい	
56	00:01:08	ジャック・オー	おいしいかき氷	
57	00:01:10	ミワタリ	おいしい煮玉子	
58	00:01:11	カーマイン	おいしい煮玉子	
59	00:01:17	K. u	美味しい煮玉子	
60	00:01:17	らうらう	もうかき氷の季節終わっちゃったよ	
61	00:01:17	なんたら	よし	
62	00:01:20	rM233g	かわいい	
63	00:01:23	ナウ	次はかき氷作ってみた動画かな？	
64	00:01:26	天然ステルス	かきゴリラ	
65	00:01:28	ジョナサン・グレーン	かわいい	
66	00:01:34	究極ド根性ダイコン	冬にかき氷か	
67	00:01:37	クロノス	誰に言われたんだよ～(笑)	
68	00:01:43	猫の散歩道	美味しい煮氷	
69	00:01:49	カーマイン	かわいい	
70	00:01:53	周恩来	おいしい煮かき氷	
71	00:01:57	あい	あえて今	
72	00:00:00	タケノコ男	おいしい煮玉子	
73	00:00:00	らうらう	おいしい煮玉子	
74	00:00:00	うぇいのる	おいしい煮玉子	
75	00:00:00	なんたら	おいしい煮玉子	
