行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	岸辺一徳	おいしい煮玉子	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	カーマイン	おいしい煮玉子　	
3	00:00:00	aarar scsrt	おいしい煮玉子	
4	00:00:00	リフェ	おいしい煮玉子	
5	00:00:00	カギカギ	おいしい煮玉子	
6	00:00:00	ESP	おいしい煮玉子	
7	00:00:00	ミワタリ	おいしい煮玉子	
8	00:00:00	ほるもん	おいしい煮玉子	
9	00:00:00	_ Tamaya	おいしい煮玉子	
10	00:00:00	スモーク	おいしい玉子	
11	00:00:00	mk 95	おいしい煮玉子	
12	00:00:00	タケノコ男	おいしい煮玉子	
13	00:00:00	JUNY	おいしいゲンゲルー	
14	00:00:12	岸辺一徳	おいしい煮玉子	
15	00:00:14	八木谷	おいしい煮玉子	
16	00:00:16	あい	おいしい煮玉子	
17	00:00:17	なんたら	おいしい煮玉子	
18	00:00:21	カギカギ	おいしい煮玉子	
19	00:00:21	毒入りトマト	おいしい煮玉子	
20	00:00:23	motiyomogi	おいしい煮玉子	
21	00:00:24	ほるもん	おいしい煮玉子	
22	00:00:26	mk 95	おいしい煮玉子	
23	00:00:27	リフェ	おいしい煮玉子	
24	00:00:27	Ryo Kamiya	おいしい煮玉子	
25	00:00:30	mori mori	おいしい	
26	00:00:35	相馬小次郎	おいしい煮玉子	
27	00:00:35	タケノコ男	おいしい煮玉子	
28	00:00:37	カーマイン	おいしい煮玉子	
29	00:00:39	seafood	おいしい煮玉子	
30	00:00:41	aarar scsrt	おいしい煮玉子	
31	00:00:44	毒入りトマト	久々に名ゲー	
32	00:00:44	スモーク	あけおめ	
33	00:00:51	らうらう	あけおめ大姉ちゃん	
34	00:00:55	たんこぶ	ゲームキューブの操作音だいすき	
35	00:00:57	ジャック・オー	おいしい煮玉子	
36	00:01:00	uraraうらら	バテンだ！！最高のゲーム	
37	00:01:05	八木谷	たのしみ	
38	00:01:10	なんたら	割と最近	
39	00:01:11	カギカギ	戦闘がちょうたのしいゲーム	
40	00:01:37	motiyomogi	2枚組でパッケージがでかいんだよね	
41	00:01:40	秋箱	おいしい煮玉子	
42	00:01:40	ねこくーる	おいしい煮玉子	
43	00:01:41	リフェ	やったこと無いから楽しみ	
44	00:02:02	タケノコ男	わくわく	
45	00:02:06	mori mori	パッケージが青っぽかった印象	
46	00:02:12	カーマイン	そういやあけましておめでとうだね大姉ちゃん	
47	00:02:27	なんたら	へー	
48	00:02:34	ジャック・オー	あけおめ大姉ちゃん	
49	00:02:43	うぇいのる	おいしい煮玉子	
50	00:02:52	らうらう	そうだい	
51	00:02:54	mori mori	草	
52	00:03:03	カーマイン	チャット表示しないの？	
53	00:03:08	JUNY	KALAS	
54	00:03:10	八木谷	すごい	
55	00:03:12	ミワタリ	すごい	
56	00:03:24	タケノコ男	すごい	
57	00:03:25	JUNY	洋ゲー顔だね	
58	00:03:37	mori mori	動きが特にディズニーっぽい	
59	00:03:46	カーマイン	ディズニー感ある動き	
60	00:04:08	なんたら	英語なんだ	
61	00:04:17	カギカギ	戦闘ボイスは日本語だったような	
62	00:04:25	リフェ	わくわくするね！	
63	00:04:34	mori mori	すっごい面白そう	
64	00:00:00	岸辺一徳	おいしい煮玉子	
65	00:00:00	らうらう	おいしい煮玉子	
66	00:00:00	カーマイン	おいしい煮玉子　	
67	00:00:00	aarar scsrt	おいしい煮玉子	
68	00:00:00	リフェ	おいしい煮玉子	
69	00:00:00	カギカギ	おいしい煮玉子	
70	00:00:00	ESP	おいしい煮玉子	
71	00:00:00	ミワタリ	おいしい煮玉子	
72	00:00:00	ほるもん	おいしい煮玉子	
73	00:00:00	_ Tamaya	おいしい煮玉子	
74	00:00:00	スモーク	おいしい玉子	
75	00:00:00	mk 95	おいしい煮玉子	
76	00:00:00	タケノコ男	おいしい煮玉子	
77	00:00:00	JUNY	おいしいゲンゲルー	
78	00:00:12	岸辺一徳	おいしい煮玉子	
79	00:00:14	八木谷	おいしい煮玉子	
80	00:00:16	あい	おいしい煮玉子	
81	00:00:17	なんたら	おいしい煮玉子	
82	00:00:21	カギカギ	おいしい煮玉子	
83	00:00:21	毒入りトマト	おいしい煮玉子	
84	00:00:23	motiyomogi	おいしい煮玉子	
85	00:00:24	ほるもん	おいしい煮玉子	
86	00:00:26	mk 95	おいしい煮玉子	
87	00:00:27	リフェ	おいしい煮玉子	
88	00:00:27	Ryo Kamiya	おいしい煮玉子	
89	00:00:30	mori mori	おいしい	
90	00:00:35	相馬小次郎	おいしい煮玉子	
91	00:00:35	タケノコ男	おいしい煮玉子	
92	00:00:37	カーマイン	おいしい煮玉子	
93	00:00:39	seafood	おいしい煮玉子	
94	00:00:41	aarar scsrt	おいしい煮玉子	
95	00:00:44	毒入りトマト	久々に名ゲー	
96	00:00:44	スモーク	あけおめ	
97	00:00:51	らうらう	あけおめ大姉ちゃん	
98	00:00:55	たんこぶ	ゲームキューブの操作音だいすき	
99	00:00:57	ジャック・オー	おいしい煮玉子	
