行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	꧁꧂クゥの部屋꧁꧂	I'm not Takuya.	
1	00:00:00	えび	Oh…Takuya is lie…	
2	00:00:00	あい	Hello Takuya	
3	00:00:00	タケノコ男	TAKUYA！NICE TO MEET YOU！	
4	00:00:00	motiyomogi	I came to see Takuya	
5	00:00:00	こみこ	TAKUYA Channel	
6	00:00:00	らうらう	I LOVE TAKUYA💩	
7	00:00:00	さんぽーる祐三	おいしい煮玉子	
8	00:00:00	さんぽーる祐三	ウェルチもEOEキャラも引けなかった僕です	
9	00:00:00	桜田紅	おいしい煮玉子Takuya	
10	00:00:00	ジャック・オー	おいしい煮TAKUYA	
11	00:00:00	スモーク	おいたま！	
12	00:00:00	あい	おいしい煮玉子	
13	00:00:00	mori mori	Good taste! Takuya!	
14	00:00:00	岸辺一徳	おいしい煮Takuya	
15	00:00:00	ジョナサン・グレーン	おいTAKU〜	
16	00:00:00	T.のかね		￥120
17	00:00:16	いぶきんぐ	おいしい煮玉子	
18	00:00:16	さんぽーる祐三	おいしい煮玉子	
19	00:00:17	Redmix	おいしい煮玉子	
20	00:00:21	あい	おいしい煮玉子	
21	00:00:24	えび	おいしい煮玉子	
22	00:00:25	motiyomogi	おいしい煮玉子	
23	00:00:27	タケノコ男	おいしい煮玉子	
24	00:00:28	らうらう	​おいしい煮玉子	
25	00:00:28	こみこ	おいしい煮玉子	
26	00:00:43	ジョナサン・グレーン	おいしい煮玉子	
27	00:00:43	うぇいのる	おいしい煮玉子	
28	00:00:46	めるカバ	おいしい煮玉子	
29	00:00:46	たんこぶ	こんばんはー	
30	00:00:48	ジャック・オー	おいしい煮玉子	
31	00:00:49	mussaOren	おいしい煮玉子	
32	00:00:49	こみこ	清楚だぁ…	
33	00:00:52	かんてら	おいしい煮玉子	
34	00:00:58	かたもく	おいしいE缶	
35	00:01:17	mk 95	おいしい煮玉子	
36	00:01:24	ヌルヌペペ	おいしい煮玉子	
37	00:01:26	ねこくーる	おいしい煮玉子	
38	00:01:29	畑秋	おいしい煮玉子	
39	00:01:36	らうらう	目標は？	
40	00:01:39	あい	それかなり難しいね	
41	00:01:41	なんたら	おいしい煮玉子	
42	00:01:41	abeshi	おいしい煮玉子	
43	00:01:42	まこ	初見ですこんばんは	
44	00:01:42	くりお	おいしい煮玉子！	
45	00:01:43	ジュンペイ	おいしい煮玉子	
46	00:01:48	ヤマえもん	おいしい煮玉子	
47	00:01:49	粘土	おいしい煮玉子	
48	00:01:51	さんぽーる祐三	もうTA勢でてきたね	
49	00:02:02	畑秋	TAKUYA！	
50	00:02:06	りあすて	おいしい煮玉子	
51	00:02:13	まこ	drライトのやつやばい。	
52	00:02:13	mussaOren	まずバルーン	
53	00:02:18	T.のかね	おいしい煮玉子	
54	00:02:28	mk 95	TAをKU姉ちゃんがYAる配信	
55	00:02:28	めるカバ	人類かー？	
56	00:02:29	さんぽーる祐三	みたみた	
57	00:02:33	佐藤太郎	相当なやりこみが前提だな	
58	00:02:42	くりお	スパナついとる！	
59	00:02:43	らうらう	あっ・・	
60	00:02:43	あい	イキっていく	
61	00:02:51	ジュンペイ	また姉ちゃんが調子に乗ってる…	
62	00:02:52	いぶきんぐ	イキっていこう	
63	00:02:52	むらさきあんこ	おいしい煮玉子	
64	00:03:06	mori mori	草	
65	00:03:08	めるカバ	草	
66	00:00:00	꧁꧂クゥの部屋꧁꧂	I'm not Takuya.	
67	00:00:00	えび	Oh…Takuya is lie…	
68	00:00:00	あい	Hello Takuya	
69	00:00:00	タケノコ男	TAKUYA！NICE TO MEET YOU！	
70	00:00:00	motiyomogi	I came to see Takuya	
71	00:00:00	こみこ	TAKUYA Channel	
72	00:00:00	らうらう	I LOVE TAKUYA💩	
73	00:00:00	さんぽーる祐三	おいしい煮玉子	
74	00:00:00	さんぽーる祐三	ウェルチもEOEキャラも引けなかった僕です	
75	00:00:00	桜田紅	おいしい煮玉子Takuya	
76	00:00:00	ジャック・オー	おいしい煮TAKUYA	
77	00:00:00	スモーク	おいたま！	
78	00:00:00	あい	おいしい煮玉子	
79	00:00:00	mori mori	Good taste! Takuya!	
80	00:00:00	岸辺一徳	おいしい煮Takuya	
81	00:00:00	ジョナサン・グレーン	おいTAKU〜	
82	00:00:00	T.のかね		￥120
83	00:00:16	いぶきんぐ	おいしい煮玉子	
84	00:00:16	さんぽーる祐三	おいしい煮玉子	
85	00:00:17	Redmix	おいしい煮玉子	
86	00:00:21	あい	おいしい煮玉子	
87	00:00:24	えび	おいしい煮玉子	
88	00:00:25	motiyomogi	おいしい煮玉子	
89	00:00:27	タケノコ男	おいしい煮玉子	
90	00:00:28	らうらう	​おいしい煮玉子	
91	00:00:28	こみこ	おいしい煮玉子	
92	00:00:43	ジョナサン・グレーン	おいしい煮玉子	
93	00:00:43	うぇいのる	おいしい煮玉子	
94	00:00:46	めるカバ	おいしい煮玉子	
95	00:00:46	たんこぶ	こんばんはー	
96	00:00:48	ジャック・オー	おいしい煮玉子	
97	00:00:49	mussaOren	おいしい煮玉子	
98	00:00:49	こみこ	清楚だぁ…	
99	00:00:52	かんてら	おいしい煮玉子	
100	00:00:58	かたもく	おいしいE缶	
101	00:01:17	mk 95	おいしい煮玉子	
102	00:01:24	ヌルヌペペ	おいしい煮玉子	
103	00:01:26	ねこくーる	おいしい煮玉子	
104	00:01:29	畑秋	おいしい煮玉子	
105	00:01:36	らうらう	目標は？	
106	00:01:39	あい	それかなり難しいね	
107	00:01:41	なんたら	おいしい煮玉子	
108	00:01:41	abeshi	おいしい煮玉子	
109	00:01:42	まこ	初見ですこんばんは	
110	00:01:42	くりお	おいしい煮玉子！	
111	00:01:43	ジュンペイ	おいしい煮玉子	
112	00:01:48	ヤマえもん	おいしい煮玉子	
113	00:01:49	粘土	おいしい煮玉子	
114	00:01:51	さんぽーる祐三	もうTA勢でてきたね	
115	00:02:02	畑秋	TAKUYA！	
116	00:02:06	りあすて	おいしい煮玉子	
117	00:02:13	まこ	drライトのやつやばい。	
118	00:02:13	mussaOren	まずバルーン	
119	00:02:18	T.のかね	おいしい煮玉子	
120	00:02:28	mk 95	TAをKU姉ちゃんがYAる配信	
121	00:02:28	めるカバ	人類かー？	
122	00:02:29	さんぽーる祐三	みたみた	
123	00:02:33	佐藤太郎	相当なやりこみが前提だな	
124	00:02:42	くりお	スパナついとる！	
125	00:02:43	らうらう	あっ・・	
126	00:02:43	あい	イキっていく	
127	00:02:51	ジュンペイ	また姉ちゃんが調子に乗ってる…	
128	00:02:52	いぶきんぐ	イキっていこう	
129	00:02:52	むらさきあんこ	おいしい煮玉子	
130	00:03:06	mori mori	草	
