行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	八木谷	お疲れ様ー	
1	00:00:00	名馬ポニー	今回DASH3は実況しな…DASH3はどこ…？ここ…？	
2	00:00:00	FFDD	ゆっくり休んで	
3	00:00:00	究極ド根性ダイコン	明日も大姉ちゃんあるしなあ	
4	00:00:00	心穏やか	体壊さないよう気をつけてね	
5	00:00:00	八木谷	少しでも休んでね…	
6	00:00:00	ジョナサン・グレーン	ハァ…ハァ…二度寝してた…	
7	00:00:00	ジョナサン・グレーン	クリアしたn！？	
8	00:00:00	名馬ポニー	一時休憩ですね	
9	00:00:00	ジョナサン・グレーン	ですよね…	
10	00:00:00	ジュンペイ	これ今日は1だけで終わるやつ？	
11	00:00:00	心穏やか	ストーリーは短いですけど３Ｄ酔いがきついゲームなので心配ですね	
12	00:00:00	R gon	思うんだけどクゥ姉のサムネ毎回凝ってるよね	
13	00:00:00	岸辺一徳	꧁꧂	
14	00:00:00	めるカバ	꧁꧂　	
15	00:00:00	究極ド根性ダイコン	当たり前のように混ざってる感じが好き	
16	00:00:00	バーチャルYouTuberガニメデちゃんねる	ごはん食べてもどってきたが……？	
17	00:00:00	Garden	マリオRPGのサムネ好き	
18	00:00:00	うぇいのる	꧁꧂	
19	00:00:00	バーチャルYouTuberガニメデちゃんねる	まだもうちょと大丈夫かな…？トイレ行っておこう	
20	00:00:12	せせらぎ	꧁꧂<ﾔﾙｿﾞｰ	
21	00:00:21	えび	おいたま～	
22	00:00:22	Shuzo	はじまった！高評価！	
23	00:00:25	mori mori	姉ちゃんがサルを眺めている	
24	00:00:28	ある	🤣	
25	00:00:29	岸辺一徳	꧁꧂<おいしい煮玉子	
26	00:00:33	ジョナサン・グレーン	おいしい煮玉子〜	
27	00:00:36	ふーばー	おいしい煮玉子	
28	00:00:38	_ Die	おかえり煮玉子	
29	00:00:39	Garden	おいしい煮玉子	
30	00:00:39	ブロア	おいしい煮玉子	
31	00:00:40	おさかな	姉ちゃんいますごい声出してなかった？	
32	00:00:42	ミワタリ	おいしい煮玉子	
33	00:00:43	究極ド根性ダイコン	おいしい煮玉子	
34	00:00:47	むらさきあんこ	ガラ声だ…	
35	00:00:50	うぇいのる	꧁꧂<ｵｲｼｲﾆﾀﾏｺﾞｰ	
36	00:00:50	おさかな	おいしい煮玉子	
37	00:00:50	ゴギガガガギゴ	おいしい煮玉子	
38	00:00:51	めるカバ	おいしい煮玉子	
39	00:00:54	タケノコ男	おいしい煮玉子	
40	00:01:09	いちごぱすた	おいしい煮玉子！	
41	00:01:14	めるカバ	꧁꧂　꧁꧂	
42	00:01:43	いぶきんぐ	おいしい煮玉子　	
43	00:01:44	大渕透耶のVTuberCh	こんにちわ	
44	00:01:49	Luce	テクニシャン坊や	
45	00:01:57	タケノコ男	ハッピーバースデー、テクニシャンぼうや！	
46	00:01:58	tage	テクぼう	
