行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	スモーク	おいしい煮玉子	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	biggs	おいしい煮玉子	
3	00:00:00	パンセポンセ	おいしい煮玉子	
4	00:00:00	はおたど	おいしい煮玉子	
5	00:00:00	eve	おいしい煮玉子	
6	00:00:18	_ Tamaya	おいしい煮玉子	
7	00:00:19	結城晶	おいしい煮玉子	
8	00:00:21	ゆおた	おいしい煮玉子	
9	00:00:21	いぶきんぐ	おいしい煮玉子	
10	00:00:26	マイフェイバリットトリビアン	おいしい煮玉子	
11	00:00:27	なまずおとうしろう	おいしい煮玉子	
12	00:00:32	biggs	辛い時間帯	
13	00:00:35	いぶきんぐ	声がループしてる？	
14	00:00:37	むむめめ	おいしい煮玉子	
15	00:00:37	ゆおた	声がダブってる？	
16	00:00:42	もっけい	よく寝た？	
17	00:00:44	桜田紅	お声が二重	
18	00:00:50	うぇいのる	おいしい煮玉子 声二重、	
19	00:00:52	はおたど	声が二重に聞こえる	
20	00:00:57	ゆおた	この配信見てるから楽しい	
21	00:01:02	ジャック・オー	おいしい煮玉子	
22	00:01:02	たびびと	おいしい煮玉子	
23	00:01:04	はおたど	もどった！	
24	00:01:05	らうらう	おいしい煮玉子✕2	
25	00:01:10	マイフェイバリットトリビアン	むしろGWのメインイベント	
26	00:01:12	biggs	充実したGWだよ	
27	00:01:19	スモーク	草	
28	00:01:25	桜田紅	おいしい煮玉子	
29	00:01:28	eve	姉ちゃん見れてるから充実してる	
30	00:01:46	たびびと	エンジョイ&エキサイティング	
31	00:01:53	らうらう	姉ちゃんもエンジョイして	
32	00:02:06	Ganon	お！	
33	00:02:12	蒲公英ポポサ	​おいしい煮玉子	
34	00:02:17	なる	おいしい煮玉子	
35	00:02:26	ホワイトラン衛兵	おいしい煮玉子	
36	00:02:28	Ganon	寝てるんや	
37	00:02:33	らうらう	アサクリ坊？	
38	00:02:34	sio3go	美味しい煮玉子	
39	00:02:41	蒲公英ポポサ	何を召喚してんだろうなぁ！？	
40	00:02:42	らうらう	がさごそ	
41	00:02:50	八木谷	おいしい煮玉子	
42	00:03:03	Ganon	ここ名台詞	
43	00:03:12	蒲公英ポポサ	ここ大事	
44	00:03:19	いぶきんぐ	情報共有しないのはどうなんだろう…	
45	00:03:22	Ganon	ここ集中	
46	00:03:48	Ganon	あわわわわわわ	
47	00:04:07	いぶきんぐ	ザナルカンドだ	
48	00:04:11	白雪	おいしい煮玉子	
49	00:04:16	ホワイトラン衛兵	かわいい	
50	00:04:35	はおたど	シンって蜃？	
51	00:04:35	なる	ティーダが目指してたザナルカンド	
52	00:04:46	天然ステルス	おいしい煮玉子	
53	00:04:52	らうらう	くるくるかわいい	
54	00:05:04	スモーク	アサクリボーイ	
55	00:05:09	くーねる	おいしい煮玉子	
56	00:00:00	スモーク	おいしい煮玉子	
57	00:00:00	らうらう	おいしい煮玉子	
58	00:00:00	biggs	おいしい煮玉子	
59	00:00:00	パンセポンセ	おいしい煮玉子	
60	00:00:00	はおたど	おいしい煮玉子	
61	00:00:00	eve	おいしい煮玉子	
62	00:00:18	_ Tamaya	おいしい煮玉子	
63	00:00:19	結城晶	おいしい煮玉子	
64	00:00:21	ゆおた	おいしい煮玉子	
65	00:00:21	いぶきんぐ	おいしい煮玉子	
66	00:00:26	マイフェイバリットトリビアン	おいしい煮玉子	
67	00:00:27	なまずおとうしろう	おいしい煮玉子	
68	00:00:32	biggs	辛い時間帯	
69	00:00:35	いぶきんぐ	声がループしてる？	
70	00:00:37	むむめめ	おいしい煮玉子	
71	00:00:37	ゆおた	声がダブってる？	
72	00:00:42	もっけい	よく寝た？	
73	00:00:44	桜田紅	お声が二重	
74	00:00:50	うぇいのる	おいしい煮玉子 声二重、	
75	00:00:52	はおたど	声が二重に聞こえる	
76	00:00:57	ゆおた	この配信見てるから楽しい	
77	00:01:02	ジャック・オー	おいしい煮玉子	
78	00:01:02	たびびと	おいしい煮玉子	
79	00:01:04	はおたど	もどった！	
80	00:01:05	らうらう	おいしい煮玉子✕2	
81	00:01:10	マイフェイバリットトリビアン	むしろGWのメインイベント	
82	00:01:12	biggs	充実したGWだよ	
83	00:01:19	スモーク	草	
84	00:01:25	桜田紅	おいしい煮玉子	
85	00:01:28	eve	姉ちゃん見れてるから充実してる	
86	00:01:46	たびびと	エンジョイ&エキサイティング	
87	00:01:53	らうらう	姉ちゃんもエンジョイして	
88	00:02:06	Ganon	お！	
89	00:02:12	蒲公英ポポサ	​おいしい煮玉子	
90	00:02:17	なる	おいしい煮玉子	
91	00:02:26	ホワイトラン衛兵	おいしい煮玉子	
92	00:02:28	Ganon	寝てるんや	
93	00:02:33	らうらう	アサクリ坊？	
94	00:02:34	sio3go	美味しい煮玉子	
95	00:02:41	蒲公英ポポサ	何を召喚してんだろうなぁ！？	
96	00:02:42	らうらう	がさごそ	
97	00:02:50	八木谷	おいしい煮玉子	
98	00:03:03	Ganon	ここ名台詞	
99	00:03:12	蒲公英ポポサ	ここ大事	
100	00:03:19	いぶきんぐ	情報共有しないのはどうなんだろう…	
101	00:03:22	Ganon	ここ集中	
102	00:03:48	Ganon	あわわわわわわ	
103	00:04:07	いぶきんぐ	ザナルカンドだ	
104	00:04:11	白雪	おいしい煮玉子	
105	00:04:16	ホワイトラン衛兵	かわいい	
106	00:04:35	はおたど	シンって蜃？	
107	00:04:35	なる	ティーダが目指してたザナルカンド	
108	00:04:46	天然ステルス	おいしい煮玉子	
109	00:04:52	らうらう	くるくるかわいい	
110	00:05:04	スモーク	アサクリボーイ	
111	00:05:09	くーねる	おいしい煮玉子	
112	00:05:38	biggs	どういうこったい	
113	00:05:44	白雪	あたり	
114	00:05:57	Ganon	なきそう	
115	00:05:57	うぇいのる	？？？	
116	00:06:01	ゆかり	大事	
117	00:06:06	biggs	？	
118	00:06:09	なまずおとうしろう	わからん	
119	00:06:24	なる	名前を付けれるのは…	
120	00:07:04	なまずおとうしろう	ベベル側が機械なのか	
121	00:07:20	たびびと	ティーダはザナルカンドエイブスのエース、ティーダは皆のスターなんだよ	
122	00:07:24	Ganon	すごい	
123	00:07:27	いぶきんぐ	なるほど	
124	00:07:36	Kei H	wako	
125	00:07:37	らうらう	アサクリ坊なんなん	
126	00:07:47	りあすて	眠らないってそういうこと・・・？	
127	00:07:51	Kei H	ここか・・・	
128	00:08:02	蒲公英ポポサ	大昔にザナルカンドは無くなってた・・そしてなんとか残すために夢を召喚して形にのこしたのか	
129	00:08:03	ゆかり	つまりは。	
130	00:08:07	白雪	夢 それは夢 ゆーめー	
131	00:08:17	はおたど	蜃気楼か	
132	00:08:18	Kei H	まぼろしー	
133	00:08:29	なる	本当にあった街ごと召喚されてる感じ	
134	00:08:31	biggs	アルティマニア面白いよ	
135	00:08:36	りあすて	昔はこんなでよかったなぁってこと？	
136	00:09:00	天然ステルス	エスカフローネのガイアみたいな	
137	00:09:02	biggs	ここがあったのは本当	
138	00:09:16	Ganon	わけわかんねぇよ	
139	00:09:25	らうらう	姉ちゃん「わけわかんねえよ」	
140	00:09:33	りあすて	軍事力は召喚士だけど町は文明発達してたんじゃない？	
141	00:09:44	白雪	滅び行くザナルカンド人はみんなでザナルカンドの夢を召喚した ティーダはその中のただの夢……だった	
142	00:09:55	Kei H	もし滅びないまま１０００年平和だったらこうなってたはずって世界	
143	00:10:02	はおたど	リュックかわいい	
144	00:10:05	ゆかり	今分からなくてもそのうち分かる	
145	00:10:21	白雪	今はここまで説明されたね	
146	00:10:34	蒲公英ポポサ	自分がただの夢ってのが辛いな	
147	00:10:43	なまずおとうしろう	人だよ	
148	00:11:15	りあすて	アーリマンだ	
149	00:11:25	うぇいのる	終盤感ある	
150	00:11:53	なる	1000年前のザナルカンドの再現がティーダの生まれたとこ	
151	00:11:57	ジャック・オー	ベヒーモスは別にいるよ	
152	00:12:04	マイフェイバリットトリビアン	ティーダの元居た建物や住人はザナルカンドの人々が再現して召喚したもの	
