行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	バリ島のサボテン	おいしい待機	
1	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
2	00:00:00	なんたら	おいしい煮玉子	
3	00:00:00	ヌルヌペペ	おいしい煮玉子	
4	00:00:00	Shota Hamada	おいしい煮玉子	
5	00:00:00	えび	おいしい煮玉子	
6	00:00:00	Shuzo	おいしい煮玉子	
7	00:00:00	じょーげん	おいしい煮玉子	
8	00:00:00	うぇいのる	おいしい煮玉子	
9	00:00:00	さんぽーる祐三	おいしい煮玉子	
10	00:00:00	めるカバ	おいしい煮玉子	
11	00:00:00	ジョナサン・グレーン	おにたま〜	
12	00:00:00	さんぽーる祐三	アイドルのアイは愛	
13	00:00:16	ジョナサン・グレーン	おいしい煮玉子〜	
14	00:00:17	Loki GH	おいたまー	
15	00:00:17	eve	おいしい煮玉子	
16	00:00:17	_ Die	おいしい煮玉子	
17	00:00:18	もっけいChannel	おいしい煮玉子	
18	00:00:20	Strayed	おにたまー	
19	00:00:24	あい	おいしい煮玉子	
20	00:00:25	mori mori	は？	
21	00:00:25	むらさきあんこ	かわいい	
22	00:00:25	尾花	おいしい煮玉子	
23	00:00:26	なんたら	姉ちゃん	
24	00:00:32	邪神シャビ	今北でっす	
25	00:00:32	食べる小魚	声が高い！	
26	00:00:32	_ Die	かわいい	
27	00:00:39	eve	かわいい	
28	00:00:41	ジョナサン・グレーン	姉ちゃん今日は一段と声かわいいね	
29	00:00:41	ゴギガガガギゴ	久しぶりに聞いた	
30	00:00:42	Strayed	姉ちゃんの声が高いです	
31	00:00:43	尾花	自己紹介ボイス	
32	00:00:49	八木谷	おいしい煮玉子	
33	00:00:56	八木谷	声がかわいい	
34	00:01:03	灘こよみ	おいしい煮玉子	
35	00:01:06	ヤマえもん	おいしい煮玉子	
36	00:01:10	はるにれ	おいしい煮玉子	
37	00:01:15	あい	動画作る暇なくない？	
38	00:01:15	Loki GH	マジかよ姉ちゃん！	
39	00:01:17	もっけいChannel	実質起業系VTuberじゃん・・・	
