行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	やなぎかげ	おつかれ煮玉子	
1	00:00:00	Shota Hamada	おつたま～	
2	00:00:00	ぼんじりウマ太郎	おつたま	
3	00:00:00	Clacklin/クラックリン	たのしみ〜	
4	00:00:00	天然ステルス	おいしい煮玉子	
5	00:00:00	らうらう	​おいしい煮玉子	
6	00:00:00	zon 〇	おいしい煮玉子	
7	00:00:00	リフェ	おいしい煮玉子	
8	00:00:00	なんたら		￥100
9	00:00:00	なんたら		￥100
10	00:00:00	なんたら	正攻法！！！！	￥1,000
11	00:00:00	カーマイン	クリアおめでとう！&おやすみ煮玉子	￥1,200
12	00:00:28	JUNY	おいしい煮玉子	
13	00:00:30	なんたら	おいしい煮玉子	
14	00:00:32	ポルポル	おいしい煮玉子	
15	00:00:34	タケノコ男	おいしい煮玉子	
16	00:00:35	べるべる	おいしい煮玉子	
17	00:00:36	天然ステルス	おいしい煮玉子	
18	00:00:37	eve 8848	おいしい煮玉子	
19	00:00:40	にけい	おいしい煮玉子	
20	00:00:41	ミワタリ	おいしい煮玉子	
21	00:00:43	スモーク	おいしい煮玉子	
22	00:00:44	のねずみ20日	おいしい煮玉子	
23	00:00:46	らうらう	おいしい煮玉子～	
24	00:00:47	うぇいのる	おいしい煮玉子	
25	00:00:53	キタカシ	おいしい煮玉子	
26	00:00:57	motiyomogi	おいしい煮玉子	
27	00:01:09	スモーク	えぇ…	
28	00:01:09	じょーげん	失敗？	
29	00:01:09	べるべる	犬が住む方の犬小屋	
30	00:01:10	キタカシ	カレー飯作るのを失敗…？	
31	00:01:12	究極ド根性ダイコン	カレーメシ作るのに失敗…？	
32	00:01:16	ホワイトラン衛兵	おいしい煮玉子	
33	00:01:17	JUNY	カレーメシ失敗する人初めて見た	
34	00:01:22	のねずみ20日	おいしいカレーメシ	
35	00:01:26	なんたら	入れ過ぎちゃったのか	
36	00:01:30	らうらう	ちゃんとまぜたらとろみつくよ	
37	00:01:31	タケノコ男	カレーメシに失敗なんてあるのか	
38	00:01:41	カーマイン	おいしいカレースープ	
39	00:01:43	Clacklin/クラックリン	そんなばかな…	
40	00:01:46	うぇいのる	逆にすごい	
41	00:02:09	ああ	おいしい煮玉子	
42	00:02:14	名馬ポニー	おいしいカレーメシ(キーマ味)	
43	00:02:22	Clacklin/クラックリン	名人が戦えよ	
44	00:02:24	ka Moni	おいしい煮玉子	
45	00:02:24	キタカシ	めっちゃ早口	
46	00:02:46	内海柚	おいしい煮玉子	
47	00:02:49	御早和杯	おいしい煮玉子	
48	00:02:56	biggs	おいしい煮玉子	
49	00:02:56	キタカシ	2:00には終わりたいね	
50	00:03:05	mk 95	おいしい煮玉子	
51	00:03:24	キタカシ	プリズムフォレストはあり？	
52	00:03:53	ひとーん	おいしい煮玉子	
53	00:03:56	うぇいのる	草	
54	00:04:00	キタカシ	草	
55	00:04:04	岸辺一徳	ぐえー	
56	00:04:05	カーマイン	草	
57	00:00:00	やなぎかげ	おつかれ煮玉子	
58	00:00:00	Shota Hamada	おつたま～	
59	00:00:00	ぼんじりウマ太郎	おつたま	
60	00:00:00	Clacklin/クラックリン	たのしみ〜	
61	00:00:00	天然ステルス	おいしい煮玉子	
62	00:00:00	らうらう	​おいしい煮玉子	
63	00:00:00	zon 〇	おいしい煮玉子	
64	00:00:00	リフェ	おいしい煮玉子	
65	00:00:00	なんたら		￥100
66	00:00:00	なんたら		￥100
67	00:00:00	なんたら	正攻法！！！！	￥1,000
68	00:00:00	カーマイン	クリアおめでとう！&おやすみ煮玉子	￥1,200
69	00:00:28	JUNY	おいしい煮玉子	
70	00:00:30	なんたら	おいしい煮玉子	
71	00:00:32	ポルポル	おいしい煮玉子	
72	00:00:34	タケノコ男	おいしい煮玉子	
73	00:00:35	べるべる	おいしい煮玉子	
74	00:00:36	天然ステルス	おいしい煮玉子	
75	00:00:37	eve 8848	おいしい煮玉子	
76	00:00:40	にけい	おいしい煮玉子	
77	00:00:41	ミワタリ	おいしい煮玉子	
78	00:00:43	スモーク	おいしい煮玉子	
79	00:00:44	のねずみ20日	おいしい煮玉子	
80	00:00:46	らうらう	おいしい煮玉子～	
81	00:00:47	うぇいのる	おいしい煮玉子	
82	00:00:53	キタカシ	おいしい煮玉子	
83	00:00:57	motiyomogi	おいしい煮玉子	
84	00:01:09	スモーク	えぇ…	
85	00:01:09	じょーげん	失敗？	
86	00:01:09	べるべる	犬が住む方の犬小屋	
87	00:01:10	キタカシ	カレー飯作るのを失敗…？	
88	00:01:12	究極ド根性ダイコン	カレーメシ作るのに失敗…？	
89	00:01:16	ホワイトラン衛兵	おいしい煮玉子	
90	00:01:17	JUNY	カレーメシ失敗する人初めて見た	
91	00:01:22	のねずみ20日	おいしいカレーメシ	
92	00:01:26	なんたら	入れ過ぎちゃったのか	
93	00:01:30	らうらう	ちゃんとまぜたらとろみつくよ	
94	00:01:31	タケノコ男	カレーメシに失敗なんてあるのか	
95	00:01:41	カーマイン	おいしいカレースープ	
96	00:01:43	Clacklin/クラックリン	そんなばかな…	
97	00:01:46	うぇいのる	逆にすごい	
98	00:02:09	ああ	おいしい煮玉子	
99	00:02:14	名馬ポニー	おいしいカレーメシ(キーマ味)	
100	00:02:22	Clacklin/クラックリン	名人が戦えよ	
101	00:02:24	ka Moni	おいしい煮玉子	
102	00:02:24	キタカシ	めっちゃ早口	
103	00:02:46	内海柚	おいしい煮玉子	
104	00:02:49	御早和杯	おいしい煮玉子	
105	00:02:56	biggs	おいしい煮玉子	
106	00:02:56	キタカシ	2:00には終わりたいね	
107	00:03:05	mk 95	おいしい煮玉子	
108	00:03:24	キタカシ	プリズムフォレストはあり？	
109	00:03:53	ひとーん	おいしい煮玉子	
110	00:03:56	うぇいのる	草	
111	00:04:00	キタカシ	草	
112	00:04:04	岸辺一徳	ぐえー	
113	00:04:05	カーマイン	草	
114	00:04:08	ジョナサン・グレーン	おいしい煮玉子	
115	00:04:09	らうらう	もぐクゥ！	
116	00:04:10	ka Moni	ぐえー	
117	00:04:14	motiyomogi	おいしいカレーメシ	
118	00:04:14	なんたら	もう食べちゃおうよ	
119	00:04:18	カーマイン	横顔かわいい	
120	00:04:31	にけい	冷えたカレーは地獄だよ	
121	00:05:09	Clacklin/クラックリン	チャージは弾消しに便利だね	
122	00:05:12	リフェ	追尾性能高い…	
123	00:05:13	ka Moni	草	
124	00:05:18	ああ	ワンパターン戦法	
125	00:05:19	キタカシ	草	
126	00:05:22	うぇいのる	つよい	
127	00:05:26	ジョナサン・グレーン	名人最低だな…	
128	00:05:56	ザまめのすけ	ゲートマジックつかいてえなあ	
129	00:06:01	スモーク	性能頼りの名人	
130	00:06:47	キタカシ	？	
131	00:06:52	りあすて	マジか・・・	
132	00:06:53	ジョナサン・グレーン	草	
133	00:06:53	motiyomogi	草	
134	00:06:54	ka Moni	え	
135	00:06:58	キタカシ	選ぶ順番めちゃくちゃ過ぎたよ！！	
136	00:07:01	カーマイン	草	
137	00:07:03	Clacklin/クラックリン	草	
138	00:07:04	タケノコ男	草	
139	00:07:04	うぇいのる	草	
140	00:07:04	じょーげん	間にワイドをはさんでるぅ！！	
141	00:07:05	リフェ	ぐえー	
142	00:07:09	ホワイトラン衛兵	草	
143	00:07:13	なんたら	ドジを重ねていく	
144	00:07:17	りあすて	なんでだじゃあないんだよな	
145	00:07:19	ka Moni	ソード、ワイド、ワイド、エリアスチール、ロングソードで選んでたよ	
146	00:07:19	にけい	成功率低いね姉ちゃん…	
147	00:07:36	りあすて	エリアスチールも捨てるという失策	
148	00:07:53	じょーげん	ドリームソードの命中率が低すぎる…	
149	00:07:56	カーマイン	そうだね	
150	00:07:59	eve 8848	えらい	
151	00:08:02	岸辺一徳	さすが姉ちゃん	
152	00:08:03	うぇいのる	すごい	
153	00:08:03	タケノコ男	さすが姉ちゃん！	
154	00:08:04	スモーク	お、おう	
155	00:08:05	リフェ	なるほど	
156	00:08:05	なんたら	ありがとう	
157	00:08:06	motiyomogi	取れ高を気にしている！高評価！	
158	00:08:06	biki koto	かしこい	
159	00:08:06	ka Moni	配信向きのやつね	
160	00:08:07	ポルポル	撮れ高作れてえらい	
161	00:08:47	りあすて	お、ハンデか？っていうレベルの選択だったね	
162	00:08:52	motiyomogi	いけそう	
163	00:09:12	Clacklin/クラックリン	やっぱりカレーメシに心が囚われているのでは…？	
164	00:09:31	ああ	ソード、ロングソード、ワイドソード とかLNMとかわりとやりがち	
165	00:09:31	リフェ	やったー	
166	00:09:32	ジョナサン・グレーン	やったね	
167	00:09:32	biki koto	やったぜ！	
168	00:09:35	eve 8848	やったね！	
169	00:09:36	biggs	やったね	
170	00:09:36	motiyomogi	やったね	
171	00:09:37	らうらう	かわいい	
172	00:09:39	なんたら	かわいい	
173	00:09:39	ka Moni	やった	
174	00:09:39	らうらう	もぐもぐ！	
175	00:09:40	スモーク	かわいい	
176	00:09:41	キタカシ	もぐくぅ	
177	00:09:41	カーマイン	かわいい	
178	00:09:44	ホワイトラン衛兵	やったね	
179	00:09:45	にけい	やったね	
180	00:09:45	うぇいのる	やったね	
181	00:09:46	タケノコ男	食べてるのかわいい	
182	00:09:47	りあすて	姉ちゃん何食ってんの	
183	00:09:51	カーマイン	やったね	
184	00:10:13	eve 8848	あとどれくらい残ってるの	
185	00:10:36	ジョナサン・グレーン	ゲートマジック！	
186	00:10:43	八木谷	おいしい煮玉子	
187	00:10:52	ザまめのすけ	ストーンキューブガッツパンチ（小声）	
188	00:11:19	りあすて	バックアップだぞ	
189	00:11:24	八木谷	フラグ	
190	00:11:25	ka Moni	フラグ	
191	00:11:34	zon 〇	再発行システム作っとこうよ	
192	00:11:43	キタカシ	海外のワンナイトラブが良いよね	
193	00:11:47	カーマイン	草	
194	00:11:50	ka Moni	かわいい	
195	00:12:14	うぇいのる	かわいい	
196	00:12:14	りあすて	航空券お餅なんですか！？	
197	00:12:46	りあすて	ほうちょう持ってるじゃん・・・	
198	00:12:47	zon 〇	エグゼ2のころはプラグインが有線なんだよね	
199	00:12:54	キタカシ	ローラーシューズの車輪かな？	
200	00:13:16	zon 〇	パスポート入ってるのに	
201	00:13:17	らうらう	TAKUYA	
202	00:13:24	究極ド根性ダイコン	かわいい	
203	00:13:28	八木谷	は？	
204	00:13:28	ka Moni	草	
205	00:13:29	スモーク	草	
206	00:13:30	のねずみ20日	かわいい	
207	00:13:33	なんたら	かわいい	
208	00:13:33	K. u	草	
209	00:13:42	タケノコ男	草	
210	00:13:42	八木谷	草	
211	00:13:49	うぇいのる	草	
212	00:13:50	リフェ	草	
213	00:13:51	ka Moni	草とかわいいが入り乱れる謎地帯	
214	00:13:52	キタカシ	ロックマンロス	
215	00:14:04	キタカシ	こいつグラがあるぞ	
216	00:14:05	ゼッケン100	TAKUYA	
217	00:14:05	C.ジョンソン	おいしい煮玉子	
218	00:14:10	なんたら	お前があたってきたんだろ	
219	00:14:10	ジョナサン・グレーン	遊戯ボーイ！	
220	00:14:11	ka Moni	あやしい	
221	00:14:18	Clacklin/クラックリン	いいひとそう	
