行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	ダチョウの煮玉子	
1	00:00:00	うぇいのる	ダチョウの煮玉子	
2	00:00:00	陰キャバス竹中	ダチョウの煮玉子	
3	00:00:00	あい	ダチョウの煮玉子	
4	00:00:00	袖口	ダチョウの煮玉子	
5	00:00:00	ヌルヌペペ	ダチョウの煮玉子	
6	00:00:00	スモーク	ダチョウよりおいしい鶏の煮玉子	
7	00:00:00	竹輪	ダチョウの煮玉子	
8	00:00:00	ジャック・オー	ダチョワの煮玉子	
9	00:00:00	T.のかね	ダチョウの煮玉子	
10	00:00:00	じょーげん	ダチョウの煮玉子	
11	00:00:00	ニコラス・ケージ	ダチョウの煮玉子	
12	00:00:00	めるカバ	おいしいボンファイア	
13	00:00:00	ブロア	ダチョウの煮玉子	
14	00:00:00	いぶきんぐ	ダチョウの煮玉子	
15	00:00:00	ジョナサン・グレーン	ダチョウの煮玉子	
16	00:00:00	たんこぶ	ダチョウの煮玉子　🥚	
17	00:00:00	究極ド根性ダイコン	おいしくないダチョウの煮玉子	
18	00:00:18	バリ島のサボテン	ダチョウの煮玉子	
19	00:00:18	mk 95	ダチョウの煮玉子	
20	00:00:20	eve	ダチョウの煮玉子	
21	00:00:21	タケノコ男	ダチョウの煮玉子	
22	00:00:23	Redmix	ダチョウの煮玉子	
23	00:00:23	もっけい	おいしいダチョウの煮玉子	
24	00:00:24	チキン肉なし	ダチョウの煮玉子	
25	00:00:26	拡散の尖兵	ダチョウの煮玉子	
26	00:00:26	あい	ダチョウの煮玉子	
27	00:00:29	近藤大輔	輪ゴムみたいな食感の白身	
28	00:00:31	うぇいのる	ダチョウのソウル	
29	00:00:31	いぶきんぐ	ダチョウの煮玉子	
30	00:00:32	陰キャバス竹中	ダチョウの煮玉子	
31	00:00:32	らうらう	ダチョたま～	
32	00:00:33	ほるもん	だちたまー	
33	00:00:34	ジョナサン・グレーン	ダチョウの煮玉子よりおいしい鶏の煮玉子	
34	00:00:37	究極ド根性ダイコン	おけまる	
35	00:00:39	ジャック・オー	ダチョウの煮玉子ソウル	
36	00:00:46	ささき.	ダチョウの煮玉子	
37	00:00:48	ygk ichi	ダチョウの煮玉子	
38	00:00:49	めるカバ	ダーク煮玉子	
39	00:00:50	あい	移り行く挨拶	
40	00:00:50	さなちゃにすと	こんばんは！！！	
41	00:00:52	もっけい	ダチョウのデーモン	
42	00:00:54	タケノコ男	だいじょうぶです	
43	00:01:02	らうらう	正直いっておいしい煮玉子のほうがかわいい	
44	00:01:03	ほるもん	いえーい	
45	00:01:09	竹輪	ダチョ〜	
46	00:01:09	チキン肉なし	ダチョウの戦士の煮玉子のソウル	
47	00:01:22	うぇいのる	DLC難しいけどがんばえー	
48	00:01:25	ジョナサン・グレーン	だちょたま〜	
49	00:01:26	しょうが	ダチョウの煮卵	
50	00:01:28	いぶきんぐ	多分次回にはおいしい煮玉子に戻ってると思う	
51	00:01:34	陰キャバス竹中	煮玉子man	
52	00:01:36	あい	かわいい煮玉子	
53	00:01:47	らうらう	わかる	
54	00:01:50	ねこくーる	ダチョウの煮玉子マン	
55	00:01:53	Redmix	うｎ	
56	00:01:56	タケノコ男	おいしそう	
57	00:02:04	たんこぶ	この煮玉子マン味が染みてるー！！	
58	00:02:05	うぇいのる	わかる	
59	00:02:05	陰キャバス竹中	ヒュドラたおしてから書庫です	
60	00:02:06	らうらう	色がダチョウの煮玉子すぎるニタマゴマンだ	
61	00:02:06	ジョナサン・グレーン	姉ちゃんそろそろパリィ使えるようになろうね…無いとマジでラスボスきついから…	
62	00:02:10	ジャック・オー	書庫でレジアイスからペンダントはゲットしたかしら？	
63	00:02:11	mori mori	棚田見ても同じこと言いそう	
64	00:02:15	Garden	おいしいダチョウの煮玉子	
65	00:02:19	めるカバ	煮玉子を捧げよ	
66	00:02:21	拡散の尖兵	ダチョウの煮玉子面白かった	
67	00:02:27	ヌルヌペペ	おいしい煮玉子のほうが好き	
68	00:00:00	らうらう	ダチョウの煮玉子	
69	00:00:00	うぇいのる	ダチョウの煮玉子	
70	00:00:00	陰キャバス竹中	ダチョウの煮玉子	
71	00:00:00	あい	ダチョウの煮玉子	
72	00:00:00	袖口	ダチョウの煮玉子	
73	00:00:00	ヌルヌペペ	ダチョウの煮玉子	
74	00:00:00	スモーク	ダチョウよりおいしい鶏の煮玉子	
75	00:00:00	竹輪	ダチョウの煮玉子	
76	00:00:00	ジャック・オー	ダチョワの煮玉子	
77	00:00:00	T.のかね	ダチョウの煮玉子	
78	00:00:00	じょーげん	ダチョウの煮玉子	
79	00:00:00	ニコラス・ケージ	ダチョウの煮玉子	
80	00:00:00	めるカバ	おいしいボンファイア	
81	00:00:00	ブロア	ダチョウの煮玉子	
82	00:00:00	いぶきんぐ	ダチョウの煮玉子	
83	00:00:00	ジョナサン・グレーン	ダチョウの煮玉子	
84	00:00:00	たんこぶ	ダチョウの煮玉子　🥚	
85	00:00:00	究極ド根性ダイコン	おいしくないダチョウの煮玉子	
86	00:00:18	バリ島のサボテン	ダチョウの煮玉子	
87	00:00:18	mk 95	ダチョウの煮玉子	
88	00:00:20	eve	ダチョウの煮玉子	
89	00:00:21	タケノコ男	ダチョウの煮玉子	
90	00:00:23	Redmix	ダチョウの煮玉子	
91	00:00:23	もっけい	おいしいダチョウの煮玉子	
92	00:00:24	チキン肉なし	ダチョウの煮玉子	
93	00:00:26	拡散の尖兵	ダチョウの煮玉子	
94	00:00:26	あい	ダチョウの煮玉子	
95	00:00:29	近藤大輔	輪ゴムみたいな食感の白身	
96	00:00:31	うぇいのる	ダチョウのソウル	
97	00:00:31	いぶきんぐ	ダチョウの煮玉子	
98	00:00:32	陰キャバス竹中	ダチョウの煮玉子	
99	00:00:32	らうらう	ダチョたま～	
100	00:00:33	ほるもん	だちたまー	
101	00:00:34	ジョナサン・グレーン	ダチョウの煮玉子よりおいしい鶏の煮玉子	
102	00:00:37	究極ド根性ダイコン	おけまる	
103	00:00:39	ジャック・オー	ダチョウの煮玉子ソウル	
104	00:00:46	ささき.	ダチョウの煮玉子	
105	00:00:48	ygk ichi	ダチョウの煮玉子	
106	00:00:49	めるカバ	ダーク煮玉子	
107	00:00:50	あい	移り行く挨拶	
108	00:00:50	さなちゃにすと	こんばんは！！！	
109	00:00:52	もっけい	ダチョウのデーモン	
110	00:00:54	タケノコ男	だいじょうぶです	
111	00:01:02	らうらう	正直いっておいしい煮玉子のほうがかわいい	
112	00:01:03	ほるもん	いえーい	
113	00:01:09	竹輪	ダチョ〜	
114	00:01:09	チキン肉なし	ダチョウの戦士の煮玉子のソウル	
115	00:01:22	うぇいのる	DLC難しいけどがんばえー	
116	00:01:25	ジョナサン・グレーン	だちょたま〜	
117	00:01:26	しょうが	ダチョウの煮卵	
118	00:01:28	いぶきんぐ	多分次回にはおいしい煮玉子に戻ってると思う	
