行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	Redmix		￥100
1	00:00:17	周恩来	おいしい煮玉子	
2	00:00:18	あい	おいしい煮玉子	
3	00:00:19	天然ステルス	おいしい煮玉子	
4	00:00:22	なんたら	おいしい煮玉子	
5	00:00:22	なにここ	美味しい煮玉子	
6	00:00:23	biggs	おいしい煮玉子	
7	00:00:26	タケノコ男	おいしい煮玉子	
8	00:00:28	あい	かわいい	
9	00:00:29	sio3go	おいしい煮玉子	
10	00:00:29	Ami Saika	おいしい煮玉子	
11	00:00:30	空気	おいしい煮玉子	
12	00:00:36	らうらう	またかわいい声！！！	
13	00:00:36	ねこくーる	こんにちは	
14	00:00:37	Ami Saika	かわいい	
15	00:00:41	むらさきあんこ	せいそ！	
16	00:00:42	マイフェイバリットトリビアン	かわいい	
17	00:00:42	なにここ	清楚ギアで草	
18	00:00:42	たんこぶ	かわいい	
19	00:00:47	なんたら	かわいいかよ	
20	00:00:48	プラスワン	おいたま〜	
21	00:00:51	たんこぶ	清楚ギア	
22	00:00:53	プラスワン	かわいい	
23	00:00:53	biggs	じゃーん！！	
24	00:00:56	ジャック・オー	清楚な煮玉子	
25	00:00:59	motiyomogi	おいしい煮玉子	
26	00:00:59	なにここ	じゃーん！	
27	00:00:59	周恩来	じゃーん！	
28	00:01:03	Redmix	かわいい	
29	00:01:04	にけい	じゃーん！言って！	
30	00:01:20	うぇいのる	かわいい	
31	00:01:21	周恩来	かわいい	
32	00:01:21	あい	かわいい	
33	00:01:22	biggs	かわいい	
34	00:01:22	ジャック・オー	かわいい	
35	00:01:23	_ Die	かわいい	
36	00:01:24	ふーばー	かわいい	
37	00:01:25	らうらう	かわいい！！！！！！	
38	00:01:25	にけい	かわいい	
39	00:01:25	なにここ	かわいい	
40	00:01:25	タケノコ男	かわいい	
41	00:01:26	空気	じゃーん！かわいい	
42	00:01:26	motiyomogi	かわいい	
43	00:01:28	しねちゅー	かわいいじゃーん	
44	00:01:29	ああ	おいしい煮玉子 かわいい	
45	00:01:30	ねこくーる	じゃーん！	
46	00:01:33	味付けタマゴ	じゃーん	
47	00:01:35	たんこぶ		￥100
48	00:01:36	周恩来		￥100
49	00:01:36	なにここ	からのおうた	
50	00:00:00	Redmix		￥100
51	00:00:17	周恩来	おいしい煮玉子	
52	00:00:18	あい	おいしい煮玉子	
53	00:00:19	天然ステルス	おいしい煮玉子	
54	00:00:22	なんたら	おいしい煮玉子	
55	00:00:22	なにここ	美味しい煮玉子	
56	00:00:23	biggs	おいしい煮玉子	
57	00:00:26	タケノコ男	おいしい煮玉子	
58	00:00:28	あい	かわいい	
59	00:00:29	sio3go	おいしい煮玉子	
60	00:00:29	Ami Saika	おいしい煮玉子	
61	00:00:30	空気	おいしい煮玉子	
62	00:00:36	らうらう	またかわいい声！！！	
63	00:00:36	ねこくーる	こんにちは	
64	00:00:37	Ami Saika	かわいい	
65	00:00:41	むらさきあんこ	せいそ！	
66	00:00:42	マイフェイバリットトリビアン	かわいい	
67	00:00:42	なにここ	清楚ギアで草	
68	00:00:42	たんこぶ	かわいい	
69	00:00:47	なんたら	かわいいかよ	
70	00:00:48	プラスワン	おいたま〜	
71	00:00:51	たんこぶ	清楚ギア	
72	00:00:53	プラスワン	かわいい	
73	00:00:53	biggs	じゃーん！！	
74	00:00:56	ジャック・オー	清楚な煮玉子	
75	00:00:59	motiyomogi	おいしい煮玉子	
76	00:00:59	なにここ	じゃーん！	
77	00:00:59	周恩来	じゃーん！	
78	00:01:03	Redmix	かわいい	
79	00:01:04	にけい	じゃーん！言って！	
80	00:01:20	うぇいのる	かわいい	
81	00:01:21	周恩来	かわいい	
82	00:01:21	あい	かわいい	
83	00:01:22	biggs	かわいい	
84	00:01:22	ジャック・オー	かわいい	
85	00:01:23	_ Die	かわいい	
86	00:01:24	ふーばー	かわいい	
87	00:01:25	らうらう	かわいい！！！！！！	
88	00:01:25	にけい	かわいい	
89	00:01:25	なにここ	かわいい	
90	00:01:25	タケノコ男	かわいい	
91	00:01:26	空気	じゃーん！かわいい	
92	00:01:26	motiyomogi	かわいい	
93	00:01:28	しねちゅー	かわいいじゃーん	
94	00:01:29	ああ	おいしい煮玉子 かわいい	
95	00:01:30	ねこくーる	じゃーん！	
96	00:01:33	味付けタマゴ	じゃーん	
97	00:01:35	たんこぶ		￥100
98	00:01:36	周恩来		￥100
99	00:01:36	なにここ	からのおうた	
100	00:01:49	ふーばー	からの平常運転	
101	00:01:52	らうらう		￥100
102	00:02:04	ジャック・オー		￥100
103	00:02:16	Ami Saika		￥100
104	00:02:17	SyG TTT	草	
105	00:02:30	ニオ_	怯え声かわいい	
106	00:02:32	味付けタマゴ	ぽくて炒めとまんだください	
107	00:03:14	biggs	そういうことする	
108	00:03:20	なんたら	ｽｲｰ	
109	00:03:25	Ami Saika	ていうかやっぱここも火属性なのね	
110	00:03:43	らうらう	こいつワイリーに洗脳されてからブラストマンタウンつくったんか	
111	00:03:49	究極ド根性ダイコン	火というか爆発？	
112	00:03:53	りーだむ	こんにちわ	
113	00:05:13	ねこくーる	火より爆発の方が難しそう	
114	00:05:15	ブロア	おいしい煮玉子	
115	00:05:31	佐藤太郎	爆発がおおいな	
116	00:05:43	なんたら	特に意味はない爆破	
117	00:06:00	あい	かわいい	
118	00:06:04	ふーばー	かわいい	
119	00:06:06	らうらう	もぞもぞ	
120	00:06:06	たんこぶ	かわいい	
121	00:06:12	周恩来	かわいい	
122	00:06:13	SyG TTT	スピードギア自分が速くなるっつうか周りの時間経過が遅くなるのか	
123	00:06:39	なんたら	アメリカンクラッカーかよ	
124	00:06:40	ぴねかっと	はやい	
125	00:07:00	究極ド根性ダイコン	ボール撒こうぜ！	
126	00:07:04	biggs	欠陥アトラクションでは・・・？	
127	00:08:07	SyG TTT	めっちゃ喰らってるｗｗ	
128	00:08:11	タケノコ男	姉ちゃん...	
129	00:08:24	biggs	姉ちゃん･･･?	
130	00:08:25	あい	全て受け止めてる	
131	00:08:27	ねこくーる	一体の方が苦戦してる…	
132	00:08:29	ブロア	１体になってから強くなるボスだな！	
133	00:08:30	八木谷	やったね	
134	00:08:31	catblepas	姉ちゃんに攻撃を回避を同時に求めてはいけない……。	
135	00:08:35	biggs	余裕だったね･･･?	
136	00:08:37	あい	かわいい	
137	00:08:37	Ami Saika	使いすぎw	
138	00:08:38	なんたら	かわいい！	
139	00:08:40	らうらう	かわいい。	
140	00:08:44	岸辺一徳	かわいい	
141	00:08:45	周恩来	かわいい	
142	00:08:56	biggs	かわいい	
143	00:09:10	あい	ラッシュでずるしよう	
144	00:09:10	たんこぶ	ジェット	
145	00:09:21	nakiouzyo	装備してる？靴	
146	00:09:27	らうらう	かしこい	
147	00:10:23	nakiouzyo	棘の奴ですけど、通り過ぎたから大丈夫そうですね	
148	00:10:34	biggs	なんだ今の･･･	
149	00:10:55	あい	パワー特殊武器使って見よう	
150	00:11:13	なにここ	ブロック有能	
151	00:11:48	八木谷	ひえー	
152	00:11:50	biggs	すばやい	
153	00:11:53	タケノコ男	こっわ	
154	00:11:55	なんたら	順調	
155	00:12:08	あい	すっと落ちた	
156	00:12:10	岸辺一徳	草	
157	00:12:12	タケノコ男	草	
158	00:12:14	biggs	サンキュービート！	
159	00:12:18	じょーげん	下に道があるかのように！！	
160	00:12:18	ねこくーる	草	
161	00:12:21	周恩来	草	
162	00:12:21	なにここ	吸い込まれるように穴に	
163	00:12:31	20分ねずみ	うまい	
164	00:12:32	岸辺一徳	うまい	
165	00:12:33	biggs	神回避	
166	00:13:04	biggs	ｽｯ	
167	00:13:06	岸辺一徳	草	
168	00:13:32	biggs	？	
169	00:13:33	しねちゅー	え？	
170	00:13:34	ブロア	ん？	
171	00:13:34	mk 95	?	
172	00:13:36	めるカバ	え？	
173	00:13:36	ジョナサン・グレーン	はい	
174	00:13:36	あい	まあE缶？	
175	00:13:37	なにここ	道中長いよね11	
176	00:13:41	らうらう	？	
177	00:13:42	タケノコ男	？？？	
178	00:14:24	らうらう	かわいい	
179	00:14:28	D W	倒そう	
180	00:14:35	biggs	姉ちゃん！	
181	00:14:36	周恩来	かわいい	
182	00:14:37	Ami Saika	弾に当たりに行くスタイル	
183	00:14:41	究極ド根性ダイコン	ブロックとかツンドラで処理しないとつらそう	
184	00:14:47	ジョナサン・グレーン	かわいい	
185	00:14:48	Ami Saika	バリア良さそう	
186	00:14:48	めるカバ	倒さんのか	
187	00:14:55	ぬるりゅん	アシッド使えばいいのでは	
188	00:15:02	あい	特殊武器使ってみよ	
189	00:15:27	キタカシ	？	
190	00:15:31	biggs	やったね	
191	00:15:34	R. Sisn	はぇ～今のロックマンは色だけでなく外見も変わるのか	
192	00:15:41	なにここ	ブラストマンにバスター縛り…これは…	
193	00:15:41	ジョナサン・グレーン	観覧車先輩！	
194	00:15:54	ふーばー	観覧車先輩ちっす！	
195	00:16:10	九代目中山稲五朗	けもフレED	
196	00:16:19	はこ	ボンバーマンさんの後輩強いな	
197	00:16:20	めるカバ	キラークイーンかな？	
198	00:16:24	究極ド根性ダイコン	スピード時に当倍になるやつだと避けらんないのかな	
199	00:16:27	Ami Saika	弱点使ってええんやで…	
200	00:16:34	佐藤太郎	追尾型かー	
201	00:16:40	はこ	これKENNじゃね	
202	00:16:41	究極ド根性ダイコン	すげえ聞き覚えある声したぞ！	
203	00:16:48	タケノコ男	つよい	
204	00:16:53	biggs	つよい	
205	00:16:54	ジョナサン・グレーン	負けてばっかで嫌にならない？	
206	00:17:07	ブロア	やったね	
207	00:17:09	周恩来	やったね	
208	00:17:11	R. Sisn	あっぶ	
209	00:17:11	岸辺一徳	やったね！	
210	00:17:12	八木谷	あぶなかった	
211	00:17:13	あい	やったね	
212	00:17:13	ねこくーる	やったー！	
213	00:17:13	タケノコ男	やったね	
214	00:17:13	らうらう	やったね	
215	00:17:14	なんたら	やったね！	
216	00:17:14	biggs	KBTは無敵だ･･･	
217	00:17:16	はこ	調べたら遊馬だった	
218	00:17:16	なにここ	やったね	
219	00:17:19	ジョナサン・グレーン	ガッチャ！	
220	00:17:21	佐藤太郎	さて…	
221	00:17:23	めるカバ	やったね	
222	00:17:23	究極ド根性ダイコン	遊馬の人だわ！	
223	00:17:23	nakiouzyo	おお、バスター縛りでも行けましたね	
224	00:17:27	はこ	やったね	
225	00:17:29	あい	クンカクンカ	
226	00:17:30	motiyomogi	？	
227	00:17:31	abeshi	草	
228	00:17:33	岸辺一徳	ｸﾝｶｸﾝｶ	
229	00:17:40	じょーげん	そっちか	
230	00:17:49	九代目中山稲五朗	かわいい	
231	00:18:00	究極ド根性ダイコン	旧リボルバー様みたい	
232	00:18:00	なにここ	アクセルみある	
233	00:18:09	biggs	でけえ	
234	00:18:09	ブロア	パワーギアは強そう	
235	00:18:15	タケノコ男	うおおおおお	
236	00:18:20	R. Sisn	ほへ～	
237	00:18:21	なにここ	キャラが火属性	
238	00:18:22	らうらう	かわいい	
239	00:18:25	ニオ_	がばがばぁ	
240	00:18:25	岸辺一徳	草	
241	00:18:26	ジョナサン・グレーン	かわいい	
242	00:18:27	タケノコ男	かわいい	
243	00:18:30	ふーばー	アイテム買ってないのテーマ！	
244	00:18:34	biggs	エスト缶がやばい	
245	00:18:35	月森まどか	あらら	
246	00:18:35	九代目中山稲五朗	おうた	
247	00:18:35	空気	アイテム買ってないの歌かわいい	
248	00:18:47	D W	アイテム要らないなんて成長したな！	
249	00:19:02	なにここ	アイテム買ってないしネジアツマールでネジあつめとこ	
250	00:19:12	R. Sisn	このステージ、ガッツマンを思い出す	
251	00:19:19	らうらう	やーだ	
252	00:19:20	biggs	やーだ！！	
253	00:19:25	なんたら	やーだぁー！	
254	00:19:29	ブロア	かわいい	
255	00:20:18	佐藤太郎	ピッケルマン？	
256	00:20:21	岸辺一徳	つよい	
257	00:20:29	ジョナサン・グレーン	めっちゃ便利	
258	00:20:30	めるカバ	労災ヨシ！	
259	00:20:39	なにここ	懐かしのドリル	
260	00:20:47	佐藤太郎	早すぎるだろ	
261	00:20:48	ジョナサン・グレーン	ヨシ！	
262	00:20:56	Ami Saika	スピードギアで倒すんだろうな	
263	00:21:02	R. Sisn	何今の謎空間	
264	00:21:08	D W	ヨシ！	
265	00:21:12	ブロア	かわいい	
266	00:21:14	biggs	違法建築ヨシ！	
267	00:21:14	タケノコ男	かわいい	
268	00:21:19	Ami Saika	ハンマーブロスだ	
269	00:21:23	R. Sisn	いやらしい設置で草	
270	00:21:25	九代目中山稲五朗	かわいい	
271	00:21:27	究極ド根性ダイコン	このハンマーブロス強いな…	
272	00:21:42	岸辺一徳	生きとったんかワレ！	
273	00:21:53	うぇいのる	リスポンうっぜ！	
274	00:22:06	biggs	かわいい	
275	00:23:05	ZW犬死無能盾-肉無鶏	は？	
276	00:23:23	biggs	なんだこやつら・・・	
277	00:23:29	Ami Saika	スライディングでは	
278	00:23:40	佐藤太郎	即死じゃなくてよかった…	
279	00:23:47	究極ド根性ダイコン	ふにゃふにゃ集中力	
280	00:23:55	なにここ	疲労が蓄積している	
281	00:24:05	周恩来	きつい	
282	00:24:14	ブロア	ブロックおとしで上から？	
283	00:24:20	Ami Saika	ブロックじゃね	
284	00:24:21	ZW犬死無能盾-肉無鶏	つっよ	
285	00:24:45	タケノコ男	きっつい	
286	00:24:53	ZW犬死無能盾-肉無鶏	おお	
287	00:24:54	らうらう	つっよい	
288	00:24:55	タケノコ男	やったね	
289	00:24:56	Ami Saika	ブロック万能説	
290	00:24:57	biggs	労災だ！	
291	00:24:59	ジョナサン・グレーン	ヨシ！	
292	00:25:00	R. Sisn	労災ヨシ！	
293	00:25:01	20分ねずみ	ブロック便利すぎる	
294	00:25:01	ねこくーる	つよい	
295	00:25:01	究極ド根性ダイコン	労災ヨシ！	
296	00:25:06	ブロア	労災ヨシ！	
297	00:25:10	佐藤太郎	パワーとはこのようにして使うのか	
298	00:25:22	Ami Saika	メット被ってても防御できない	
299	00:25:34	たんこぶ	サンキューブロック	
300	00:25:34	20分ねずみ	ジェットは？	
301	00:26:09	Ami Saika	犬ジェットｗ	
302	00:26:19	biggs	そんなゴキジェットみたいな・・・	
303	00:26:28	究極ド根性ダイコン	熊ジェット先生の親戚かな	
304	00:26:57	Ami Saika	アイテムの効果？	
305	00:26:59	biggs	靴がなければ即死だった	
306	00:27:02	ブロア	トゲ耐性のアイテムかな	
307	00:27:15	うぇいのる	むっずいな…	
308	00:27:18	mori mori	内装ボロボロになりそうなステージだなあ	
309	00:27:22	ぴねかっと	前兆があるとはいえ激しいなあ	
310	00:27:42	PixelZ Maverickツ	hola	
311	00:27:44	20分ねずみ	草	
312	00:27:45	Ami Saika	犬ジェット使えば	
313	00:27:46	ねこくーる	草	
314	00:27:47	mori mori	草	
315	00:27:49	biggs	草	
316	00:27:53	周恩来	草	
317	00:27:54	PixelZ Maverickツ	😅	
318	00:28:02	イヌージョンCHANNEL	頭良い！	
319	00:28:11	タケノコ男	こっわ	
320	00:28:13	ZW犬死無能盾-肉無鶏	きたか	
321	00:28:14	biggs	やったね	
322	00:28:15	らうらう	はやい	
323	00:28:16	ブロア	よかったボスだ	
324	00:28:21	なにここ	E缶０	
325	00:28:23	mori mori	E缶が少ない！	
326	00:28:28	あい	一回死んでからのほうが良かったんじゃ	
327	00:28:28	biggs	エストが尽きた	
328	00:28:29	ZW犬死無能盾-肉無鶏	ブロックして毛	
329	00:28:29	PixelZ Maverickツ	algun español?	
330	00:28:30	うぇいのる	さて	
331	00:28:33	ブロア	登場がかっこよすぎる	
332	00:28:34	究極ド根性ダイコン	ヨシ！	
333	00:28:38	ジョナサン・グレーン	ナイスデザイン	
334	00:28:56	mori mori	避けられそうにない	
335	00:29:00	biggs	暑苦しい！	
336	00:29:05	らうらう	けろけろ！	
337	00:29:08	究極ド根性ダイコン	速い…	
338	00:29:09	なんたら	けろ	
339	00:29:14	うぇいのる	けろけろ	
340	00:29:14	あい	翻弄されとる	
341	00:29:14	ブロア	マッ缶だ！	
342	00:29:25	ZW犬死無能盾-肉無鶏	姉ちゃんなんでそんなブラスターにこだわるの…？	
343	00:29:30	biggs	M缶おいしい･･･	
344	00:29:44	ぴねかっと	ブラスター縛りだから…	
345	00:29:59	周恩来	でかい	
346	00:30:00	究極ド根性ダイコン	合体した！？	
347	00:30:02	ブロア	かっこいい	
348	00:30:03	らうらう	かっこいい	
349	00:30:06	biggs	やべえ・・・	
350	00:30:07	タケノコ男	つよそう	
351	00:30:09	Redmix	かっけえ	
352	00:30:15	八木谷	あっ	
353	00:30:15	ss kk	起死回生のダブルギアだっけ？あれは	
354	00:30:15	D W	パワー系すぎる	
355	00:30:17	うぇいのる	つよい	
