行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	キツネコ	おつかれさまです	
1	00:00:00	Kei H	wako	
2	00:00:00	リフェ	おいしい煮玉子	
3	00:00:00	らうらう	​おいしい煮玉子	
4	00:00:14	ジョナサン・グレーン	おいしい煮玉子	
5	00:00:16	パンセポンセ	おいしい煮玉子	
6	00:00:16	らうらう	かわいい	
7	00:00:19	motiyomogi	美味しい煮玉子	
8	00:00:19	桜田紅	おいしい煮玉子	
9	00:00:19	ジョナサン・グレーン	姉ちゃん！	
10	00:00:23	motiyomogi	かわいい	
11	00:00:23	らうらう	毎回言って	
12	00:00:23	Shota Hamada	ｗｗｗ	
13	00:00:24	ナウ	もっと言っていこう	
14	00:00:24	ミワタリ	おいしい煮玉子	
15	00:00:28	パンセポンセ	かわいい	
16	00:00:31	ジョナサン・グレーン	かわいい	
17	00:00:32	Slim _	おいし煮玉子	
18	00:00:36	りょう八咫烏ヒナ愛し隊所属	美味しい煮卵	
19	00:00:36	リフェ	かわいい	
20	00:00:37	Ryo Kamiya	おいしい煮玉子	
21	00:00:42	森田森男	営業モード捨てないで	
22	00:00:49	Shota Hamada	おいしい煮玉子	
23	00:01:12	らうらう	タイマーとまってる	
24	00:01:22	ジョナサン・グレーン	草	
25	00:01:22	motiyomogi	草	
26	00:01:32	ミワタリ	草	
27	00:01:38	Shota Hamada	草	
28	00:01:45	りょう八咫烏ヒナ愛し隊所属	時が動き出した	
29	00:01:51	結城晶	古の遊び	
30	00:01:53	白黒	おいしい煮玉子 クリクリはキラーハウンド→ゼロ式機士→マキナパンツァーのルートオススメ	
31	00:02:14	JUNY	おいしい煮玉子	
32	00:02:25	らうらう	雑姉ちゃんでてる	
33	00:02:27	motiyomogi	お！？	
34	00:02:30	リフェ	おや	
35	00:02:33	パンセポンセ	草	
36	00:02:33	白黒	草	
37	00:02:36	たくあんだよ	きたよーーーーー	
38	00:02:38	ナウ	TAKUYA!	
39	00:02:41	マイフェイバリットトリビアン	TAKUYA！？	
40	00:02:48	にけい	すげえ！SMAPだ！	
41	00:02:50	らうらう	だれ	
42	00:02:51	森田森男	木村拓哉だと思う	
43	00:02:53	ジョナサン・グレーン	TAKUYAAAA💖💖💖💖💖	
44	00:02:55	JUNY	イノシシマスク！	
45	00:02:55	motiyomogi	TAKUYA❤❤❤❤❤❤❤	
46	00:03:03	デンキヒツジ	おいしい煮玉子	
47	00:03:12	りょう八咫烏ヒナ愛し隊所属	ティーダのパチモン	
48	00:03:21	リフェ	マンモスみたいなのがラスボス…？	
49	00:03:32	motiyomogi	似てるだけじゃないかな～	
50	00:03:38	K. u	ティーダっぽい…？	
51	00:03:54	Kei H	辞書もっとよこせやｗ	
52	00:03:55	白黒	服装違うし、別人では？	
53	00:03:56	天然ステルス	おいしい煮玉子	
54	00:00:00	キツネコ	おつかれさまです	
55	00:00:00	Kei H	wako	
56	00:00:00	リフェ	おいしい煮玉子	
57	00:00:00	らうらう	​おいしい煮玉子	
58	00:00:14	ジョナサン・グレーン	おいしい煮玉子	
59	00:00:16	パンセポンセ	おいしい煮玉子	
60	00:00:16	らうらう	かわいい	
61	00:00:19	motiyomogi	美味しい煮玉子	
62	00:00:19	桜田紅	おいしい煮玉子	
63	00:00:19	ジョナサン・グレーン	姉ちゃん！	
64	00:00:23	motiyomogi	かわいい	
65	00:00:23	らうらう	毎回言って	
66	00:00:23	Shota Hamada	ｗｗｗ	
67	00:00:24	ナウ	もっと言っていこう	
68	00:00:24	ミワタリ	おいしい煮玉子	
69	00:00:28	パンセポンセ	かわいい	
70	00:00:31	ジョナサン・グレーン	かわいい	
71	00:00:32	Slim _	おいし煮玉子	
72	00:00:36	りょう八咫烏ヒナ愛し隊所属	美味しい煮卵	
73	00:00:36	リフェ	かわいい	
74	00:00:37	Ryo Kamiya	おいしい煮玉子	
75	00:00:42	森田森男	営業モード捨てないで	
76	00:00:49	Shota Hamada	おいしい煮玉子	
77	00:01:12	らうらう	タイマーとまってる	
78	00:01:22	ジョナサン・グレーン	草	
79	00:01:22	motiyomogi	草	
80	00:01:32	ミワタリ	草	
81	00:01:38	Shota Hamada	草	
82	00:01:45	りょう八咫烏ヒナ愛し隊所属	時が動き出した	
83	00:01:51	結城晶	古の遊び	
84	00:01:53	白黒	おいしい煮玉子 クリクリはキラーハウンド→ゼロ式機士→マキナパンツァーのルートオススメ	
85	00:02:14	JUNY	おいしい煮玉子	
86	00:02:25	らうらう	雑姉ちゃんでてる	
87	00:02:27	motiyomogi	お！？	
88	00:02:30	リフェ	おや	
89	00:02:33	パンセポンセ	草	
90	00:02:33	白黒	草	
91	00:02:36	たくあんだよ	きたよーーーーー	
92	00:02:38	ナウ	TAKUYA!	
93	00:02:41	マイフェイバリットトリビアン	TAKUYA！？	
94	00:02:48	にけい	すげえ！SMAPだ！	
95	00:02:50	らうらう	だれ	
96	00:02:51	森田森男	木村拓哉だと思う	
97	00:02:53	ジョナサン・グレーン	TAKUYAAAA💖💖💖💖💖	
