行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:10	キタカシ	美味しい煮玉子🥚🥚🥚🥚	
1	00:00:13	スモーク	おいしい煮玉子	
2	00:00:19	ほるもん	おいしい煮玉子	
3	00:00:20	海東純一	おいしい煮玉子	
4	00:00:21	御早和杯	おいしい煮玉子	
5	00:00:22	岸辺一徳	おいしい煮玉子	
6	00:00:23	キタカシ	缶ビール飲んでる！！！！	
7	00:00:25	なんたら	ｶｼｭｯ	
8	00:00:28	天然ステルス	おいしい煮玉子	
9	00:00:28	八木谷	おいしい煮玉子	
10	00:00:29	motiyomogi	おいしい煮玉子	
11	00:00:29	_ Die	おいしい煮玉子	
12	00:00:30	なる	おいしい煮玉子	
13	00:00:30	うぇいのる	おいしい煮玉子	
14	00:00:30	弐号。あくじき	おいしい煮玉子	
15	00:00:32	eve 8848	おいしい煮玉子	
16	00:00:32	内海柚	おいしい煮玉子	
17	00:00:33	むむめめ	いい音	
18	00:00:34	JUNY	おいしい煮玉子	
19	00:00:36	スモーク	モンエナ？	
20	00:00:40	ホワイトラン衛兵	おいしい煮玉子	
21	00:00:40	まりも	おいしい煮玉子	
22	00:00:55	究極ド根性ダイコン	おいしいモンエナ	
23	00:00:56	らうらう	おいしい煮玉子	
24	00:00:59	らうらう	カシュ！	
25	00:01:00	なんたら	きこえてないよ	
26	00:01:01	生霊X	おいしい煮玉子	
27	00:01:03	スモーク	聞こえた	
28	00:01:06	弐号。あくじき	炭酸！炭酸！！	
29	00:01:11	八木谷	いい音	
30	00:01:17	タケノコ男	おいしい煮玉子	
31	00:01:29	らうらう	飲酒配信だ	
32	00:01:32	生霊X	エスパー弟・・・？	
33	00:01:33	内臓脂肪	おいしいみず	
34	00:01:34	ナツメ大尉	おいしい煮玉子	
35	00:01:34	うぇいのる	想像力が足りないよ…	
36	00:01:38	竹輪	おいしい煮玉子	
37	00:01:40	海東純一	聞こえたよ	
38	00:01:46	motiyomogi	かわいい	
39	00:01:47	えび	かわいい	
40	00:01:47	JUNY	かわいい	
41	00:01:49	タケノコ男	かわいい	
42	00:01:53	ホワイトラン衛兵	かわいい	
43	00:01:59	Clacklin	おいしいみず	
44	00:02:00	あざーら	おいしい煮玉子かわいい	
45	00:02:07	sio3go	おいしい煮玉子	
46	00:02:07	木崎叢雲	おいしい煮卵子	
47	00:02:11	Redlead	おいしい煮玉子	
48	00:02:15	天然ステルス	里帰り	
49	00:02:30	キタカシ	who is that pokemon!?	
50	00:00:10	キタカシ	美味しい煮玉子🥚🥚🥚🥚	
51	00:00:13	スモーク	おいしい煮玉子	
52	00:00:19	ほるもん	おいしい煮玉子	
53	00:00:20	海東純一	おいしい煮玉子	
54	00:00:21	御早和杯	おいしい煮玉子	
55	00:00:22	岸辺一徳	おいしい煮玉子	
56	00:00:23	キタカシ	缶ビール飲んでる！！！！	
57	00:00:25	なんたら	ｶｼｭｯ	
58	00:00:28	天然ステルス	おいしい煮玉子	
59	00:00:28	八木谷	おいしい煮玉子	
60	00:00:29	motiyomogi	おいしい煮玉子	
61	00:00:29	_ Die	おいしい煮玉子	
62	00:00:30	なる	おいしい煮玉子	
63	00:00:30	うぇいのる	おいしい煮玉子	
64	00:00:30	弐号。あくじき	おいしい煮玉子	
65	00:00:32	eve 8848	おいしい煮玉子	
66	00:00:32	内海柚	おいしい煮玉子	
67	00:00:33	むむめめ	いい音	
68	00:00:34	JUNY	おいしい煮玉子	
69	00:00:36	スモーク	モンエナ？	
70	00:00:40	ホワイトラン衛兵	おいしい煮玉子	
71	00:00:40	まりも	おいしい煮玉子	
72	00:00:55	究極ド根性ダイコン	おいしいモンエナ	
73	00:00:56	らうらう	おいしい煮玉子	
74	00:00:59	らうらう	カシュ！	
75	00:01:00	なんたら	きこえてないよ	
76	00:01:01	生霊X	おいしい煮玉子	
77	00:01:03	スモーク	聞こえた	
78	00:01:06	弐号。あくじき	炭酸！炭酸！！	
79	00:01:11	八木谷	いい音	
80	00:01:17	タケノコ男	おいしい煮玉子	
81	00:01:29	らうらう	飲酒配信だ	
82	00:01:32	生霊X	エスパー弟・・・？	
83	00:01:33	内臓脂肪	おいしいみず	
84	00:01:34	ナツメ大尉	おいしい煮玉子	
85	00:01:34	うぇいのる	想像力が足りないよ…	
86	00:01:38	竹輪	おいしい煮玉子	
87	00:01:40	海東純一	聞こえたよ	
88	00:01:46	motiyomogi	かわいい	
89	00:01:47	えび	かわいい	
90	00:01:47	JUNY	かわいい	
91	00:01:49	タケノコ男	かわいい	
92	00:01:53	ホワイトラン衛兵	かわいい	
93	00:01:59	Clacklin	おいしいみず	
94	00:02:00	あざーら	おいしい煮玉子かわいい	
95	00:02:07	sio3go	おいしい煮玉子	
96	00:02:07	木崎叢雲	おいしい煮卵子	
97	00:02:11	Redlead	おいしい煮玉子	
98	00:02:15	天然ステルス	里帰り	
99	00:02:30	キタカシ	who is that pokemon!?	
100	00:02:49	なんたら	なんかかわいい	
101	00:02:50	めるカバ	おいしい煮玉子グリッドマンと風呂してきた	
102	00:02:52	キタカシ	お約束	
103	00:02:52	タケノコ男	かわいい	
104	00:02:52	らうらう	かわいいクソ動画	
105	00:02:55	竹輪	ファァァ	
106	00:02:59	Clacklin	くさ	
107	00:03:00	内臓脂肪	草	
108	00:03:10	天然ステルス	モンジャラが出る草むら	
109	00:03:17	JUNY	たしかに	
110	00:03:25	弐号。あくじき	またポケモンの数足りないって言われないか心配	
111	00:03:33	うぇいのる	バトルしないでレベル足りるかな…	
112	00:03:40	八木谷	こつばんの存在感	
113	00:03:47	まりも	戦うとしても技マシン回収するくらい？	
114	00:03:53	内臓脂肪	コイキングだと…	
115	00:04:05	スモーク	遅延行為ｗ	
116	00:04:06	えび	PP削りマン	
117	00:04:12	しろみんてぃS	ｐｐがなくなる…	
118	00:04:42	うぇいのる	時間もかかる…	
119	00:04:44	りあすて	PPけずりおとこ	
120	00:04:50	弐号。あくじき	コイキングを痛めつけてこの男は楽しいのだろうか	
121	00:05:05	岸辺一徳	草	
122	00:05:06	うぇいのる	草	
123	00:05:08	JUNY	草	
124	00:05:09	らうらう	眠気覚ましに体操しよう	
125	00:05:13	内臓脂肪	なんか最後だけギャラドス出してくる奴いなかったっけ？	
126	00:05:13	生霊X	３連コイキング	
127	00:05:23	弐号。あくじき	草	
128	00:05:26	あざーら	イキリ	
129	00:05:26	究極ド根性ダイコン	6連コイキングのやつもいたような…	
130	00:05:37	岸辺一徳	こういうおじさんに近づいちゃダメだという経験に…	
131	00:06:08	えび	かなしい	
132	00:06:09	うぇいのる	おいしいコイキングのたたき	
133	00:06:09	むむめめ	汚れ仕事の経験	
134	00:06:22	biggs	かなしい	
135	00:06:25	弐号。あくじき	主人公ちゃんの感情が読み取れない	
136	00:06:50	八木谷	草	
137	00:06:53	生霊X	ひぇ・・・	
138	00:07:06	究極ド根性ダイコン	姉ちゃん止まってる？	
139	00:07:10	弐号。あくじき	６連だったかあ	
140	00:07:13	JUNY	ひどい戦いだ	
141	00:07:14	スモーク	白熱のバトル！	
142	00:07:18	究極ド根性ダイコン	止まってなかった	
143	00:07:25	biggs	草	
144	00:07:32	竹輪	この釣り人はどんな心境でコイキングを出し続けていたんだ	
145	00:07:39	うぇいのる	はい	
146	00:07:46	motiyomogi	ﾍｱｯ	
147	00:07:47	究極ド根性ダイコン	ﾍｱｯ	
148	00:07:53	biggs	釣ったものをそのままお出ししないでほしい	
149	00:07:54	しろみんてぃS	へぁっ！	
150	00:07:54	らうらう	かわいい	
151	00:08:09	うぇいのる	ﾍｱｯかわいい	
152	00:08:10	キタカシ	マスターボール試運転しよう	
153	00:08:15	竹輪	あっ	
154	00:08:16	いぶきんぐ	…	
155	00:08:16	内臓脂肪	ちっ	
156	00:08:19	えび	はい	
157	00:08:28	弐号。あくじき	あっ	
158	00:08:35	ホワイトラン衛兵	ワヒー	
159	00:08:35	究極ド根性ダイコン	ワヒー	
160	00:08:36	岸辺一徳	ワヒー	
161	00:08:41	ミワタリ	ワヒー	
162	00:08:41	なんたら	」	
163	00:08:43	めるカバ	？？？	
164	00:08:45	えび	」	
165	00:08:47	うぇいのる	草	
166	00:08:49	竹輪	もはや雑ってレベルじゃない	
167	00:08:50	あざーら	」	
168	00:08:50	弐号。あくじき	」	
169	00:08:52	しろみんてぃS	」	
170	00:08:52	究極ド根性ダイコン	いよいよ適当さ極まってきたな…	
171	00:08:52	biggs	」	
172	00:08:55	らうらう	？	
173	00:08:57	岸辺一徳	ンーッ	
174	00:08:59	eve 8848	もはや何の意味もなさない...	
175	00:09:00	Clacklin	ニックネーム（文字列）	
176	00:09:03	らうらう	姉ちゃん！おきて！！	
177	00:09:03	うぇいのる	ンーッ	
178	00:09:11	motiyomogi	フムフム	
179	00:09:12	岸辺一徳	フムフム	
180	00:09:13	ホワイトラン衛兵	名前と呼ぶのがおこがましいレベルに…	
181	00:09:14	しろみんてぃS	ﾌﾑ（（ ˘ω ˘ ＊））ﾌﾑ	
182	00:09:14	あざーら	フムフム	
183	00:09:14	弐号。あくじき	フムフム	
184	00:09:15	マルミー	姉ちゃん！	
185	00:09:17	スモーク	草	
186	00:09:18	りあすて	寄生ジョーカーかな？	
187	00:09:24	うぇいのる	深夜だからか爆笑した	
188	00:09:25	竹輪	なんで…	
189	00:09:27	ホワイトラン衛兵	つよそう	
190	00:09:29	なんたら	うむ…	
191	00:09:30	ミワタリ	草	
192	00:09:41	なんたら	まそ	
193	00:09:41	えび	まそ	
194	00:09:44	弐号。あくじき	おわり	
195	00:09:44	ああ	おいしい煮玉子	
196	00:09:52	めるカバ	うん…うn！	
197	00:09:54	あざーら	チタンすき	
198	00:09:54	究極ド根性ダイコン	どちゃくそ雑マン	
199	00:10:35	Clacklin	シードラも次作では姉ちゃんのパーティに入る権利が	
200	00:10:44	うぇいのる	眠気が…	
201	00:11:03	biggs	四倍おいしい	
202	00:11:11	らうらう	こいつの顔サカキみたいだな	
203	00:11:14	弐号。あくじき	ホーホーすきなの	
204	00:11:25	海東純一	レッツゴーオタチ レッツゴーホーホー	
205	00:11:42	タケノコ男	かわいい	
206	00:11:44	なんたら	卍！	
207	00:11:45	岸辺一徳	あげぽよー	
208	00:11:46	まりも	ギャルだこれ	
209	00:11:47	マルミー	オオタコーチ	
210	00:11:47	いぶきんぐ	まーんじー	
211	00:11:48	りあすて	コーチトレーナーのキャラいろいろでかわいい	
212	00:11:49	竹輪	卍かわいい	
213	00:11:49	biggs	かわいい	
214	00:11:51	うぇいのる	マジ卍～	
215	00:12:04	らうらう	ふにゃふにゃかわいい	
216	00:12:05	ミワタリ	かわいい	
217	00:12:10	eve 8848	かわいい	
218	00:12:10	_ Die	マジ卍～	
219	00:12:17	八木谷	かわいい	
220	00:12:26	_ Die	草	
221	00:12:30	tio pepe	かわいい	
222	00:12:32	竹輪	おねむ姉ちゃんほんとかわいいな…	
223	00:12:33	ふたばred	ギャル姉ちゃんすこだ……	
224	00:12:35	いぶきんぐ	マージジルママジ卍	
225	00:12:43	biggs	ドリキャスは現役	
226	00:12:46	うぇいのる	ふにゃふにゃかわいい	
227	00:13:00	スモーク	かわいい	
228	00:13:00	えび	かわいい	
229	00:13:56	biggs	抜群なのにダメージ互角だ…	
230	00:14:00	いぶきんぐ	つよい	
231	00:14:01	えび	また石橋がしんどる！	
232	00:14:02	スモーク	いつもの	
233	00:14:03	八木谷	むごい	
234	00:14:10	Clacklin	ヴリヂストン…	
235	00:14:16	弐号。あくじき	ガルーラ捕まえたらライドしてほしい	
236	00:14:23	biggs	ガルーラには勝てなかったよ…	
237	00:14:37	Clacklin	石橋のハイライトは加入時だな…	
238	00:14:43	うぇいのる	やったね	
239	00:14:48	八木谷	ヤンジャン	
240	00:15:00	biggs	やったね	
241	00:15:01	りあすて	初こおり技かな	
242	00:15:31	Clacklin	地面にも通る	
243	00:15:33	うぇいのる	かわいい！	
244	00:15:33	いぶきんぐ	かわいい	
245	00:15:36	biggs	かわいい	
246	00:15:37	えび	かわいい	
247	00:15:38	タケノコ男	かわいい	
248	00:15:45	らうらう	かわいいよな	
249	00:16:15	弐号。あくじき	がんばって	
250	00:16:17	biggs	つよい	
251	00:16:18	うぇいのる	目を覚ませ僕らの世界が	
252	00:16:22	Clacklin	ソフマップへの思いに感動する	
253	00:16:22	eve 8848	がんばれー	
254	00:16:25	内臓脂肪	姉ちゃんがんばえー	
255	00:16:25	ふたばred	覚醒お姉ちゃん	
256	00:16:28	_ Die	かっこいい	
257	00:16:29	ホワイトラン衛兵	がんばって…	
258	00:16:30	タケノコ男	がんばえー	
259	00:16:32	キタカシ	がんばえー	
260	00:16:35	りあすて	ソフマップをキメている	
261	00:16:37	sio3go	つよい...!	
262	00:16:39	うぇいのる	がんばえー	
263	00:16:42	めるカバ	それ以上いけない	
264	00:16:46	らうらう	ふにゃふにゃ・・	
265	00:16:46	なんたら	しょうがない	
266	00:16:53	弐号。あくじき	オーキド殺しにかかるのすき	
267	00:16:57	ふたばred	博士の寿命も近い	
268	00:16:59	motiyomogi	キクコの元に送ろう	
269	00:17:06	なんたら	いけるいける！	
270	00:17:23	キタカシ	最後まで付き合うぜー	
271	00:17:44	弐号。あくじき	服着て泳ぐのか…	
272	00:17:50	うぇいのる	寝溜めしてきたからへーきへーき	
273	00:18:06	海東純一	眠いけどトキワジム見たい…	
274	00:18:10	biggs	服は着て髪は脱ぐ	
275	00:18:31	しろみんてぃS	眠いけどミュウツーみたい…	
276	00:18:41	キタカシ	めっちゃイベント追加されてるかも	
277	00:18:42	スモーク	よわいｗ	
278	00:18:54	キタカシ	コラッ！（ちょっぷ	
279	00:19:02	むむめめ	ポケモン屋敷って任意のイベントでしたっけ	
280	00:19:03	弐号。あくじき	草	
281	00:19:04	うぇいのる	メルタンはどこで来るんだろうか	
282	00:19:29	キタカシ	このマップ見てると陸上でなみのり使えるようにするバグを使って詰んだ思い出がよみがえってつらいねお姉ちゃん	
283	00:19:38	究極ド根性ダイコン	めるたんはポケGOとの連動限定とか聞いた	
284	00:19:39	うぇいのる	かわいい	
285	00:19:41	らうらう	かわいい	
286	00:19:42	Redlead	かわいい	
287	00:19:42	eve 8848	かわいい	
