行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	【たつーや】TA2-YA	YES	
1	00:00:00	B B	サンキュー	
2	00:00:00	焼肉太郎	おはよう	
3	00:00:00	EEB	というかまだ600人近く見てるとかすげぇなやっぱVR世界には睡眠は不要なんやな	
4	00:00:00	エクセルシオール	規則正しい生活に厳しい界隈	
5	00:00:00	aizax 777	忍者強く生きて	
6	00:00:00	Rin Scarlet	仕事で5時過ぎに家を出なきゃいけないからだゾ（震え）	
7	00:00:00	aizax 777	がんばれ	
8	00:00:00	焼肉太郎	世紀末っぽい	
9	00:00:00	エクセルシオール	がんばってください……	
10	00:00:13	_ Die	おかえり	
11	00:00:15	食べる小魚	おかえりー	
12	00:00:15	【たつーや】TA2-YA	おかえりー	
13	00:00:17	はるにれ	おかえり	
14	00:00:17	tage	おかえり	
15	00:00:19	スモーク	おいしい煮玉子	
16	00:00:21	始祖くらげ	おかえり	
17	00:00:21	くりお	おかえりです	
18	00:00:21	aizax 777	はろー	
19	00:00:21	くれみ	おかえりなさい	
20	00:00:24	ゴギガガガギゴ	おかえり	
21	00:00:24	鼻毛の錬金術師	おかえり	
22	00:00:24	エクセルシオール	おかえりなさい	
23	00:00:25	ゼッケン	おいしい煮玉子	
24	00:00:26	八木谷	おかえり	
25	00:00:26	EEB	おかえり	
26	00:00:26	馬の骨に念仏	おかえり	
27	00:00:35	なる	おかえり	
28	00:00:39	いぶきんぐ	おいしい煮玉子	
29	00:00:51	neiteng	ここから仕事とか地獄だな	
30	00:01:00	ネズミ2/2/6	おいしい煮玉子	
31	00:01:00	鼻毛の錬金術師	寝ないで大丈夫ですか	
32	00:01:02	九代目中山稲五朗	おいしい煮玉子	
33	00:01:06	エクセルシオール	おいしい煮玉子	
34	00:01:08	たびびと	定着しちゃったんだよ・・・	
35	00:01:09	センギ	おいしい煮玉子	
36	00:01:10	ロンドベルジェニ	おかえりなさい	
37	00:01:13	御早和杯	夜勤の合間に観ています、頑張ってくださいね	
38	00:01:20	周恩来	了解！おいしい煮玉子！	
39	00:01:21	くりお	おいしい煮玉子教	
40	00:01:30	くれみ	​おいしい煮玉子​おいしい煮玉子教	
41	00:01:33	ふじ	寝る準備してたら2つ目のメロディ見逃したわ…	
42	00:01:38	【たつーや】TA2-YA	ポーラのレべリングもかねてるからね	
43	00:01:39	くりお	橋直しおじさんいるっけ	
44	00:01:41	miso	牛をめんつゆに漬けよう	
45	00:01:46	neiteng	睡眠は現実の問題だ。僕はバーチャルだ	
46	00:01:48	エクセルシオール	橋壊れたままだっけ	
47	00:01:54	aizax 777	こころちゃん早く育って	
48	00:01:55	フレイムリンクス	姉ちゃんこの後どっかで一度休憩とる？	
49	00:02:03	【たつーや】TA2-YA	直ってるはず	
50	00:02:07	EEB	有能	
51	00:02:08	エクセルシオール	さすおじ	
52	00:02:14	Garden	有能	
53	00:02:17	fami fami	ハッピーハッピー村ってたまご取り放題のとこあったよね	
54	00:02:18	あい	おじさんは有能	
55	00:02:28	ラチェット	おはようレディプレイヤー1の4DXレイトみてきたけど良かったよ	
56	00:02:33	佐藤志緒美	テレポほしい	
57	00:02:45	ふじ	子供が活躍する世界のおじさんの半分くらいは有能	
58	00:02:46	はるにれ	えらい	
59	00:02:46	たんこぶ	えらい	
60	00:00:00	【たつーや】TA2-YA	YES	
61	00:00:00	B B	サンキュー	
62	00:00:00	焼肉太郎	おはよう	
63	00:00:00	EEB	というかまだ600人近く見てるとかすげぇなやっぱVR世界には睡眠は不要なんやな	
64	00:00:00	エクセルシオール	規則正しい生活に厳しい界隈	
65	00:00:00	aizax 777	忍者強く生きて	
66	00:00:00	Rin Scarlet	仕事で5時過ぎに家を出なきゃいけないからだゾ（震え）	
67	00:00:00	aizax 777	がんばれ	
68	00:00:00	焼肉太郎	世紀末っぽい	
69	00:00:00	エクセルシオール	がんばってください……	
70	00:00:13	_ Die	おかえり	
71	00:00:15	食べる小魚	おかえりー	
72	00:00:15	【たつーや】TA2-YA	おかえりー	
73	00:00:17	はるにれ	おかえり	
74	00:00:17	tage	おかえり	
75	00:00:19	スモーク	おいしい煮玉子	
76	00:00:21	始祖くらげ	おかえり	
77	00:00:21	くりお	おかえりです	
78	00:00:21	aizax 777	はろー	
79	00:00:21	くれみ	おかえりなさい	
80	00:00:24	ゴギガガガギゴ	おかえり	
