行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ナウ	待機	
1	00:00:00	岸辺一徳	おいしい煮玉子	
2	00:00:00	らうらう	おいしい煮玉子	
3	00:00:00	ほるもん	おいしい煮玉子	
4	00:00:00	うぇいのる	おいしい煮玉子	
5	00:00:00	カギカギ	おいしい煮玉子	
6	00:00:00	ふーばー	おいしい煮玉子	
7	00:00:00	じょーげん	おいしい煮玉子	
8	00:00:00	eve	おいしい煮玉子	
9	00:00:15	ヌルヌペペ	おいしい煮玉子	
10	00:00:15	岸辺一徳	おいしい煮玉子	
11	00:00:16	あい	おいしい煮玉子	
12	00:00:18	うぇいのる	おいしい煮玉子	
13	00:00:18	ヘンリーダーガー	おいしい煮玉子	
14	00:00:22	ほるもん	おいしい煮玉子	
15	00:00:25	JUNY	おいしい煮玉子	
16	00:00:26	ふーばー	​おいしい煮玉子	
17	00:00:28	タケノコ男	おいしい煮玉子	
18	00:00:31	カギカギ	おいしい煮玉子	
19	00:00:34	らうらう	おいしい煮玉子	
20	00:00:42	JUNY	大姉ちゃん眠いの？	
21	00:00:42	にけい	オイス・イニ・タマグッ	
22	00:00:43	カギカギ	気持ちのいい朝だね！	
23	00:00:48	ジャック・オー	おいしい煮玉子	
24	00:00:50	ふーばー	時間かかるかな	
25	00:00:57	ジョナサン・グレーン	おいたま〜	
26	00:01:02	クロムア	おいしい煮玉子	
27	00:01:10	ジャック・オー	いやー、気持ちのいい朝だね！	
28	00:01:21	らうらう	ずるずる	
29	00:01:23	ジョナサン・グレーン	溜まってたものを全部吐き出したからね！	
30	00:01:25	らうらう	おせき	
31	00:01:32	タケノコ男	おせき	
32	00:02:41	JUNY	シグムントの霊が仲間に！？	
33	00:02:58	eve	鼻調子悪そうだね	
34	00:02:58	拡散の尖兵	おいしい煮玉子	
35	00:03:37	岸辺一徳	急に寒くなったね……	
36	00:03:47	JUNY	ニベア塗らないと	
37	00:03:48	らうらう	ずるずるすぎる	
38	00:05:25	J u d a S S	おいしい煮玉子	
39	00:05:53	らうらう	クリアするのになんれべいるの？	
40	00:06:16	JUNY	地べたに座ってなんか薬物実験始めるやつら	
41	00:06:23	aarar scsrt	おいしいにたまご	
42	00:07:23	らうらう	コントローラ放置での自動狩りレベらげwikiにかいてあるけどこれするの	
43	00:08:24	らうらう	かわいい	
44	00:08:45	JUNY	でぃすかばり…ごくい…	
45	00:11:47	eve	かわいい	
46	00:12:01	やみくもちゃんねる	びっくりした	
47	00:12:21	チキン肉なし	おいしい煮玉子	
48	00:14:37	らうらう	​かわいい	
49	00:15:03	チキン肉なし	かわいい	
50	00:15:10	うぇいのる	かわいい	
51	00:19:07	チキン肉なし	コミケみたいな座り込みの前でハンマーが浮いている	
52	00:20:15	biggs	おいしい煮玉子	
53	00:20:48	にけい	コミケ待機感わかる	
54	00:22:39	陰キャバス竹中	おいしい煮玉子	
55	00:23:04	にけい	一度ダンジョンに出ちゃったら？	
56	00:23:32	らうらう	さむそう	
57	00:27:07	陰キャバス竹中	シナリオ内だったらどシリアスな内容じゃん、カペルVSシグムント	
58	00:28:33	An apprentice	なおせ連呼の闇カペル君は隠しダンジョンにもいなさそうですね....	
59	00:00:00	ナウ	待機	
60	00:00:00	岸辺一徳	おいしい煮玉子	
61	00:00:00	らうらう	おいしい煮玉子	
62	00:00:00	ほるもん	おいしい煮玉子	
63	00:00:00	うぇいのる	おいしい煮玉子	
64	00:00:00	カギカギ	おいしい煮玉子	
65	00:00:00	ふーばー	おいしい煮玉子	
66	00:00:00	じょーげん	おいしい煮玉子	
67	00:00:00	eve	おいしい煮玉子	
68	00:00:15	ヌルヌペペ	おいしい煮玉子	
69	00:00:15	岸辺一徳	おいしい煮玉子	
70	00:00:16	あい	おいしい煮玉子	
71	00:00:18	うぇいのる	おいしい煮玉子	
72	00:00:18	ヘンリーダーガー	おいしい煮玉子	
73	00:00:22	ほるもん	おいしい煮玉子	
74	00:00:25	JUNY	おいしい煮玉子	
75	00:00:26	ふーばー	​おいしい煮玉子	
76	00:00:28	タケノコ男	おいしい煮玉子	
77	00:00:31	カギカギ	おいしい煮玉子	
78	00:00:34	らうらう	おいしい煮玉子	
79	00:00:42	JUNY	大姉ちゃん眠いの？	
80	00:00:42	にけい	オイス・イニ・タマグッ	
81	00:00:43	カギカギ	気持ちのいい朝だね！	
82	00:00:48	ジャック・オー	おいしい煮玉子	
83	00:00:50	ふーばー	時間かかるかな	
84	00:00:57	ジョナサン・グレーン	おいたま〜	
85	00:01:02	クロムア	おいしい煮玉子	
86	00:01:10	ジャック・オー	いやー、気持ちのいい朝だね！	
87	00:01:21	らうらう	ずるずる	
88	00:01:23	ジョナサン・グレーン	溜まってたものを全部吐き出したからね！	
89	00:01:25	らうらう	おせき	
90	00:01:32	タケノコ男	おせき	
91	00:02:41	JUNY	シグムントの霊が仲間に！？	
92	00:02:58	eve	鼻調子悪そうだね	
93	00:02:58	拡散の尖兵	おいしい煮玉子	
94	00:03:37	岸辺一徳	急に寒くなったね……	
95	00:03:47	JUNY	ニベア塗らないと	
96	00:03:48	らうらう	ずるずるすぎる	
97	00:05:25	J u d a S S	おいしい煮玉子	
98	00:05:53	らうらう	クリアするのになんれべいるの？	
99	00:06:16	JUNY	地べたに座ってなんか薬物実験始めるやつら	
100	00:06:23	aarar scsrt	おいしいにたまご	
101	00:07:23	らうらう	コントローラ放置での自動狩りレベらげwikiにかいてあるけどこれするの	
102	00:08:24	らうらう	かわいい	
103	00:08:45	JUNY	でぃすかばり…ごくい…	
104	00:11:47	eve	かわいい	
105	00:12:01	やみくもちゃんねる	びっくりした	
106	00:12:21	チキン肉なし	おいしい煮玉子	
107	00:14:37	らうらう	​かわいい	
108	00:15:03	チキン肉なし	かわいい	
109	00:15:10	うぇいのる	かわいい	
110	00:19:07	チキン肉なし	コミケみたいな座り込みの前でハンマーが浮いている	
111	00:20:15	biggs	おいしい煮玉子	
112	00:20:48	にけい	コミケ待機感わかる	
113	00:22:39	陰キャバス竹中	おいしい煮玉子	
114	00:23:04	にけい	一度ダンジョンに出ちゃったら？	
115	00:23:32	らうらう	さむそう	
116	00:27:07	陰キャバス竹中	シナリオ内だったらどシリアスな内容じゃん、カペルVSシグムント	
117	00:28:33	An apprentice	なおせ連呼の闇カペル君は隠しダンジョンにもいなさそうですね....	
118	00:32:46	eve	かわいい	
119	00:33:08	らうらう	めっちゃおねむそう	
120	00:33:22	eve	大姉ちゃん眠いん？	
121	00:34:00	岸辺一徳	お薬飲んだ？	
122	00:35:09	岸辺一徳	まあそうだけど……	
123	00:35:19	らうらう	ええ・・・	
