行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	リフェ	おいしい煮玉子	
2	00:00:00	_ Die	おいしい煮玉子	
3	00:00:00	小さい胡麻塩	おいしい煮玉子	
4	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
5	00:00:12	ka Moni	おいしい煮卵	
6	00:00:16	motiyomogi	おいしい煮玉子	
7	00:00:18	竹輪	おいしい煮玉子	
8	00:00:20	なんたら	おいしい煮玉子	
9	00:00:21	sio3go	おいしい煮玉子	
10	00:00:24	マイフェイバリットトリビアン	おいしい煮玉子	
11	00:00:29	ジョナサン・グレーン	おいしい煮玉子	
12	00:00:46	リフェ	久野ちゃん出るんだ	
13	00:01:05	ジョナサン・グレーン	かわいい	
14	00:01:06	岸辺一徳	おいしい煮玉子	
15	00:01:07	竹輪	姉ちゃんどこ…	
16	00:01:17	なんたら	どこー	
17	00:01:20	motiyomogi	おはな？	
18	00:01:22	ジョナサン・グレーン	姉ちゃんどこ…？	
19	00:01:31	らうらう	姉ちゃんどこ	
20	00:01:32	_ Die	姉ちゃんどこ…	
21	00:02:38	竹輪	寂しい	
22	00:02:44	タケノコ男	おいしい煮玉子	
23	00:02:49	ジョナサン・グレーン	おいしい煮玉子	
24	00:02:51	らうらう	かわいい	
25	00:02:51	motiyomogi	おかえり	
26	00:02:54	刀根雅武	おいしい煮玉子	
27	00:02:55	リフェ	かわいい	
28	00:02:56	タケノコ男	かわいい	
29	00:02:56	_ Die	かわいい	
30	00:02:56	竹輪	かわいい	
31	00:03:01	小さい胡麻塩	おいしい煮玉子	
32	00:03:02	なんたら	かわいい	
33	00:03:03	ジョナサン・グレーン	かわいい	
34	00:03:16	竹輪	草	
35	00:03:18	毒入りトマト	おいしい煮卵！間に合った！	
36	00:03:18	せせらぎ	草	
37	00:03:21	タケノコ男	かわいい	
38	00:03:21	なんたら	難しい…	
39	00:03:25	ka Moni	なぜ…？	
