行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	リフェ	おいしい煮玉子	
2	00:00:00	ジャック・オー	クゥさんの配信を見て伝説対決-Arena of Valor-をインストールしました	
3	00:00:00	D W	おいしい煮玉子	
4	00:00:00	カギアカギ	おいしい煮玉子	
5	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
6	00:00:00	竹輪	おいたま	
7	00:00:00	こみこ	伝説煮玉子	
8	00:00:00	カーマイン	おいしい煮玉子	
9	00:00:00	岸辺一徳	おいしい煮玉子	
10	00:00:00	厳かな守護者P	おいしい煮玉子	
11	00:00:00	EEB	おいしい煮玉子	
12	00:00:00	ヌルヌペペ	おいしい煮玉子	
13	00:00:00	sas b	おいしい煮玉子	
14	00:00:00	スモーク	おいしい煮玉子	
15	00:00:00	クロム	おいしい煮玉子	
16	00:00:00	ひとーん	おいしい煮玉子	
17	00:00:00	桜田紅	おいしい煮玉子	
18	00:00:00	えび	おいしい煮玉子	
19	00:00:00	いぶきんぐ	おいしい煮玉子	
20	00:00:00	biggs	おいしい煮玉子	
21	00:00:09	岸辺一徳	おいしい煮玉子	
22	00:00:11	seafood	おいしい煮玉子	
23	00:00:15	ナウ	おいしい煮玉子	
24	00:00:15	ジョナサン・グレーン	おいしい煮玉子	
25	00:00:16	いぶきんぐ	おいしい煮玉子	
26	00:00:17	リフェ	おいしい煮玉子	
27	00:00:17	aarar scsrt	おいしい煮玉子	
28	00:00:18	motiyomogi	おいしい煮玉子	
29	00:00:19	こみこ	おいしい煮玉子	
30	00:00:19	ヌルヌペペ	おいしい煮玉子	
31	00:00:19	Ryo Kamiya	おいしい煮玉子	
32	00:00:21	カギアカギ	おいしい煮玉子	
33	00:00:21	笹部ヤンドルネン	おいしい煮玉子	
34	00:00:22	なんたら	おいしい煮玉子	
35	00:00:23	ジャック・オー	おいしい煮玉子	
36	00:00:24	カーマイン	おいしい煮玉子	
