行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジョナサン・グレーン	姉ちゃん…？	
1	00:00:00	ヌルヌペペ	遅刻？	
2	00:00:00	Garden	おにたま～	
3	00:00:00	らうらう	30分からにするって	
4	00:00:00	らうらう	おいたま	
5	00:00:00	ヌルヌペペ	おいしい煮玉子	
6	00:00:00	タマウガチ	半からなのか	
7	00:00:00	かんてら	おいしい煮玉子	
8	00:00:00	タマウガチ	おいしい煮玉子	
9	00:00:00	ジョナサン・グレーン	おにたま〜	
10	00:00:00	めるカバ	おいしい煮玉子	
11	00:00:00	あまいさい	おにたま	
12	00:00:00	ZW犬死無能盾-肉無鶏	おいしい煮玉子	
13	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
14	00:00:00	mk 95	おいしい煮玉子	
15	00:00:00	habanero	おいしい煮玉子	
16	00:00:00	らうらう	遅刻！遅刻！遅刻！遅刻！	
17	00:00:00	こみこ	Hey, delicious egg!	
18	00:00:11	究極ド根性ダイコン	おいしい煮玉子	
19	00:00:12	mori mori	サムネに欠片も遊戯王要素ないの草	
20	00:00:14	秋箱	おにたまー	
21	00:00:16	ジョナサン・グレーン	おにたま〜	
22	00:00:19	いぶきんぐ	おいしい煮玉子	
23	00:00:23	なんたら	おいしい煮玉子	
24	00:00:23	ZW犬死無能盾-肉無鶏	おいたまー	
25	00:00:24	Ami Saika	おいたまー	
26	00:00:24	Hisuki	(￣▽￣)ノ	
27	00:00:26	むらさきあんこ	おいしい煮玉子	
28	00:00:27	mori mori	あ、姉ちゃんだ	
29	00:00:27	周恩来	おいしい煮玉子	
30	00:00:27	八木谷	おいしい煮玉子	
31	00:00:28	双葉ゆうま	おにたま～	
32	00:00:28	zaff	おにたまー	
33	00:00:29	タケノコ男	おいしい煮玉子	
34	00:00:30	うぇいのる	おいしい煮玉子	
35	00:00:30	ゴギガガガギゴ	おいしい煮玉子	
36	00:00:30	みつはちみつ	おいたまー	
37	00:00:31	さんぽーる	おいしい煮玉子	
38	00:00:33	_ Die	おいしい煮玉子	
39	00:00:33	たびびと	おいしい煮玉子	
40	00:00:33	ノンフロン	おにたまー	
41	00:00:36	メレンゲ	おいたまー	
42	00:00:39	秋箱	美味しいKBTー	
43	00:00:41	こみこ	おにたま～	
44	00:00:41	灘こよみ	おいしい煮玉子	
45	00:00:41	のどあめ	おいたまー	
46	00:00:46	あい	おいしい煮玉子	
47	00:00:48	ジュンペイ	おにたま〜	
48	00:00:52	もふ	おいしい煮玉子	
49	00:00:52	tage	おいしい煮玉子	
50	00:00:53	たびびと	オンスモ撃破おめでと	
51	00:00:54	太陽サン	おみたまー	
52	00:00:55	あまいさい	おいしい煮玉子	
53	00:00:56	ヤマタノオロチ	おし煮た	
54	00:00:56	ヌルヌペペ	おいしい煮玉子	
55	00:00:58	こみこ	おいしい煮玉子だな？(意味不明)	
56	00:01:00	センギ	おいしい煮玉子	
57	00:01:01	周恩来	販売員かな？	
58	00:01:19	ジョナサン・グレーン	KBT！KBT！	
59	00:01:23	のどあめ	白い光のなーかにー(ボス戦)	
60	00:01:23	スルーラスト	おいしい煮玉子(๑>ڡ<๑)	
61	00:01:43	Garden	おいしいSOA	
62	00:01:44	いぶきんぐ	メガネかわいい	
63	00:01:49	スモーク	おいたま	
64	00:01:51	ハインツ	ワクチン！ワクチン！	
65	00:02:02	らうらう	メガネ率たかい高評価	
66	00:02:03	めるカバ	MONACAいいよね…	
67	00:02:20	fami fami	まだやってないから姉ちゃんの配信で読んどこ	
68	00:00:00	ジョナサン・グレーン	姉ちゃん…？	
69	00:00:00	ヌルヌペペ	遅刻？	
70	00:00:00	Garden	おにたま～	
71	00:00:00	らうらう	30分からにするって	
72	00:00:00	らうらう	おいたま	
