行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ゼッケン100	おいしい煮玉子	
1	00:00:00	ゼッケン100	いい煮おいのじじい	
2	00:00:00	クゥの部屋 Ch	いまいましいまじんのいし	
3	00:00:00	らうらう	しましままじん	
4	00:00:00	ゼッケン100	まじんの玉しい	
5	00:00:00	クゥの部屋 Ch	子じまのまま	
6	00:00:00	ジャック・オー	まじんの子	
7	00:00:00	なんたら	まままじん	
8	00:00:00	クゥの部屋 Ch	いおんの玉子	
9	00:00:00	ジャック・オー	しお玉子	
10	00:00:00	ゼッケン100	おおいしの玉子	
11	00:00:00	ナウ	イオンの玉子	
12	00:00:00	うぇいのる	おいしい煮玉子	
13	00:00:00	ジョナサン・グレーン	ししまい	
14	00:00:00	ジャック・オー	いいじまの玉子	
15	00:00:00	張島サボ太	おいしい煮玉子	
16	00:00:00	クゥの部屋 Ch	いおんの玉子まじおいしい	
17	00:00:00	天然ステルス	おいしい煮玉子	
18	00:00:00	らうらう	おいしい煮玉子	
19	00:00:00	クゥの部屋 Ch	じじいのし	
20	00:00:00	ヌルヌペペ	おいしい煮玉子	
21	00:00:00	ニャンコ先生	ダイレクトマーケティング煮玉子	
22	00:00:00	ゼッケン100	いおんのまじん	
23	00:00:00	ジャック・オー	いおんじまんの玉子	
24	00:00:00	ジョナサン・グレーン	じんましん	
25	00:00:00	究極ド根性ダイコン	いしじまの玉子	
26	00:00:00	スモーク	いおんの煮玉子	
27	00:00:00	黄咲隼	おいしい煮玉子	
28	00:00:00	らうらう	꧁꧂クゥの部屋꧁꧂ を待っています	
29	00:00:00	なんたら	おしいいおんの玉子	
30	00:00:00	いぶきんぐ	おしの煮玉子	
31	00:00:00	ジャック・オー	おしい、まじおしい	
32	00:00:00	クゥの部屋 Ch	いおんの玉子まじい	
33	00:00:00	HILO	おいしい煮玉子	
34	00:00:00	ジョナサン・グレーン	おいおいおい	
35	00:00:00	らうらう	姉ちゃん！？	
36	00:00:00	張島サボ太	まじいのか…	
37	00:00:00	motiyomogi	えぇ…	
38	00:00:00	ジャック・オー	おいおいおい	
39	00:00:00	なんたら	まじ	
40	00:00:00	うぇいのる	いおんまじお子	
41	00:00:00	究極ド根性ダイコン	イオンから案件が来なくなっちゃう	
42	00:00:00	スモーク	イオン案件なくなったな	
43	00:00:00	ゼッケン100	おしの子:クゥフランゾーパークゥフランゾーパー2:	
44	00:00:00	らうらう	いおん煮い子お	
45	00:00:00	D W	イオン案件さよなら	
46	00:00:07	ゼッケン100	いおんまじいい	
47	00:00:09	御早和杯	おいしくない煮玉子	
48	00:00:12	らうらう	おてて	
49	00:00:14	なんたら	おいしい煮玉子	
50	00:00:15	motiyomogi	おいしい煮玉子	
51	00:00:17	究極ド根性ダイコン	開幕かわいい	
52	00:00:17	ゼッケン100	おいしい煮玉子	
53	00:00:18	うぇいのる	おいしい煮玉子	
54	00:00:18	eve	おいしい煮玉子	
55	00:00:19	らうらう	おいしい煮玉子	
56	00:00:20	Ryo Kamiya	おいしい煮玉子	
57	00:00:21	K. u	美味しい煮玉子	
58	00:00:21	張島サボ太	おいしい煮玉子	
59	00:00:21	いぶきんぐ	おいしい煮玉子	
60	00:00:21	天然ステルス	まじい煮玉子	
61	00:00:22	HILO	おいしい煮玉子	
62	00:00:22	ジャック・オー	おいしい煮玉子	
63	00:00:27	黄咲隼	おいしくないこともある煮玉子	
64	00:00:28	ジョナサン・グレーン	おいしい煮玉子	
65	00:00:28	スモーク	おいしい煮玉子	
66	00:00:29	クラックリン	こんばんは	
67	00:00:33	御早和杯	おいしい煮玉子	
68	00:00:36	ナウ	おいしい煮玉子	
69	00:00:38	D W	美味しい煮玉子	
70	00:00:43	HILO	声かわいくなった？	
71	00:00:47	へたれもん	おいしい煮玉子	
72	00:00:50	mori mori	姉ちゃん声女の子っぽくなった？	
73	00:00:57	ジョナサン・グレーン	いい感じ	
74	00:01:00	らうらう	かわいい	
75	00:01:02	毒入りトマト	おいしい煮玉子	
76	00:01:07	スモーク	かわいい	
77	00:01:14	K. u	音いいよ	
78	00:01:14	究極ド根性ダイコン	ちょっと籠ってるかもしれない	
79	00:01:15	HILO	音量はちょうど良い感じ	
80	00:01:15	ゼッケン100	かわいい	
81	00:01:25	にけい	おいしい煮玉子	
82	00:01:25	ジョナサン・グレーン	かわいい	
83	00:01:26	らうらう	やったね	
84	00:01:42	ジャック・オー	かわいい	
85	00:01:45	T.のかね	おいしい煮玉子	
86	00:01:45	ゼッケン100	確かにちょっと籠もってる	
87	00:01:49	毒入りトマト	曇ってる方が好き	
88	00:01:50	D W	そんな気になるほどではないよ	
89	00:01:56	らうらう	寝て・・・	
90	00:01:57	HILO	アメンボ青いなあいうえおとか言ってみて	
91	00:01:59	なんたら	今朝？	
92	00:02:00	motiyomogi	ちゃんと寝て	
93	00:02:01	御早和杯	眠れない夜	
94	00:02:10	HILO	寝て？	
95	00:02:14	mori mori	草	
96	00:00:00	ゼッケン100	おいしい煮玉子	
97	00:00:00	ゼッケン100	いい煮おいのじじい	
98	00:00:00	クゥの部屋 Ch	いまいましいまじんのいし	
99	00:00:00	らうらう	しましままじん	
100	00:00:00	ゼッケン100	まじんの玉しい	
101	00:00:00	クゥの部屋 Ch	子じまのまま	
102	00:00:00	ジャック・オー	まじんの子	
103	00:00:00	なんたら	まままじん	
104	00:00:00	クゥの部屋 Ch	いおんの玉子	
105	00:00:00	ジャック・オー	しお玉子	
106	00:00:00	ゼッケン100	おおいしの玉子	
107	00:00:00	ナウ	イオンの玉子	
108	00:00:00	うぇいのる	おいしい煮玉子	
109	00:00:00	ジョナサン・グレーン	ししまい	
110	00:00:00	ジャック・オー	いいじまの玉子	
111	00:00:00	張島サボ太	おいしい煮玉子	
112	00:00:00	クゥの部屋 Ch	いおんの玉子まじおいしい	
113	00:00:00	天然ステルス	おいしい煮玉子	
114	00:00:00	らうらう	おいしい煮玉子	
115	00:00:00	クゥの部屋 Ch	じじいのし	
116	00:00:00	ヌルヌペペ	おいしい煮玉子	
117	00:00:00	ニャンコ先生	ダイレクトマーケティング煮玉子	
118	00:00:00	ゼッケン100	いおんのまじん	
119	00:00:00	ジャック・オー	いおんじまんの玉子	
120	00:00:00	ジョナサン・グレーン	じんましん	
121	00:00:00	究極ド根性ダイコン	いしじまの玉子	
122	00:00:00	スモーク	いおんの煮玉子	
123	00:00:00	黄咲隼	おいしい煮玉子	
124	00:00:00	らうらう	꧁꧂クゥの部屋꧁꧂ を待っています	
125	00:00:00	なんたら	おしいいおんの玉子	
126	00:00:00	いぶきんぐ	おしの煮玉子	
127	00:00:00	ジャック・オー	おしい、まじおしい	
128	00:00:00	クゥの部屋 Ch	いおんの玉子まじい	
129	00:00:00	HILO	おいしい煮玉子	
130	00:00:00	ジョナサン・グレーン	おいおいおい	
131	00:00:00	らうらう	姉ちゃん！？	
132	00:00:00	張島サボ太	まじいのか…	
133	00:00:00	motiyomogi	えぇ…	
134	00:00:00	ジャック・オー	おいおいおい	
135	00:00:00	なんたら	まじ	
136	00:00:00	うぇいのる	いおんまじお子	
137	00:00:00	究極ド根性ダイコン	イオンから案件が来なくなっちゃう	
138	00:00:00	スモーク	イオン案件なくなったな	
139	00:00:00	ゼッケン100	おしの子:クゥフランゾーパークゥフランゾーパー2:	
140	00:00:00	らうらう	いおん煮い子お	
141	00:00:00	D W	イオン案件さよなら	
142	00:00:07	ゼッケン100	いおんまじいい	
143	00:00:09	御早和杯	おいしくない煮玉子	
144	00:00:12	らうらう	おてて	
145	00:00:14	なんたら	おいしい煮玉子	
146	00:00:15	motiyomogi	おいしい煮玉子	
147	00:00:17	究極ド根性ダイコン	開幕かわいい	
148	00:00:17	ゼッケン100	おいしい煮玉子	
149	00:00:18	うぇいのる	おいしい煮玉子	
150	00:00:18	eve	おいしい煮玉子	
151	00:00:19	らうらう	おいしい煮玉子	
152	00:00:20	Ryo Kamiya	おいしい煮玉子	
153	00:00:21	K. u	美味しい煮玉子	
154	00:00:21	張島サボ太	おいしい煮玉子	
155	00:00:21	いぶきんぐ	おいしい煮玉子	
156	00:00:21	天然ステルス	まじい煮玉子	
157	00:00:22	HILO	おいしい煮玉子	
158	00:00:22	ジャック・オー	おいしい煮玉子	
159	00:00:27	黄咲隼	おいしくないこともある煮玉子	
160	00:00:28	ジョナサン・グレーン	おいしい煮玉子	
161	00:00:28	スモーク	おいしい煮玉子	
162	00:00:29	クラックリン	こんばんは	
163	00:00:33	御早和杯	おいしい煮玉子	
164	00:00:36	ナウ	おいしい煮玉子	
165	00:00:38	D W	美味しい煮玉子	
166	00:00:43	HILO	声かわいくなった？	
167	00:00:47	へたれもん	おいしい煮玉子	
168	00:00:50	mori mori	姉ちゃん声女の子っぽくなった？	
169	00:00:57	ジョナサン・グレーン	いい感じ	
170	00:01:00	らうらう	かわいい	
171	00:01:02	毒入りトマト	おいしい煮玉子	
172	00:01:07	スモーク	かわいい	
173	00:01:14	K. u	音いいよ	
174	00:01:14	究極ド根性ダイコン	ちょっと籠ってるかもしれない	
175	00:01:15	HILO	音量はちょうど良い感じ	
176	00:01:15	ゼッケン100	かわいい	
177	00:01:25	にけい	おいしい煮玉子	
178	00:01:25	ジョナサン・グレーン	かわいい	
179	00:01:26	らうらう	やったね	
180	00:01:42	ジャック・オー	かわいい	
181	00:01:45	T.のかね	おいしい煮玉子	
182	00:01:45	ゼッケン100	確かにちょっと籠もってる	
183	00:01:49	毒入りトマト	曇ってる方が好き	
184	00:01:50	D W	そんな気になるほどではないよ	
185	00:01:56	らうらう	寝て・・・	
186	00:01:57	HILO	アメンボ青いなあいうえおとか言ってみて	
187	00:01:59	なんたら	今朝？	
188	00:02:00	motiyomogi	ちゃんと寝て	
189	00:02:01	御早和杯	眠れない夜	
190	00:02:10	HILO	寝て？	
191	00:02:14	mori mori	草	
192	00:02:16	ジャック・オー	寝なさい	
193	00:02:17	せせらぎ	すごい	
194	00:02:20	ジョナサン・グレーン	草	
195	00:02:25	なんたら	ミキシングのやつだ	
196	00:02:25	いぶきんぐ	寝て…	
197	00:02:33	HILO	KBTみたいなごり押し？	
198	00:02:35	たろうずり	おいにた	
199	00:02:36	ナウ	アーティストクゥ	
200	00:02:40	らうらう	ジャンキー！！	
201	00:02:42	ゼッケン100	クゥミキシングタクティクス	
202	00:02:50	HILO	ジャンキー！	
203	00:03:00	究極ド根性ダイコン	ジャンキーおひさー	
204	00:03:08	mori mori	姉ちゃんにできるんだろうか	
205	00:03:08	あのあれ	リンダキューブアゲイン並みにルート変わります。	
206	00:03:13	ジャック・オー	ジャンキーふたたび	
207	00:03:22	ジョナサン・グレーン	花が！	
208	00:03:23	motiyomogi	ママーー！	
209	00:03:26	D W	いきなりじゃん	
210	00:03:26	黄咲隼	LOVEを貯めるのか...	
211	00:03:26	ゼッケン100	クソ花がいない！	
212	00:03:26	クラックリン	loveためないで	
213	00:03:29	究極ド根性ダイコン	クソ花がいない！	
214	00:03:31	にけい	あれもラブこれもラブ	
215	00:03:32	HILO	ちゃんと戦闘じゃなくて行動をしようね	
216	00:03:33	天然ステルス	クソ花は初回だけ	
217	00:03:36	近藤大輔	loveって違うやつではｗ	
218	00:03:49	HILO	花がいない	
219	00:04:02	ジャック・オー	花は死んだのでいない	
220	00:04:08	クラックリン	ママーッ！	
221	00:04:16	D W	草	
222	00:04:18	らうらう	やったね	
223	00:04:19	うぇいのる	やったね！	
224	00:04:19	御早和杯	やったね！	
225	00:04:23	あのあれ	殺さなかったら専用のセリフがあるよね	
226	00:04:23	T.のかね	やったね	
227	00:04:24	mori mori	花でないならもう悪いこと起こらないのでは？	
228	00:04:25	ジョナサン・グレーン	やったね	
229	00:04:28	ナウ	会えなくなるとなると寂しい気持ちに・・・ならんな	
230	00:04:28	HILO	やったね	
231	00:04:30	ジャック・オー	やったね	
232	00:04:43	究極ド根性ダイコン	もはや懐かしい	
233	00:04:52	ゼッケン100	聞き取る分には全然大丈夫	
234	00:04:53	らうらう	ぼいすちぇっく	
235	00:04:55	JUNY	おいしい煮玉子	
236	00:05:01	なんたら	えっとねなににしようかな	
237	00:05:07	ハヤブサb	おいしい煮玉子	
238	00:05:08	らうらう	かわいい	
239	00:05:08	ナウ	なににしよう	
240	00:05:12	究極ド根性ダイコン	かわいい	
241	00:05:12	あのあれ	なんか書いてないかな	
242	00:05:13	らうらう	キョロキョロ姉ちゃん	
243	00:05:15	猫の散歩道	じゃあ今日の朝ごはんでも	
244	00:05:16	なんたら	なんかかいてなかな	
245	00:05:19	D W	なにかかいてないかな	
246	00:05:20	ナウ	なんか書いてないかななんか	
247	00:05:21	mori mori	空気の膜二層くらい通してる感じする	
248	00:05:21	ラルエメ	かわいい	
249	00:05:22	あのあれ	んーとね	
250	00:05:22	らうらう	Twitterみてみたら	
251	00:05:26	ニャンコ先生	ブルーアイズホワイトドラゴン	
252	00:05:31	スモーク	聞き取りづらいってことはないよ	
253	00:05:35	ジョナサン・グレーン	でんきねずみ	
254	00:05:42	らうらう	しょくもつせんいたっぷり	
255	00:05:42	ナウ	食物繊維たっぷり	
256	00:05:47	ゼッケン100	玄米ブランはちみつレーズン食物繊維たっぷり！	
257	00:05:47	mori mori	玄米ブランはちみつレーズン食物繊維たっぷり！	
258	00:05:47	ニャンコ先生	玄米ブラウンはちみつたっぷり	
259	00:05:48	JUNY	玄米ブランはちみつレーズン食物繊維たっぶわり	
260	00:05:48	にけい	玄米レーズン	
261	00:05:49	ラルエメ	玄米ブラウン	
262	00:05:50	あのあれ	げんまいくらい食物繊維たっぷり	
263	00:05:52	猫の散歩道	幻魔イブラン？	
264	00:05:55	eve	玄米ブランハチミツレーズン食物繊維たっぷり	
265	00:05:56	T.のかね	玄米レーズン食物繊維たっぷり	
266	00:06:00	究極ド根性ダイコン	玄米ブランレーズンハチミツ食物繊維たっぷり	
267	00:06:03	御早和杯	え？ポッポポッポハトポッポ？	
268	00:06:04	HILO	玄米ブランはちみつ成分食物繊維たっぷり	
269	00:06:05	いぶきんぐ	玄米ブランはちみつ味食物繊維たっぷり？	
270	00:06:08	mori mori	これがタイピング道場ですか	
271	00:06:09	なんたら	覚えられなかった	
272	00:06:14	ゼッケン100	幻魔イブランすき	
273	00:06:14	motiyomogi	草	
274	00:06:16	D W	玄米レーズン蜂蜜ブラン食物繊維たっぷり！	
275	00:06:18	スモーク	草	
276	00:06:20	らうらう	幻魔イブラン、食物繊維たっぷり	
277	00:06:21	究極ド根性ダイコン	つよそう	
278	00:06:32	HILO	囁いたりもしてみて	
279	00:06:33	D W	美味しい玄米	
280	00:06:34	近藤大輔	それ朝食？	
281	00:06:40	aarar scsrt	おいしい煮玉子	
282	00:06:41	ジョナサン・グレーン	幻魔イブラン遊戯王にいそう	
283	00:06:43	K. u	幻魔のイブラン	
284	00:06:59	らうらう	？！	
285	00:07:01	T.のかね	草	
286	00:07:02	なんたら	？？？	
287	00:07:04	motiyomogi	草	
288	00:07:04	究極ド根性ダイコン	ささやき…？	
289	00:07:04	K. u	草	
290	00:07:05	D W	草	
291	00:07:05	スモーク	草	
292	00:07:05	佐藤仁	草	
293	00:07:07	eve	！？	
294	00:07:10	ハヤブサb	！？	
295	00:07:11	ロンドベルジェニ	草	
296	00:07:11	カギカギ	草	
297	00:07:11	いぶきんぐ	ジャイアン草	
298	00:07:12	ジョナサン・グレーン	剛田武じゃねーか！	
299	00:07:12	らうらう	ささやき・・・・・？	
300	00:07:13	うぇいのる	草	
301	00:07:13	JUNY	昴ジャイアンだ！	
302	00:07:17	天然ステルス	急に木村昴のモノマネを	
303	00:07:18	にけい	新ドラの方のジャイアンや	
304	00:07:19	HILO	ジャイアン！？	
305	00:07:19	御早和杯	壁の文字は説明書きなんだよね	
306	00:07:21	猫の散歩道	旧剛田武	
307	00:07:28	mori mori	喉痛めたスネ夫かも	
308	00:07:33	らうらう	ささやきジャイアン	
309	00:07:40	らうらう	かわいい	
310	00:07:40	究極ド根性ダイコン	かわいい	
311	00:07:40	スモーク	かわいい	
312	00:07:41	motiyomogi	かわいい！！！！！１１	
313	00:07:42	JUNY	かわいい	
314	00:07:42	ジョナサン・グレーン	かわいい	
315	00:07:43	カギカギ	かわいい	
316	00:07:43	K. u	かわいい	
317	00:07:45	eve	かわいい	
318	00:07:46	なんたら	かわいい	
319	00:07:46	ラルエメ	かわいい	
320	00:07:46	ゼッケン100	かわいい！！！！！！！！！	
321	00:07:46	ジャック・オー	かわいい	
322	00:07:52	T.のかね	かわいい	
323	00:07:53	にけい	かわいい	
324	00:07:53	aarar scsrt	ささやき自体はかわいいのに	
325	00:07:54	HILO	かわいい、ちゃんと聞こえる	
326	00:07:56	ヘンリーダーガー	かわいい	
327	00:08:00	猫の散歩道	全国ののび太君歓喜	
328	00:08:00	フレイムリンクス	おいしい煮玉子…開幕かわいい	
329	00:08:05	HILO	女子力ボイスもありがたい	
330	00:08:14	ナウ	たたかわないで・・・	
331	00:08:21	せせらぎ	こうどうするクセつけないとね	
332	00:08:27	究極ド根性ダイコン	トリエルドSか？	
333	00:08:52	HILO	こいつ殺してないからゴミ広場のマネキンと戦わないのかな	
334	00:08:59	motiyomogi	草	
335	00:08:59	クラックリン	「まちがって」も大丈夫	
336	00:09:01	近藤大輔	草	
337	00:09:01	猫の散歩道	今回は平和ルートだから武器より防具が重要だな	
338	00:09:04	ジョナサン・グレーン	たたかわないプレイをするのが大事	
339	00:09:05	らうらう	ママアア	
340	00:09:07	JUNY	それ前も言った気が	
341	00:09:12	T.のかね	ﾏﾏ…	
342	00:09:24	らうらう	草	
343	00:09:28	なんたら	わかる	
344	00:09:31	らうらう	かあちゃん！！！	
345	00:09:32	mori mori	救いは至る所にあったはずなんだよなあ・・・	
346	00:09:32	うぇいのる	草	
347	00:09:36	T.のかね	わかる	
348	00:09:42	K. u	わかる	
349	00:09:44	HILO	ひろしを咎めるときとかの顔	
350	00:09:54	ジャック・オー	前が見えねぇ…	
351	00:09:55	カギカギ	前が見えねェ	
352	00:10:00	JUNY	夜のお誘いをするみさえ	
353	00:10:20	なんたら	どぎついアンダーテール	
354	00:10:21	究極ド根性ダイコン	謎のゴム風船とか…	
355	00:10:31	ゼッケン100	ゴムをガムと勘違いするネタとか	
356	00:10:32	T.のかね	子どものころ買ってびっくりした…	
357	00:10:38	天然ステルス	マジなのは単行本にも収録されてない	
358	00:10:41	HILO	おまたのポッケに何でも入るとかね	
359	00:10:55	ジョナサン・グレーン	まじい	
360	00:10:56	らうらう	あれすき	
361	00:11:05	ゼッケン100	わかんないけどね	
362	00:11:05	なんたら	なるほどね	
363	00:11:05	近藤大輔	JC…	
364	00:11:12	うぇいのる	はい	
365	00:11:14	Rama Ramadhan Speed drifters	jadi gimana mau nggak nih baru tantang aku main gama mobil speed drifters japan kumoho	
366	00:11:40	ジョナサン・グレーン	あれ好き	
367	00:11:43	Rama Ramadhan Speed drifters	Halo selama malam	
368	00:11:45	味付けタマゴ	おいしい煮玉子	
369	00:11:52	ゼッケン100	あったなあ	
370	00:11:59	猫の散歩道	まあドラえもんやサザエさんも原作の初期はけっこうアレだったし…	
371	00:12:07	motiyomogi	かっこいい	
372	00:12:10	HILO	あれクソわらった	
373	00:12:19	御早和杯	リア充に対する憎しみがすごい	
374	00:12:25	黄咲隼	待ってるとセリフが入る	
375	00:12:25	近藤大輔	行こう	
376	00:12:26	なんたら	まってもこない	
377	00:12:37	mori mori	そもそもお部屋じゃないし通路だし	
378	00:12:40	究極ド根性ダイコン	雑魚を倒さないように行けばオッケー	
379	00:12:56	なんたら	ウォウワーオ	
380	00:12:59	フレイムリンクス	きみはじつにバカだなぁ（原作まま）	
381	00:13:04	御早和杯	おいっちに！	
382	00:13:06	天然ステルス	クイックとスロー	
383	00:13:10	biki koto	おいしい煮玉子	
384	00:13:18	天然ステルス	黄色だから逃がせる	
385	00:13:32	御早和杯	のろのろじたばた	
386	00:13:33	フレイムリンクス	痛みが全くしなくなる麻薬みたいな秘密道具やばかったな	
387	00:13:42	さなちゃにすと	こんばんわ！Pルートがんばってくださひ……！	
388	00:13:55	究極ド根性ダイコン	そんなヤバいネタあったんだ…	
389	00:13:56	motiyomogi	えち	
390	00:13:57	猫の散歩道	寝なくても疲れない薬（秘密道具）	
391	00:13:58	あのあれ	しずかちゃんもね	
392	00:14:00	mori mori	ｍｊｄ！？	
393	00:14:07	HILO	ウワオワーオ！おいっちに！	
394	00:14:08	ジャック・オー	よう知ってる	
395	00:14:11	いぶきんぐ	あれな…	
396	00:14:12	ロンドベルジェニ	あれは仕方ない	
397	00:14:13	ゼッケン100	ものしりだなあ	
398	00:14:21	らうらう	くわしい	
399	00:14:22	K. u	夢の国のアニメにも似たようなのあったなあ	
400	00:14:25	ジョナサン・グレーン	くわしい	
401	00:14:26	あのあれ	ちびまる子ちゃんにもそんな感じのねたがあったそうな	
402	00:14:36	フレイムリンクス	バイバインとかいうSCP認定されるひみつ道具	
403	00:14:51	HILO	前回はシナモン	
404	00:15:06	T.のかね	ﾏﾏ…	
405	00:15:06	ジョナサン・グレーン	なんでだろうね	
406	00:15:08	カギカギ	前回の記憶残ってる？	
407	00:15:11	猫の散歩道	ループものっぽい描写	
408	00:15:11	近藤大輔	不思議ですね	
409	00:15:15	D W	友達ね	
410	00:15:26	なんたら	夢の中であったような	
411	00:15:29	にけい	息子さんとその友達のことじゃない？	
412	00:15:38	あのあれ	死ぬ前は生きていた。	
413	00:15:40	ジャック・オー	リーディングシュタイナーかな？	
414	00:15:43	近藤大輔	残ってたら心の中で恨んでそう	
415	00:15:44	ジョナサン・グレーン	＊蘇らない	
416	00:15:58	HILO	前世の記憶？	
417	00:16:00	catblepas	でも一周目あんなセリフなかったよね	
418	00:16:11	JUNY	絶縁別居状態やし…	
419	00:16:16	クラックリン	もう切れてるからセーフ	
