行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジャック・オー	おいしい煮玉子	
1	00:00:00	JUNY	ゲンゲルー	
2	00:00:00	竹輪	ゲンゲル〜	
3	00:00:00	らうらう	ゲンゲル～	
4	00:00:00	スモーク	　おいしい煮玉子	
5	00:00:00	ジャック・オー	　ゲンゲル―　	
6	00:00:23	T.のかね	おいしい煮玉子	
7	00:00:32	seafood	おいしい煮玉子	
8	00:00:33	ヌルヌペペ	おいしい煮玉子	
9	00:00:34	あい	おいしい煮玉子	
10	00:00:35	motiyomogi	おいしい煮玉子	
11	00:00:38	カーマイン	おいしい煮玉子　	
12	00:00:39	mori mori	おいしい	
13	00:00:39	ジョナサン・グレーン	　ゲンゲル〜　	
14	00:00:40	JUNY	ゲンゲル～	
15	00:00:43	らうらう	​　ゲンゲル―	
16	00:00:43	ほるもん	おいしい煮玉子	
17	00:00:45	ねこくーる	おいしい煮玉子	
18	00:00:52	ジョナサン・グレーン	おいしい煮玉子	
19	00:01:00	eve	おいしい煮玉子	
20	00:01:01	mori mori	BGMが迫真すぎる	
21	00:01:10	スモーク	スタン無効化しないとどうしようもないよってトコだったか	
22	00:01:11	尾花	おいしい煮玉子	
23	00:01:14	らうらう	声ちいさくない？	
24	00:01:15	うぇいのる	おいしい煮玉子	
25	00:01:18	カーマイン	声小さいよ大姉ちゃん！	
26	00:01:32	タケノコ男	おいしい煮玉子	
27	00:02:07	御早和杯	おいしい煮玉子	
28	00:02:07	ヘンリーダーガー	おいしい煮玉子	
29	00:02:08	いぶきんぐ	おいしい煮玉子	
30	00:02:15	ねこくーる	ちょうどいい	
31	00:02:21	JUNY	ヘッドホンだとちょうどいい	
32	00:02:21	桜田紅	バランスはいい感じ	
33	00:02:22	カーマイン	いいね	
34	00:02:28	猫の散歩道	美味しい煮惑魔	
35	00:02:32	竹輪	声が小さくなるのは原因不明だね…	
36	00:04:05	ジョナサン・グレーン	気持ちのいい朝だね	
37	00:04:31	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
38	00:04:31	mori mori	操作覚えてる？抜刀できる？	
39	00:04:39	スモーク	王都から直に行けるのか	
40	00:05:28	八木谷	おいしい煮玉子	
41	00:06:27	ヤマえもん	おいしい煮玉子	
42	00:07:05	Fine TK	おいしい煮玉子	
43	00:07:44	竹輪	草	
44	00:07:46	スモーク	草	
45	00:07:53	うぇいのる	草	
46	00:07:54	タケノコ男	草	
47	00:08:00	カーマイン	草	
48	00:08:09	竹輪	実質勝ち	
49	00:09:38	カーマイン	大姉ちゃんちょっと眠そう	
50	00:09:50	スモーク	下の方からグレードアップしていかなきゃいけないのか	
51	00:09:57	T.のかね	早寝して	
52	00:10:01	タケノコ男	おねむ	
53	00:10:04	竹輪	おねむかわいい	
54	00:10:10	バーチャルYouTuberガニメデちゃんねる	かわいい	
55	00:10:21	カーマイン	サクッと倒してねようぜ！	
56	00:00:00	ジャック・オー	おいしい煮玉子	
57	00:00:00	JUNY	ゲンゲルー	
58	00:00:00	竹輪	ゲンゲル〜	
59	00:00:00	らうらう	ゲンゲル～	
60	00:00:00	スモーク	　おいしい煮玉子	
61	00:00:00	ジャック・オー	　ゲンゲル―　	
62	00:00:23	T.のかね	おいしい煮玉子	
63	00:00:32	seafood	おいしい煮玉子	
64	00:00:33	ヌルヌペペ	おいしい煮玉子	
65	00:00:34	あい	おいしい煮玉子	
66	00:00:35	motiyomogi	おいしい煮玉子	
67	00:00:38	カーマイン	おいしい煮玉子　	
68	00:00:39	mori mori	おいしい	
69	00:00:39	ジョナサン・グレーン	　ゲンゲル〜　	
70	00:00:40	JUNY	ゲンゲル～	
71	00:00:43	らうらう	​　ゲンゲル―	
72	00:00:43	ほるもん	おいしい煮玉子	
73	00:00:45	ねこくーる	おいしい煮玉子	
74	00:00:52	ジョナサン・グレーン	おいしい煮玉子	
75	00:01:00	eve	おいしい煮玉子	
76	00:01:01	mori mori	BGMが迫真すぎる	
77	00:01:10	スモーク	スタン無効化しないとどうしようもないよってトコだったか	
