行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	桜田紅	おいしい煮玉子	
2	00:00:00	スモーク	おいしい煮玉子	
3	00:00:00	岸辺一徳	おいしい煮玉子	
4	00:00:00	いぶきんぐ	おいしい煮玉子	
5	00:00:00	biggs	おいしい煮玉子	
6	00:00:15	にけい	おいしい煮玉子	
7	00:00:42	スモーク	草	
8	00:00:42	にけい	草	
9	00:00:45	岸辺一徳	JCにありがち	
10	00:00:47	らうらう	おくちあんぐり	
11	00:00:54	biggs	かわいい	
12	00:01:31	パンセポンセ	おいしい煮玉子	
13	00:01:32	らうらう	運気吸引配信	
14	00:01:36	いぶきんぐ	配信バフはスクフェスにも有効なのだろうか	
15	00:01:40	掛蕎麦	おいしい煮玉子	
16	00:01:42	ないとうブレーモル	アイドルが覚醒するのか…	
17	00:01:49	近藤亮	おいしい煮玉子	
18	00:01:51	RY U	おいしい煮玉子	
19	00:02:01	らうらう	キュンかわいい	
20	00:02:17	むーたらしゅ	おっ	
21	00:02:20	掛蕎麦	お	
22	00:02:22	らうらう	wwwwww	
23	00:02:22	岸辺一徳	おおおおおおおおおおおおおおおおおお	
24	00:02:24	biggs	おっ	
25	00:02:24	ないとうブレーモル	声が凄い	
26	00:02:28	ニャンコ先生	🤔	
27	00:02:32	RY U	おお！	
28	00:02:32	パンセポンセ	おお！	
29	00:02:32	いぶきんぐ	ねえさらっときたよ！？	
30	00:02:33	らうらう	あまりにもはやすぎる	
31	00:02:36	biggs	かわいい	
32	00:02:36	岸辺一徳	覚醒できるのでは	
33	00:02:36	はこ	配信ガチャは正義	
34	00:02:37	むらさきあんこ	もう終わった！	
35	00:02:37	スモーク	さす姉！	
36	00:02:39	近藤亮	すごい	
37	00:02:40	フレイムリンクス	圧倒的強運・・・！	
38	00:02:43	桜田紅	配信バフすごい！	
39	00:02:47	にけい	おつかれさまでーす	
40	00:02:48	なんたら	つよい…	
41	00:02:49	むーたらしゅ	さす姉・・・！	
42	00:02:49	biggs	ねえ姉ちゃんすごくない？	
43	00:02:50	空気	おいしい煮玉子やはり配信すると出る	
44	00:02:52	ないとうブレーモル	運営なんでしょ？	
45	00:02:54	らうらう	おつかれにたまご	
46	00:02:57	いぶきんぐ	どういうことなの…	
47	00:02:58	なんたら	2分で終わった…	
48	00:02:58	ニャンコ先生	しゅごい	
49	00:03:19	ニャンコ先生	おやすみ姉ちゃん	
50	00:03:24	りあすて	おいしい煮玉子 また配信バフしたの？？	
51	00:03:50	はこ	高速ガチャ配信になってしまった	
52	00:03:52	近藤亮	草	
53	00:03:54	らうらう	こわい	
54	00:03:56	tobias otaku	hola	
55	00:03:57	スモーク	草	
56	00:00:00	らうらう	おいしい煮玉子	
57	00:00:00	桜田紅	おいしい煮玉子	
58	00:00:00	スモーク	おいしい煮玉子	
59	00:00:00	岸辺一徳	おいしい煮玉子	
60	00:00:00	いぶきんぐ	おいしい煮玉子	
61	00:00:00	biggs	おいしい煮玉子	
62	00:00:15	にけい	おいしい煮玉子	
63	00:00:42	スモーク	草	
64	00:00:42	にけい	草	
65	00:00:45	岸辺一徳	JCにありがち	
66	00:00:47	らうらう	おくちあんぐり	
67	00:00:54	biggs	かわいい	
68	00:01:31	パンセポンセ	おいしい煮玉子	
69	00:01:32	らうらう	運気吸引配信	
70	00:01:36	いぶきんぐ	配信バフはスクフェスにも有効なのだろうか	
71	00:01:40	掛蕎麦	おいしい煮玉子	
72	00:01:42	ないとうブレーモル	アイドルが覚醒するのか…	
73	00:01:49	近藤亮	おいしい煮玉子	
74	00:01:51	RY U	おいしい煮玉子	
75	00:02:01	らうらう	キュンかわいい	
76	00:02:17	むーたらしゅ	おっ	
77	00:02:20	掛蕎麦	お	
78	00:02:22	らうらう	wwwwww	
79	00:02:22	岸辺一徳	おおおおおおおおおおおおおおおおおお	
80	00:02:24	biggs	おっ	
81	00:02:24	ないとうブレーモル	声が凄い	
82	00:02:28	ニャンコ先生	🤔	
83	00:02:32	RY U	おお！	
84	00:02:32	パンセポンセ	おお！	
85	00:02:32	いぶきんぐ	ねえさらっときたよ！？	
86	00:02:33	らうらう	あまりにもはやすぎる	
87	00:02:36	biggs	かわいい	
88	00:02:36	岸辺一徳	覚醒できるのでは	
89	00:02:36	はこ	配信ガチャは正義	
90	00:02:37	むらさきあんこ	もう終わった！	
91	00:02:37	スモーク	さす姉！	
92	00:02:39	近藤亮	すごい	
93	00:02:40	フレイムリンクス	圧倒的強運・・・！	
94	00:02:43	桜田紅	配信バフすごい！	
95	00:02:47	にけい	おつかれさまでーす	
96	00:02:48	なんたら	つよい…	
97	00:02:49	むーたらしゅ	さす姉・・・！	
98	00:02:49	biggs	ねえ姉ちゃんすごくない？	
99	00:02:50	空気	おいしい煮玉子やはり配信すると出る	
100	00:02:52	ないとうブレーモル	運営なんでしょ？	
101	00:02:54	らうらう	おつかれにたまご	
102	00:02:57	いぶきんぐ	どういうことなの…	
103	00:02:58	なんたら	2分で終わった…	
104	00:02:58	ニャンコ先生	しゅごい	
105	00:03:19	ニャンコ先生	おやすみ姉ちゃん	
106	00:03:24	りあすて	おいしい煮玉子 また配信バフしたの？？	
107	00:03:50	はこ	高速ガチャ配信になってしまった	
108	00:03:52	近藤亮	草	
109	00:03:54	らうらう	こわい	
110	00:03:56	tobias otaku	hola	
111	00:03:57	スモーク	草	
