行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	JUNY	おいしい煮玉子	
2	00:00:00	リフェ	おいしい煮玉子	
3	00:00:00	カギカギ	おいしい煮玉子	
4	00:00:00	ヘンリーダーガー	おいしい煮玉子	
5	00:00:00	カーマイン	おいしい煮玉子	
6	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
7	00:00:00	おさかな	おいしい煮玉子	
8	00:00:00	いぶきんぐ	おいしい煮玉子	
9	00:00:00	にけい	姉ちゃんツイーティングしとるが	
10	00:00:00	黄咲隼	おいしい煮玉子	
11	00:00:00	竹輪	おいしい煮玉子	
12	00:00:00	sas b	おいしい煮玉子	
13	00:00:00	K. u	おいしい煮玉子	
14	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
15	00:00:00	スモーク	おいしい煮玉子	
16	00:00:00	じょーげん	おいしい煮玉子	
17	00:00:00	スモーク	俺は毎日だってゾーパー家の配信が見たいんだ	
18	00:00:16	motiyomogi	おいしい煮玉子	
19	00:00:17	カーマイン	おいしい煮玉子	
20	00:00:18	究極ド根性ダイコン	おいしい煮玉子	
21	00:00:19	JUNY	おいしい煮玉子	
22	00:00:19	カギカギ	おいしい煮玉子	
23	00:00:23	らうらう	おいしい煮玉子	
24	00:00:25	Ryo Kamiya	おいしい煮玉子	
25	00:00:26	なんたら	おいしい煮玉子	
26	00:00:27	にけい	おいしい煮玉子	
27	00:00:27	ナウ	おいしい煮玉子	
28	00:00:28	ジョナサン・グレーン	おいしい煮玉子	
29	00:00:29	タケノコ男	おいしい煮玉子	
30	00:00:30	竹輪	おいたまー	
31	00:00:32	ふーばー	おいしい煮玉子	
32	00:00:34	ぴねかっと	おいしい煮玉子	
33	00:00:35	御早和杯	おいしい煮玉子	
34	00:00:35	岸辺一徳	おいしい煮玉子	
35	00:00:36	せせらぎ	こんばんわ～	
36	00:00:38	sio3go	おいしい煮玉子	
37	00:00:39	いぶきんぐ	おいしい煮玉子	
38	00:00:39	リフェ	おいしい煮玉子	
39	00:00:45	白糸	おいしい煮玉子	
40	00:00:46	K. u	おいしい煮玉子お	
41	00:00:47	FFDD	​おいしい煮玉子	
42	00:00:49	D W	こんばんわ	
43	00:00:50	おさかな	おいしい煮玉子	
44	00:00:51	mori mori	姉ちゃん挨拶変えた？	
45	00:00:51	JUNY	やぁみんな元気かい	
46	00:00:52	あのあれ	眠くない？	
47	00:01:03	なんたら	口が動いてない	
48	00:01:03	ぴねかっと	昨日はよく寝た？	
49	00:01:10	せせらぎ	声大きいですな	
50	00:01:11	あまいろむ	おいしい煮玉子	
51	00:01:12	竹輪	かわいい	
52	00:01:14	カーマイン	かわいい	
53	00:01:14	桜田紅	おいしい煮玉子	
54	00:01:15	K. u	可愛かった	
55	00:01:17	らうらう	かわいい	
56	00:01:22	タケノコ男	かわいい	
57	00:01:26	カギカギ	かわいい	
58	00:01:48	JUNY	元気いっぱいのJCは声がでかい	
59	00:01:53	究極ド根性ダイコン	かわいい	
60	00:01:55	なんたら	ちっちゃい	
61	00:02:00	パーシー	大丈夫	
