行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	x 7up	あれ、顔が映ってるんすよ	
1	00:00:00	リトマス	おつおつ	
2	00:00:00	Ganon	まっとけばいいのか？	
3	00:00:00	ジュンペイ	おいしい煮玉子	
4	00:00:00	らうらう	おいしい煮玉子	
5	00:00:00	tage	おいしい煮玉子	
6	00:00:00	らうらう	mou	
7	00:00:00	周恩来	おいしい煮玉子	
8	00:00:00	ハイナマ	おいしい煮玉子	
9	00:00:00	らうらう	完全に挨拶だろこれ	
10	00:00:00	ロンドベルジェニ	おいしい煮玉子	
11	00:00:00	なる	おいしい煮玉子	
12	00:00:00	ふーばー	おいしい煮玉子	
13	00:00:00	R gon	美味しい煮玉子	
14	00:00:00	馬の骨に念仏	おいしいおてて	
15	00:00:00	fami fami	バーチャルYouTuber	
16	00:00:00	こみこ	おいしい煮玉子	
17	00:00:00	【たつーや】TA2-YA	どういう意味なのだ・・・？	
18	00:00:00	らうらう	おいしい煮玉子	
19	00:00:00	mk 95	おいしい煮玉子	
20	00:00:00	まりみ	おいしい煮玉子	
21	00:00:00	tamachan0312	地下二階で流行ってる	
22	00:00:00	周恩来	おいしい煮玉子	
23	00:00:00	ロンドベルジェニ	おいしい煮玉子	
24	00:00:00	九代目中山稲五朗	おいしい煮玉子	
25	00:00:00	なる	まだ起きてるか・・・？	
26	00:00:05	カブキマン	おいしい煮玉子	
27	00:00:07	エクセルシオール	おいしい煮玉子	
28	00:00:11	周恩来	おいしい煮玉子	
29	00:00:13	Ganon	まちきれねぇよ・・・！	
30	00:00:14	ドソドソ	おいしい煮玉子	
31	00:00:15	ネズミ2/2/6	おいしい煮玉子	
32	00:00:17	ヱンタ猫	おいしい煮玉子	
33	00:00:17	周恩来	お	
34	00:00:17	リトマス	wakotu	
35	00:00:17	紅葉桜花	はじまた	
36	00:00:20	mk 95	おかえりー	
37	00:00:20	始祖くらげ	おかえり	
38	00:00:21	くりお	おいしいにたまご	
39	00:00:21	わっしーな	おいしい煮玉子	
40	00:00:23	たびびと	おいしい煮玉子	
41	00:00:25	あい	お帰り	
42	00:00:25	_ Die	おかえり	
43	00:00:26	アポカリプス勇気	おいしい煮玉子	
44	00:00:27	こみこ	姉ちゃんのロボットダンス	
45	00:00:28	くりお	わこつー	
46	00:00:28	らうらう	おいしい煮玉子～	
47	00:00:28	なる	おかえり	
48	00:00:30	【たつーや】TA2-YA	バーチャル生活音	
49	00:00:30	ハイナマ	おかえり姉ちゃん	
50	00:00:31	エクセルシオール	おかえりなさい	
51	00:00:31	ミワタリ	おかえり	
52	00:00:32	船見結衣	おかー	
53	00:00:32	周恩来	おかえり	
54	00:00:34	ポンコツジョン	おいしい煮玉子	
55	00:00:34	行方不明	おかえり	
56	00:00:34	fami fami	おかー	
57	00:00:35	タマウガチ	おかえり	
58	00:00:37	【たつーや】TA2-YA	おかえりなさい	
59	00:00:37	かなはら	おかえり	
60	00:00:40	zaff	おいしい煮玉子	
61	00:00:40	牧歩	おいしい煮玉子	
62	00:00:41	x 7up	おかえりー	
63	00:00:45	SOP	首がああああああ	
64	00:00:46	馬の骨に念仏	おかえり煮玉子	
65	00:00:49	kettari hundari	おいしい煮玉子	
66	00:00:49	階堂泉	おいしい煮玉子おいしい煮玉子おいしい煮玉子健太郎	
67	00:00:49	R gon	JCだから首座ってない	
68	00:00:50	じょーげん	いつもの角度	
69	00:00:51	ミワタリ	おいしい煮玉子キメてきた	
70	00:00:52	フレイムリンクス	おかえりー	
