行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	竹輪	おいしい煮玉子	
2	00:00:00	カギアカギ	おいしい煮玉子	
3	00:00:00	リフェ	おいしい煮玉子	
4	00:00:00	3K VC	おいしい煮玉子	
5	00:00:00	ナウ	ひな人形との戦ってなんだ	
6	00:00:00	スモーク	おいしい煮玉子	
7	00:00:00	天然ステルス	おいしい煮玉子	
8	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
9	00:00:00	じょーげん	おいしい煮玉子	
10	00:00:00	和太郎	ひな人行とはどんな過酷な修行なのだ・・・	
11	00:00:00	꧁꧂クゥの部屋꧁꧂	再起動してきます	
12	00:00:00	竹輪	はーい	
13	00:00:00	ねこくーる	はい	
14	00:00:00	和太郎	了解	
15	00:00:00	岸辺一徳	やったー！おひなさまに勝った！	
16	00:00:00	ミワタリ	はーい	
17	00:00:00	らうらう	​はい	
18	00:00:00	ホワイトラン衛兵	はい	
19	00:00:00	Ami Saika	はい	
20	00:00:00	꧁꧂クゥの部屋꧁꧂	うにてぃの機嫌が悪い	
21	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
22	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
23	00:00:00	竹輪	うにてぃくん機嫌なおして…	
24	00:00:00	リフェ	機嫌なおしてうにてぃ！	
25	00:00:00	꧁꧂クゥの部屋꧁꧂	uni tea...	
26	00:00:00	꧁꧂クゥの部屋꧁꧂	雲丹茶・・・	
27	00:00:00	ナウ	うにてぃー	
28	00:00:00	ねこくーる	うにー	
29	00:00:00	岸辺一徳	うに…	
30	00:00:00	スモーク	🍵	
31	00:00:00	マイフェイバリットトリビアン	おいしい雲丹	
32	00:00:00	ホワイトラン衛兵	磯の香りが鼻腔にひろがる…	
33	00:00:00	くーねる	ゆでたまご	
34	00:00:00	岸辺一徳		￥100
35	00:00:13	岸辺一徳	おいしい煮玉子	
36	00:00:16	ミワタリ	おいしい煮玉子	
37	00:00:16	ナウ	おいしい煮玉子	
38	00:00:17	天然ステルス	おいしい煮玉子	
39	00:00:18	くーねる	おいしい煮玉子	
40	00:00:18	motiyomogi	おいしい煮玉子	
41	00:00:18	ほるもん	おいしい煮玉子	
42	00:00:18	ホワイトラン衛兵	おいしい煮玉子	
43	00:00:19	リフェ	おいしい煮玉子	
44	00:00:20	究極ド根性ダイコン	おいしい煮玉子	
45	00:00:20	カギアカギ	おいしい煮玉子	
46	00:00:23	らうらう	おいしい煮玉子	
47	00:00:25	ぴねかっと	おいしい煮玉子	
48	00:00:32	JUNY	おいしいuni tea	
49	00:00:32	seafood	おいしい煮玉子	
50	00:00:35	竹輪	おいたまー！	
