行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	_ Die	大佐ァ！	
1	00:00:00	りあすて	​꧁🥚꧂	
2	00:00:00	T.のかね	大佐ァ！	
3	00:00:00	東京コノハムシ	投げ銭の大佐ァ！	
4	00:00:00	めるカバ	ァ！	
5	00:00:00	ポルポル	大佐ァ！	
6	00:00:00	D W	！	
7	00:00:00	チキン肉なし	大佐ァ！	
8	00:00:00	周恩来	！	
9	00:00:00	ミワタリ	大佐ァ！	
10	00:00:00	りあすて	ァ！	
11	00:00:00	なんたら	.	
12	00:00:00	秋箱	!	
13	00:00:00	むらさきあんこ	投げ銭ですでにニューロン代くらい投げてそうな大佐だ	
14	00:00:00	タケノコ男	ァ！	
15	00:00:00	近藤大輔	｜	
16	00:00:00	周恩来	ニュー(ロン)タイプ	
17	00:00:00	こみこ	遅刻勢に優しい姉ちゃん	
18	00:00:00	竹輪	ただの縦棒とかもう原型とどめてなくて草	
19	00:00:00	東京コノハムシ	¥200も積もればニューロンとなる	
20	00:00:00	らうらう	準備で既に個人向けじゃないことが明らか	
21	00:00:00	めるカバ	大佐の預金が…吸われていく…！？	
22	00:00:00	なんたら	遅刻…？	
23	00:00:00	ブロア	GCヨッシーの万有引力かなあ…	
24	00:00:00	HILO	フェアリスさん！	
25	00:00:00	Shota Hamada	インコォ！	
26	00:00:00	周恩来	個人勢がどんどん集まる	
27	00:00:00	らうらう	GCコロコロカービィだぞ	
28	00:00:00	ミワタリ	大佐お金大丈夫なの…？	
29	00:00:00	ジュンペイ	勝手に進む時間が悪いところもあると思う	
30	00:00:00	東京コノハムシ	ニューロン欲しい人々のつどい	
31	00:00:00	秋箱	２０時まだ？	
32	00:00:00	岸辺一徳	遅刻ではない、時間の進みが速すぎるのだ	
33	00:00:00	チキン肉なし	姉ちゃんが注目されてて俺も鼻が高いよ…	
34	00:00:00	うぇいのる	コロコロカービィ勢は成仏して	
35	00:00:00	秋箱	インコ！	
36	00:00:00	T.のかね	姉ちゃんが注目の的に…	
37	00:00:00	めるカバ	コロコロカービィ兄貴成仏しろ	
38	00:00:00	周恩来	え！？比較用にキネクトとVIVEとopti trackとMVNを用意した姉ちゃんが！？	
39	00:00:00	バリ島のサボテン	姉ちゃん...よかったね...	
40	00:00:00	HILO	時間が早く来すぎただけで姉ちゃんは遅刻じゃないし	
41	00:00:00	東京コノハムシ	👋コロコロカービィ	
42	00:00:00	T.のかね	時が未来に進むと誰が決めたんだ	
