行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	カーマイン	おいしい煮玉子:クゥフランゾーパーニューフランゾーパー:	
2	00:00:00	えび	おいしい煮玉子	
3	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
4	00:00:00	リフェ	おいしい煮玉子	
5	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
6	00:00:00	いぶきんぐ	おいしい煮玉子	
7	00:00:00	じょーげん	おいしい煮玉子	
8	00:00:00	フレイムリンクス	おいしい煮玉子	
9	00:00:00	スモーク	おいしい煮玉子	
10	00:00:00	竹輪	おいしい煮玉子	
11	00:00:00	JUNY	おいしい煮玉子	
12	00:00:00	究極ド根性ダイコン	おいしいバタースコッチシナモン煮玉子	
13	00:00:00	桜田紅	おいしい煮玉子	
14	00:00:00	HILO	おいしい煮玉子	
15	00:00:00	厳かな守護者P	おいしい煮玉子	
16	00:00:00	motiyomogi	おいしい旧劇エヴァパロサムネ	
17	00:00:00	K. u	おいしい煮玉子	
18	00:00:00	らうらう	白ニーソ姉ちゃん	
19	00:00:00	カーマイン	ほんのりしてきた	
20	00:00:00	伏葦たぐい	おいしい煮玉子	
21	00:00:00	ねこくーる	おいしい煮玉子	
22	00:00:00	厳かな守護者P	青肌人外姉ちゃん	
23	00:00:00	ホワイトラン衛兵	まごころを、姉に	
24	00:00:00	ログ	姉ちゃん…	
25	00:00:00	山の田んぼ	おいしい煮玉子	
26	00:00:00	HILO	スパッツ姉ちゃんに見える	
27	00:00:00	ジャック・オー	おいしい煮玉子	
28	00:00:00	岸辺一徳	おいしい煮玉子	
29	00:00:00	ぴねかっと	おいしい煮玉子:クゥフランゾーパーニューフランゾーパー:	
30	00:00:00	フレイムリンクス	姉ちゃんスヤスヤ？	
31	00:00:00	キタカシ	ほんのりとお待ちください	
32	00:00:00	いぶきんぐ	さっきツイーティングしてたからほんのり準備中だと思う	
33	00:00:00	カーマイン	おしの子:クゥフランゾーパーニューフランゾーパー:	
34	00:00:00	ジョナサン・グレーン	いい子:クゥフランゾーパーニューフランゾーパー:	
35	00:00:00	岸辺一徳	じまんの子	
36	00:00:00	いぶきんぐ	まじおしの子:クゥフランゾーパーニューフランゾーパー:	
37	00:00:00	らうらう	じまんのおし:クゥフランゾーパーニューフランゾーパー:	
38	00:00:00	ホワイトラン衛兵	姉ちゃん頑張った…ゆっくり休んで	￥1,000
39	00:00:00	スモーク	ソニック待機中に寝ちゃって忘れてた 耐久配信お疲れ様	￥10,000
40	00:00:08	ぴねかっと	じいじのじまんの子:クゥフランゾーパーニューフランゾーパー:	
41	00:00:12	ホワイトラン衛兵	おいしい煮玉子	
42	00:00:15	miso	おいしい煮玉子	
43	00:00:17	Ryo Kamiya	おいしい煮玉子	
44	00:00:17	motiyomogi	おいしい煮玉子	
45	00:00:18	らうらう	おいしい煮玉子	
46	00:00:18	えび	おいしい煮玉子	
47	00:00:19	パンセポンセ	おいしい煮玉子	
48	00:00:21	リフェ	おいしい煮玉子	
49	00:00:21	ジュンペイ	おいしい煮じの	
50	00:00:22	eve	おいしい煮玉子	
51	00:00:24	桜田紅	おいしい煮玉子	
52	00:00:27	ナウ	おいしい煮玉子	
53	00:00:28	ジャック・オー	おいしい煮玉子	
54	00:00:29	FFDD	おいしい煮玉子	
55	00:00:30	ぴねかっと	おいしい煮玉子	
56	00:00:31	いぶきんぐ	おいしい煮玉子	
57	00:00:31	岸辺一徳	おいしい煮玉子	
58	00:00:33	カーマイン	おいしい煮玉子	
59	00:00:34	厳かな守護者P	おいしい煮玉子	
60	00:00:35	JUNY	おいしい煮玉子	
61	00:00:38	たろうずり	おいしい煮玉子	
62	00:00:39	究極ド根性ダイコン	おいしい煮玉子	
63	00:00:40	HILO	おいしい煮玉子	
64	00:00:40	ジョナサン・グレーン	おいしい煮玉子	
65	00:00:41	ヘンリーダーガー	おいしい煮玉子	
66	00:00:43	ねこくーる	おいしい煮玉子	
67	00:00:45	御早和杯	おいしい煮玉子	
68	00:00:45	mori mori	おめでとう	
69	00:00:49	伏葦たぐい	おめ	
70	00:00:50	カギアカギ	おいしい煮玉子	
71	00:00:57	ホワイトラン衛兵	おめでとう。	
72	00:00:58	miso	おめでとう煮玉子	
73	00:00:59	K. u	おいしい煮玉子	
74	00:01:00	竹輪	おいしい煮玉子	
75	00:01:03	カーマイン	おめでとう！	
76	00:01:04	ぴねかっと	おめでとう。	
77	00:01:06	ログ	おいしい煮玉子	
78	00:01:07	究極ド根性ダイコン	エヴァじゃん	
79	00:01:14	motiyomogi	おめでとう。	
80	00:01:15	黄咲隼	おいしい煮玉子	
81	00:01:16	ログ	おめでとう！	
82	00:01:20	いぶきんぐ	こわい	
83	00:01:22	リフェ	おめでとう！	
84	00:01:23	ジュンペイ	おめでとう。	
85	00:01:24	えび	おめでとう	
86	00:01:25	ぴねかっと	花も11000人を祝ってる	
87	00:01:26	sio3go	おめでとう。	
88	00:00:00	らうらう	おいしい煮玉子	
89	00:00:00	カーマイン	おいしい煮玉子:クゥフランゾーパーニューフランゾーパー:	
90	00:00:00	えび	おいしい煮玉子	
91	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
92	00:00:00	リフェ	おいしい煮玉子	
93	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
94	00:00:00	いぶきんぐ	おいしい煮玉子	
95	00:00:00	じょーげん	おいしい煮玉子	
96	00:00:00	フレイムリンクス	おいしい煮玉子	
97	00:00:00	スモーク	おいしい煮玉子	
98	00:00:00	竹輪	おいしい煮玉子	
99	00:00:00	JUNY	おいしい煮玉子	
100	00:00:00	究極ド根性ダイコン	おいしいバタースコッチシナモン煮玉子	
101	00:00:00	桜田紅	おいしい煮玉子	
102	00:00:00	HILO	おいしい煮玉子	
103	00:00:00	厳かな守護者P	おいしい煮玉子	
104	00:00:00	motiyomogi	おいしい旧劇エヴァパロサムネ	
105	00:00:00	K. u	おいしい煮玉子	
106	00:00:00	らうらう	白ニーソ姉ちゃん	
107	00:00:00	カーマイン	ほんのりしてきた	
108	00:00:00	伏葦たぐい	おいしい煮玉子	
109	00:00:00	ねこくーる	おいしい煮玉子	
110	00:00:00	厳かな守護者P	青肌人外姉ちゃん	
111	00:00:00	ホワイトラン衛兵	まごころを、姉に	
112	00:00:00	ログ	姉ちゃん…	
113	00:00:00	山の田んぼ	おいしい煮玉子	
114	00:00:00	HILO	スパッツ姉ちゃんに見える	
115	00:00:00	ジャック・オー	おいしい煮玉子	
116	00:00:00	岸辺一徳	おいしい煮玉子	
117	00:00:00	ぴねかっと	おいしい煮玉子:クゥフランゾーパーニューフランゾーパー:	
118	00:00:00	フレイムリンクス	姉ちゃんスヤスヤ？	
119	00:00:00	キタカシ	ほんのりとお待ちください	
120	00:00:00	いぶきんぐ	さっきツイーティングしてたからほんのり準備中だと思う	
121	00:00:00	カーマイン	おしの子:クゥフランゾーパーニューフランゾーパー:	
122	00:00:00	ジョナサン・グレーン	いい子:クゥフランゾーパーニューフランゾーパー:	
123	00:00:00	岸辺一徳	じまんの子	
124	00:00:00	いぶきんぐ	まじおしの子:クゥフランゾーパーニューフランゾーパー:	
125	00:00:00	らうらう	じまんのおし:クゥフランゾーパーニューフランゾーパー:	
126	00:00:00	ホワイトラン衛兵	姉ちゃん頑張った…ゆっくり休んで	￥1,000
127	00:00:00	スモーク	ソニック待機中に寝ちゃって忘れてた 耐久配信お疲れ様	￥10,000
128	00:00:08	ぴねかっと	じいじのじまんの子:クゥフランゾーパーニューフランゾーパー:	
129	00:00:12	ホワイトラン衛兵	おいしい煮玉子	
130	00:00:15	miso	おいしい煮玉子	
131	00:00:17	Ryo Kamiya	おいしい煮玉子	
132	00:00:17	motiyomogi	おいしい煮玉子	
133	00:00:18	らうらう	おいしい煮玉子	
134	00:00:18	えび	おいしい煮玉子	
135	00:00:19	パンセポンセ	おいしい煮玉子	
136	00:00:21	リフェ	おいしい煮玉子	
137	00:00:21	ジュンペイ	おいしい煮じの	
138	00:00:22	eve	おいしい煮玉子	
139	00:00:24	桜田紅	おいしい煮玉子	
140	00:00:27	ナウ	おいしい煮玉子	
141	00:00:28	ジャック・オー	おいしい煮玉子	
142	00:00:29	FFDD	おいしい煮玉子	
143	00:00:30	ぴねかっと	おいしい煮玉子	
144	00:00:31	いぶきんぐ	おいしい煮玉子	
145	00:00:31	岸辺一徳	おいしい煮玉子	
146	00:00:33	カーマイン	おいしい煮玉子	
147	00:00:34	厳かな守護者P	おいしい煮玉子	
148	00:00:35	JUNY	おいしい煮玉子	
149	00:00:38	たろうずり	おいしい煮玉子	
150	00:00:39	究極ド根性ダイコン	おいしい煮玉子	
151	00:00:40	HILO	おいしい煮玉子	
152	00:00:40	ジョナサン・グレーン	おいしい煮玉子	
153	00:00:41	ヘンリーダーガー	おいしい煮玉子	
154	00:00:43	ねこくーる	おいしい煮玉子	
155	00:00:45	御早和杯	おいしい煮玉子	
156	00:00:45	mori mori	おめでとう	
157	00:00:49	伏葦たぐい	おめ	
158	00:00:50	カギアカギ	おいしい煮玉子	
159	00:00:57	ホワイトラン衛兵	おめでとう。	
160	00:00:58	miso	おめでとう煮玉子	
161	00:00:59	K. u	おいしい煮玉子	
162	00:01:00	竹輪	おいしい煮玉子	
163	00:01:03	カーマイン	おめでとう！	
164	00:01:04	ぴねかっと	おめでとう。	
165	00:01:06	ログ	おいしい煮玉子	
166	00:01:07	究極ド根性ダイコン	エヴァじゃん	
167	00:01:14	motiyomogi	おめでとう。	
168	00:01:15	黄咲隼	おいしい煮玉子	
169	00:01:16	ログ	おめでとう！	
170	00:01:20	いぶきんぐ	こわい	
171	00:01:22	リフェ	おめでとう！	
172	00:01:23	ジュンペイ	おめでとう。	
173	00:01:24	えび	おめでとう	
174	00:01:25	ぴねかっと	花も11000人を祝ってる	
175	00:01:26	sio3go	おめでとう。	
176	00:01:31	ジョナサン・グレーン	おめでとさん！	
177	00:01:32	ログ	おめでとうEND	
178	00:01:35	カーマイン	TV版じゃねーか！	
179	00:01:37	黄咲隼	おめでとう	
180	00:01:48	K. u	し あ わ せ	
