行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:10	ふじ	おいしい煮玉子	
1	00:00:15	周恩来	おいしい煮玉子	
2	00:00:17	べるべる	おいしい煮玉子	
3	00:00:18	Garden	おいしい煮玉子	
4	00:00:22	ノギ	おいたまー	
5	00:00:23	なる	おいしい煮玉子	
6	00:00:24	あかきき	おいしい煮玉子	
7	00:00:26	プレコ	おにたま	
8	00:00:28	天然ステルス	おいたま	
9	00:00:33	御早和杯	おいしい煮玉子	
10	00:00:33	なんたら	おいしい煮玉子	
11	00:00:35	スモーク	２おいたま	
12	00:00:37	うぇいのる	おはゾパ～	
13	00:00:37	めるカバ	おはやう煮玉子	
14	00:00:38	こみこ	おいしい煮玉子もう6時	
15	00:00:38	_ Die	おいしい煮玉子	
16	00:00:47	ふたばred	おいたまー	
17	00:00:47	イクズ	おいにた	
18	00:00:51	アセンブラ	おはようございます	
19	00:00:59	ゆうきジョン	おいしい煮玉子	
20	00:01:01	べるべる	ちゃんと枠変わってる	
21	00:01:28	めるカバ	いまPTなに入ってる？	
22	00:01:37	周恩来	珍しく見通しが甘くなかった	
23	00:01:37	たたた	それだとプリチャンと被る	
24	00:01:39	ノギ	サクサクだったね	
25	00:01:49	_ Die	あと二時間ぐらい？	
26	00:02:03	べるべる	一体ジムリーダーはどんな奴なんだ…	
27	00:02:04	こみこ	た お す	
28	00:02:07	周恩来	終わった後バグ配信やろ	
29	00:02:29	猪狩すっすー	初見ですー！！^ ^	
30	00:02:41	うぇいのる	伝説ポケモン捕まえても時間余りそう	
31	00:02:50	めるカバ	めっちゃ強くなってる	
32	00:02:56	Garden	あかちゃんじゃ仕方ない	
33	00:02:59	なんたら	赤ちゃんでトぶ	
34	00:02:59	まみすば	あかちゃんがそらをとべるわけないでしょ	
35	00:03:14	ノギ	空飛べるようになったから少しトレーナー狩って遊んでもいいね	
36	00:03:17	周恩来	あかちゃんってどこからくるの？	
37	00:03:24	subaru taira	おっそww	
38	00:03:34	たべ太	なんかちがくね？	
39	00:03:34	アセンブラ	じめんとは	
40	00:03:45	Garden	ﾗｳﾞｨ!	
41	00:03:56	なんたら	姉ちゃんはどこから来るの	
42	00:04:04	ゆうきジョン	あかちゃん育てないのか	
43	00:04:33	内海柚	ラヴィ！	
44	00:04:50	めるカバ	テクぼうは闇	
45	00:04:58	こみこ	汚いから湧くってそれただのアレじゃ	
46	00:05:00	周恩来	テクぼうが1匹見つかるなら50匹はいるからな	
47	00:05:00	ふたばred	汚部屋にテクぼうは集まる……？	
48	00:05:01	なんたら	死なないで	
49	00:05:02	ノギ	ジャワ島から来るんでしょ	
50	00:00:10	ふじ	おいしい煮玉子	
51	00:00:15	周恩来	おいしい煮玉子	
52	00:00:17	べるべる	おいしい煮玉子	
53	00:00:18	Garden	おいしい煮玉子	
54	00:00:22	ノギ	おいたまー	
55	00:00:23	なる	おいしい煮玉子	
56	00:00:24	あかきき	おいしい煮玉子	
57	00:00:26	プレコ	おにたま	
58	00:00:28	天然ステルス	おいたま	
59	00:00:33	御早和杯	おいしい煮玉子	
60	00:00:33	なんたら	おいしい煮玉子	
61	00:00:35	スモーク	２おいたま	
62	00:00:37	うぇいのる	おはゾパ～	
63	00:00:37	めるカバ	おはやう煮玉子	
64	00:00:38	こみこ	おいしい煮玉子もう6時	
65	00:00:38	_ Die	おいしい煮玉子	
66	00:00:47	ふたばred	おいたまー	
67	00:00:47	イクズ	おいにた	
68	00:00:51	アセンブラ	おはようございます	
69	00:00:59	ゆうきジョン	おいしい煮玉子	
70	00:01:01	べるべる	ちゃんと枠変わってる	
71	00:01:28	めるカバ	いまPTなに入ってる？	
72	00:01:37	周恩来	珍しく見通しが甘くなかった	
73	00:01:37	たたた	それだとプリチャンと被る	
74	00:01:39	ノギ	サクサクだったね	
75	00:01:49	_ Die	あと二時間ぐらい？	
76	00:02:03	べるべる	一体ジムリーダーはどんな奴なんだ…	
77	00:02:04	こみこ	た お す	
78	00:02:07	周恩来	終わった後バグ配信やろ	
79	00:02:29	猪狩すっすー	初見ですー！！^ ^	
80	00:02:41	うぇいのる	伝説ポケモン捕まえても時間余りそう	
81	00:02:50	めるカバ	めっちゃ強くなってる	
82	00:02:56	Garden	あかちゃんじゃ仕方ない	
83	00:02:59	なんたら	赤ちゃんでトぶ	
84	00:02:59	まみすば	あかちゃんがそらをとべるわけないでしょ	
85	00:03:14	ノギ	空飛べるようになったから少しトレーナー狩って遊んでもいいね	
86	00:03:17	周恩来	あかちゃんってどこからくるの？	
87	00:03:24	subaru taira	おっそww	
88	00:03:34	たべ太	なんかちがくね？	
89	00:03:34	アセンブラ	じめんとは	
90	00:03:45	Garden	ﾗｳﾞｨ!	
91	00:03:56	なんたら	姉ちゃんはどこから来るの	
92	00:04:04	ゆうきジョン	あかちゃん育てないのか	
93	00:04:33	内海柚	ラヴィ！	
94	00:04:50	めるカバ	テクぼうは闇	
95	00:04:58	こみこ	汚いから湧くってそれただのアレじゃ	
96	00:05:00	周恩来	テクぼうが1匹見つかるなら50匹はいるからな	
97	00:05:00	ふたばred	汚部屋にテクぼうは集まる……？	
98	00:05:01	なんたら	死なないで	
99	00:05:02	ノギ	ジャワ島から来るんでしょ	
100	00:05:12	アセンブラ	じめんジムでともだち先頭とか	
101	00:05:16	たべ太	寝不足極まると寒気するよね	
102	00:05:24	うぇいのる	いったいなにカキなんだ…	
103	00:05:29	べるべる	タマム…なんとかシティだったかなぁー	
104	00:05:29	Garden	ゲームコーナー…アジト…うっ頭が	
105	00:06:17	めるカバ	つよい	
106	00:06:28	ゆうきジョン	だえきとえらい違いや	
107	00:06:50	うぇいのる	まだ…？	
108	00:06:53	_ Die	まだ	
109	00:07:01	Garden	そうかな…？	
110	00:07:03	アセンブラ	そろそろってあんたその位置最初じゃね？	
111	00:07:12	べるべる	12時間くらいなら耐久じゃなくてもやることあるし…？	
112	00:07:17	めるカバ	レベル的にチャンピオン挑めそう	
113	00:07:44	たたた	人間は愚か	
114	00:07:51	_ Die	ジャップオス	
115	00:07:55	こみこ	そんな言葉使っちゃいけません！	
116	00:08:00	SyG TTT	やめなさ～～～～い！！	
117	00:08:03	ゆうきジョン	人間は愚か	
118	00:08:09	内海柚	岩が地面に弱いのはいまだに納得がいかない	
119	00:08:13	めるカバ	尻尾？	
120	00:08:22	周恩来	DWUさんのおかげで使っても許されそうに感じるそうでもない言葉	
121	00:08:45	めるカバ	相当な人格者だろうな！	
122	00:08:54	うぇいのる	さぞ立派な人にちがいない…	
123	00:08:55	周恩来	そうかな…	
124	00:08:56	Garden	まさか悪の組織のボスが選ばれるはずないしな…	
125	00:09:21	たんこぶ	DWUさんTwitterで結構かわいい	
126	00:09:21	たたた	ズブズブやぞ	
127	00:09:27	べるべる	それはもう人のいい人なんだろうなぁ	
128	00:09:34	アセンブラ	見えとる	
129	00:09:46	のどあめ	姉ちゃんおはよう煮玉子〜順調だね	
130	00:09:55	ふたばred	DWUがアンチンとなんだかんだ仲いいのすこ	
131	00:10:14	Garden	ドラピオン好き	
132	00:10:15	内海柚	ジムリーダーすぐ変わるけどね・・・	
133	00:10:24	こみこ	わんちん好き	
134	00:10:24	ゆうきジョン	アーボックもカッコいいか	
135	00:10:29	うぇいのる	草	
136	00:10:29	なる	ワンチン	
137	00:10:30	べるべる	かわいい	
138	00:10:30	SyG TTT	ニドクインよりむっちりしとる	
139	00:10:33	悠	おはようございます(๑°⌓°๑)	
140	00:10:35	Garden	クゥちゃんにも来たのか…	
141	00:10:38	のどあめ	姉ちゃんにも送られてきてるのかワンチン	
142	00:10:39	周恩来	かわいい	
143	00:10:40	ふたばred	あの行動ほんと草	
144	00:10:41	天然ステルス	Doge	
145	00:10:48	ゆうきジョン	かわいい	
146	00:10:49	たたた	草	
147	00:10:50	こみこ	色んなVTuberに送ってるよね	
148	00:11:03	周恩来	姉ちゃん師匠呼びされてるよね	
149	00:11:03	のどあめ	ワンチンはもうボケてるとか聞いた	
150	00:11:11	アセンブラ	以下なみのり無双	
151	00:11:19	ふたばred	信姫やハルカスにも送ってるからなあの怪獣……	
152	00:11:26	たんこぶ	ワンチンかわいい	
153	00:11:57	たたた	小悪党感	
154	00:12:05	内海柚	いい波乗ってんね	
155	00:12:19	Garden	ポケモンリーグとロケット団ズブズブなのでは…	
156	00:12:19	カキタロー	スピアーのイメージが強すぎる	
157	00:12:24	SyG TTT	いい波のってんね～	
158	00:12:26	neiteng	なんだってー！？	
159	00:12:27	周恩来	なんだってー！？	
160	00:12:29	うぇいのる	な、なんだってー！	
161	00:12:33	悠	草	
162	00:12:43	こみこ	スポーツ協会のトップがヤクザと繋がってるみたいなもんか	
163	00:12:44	ふたばred	なんだってー！	
164	00:12:51	なんたら	いがいすぎる…	
165	00:13:04	neiteng	草	
166	00:13:05	パリパリ海苔	草	
167	00:13:06	ゆうきジョン	もしかしてロケット団ってヤ…	
168	00:13:07	ふたばred	まずいですよ！	
169	00:13:09	subaru taira	おいおい	
170	00:13:09	周恩来	危ない危ない	
171	00:13:10	_ Die	草	
172	00:13:16	ツバメ	姉ちゃん消されちゃう…	
173	00:13:16	SyG TTT	オイオイオイオイ	
174	00:13:17	めるカバ	地元のポケモンを育ててる1192点	
175	00:13:18	なんたら	ハイ	
176	00:13:20	らうらう	草	
177	00:13:30	アセンブラ	余裕すぎへん	
178	00:13:31	neiteng	オイオイオイオイ死んだわあいつ	
179	00:13:32	御早和杯	いや、SUMOUは悪いよ	
180	00:13:35	のどあめ	最近ならボクシング協会が話題	
181	00:14:14	うぇいのる	軽い…	
182	00:14:16	周恩来	ボクシング連盟とボクシング協会があるからややこしい	
183	00:14:18	悠	良いやつなのでは...	
184	00:14:19	こみこ	罪は問われないのか	
185	00:14:19	ふたばred	ｻﾗﾀﾞﾊﾞｰ!	
186	00:14:21	イクズ	さらばだサラダバー	
187	00:14:22	たたた	ウソップ海賊団	
188	00:14:26	なる	前負けたときとの差は何なんだろう	
189	00:14:28	Ganon	仕事探さなきゃ・・・	
190	00:14:31	アキユタカ	軽い犯罪組織だな	
191	00:14:40	じょーげん	復活直後に閉められるとか…	
192	00:14:50	ゆうきジョン	サカキは息子の面倒ちゃんと見て	
193	00:14:56	neiteng	軽すぎる	
194	00:15:02	内海柚	帰ってきたジムリーダーがすぐに消えるとかジム職員涙目すぎる	
195	00:15:07	のどあめ	反社組織が当日に解散したらみんな小悪党なって治安悪化しそう	
196	00:15:51	subaru taira	酷い理由だ	
197	00:15:51	Garden	HAHAHA	
198	00:15:53	ゆうきジョン	きみが わるい！	
199	00:15:54	なんたら	そうか	
200	00:15:55	周恩来	いんキャも気味が悪いからな…	
201	00:15:56	habanero	今世代最強エスパー技	
202	00:15:57	アセンブラ	ひなたボッコとかてめぇ許さねぇ！	
203	00:16:10	めるカバ	きたかウェイ	
204	00:16:23	じょーげん	陰キャでウォーミングアップ	
205	00:16:23	周恩来	久々だなウェイ	
206	00:16:25	天然ステルス	アジョット	
207	00:16:26	たたた	陰キャでウォーミングアップ	
208	00:16:32	うぇいのる	ｳｪｰｲ	
209	00:16:33	アセンブラ	初代ゆめくいの吸収率は100％やしな	
210	00:16:38	内海柚	陰キャでウォーミングアップ	
211	00:16:40	subaru taira	あのときのポッポが。	
212	00:16:51	めるカバ	無慈悲ィ…	
213	00:17:10	Eトマト	おはよぉ姉ちゃんどこまで行った？	
214	00:17:15	アセンブラ	ひこう相手に岩や！	
215	00:17:30	のどあめ	初代の敵は順番にしかだしてこないんじゃなかった？	
216	00:17:46	20分ねずみ	だいもんじは？	
217	00:17:52	アセンブラ	初代の命中は100じゃない	
218	00:17:55	めるカバ	ぎえぴー強すぎて噴く	
219	00:17:55	ふじ	初代は命中100でも割と外す謎仕様	
220	00:17:56	内海柚	95とかじゃなかったっけ	
221	00:17:56	こみこ	初代に命中100はない	
222	00:17:56	Garden	約0.4%で外れる	
223	00:17:57	雨降れ	初代は素ではずれることがある	
224	00:18:00	うぇいのる	ぎえぴー強いゾパね…	
225	00:18:16	めるカバ	フーディンも冷凍ビームでしにそう	
226	00:18:28	「とまと」	0.4％くらい外すらしい	
227	00:19:03	内海柚	レベリングする？	
228	00:19:14	のどあめ	これ結構レベリングいりそうだ	
229	00:19:24	こみこ	こんなんだからラッタ死なせるんだよ	
230	00:19:36	めるカバ	ファイヤー「遂にくるか…小僧」	
231	00:19:38	らうらう	四天王で無理やりレベリングでいいんじゃない	
232	00:19:51	内海柚	初代あるある	
233	00:19:54	うぇいのる	草	
234	00:19:57	Garden	レイヤーミスみたいな…	
235	00:20:01	habanero	デップーか何か？	
236	00:20:02	アセンブラ	紳士ですから	
237	00:20:02	田中大介	ポケモン全滅しつつ進むライバルの強さよ	
238	00:20:30	はまちハウマッチ	マサルダイモンかな	
239	00:20:32	ふたばred	トレーナーによる直接攻撃	
240	00:20:45	うぇいのる	マスターボール投げよう	
241	00:20:59	内海柚	初代はポケモン持たずに行くと戦闘強制勝利だからね	
242	00:21:04	Garden	ナ！ゾ！ノ！ク！サ！	
243	00:21:21	アセンブラ	あ、初代で最も狩られたポケモン、ニドランだ！	
244	00:21:36	アセンブラ	む！	
245	00:21:37	こみこ	む！	
246	00:21:44	めるカバ	む！いいねェ…	
247	00:21:47	うぇいのる	む！	
248	00:21:50	ふたばred	む！ポケモンか！	
249	00:21:54	neiteng	一々1種類確認していく必要有る？	
250	00:21:59	アセンブラ	ケンかな？	
251	00:22:01	なんたら	むむ！	
252	00:22:03	田中大介	初代のバッチ確認いいね	
253	00:22:04	天然ステルス	やるねェ	
254	00:22:12	たたた	人件費の無駄	
255	00:22:14	Garden	ワクワク感あるよね	
256	00:22:22	とそると	いいんです！	
257	00:22:23	subaru taira	何で一言一言同じなんだよ	
258	00:22:23	ほるもん	おはようございます	
259	00:22:27	neiteng	む！	
260	00:22:32	んよ	この仕事楽そう	
261	00:22:36	周恩来	む！	
262	00:22:42	うぇいのる	ここきつそう	
263	00:22:47	なんたら	ローテしてるんじゃない	
264	00:22:50	周恩来	その分時給弾むから	
265	00:22:57	ふたばred	あの二人だけ給料高そう	
266	00:23:53	Garden	レジェンダリーな視線を感じる	
267	00:23:57	周恩来	マサラ史観	
268	00:24:00	neiteng	とうとう来たか	
269	00:24:06	こみこ	マサラにはオーキドいるし裏で色々やってんだろ	
