行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	motiyomogi	おいしい煮玉子	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	JUNY	おいしい煮玉子	
3	00:00:00	岸辺一徳	おいしい煮玉子	
4	00:00:00	ホワイトラン衛兵		￥100
5	00:00:00	Dahlia		￥100
6	00:00:00	じょーげん		￥108
7	00:00:17	岸辺一徳	おいしい煮玉子	
8	00:00:21	らうらう	おいしい煮玉子	
9	00:00:23	ほるもん	おいしい煮玉子	
10	00:00:23	タケノコ男	おいしい煮玉子	
11	00:00:24	桜田紅	おいしい年越し煮玉子	
12	00:00:25	ゼッケン100	おいしい煮玉子	
13	00:00:27	助六	おいしいにたまご	
14	00:00:27	スモーク	おいしい煮玉子	
15	00:00:27	ジョナサン・グレーン	おいしい煮玉子	
16	00:00:28	motiyomogi	おいしい煮玉子	
17	00:00:28	むらさきあんこ	おいしい煮玉子	
18	00:00:30	山山春春	おいしい煮玉子	
19	00:00:30	sio3go	おいしい煮玉子	
20	00:00:30	Ryo Kamiya	おいしい煮玉子	
21	00:00:31	ぷりん	こんばんは	
22	00:00:31	JUNY	おいしい煮玉子	
23	00:00:32	ねこくーる	おいしい煮玉子	
24	00:00:33	カギアカギ	おいしい煮玉子	
25	00:00:33	袖口	おいしい煮玉子	
26	00:00:34	ミワタリ	おいしい煮玉子	
27	00:00:37	seafood	おいしい煮玉子	
28	00:00:37	竹輪	おいしい煮玉子	
29	00:00:37	_ Die	おいしい煮玉子	
30	00:00:39	リフェ	おいしい煮玉子	
31	00:00:42	近藤亮	おいしい煮玉子	
32	00:00:45	ほるもん	こんばんは	
33	00:00:45	ジョナサン・グレーン	なんだこの配信はぁ！？	
34	00:00:48	カーマイン	おいしい煮玉子	
35	00:00:51	ラルエメ	おいしい煮玉子	
36	00:00:52	厳かな守護者P	おいしい煮玉子	
37	00:00:52	PURANASU14	おいしい煮た孫	
38	00:00:52	にけい	おいしい煮玉子	
39	00:00:56	らうらう	かわいい	
40	00:00:57	ホワイトラン衛兵	おいしい煮玉子	
41	00:00:58	ヘンリーダーガー	おいしい煮玉子	
42	00:01:02	じょーげん	おいしい煮玉子	
43	00:01:03	ジャック・オー	　おいしい煮玉子　	
44	00:01:05	ゼッケン100	今年ももうおしまい煮玉子	
45	00:01:09	ラルエメ	かわいい	
46	00:01:12	C.ジョンソン	おいしい煮玉子	
47	00:01:13	尾花	おいしい煮玉子	
48	00:01:20	motiyomogi	たのしみ	
49	00:01:20	コンコン	おいしい煮玉子〜	
50	00:01:22	竹輪	神聖なる…	
51	00:01:24	らうらう	おけまる	
52	00:01:29	くーねる	ねんまつ煮玉子	
53	00:01:30	ジョナサン・グレーン	おけまる	
54	00:00:00	motiyomogi	おいしい煮玉子	
55	00:00:00	らうらう	おいしい煮玉子	
56	00:00:00	JUNY	おいしい煮玉子	
57	00:00:00	岸辺一徳	おいしい煮玉子	
