行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	JUNY	恒星よ…	
1	00:00:00	motiyomogi	おいしい恒星	
2	00:00:00	らうらう	おいしい恒星	
3	00:00:00	うぇいのる	おいしいガチャ	
4	00:00:00	biki koto	ガッチャ！	
5	00:00:00	クロムア	おいしい煮玉子	
6	00:00:12	リフェ	おいしい恒星	
7	00:00:16	motiyomogi	おいしい煮玉子	
8	00:00:16	ほるもん	おいしい煮玉子	
9	00:00:19	Redlead	おいしい煮玉子	
10	00:00:20	JUNY	おいしい煮玉子	
11	00:00:24	らうらう	おいしい煮玉子	
12	00:00:26	FFDD	おいしい煮玉子	
13	00:00:26	御早和杯	おいしい煮玉子	
14	00:00:27	あい	おいしい煮玉子	
15	00:00:27	竹本カキフライ	おいたま	
16	00:00:28	Redmix	おいしい煮玉子	
17	00:00:29	ジョナサン・グレーン	おいしい煮玉子	
18	00:00:30	ジャック・オー	おいしいたゆたう	
19	00:00:35	ありすみ	おいしい煮玉子	
20	00:00:50	T.のかね	おいしい煮玉子	
21	00:00:52	ジャック・オー	ジョブズを信じろ	
22	00:00:55	むらさきあんこ	おいしい煮玉子	
23	00:00:58	あい	少ない	
24	00:00:58	JUNY	サクッとね	
25	00:01:10	むらさきあんこ	配信パワーを信じるしかない…	
26	00:01:11	ジョナサン・グレーン	ジョブズに祈らなきゃ…	
27	00:01:16	陰キャバス竹中	カーリンつよいねー	
28	00:01:29	陰キャバス竹中	おいしい煮玉子	
29	00:01:30	JUNY	かなしい	
30	00:01:37	T.のかね	かわいそう	
31	00:01:40	八木谷	おいしい煮玉子	
32	00:02:41	らうらう	カマキャラ	
33	00:02:41	motiyomogi	草	
34	00:02:44	ジャック・オー	斧と一緒で良かったんじゃ…	
35	00:02:46	八木谷	カマキャラってそういう…	
36	00:02:58	ジョナサン・グレーン	カマキャラってそういう	
37	00:03:05	八木谷	つよい	
38	00:03:06	JUNY	おまえ大鎌とかで戦いそうな顔してるな	
39	00:03:12	ジョナサン・グレーン	禁止カードじゃん！	
40	00:03:23	ジャック・オー	タレントがすごいことに	
41	00:03:36	T K	DDBはあかん	
42	00:04:19	ねこくーる	ヒット数あんまり考えたこと無かった	
