行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	꧁꧂クゥの部屋꧁꧂	TEST	
1	00:00:00	꧁꧂クゥの部屋꧁꧂	TEST2	
2	00:00:00	꧁꧂クゥの部屋꧁꧂	TEST3	
3	00:00:00	motiyomogi	おいしいTEST	
4	00:00:00	aarar scsrt	おいしいにたまご	
5	00:00:00	竹輪	おいしいTEST	
6	00:00:00	リフェ	おいしいレディオ	
7	00:00:00	らうらう	おいしい音楽	
8	00:00:00	カーマイン	Oishi TEST	
9	00:00:00	スモーク	おいしい煮玉子	
10	00:00:00	なんたら	おいしい煮玉子	
11	00:00:00	JUNY	こんばんは	
12	00:00:14	タケノコ男	おいしい煮玉子	
13	00:00:15	内海柚	おいしい煮玉子	
14	00:00:16	めるカバ	まじおいしい煮玉子卍卍	
15	00:00:17	motiyomogi	おいしい煮玉子	
16	00:00:21	ichikazeyaga	おいしい煮玉子	
17	00:00:22	ホワイトラン衛兵	おいしい煮玉子	
18	00:00:26	Ryo Kamiya	おいしい煮玉子	
19	00:00:27	ミワタリ	おいしい煮玉子	
20	00:00:27	カーマイン	おいしい煮玉子	
21	00:00:28	アルデコ	こんばんはー	
22	00:00:30	リフェ	おいしい煮玉子	
23	00:00:33	aarar scsrt	おてて	
24	00:00:36	クイニーのいえ	おいしい煮玉子	
25	00:00:38	タケノコ男	かわいい	
26	00:00:42	御早和杯	おいしい煮玉子	
27	00:00:43	Clacklin/クラックリン	こんばんはー	
28	00:00:44	竹輪	おいしい煮玉子ー かわいい	
29	00:00:46	えび	おいしい煮玉子	
30	00:00:50	桜田紅	おいしい煮玉子	
31	00:00:54	LAKU	こんばんはー	
32	00:00:56	めるカバ	5秒待て	
33	00:00:56	らうらう	ヨシ	
34	00:00:58	じょーげん	おいしい煮玉子	
35	00:00:59	ichikazeyaga	地味に生放送初見です	
36	00:01:00	ぴねかっと	おいしい煮玉子	
37	00:01:00	seka s	こんばんはー	
38	00:01:05	ヌルヌペペ	おいしい煮玉子	
39	00:01:05	ほるもん	おいしい煮玉子	
40	00:01:15	JUNY	変わった挨拶ですね	
41	00:01:16	あい	おいしい煮玉子	
42	00:01:17	たんこぶ	こんばんはー	
43	00:01:22	空気	おいしい煮玉子	
44	00:01:25	ジャック・オー	おいしい煮玉子	
45	00:01:26	ピザ屋の大群	こんばんは	
46	00:01:30	山山春春	おいしい煮玉子	
47	00:01:31	らうらう	BGM大きくない？	
48	00:01:38	ぴねかっと	こんにちはー	
49	00:01:38	らうらう	こんにちわ	
50	00:01:39	JUNY	こんにちはー	
51	00:01:40	なんたら	こんにちは	
52	00:01:40	めるカバ	ねこです	
53	00:01:40	北南	美味しい煮卵	
54	00:01:41	motiyomogi	こんにちはー	
55	00:01:42	ss kk	​おいしい煮玉子	
56	00:01:43	Ryo Kamiya	こんにちはー	
57	00:01:43	あまいさい	こんにちは	
58	00:01:43	えび	こんにちはー	
59	00:01:44	竹輪	こんにちはー	
60	00:01:48	Clacklin/クラックリン	こんにちはー	
61	00:01:48	北南	こんにちはー	
62	00:00:00	꧁꧂クゥの部屋꧁꧂	TEST	
63	00:00:00	꧁꧂クゥの部屋꧁꧂	TEST2	
64	00:00:00	꧁꧂クゥの部屋꧁꧂	TEST3	
65	00:00:00	motiyomogi	おいしいTEST	
66	00:00:00	aarar scsrt	おいしいにたまご	
67	00:00:00	竹輪	おいしいTEST	
68	00:00:00	リフェ	おいしいレディオ	
69	00:00:00	らうらう	おいしい音楽	
70	00:00:00	カーマイン	Oishi TEST	
71	00:00:00	スモーク	おいしい煮玉子	
72	00:00:00	なんたら	おいしい煮玉子	
73	00:00:00	JUNY	こんばんは	
74	00:00:14	タケノコ男	おいしい煮玉子	
75	00:00:15	内海柚	おいしい煮玉子	
76	00:00:16	めるカバ	まじおいしい煮玉子卍卍	
77	00:00:17	motiyomogi	おいしい煮玉子	
78	00:00:21	ichikazeyaga	おいしい煮玉子	
79	00:00:22	ホワイトラン衛兵	おいしい煮玉子	
80	00:00:26	Ryo Kamiya	おいしい煮玉子	
81	00:00:27	ミワタリ	おいしい煮玉子	
82	00:00:27	カーマイン	おいしい煮玉子	
83	00:00:28	アルデコ	こんばんはー	
84	00:00:30	リフェ	おいしい煮玉子	
85	00:00:33	aarar scsrt	おてて	
86	00:00:36	クイニーのいえ	おいしい煮玉子	
87	00:00:38	タケノコ男	かわいい	
88	00:00:42	御早和杯	おいしい煮玉子	
89	00:00:43	Clacklin/クラックリン	こんばんはー	
90	00:00:44	竹輪	おいしい煮玉子ー かわいい	
91	00:00:46	えび	おいしい煮玉子	
92	00:00:50	桜田紅	おいしい煮玉子	
93	00:00:54	LAKU	こんばんはー	
94	00:00:56	めるカバ	5秒待て	
95	00:00:56	らうらう	ヨシ	
96	00:00:58	じょーげん	おいしい煮玉子	
97	00:00:59	ichikazeyaga	地味に生放送初見です	
98	00:01:00	ぴねかっと	おいしい煮玉子	
99	00:01:00	seka s	こんばんはー	
100	00:01:05	ヌルヌペペ	おいしい煮玉子	
101	00:01:05	ほるもん	おいしい煮玉子	
102	00:01:15	JUNY	変わった挨拶ですね	
103	00:01:16	あい	おいしい煮玉子	
104	00:01:17	たんこぶ	こんばんはー	
105	00:01:22	空気	おいしい煮玉子	
106	00:01:25	ジャック・オー	おいしい煮玉子	
107	00:01:26	ピザ屋の大群	こんばんは	
108	00:01:30	山山春春	おいしい煮玉子	
109	00:01:31	らうらう	BGM大きくない？	
110	00:01:38	ぴねかっと	こんにちはー	
111	00:01:38	らうらう	こんにちわ	
112	00:01:39	JUNY	こんにちはー	
113	00:01:40	なんたら	こんにちは	
114	00:01:40	めるカバ	ねこです	
115	00:01:40	北南	美味しい煮卵	
116	00:01:41	motiyomogi	こんにちはー	
117	00:01:42	ss kk	​おいしい煮玉子	
118	00:01:43	Ryo Kamiya	こんにちはー	
119	00:01:43	あまいさい	こんにちは	
120	00:01:43	えび	こんにちはー	
121	00:01:44	竹輪	こんにちはー	
122	00:01:48	Clacklin/クラックリン	こんにちはー	
123	00:01:48	北南	こんにちはー	
124	00:01:49	純潤	おいしい煮玉子	
125	00:01:49	御早和杯	こんにちはー	
126	00:01:50	たんこぶ	わーわー！	
127	00:01:51	seka s	こんにちはー	
128	00:01:52	アルデコ	ねこなのに	
129	00:01:54	ss kk	こんにちはー	
130	00:01:55	こわえ	こんにちは	
131	00:01:58	ポンコツジョン	こんにちはー	
132	00:02:00	山山春春	こんにちはー	
133	00:02:02	純潤	こんにちはー	
134	00:02:02	seafood	こんにちは	
135	00:02:05	めるカバ	すごい	
136	00:02:11	JUNY	よっしゃっしゃーす	
137	00:02:26	ichikazeyaga	興味深いメンバーや	
138	00:02:31	なんたら	すごい	
139	00:02:40	純潤	豪華なメンバーですね	
140	00:02:45	モヒカン	そうそうたる顔ぶれ	
141	00:02:47	人都トト	豪華だ	
142	00:02:48	ますかっと61	こんちゃ！	
143	00:02:52	JUNY	しゃーす	
144	00:02:57	ミワタリ	豪華	
145	00:03:03	たんこぶ	豪華なメンバーだ！	
146	00:03:05	竹輪	メンバーすごい	
147	00:03:06	ぺりぽん	ほんと豪華	
148	00:03:09	motiyomogi	とっても豪華だ	
149	00:03:12	eve 8848	豪華メンバーだ	
150	00:03:12	モヒカン	3カメに割り込むロボ	
151	00:03:12	ぴねかっと	それぞれ分野が違ってていいね	
152	00:03:13	リフェ	豪華メンバー！	
153	00:03:18	タケノコ男	よろしくおねがいしまーす	
154	00:03:19	カーマイン	豪華すぎる	
155	00:03:22	山山春春	すごい	
156	00:04:17	なんたら	なるほど	
157	00:04:23	eve 8848	気になる	
158	00:04:25	motiyomogi	興味深い	
159	00:04:26	リフェ	きになるー	
160	00:04:27	クイニーのいえ	めっちゃ気になる内容･･･！	
161	00:04:27	ぴねかっと	気になる	
162	00:04:28	ichikazeyaga	うおー、気になるなぁ	
163	00:04:33	タケノコ男	気になる	
164	00:04:34	佐藤仁	こんばんは、おいしい煮玉子	
165	00:04:34	人都トト	気になる	
166	00:04:35	たんこぶ	気になるなあ！	
167	00:04:36	seka s	気になる	
168	00:04:55	Clacklin/クラックリン	メモらなきゃ…	
169	00:05:01	らうらう	濃ゆい	
170	00:05:05	クイニーのいえ	セイントペプシ！！	
171	00:05:15	Ken Boost	FutureFunkとは意外	
172	00:05:17	ぴねかっと	おお	
173	00:05:32	motiyomogi	要チェックや	
174	00:05:32	モヒカン	じぇむかん？	
175	00:05:47	Ken Boost	姉ちゃんVaporwave聴くとは思わなかった	
176	00:05:58	リフェ	なるほどー	
177	00:06:06	なんたら	なんか聞いたことある	
178	00:06:06	ichikazeyaga	ほうほう	
179	00:06:09	竹輪	へぇ〜	
180	00:06:12	あまいさい	それはあぶない	
181	00:06:13	めるカバ	(アカン)	
182	00:06:18	タケノコ男	やばそう	
183	00:06:21	カーマイン	あぶない	
184	00:06:23	Ken Boost	思想的には20世紀カルチャーへの懐古とか皮肉とか	
185	00:06:30	ますかっと61	Boiさん好き	
186	00:06:30	佐藤仁	へー	
187	00:06:31	ぴねかっと	ちょっと懐かしい雰囲気	
188	00:06:57	クイニーのいえ	現代のコンピュー	
189	00:07:31	Ken Boost	あるいは80年代カルチャーの夢見がちな世界観が持つ｢果たされなかった夢｣への投げかけだったり	
190	00:07:48	佐藤仁	後でチェックしてみよう	
191	00:08:10	竹輪	草	
192	00:08:26	ichikazeyaga	知らない音楽ジャンルの話を聞くのもおもしろいものだ	
193	00:08:35	joe hakata	ヴェイパー聞いてる時、深夜のテレビ見てる気分なんだよな	
194	00:08:43	たんこぶ	草	
195	00:08:49	joe hakata	山下達郎の人気っぷりなんなんだ	
196	00:08:51	佐藤仁	のんだ	
197	00:08:58	Ken Boost	あの界隈の人達は日本や香港の映像で現実逃避に愛用しているらしい	
198	00:09:02	アリック	何度も死んだことにされるヴェイパーウェイブ	
199	00:09:15	カーマイン	知らなかったそんなジャンル	
200	00:09:23	タケノコ男	へー	
201	00:09:23	seka s	わかりやすい	
202	00:09:30	リフェ	おもしろそう	
203	00:09:31	ピザ屋の大群	開幕vaporwareの話してんの…	
204	00:09:57	Ken Boost	Vapor界隈での山下達郎と角松敏生の人気ぶりとなぜか注目されるMoon時代の八神純子	
205	00:10:23	ぴねかっと	vaporwave特化のVTuberも何人かいる	
206	00:10:26	竹輪	なるほど	
207	00:10:37	motiyomogi	なるほど	
208	00:10:50	Ken Boost	VaporwaveってVtuber文化のバッドエンドって感じする	
209	00:10:53	カーマイン	ホルガーチューカイの子孫みたいな？	
210	00:11:16	joe hakata	蒸気ナミ、スマイリー笑顔さんあたり思い出す vaporwaveのV	
211	00:11:27	たんこぶ	アンビエント！	
212	00:11:37	Ken Boost	またVaporwaveと縁のあるジャンルだな	
213	00:11:49	茂衣介	こんばんはー	
214	00:12:25	ぴねかっと	へぇ	
215	00:12:31	ichikazeyaga	ほえー	
216	00:12:32	Atelier Fräulein Official	ほえー	
217	00:12:36	tamachan0312	おもしろそう	
218	00:12:36	motiyomogi	へー	
219	00:12:55	めるカバ	🤔	
220	00:12:56	タケノコ男	すごい	
221	00:12:57	seka s	こだわりやばいな…	
222	00:13:02	eve 8848	こだわりが凄い	
223	00:13:13	カーマイン	聴いてみよ	
224	00:13:23	joe hakata	わかりますのうなずきっぷりが分かる「わかります」だ	
225	00:13:55	なんたら	笙とかそれっぽい	
226	00:14:02	Ken Boost	アンビエント×アジアンってtech noirみたいな音楽性だな	
227	00:14:47	茂衣介	寺でライブやってたね	
228	00:15:03	佐藤仁	へぇー	
229	00:15:07	joe hakata	ねこさんに刺さりまくった	
230	00:15:22	motiyomogi	ジェムカンいいね	
231	00:15:36	竹輪	あー	
232	00:15:46	佐藤仁	うーたま	
233	00:15:55	アルデコ	4KのMV	
234	00:15:57	めるカバ	実質◯イカツ	
235	00:15:58	ぴねかっと	PVめちゃくちゃかわいい	
236	00:16:03	joe hakata	力の入れ方がすげえ・・・	
237	00:16:06	カーマイン	すごい	
238	00:16:10	たんこぶ	4Kなの！？	
239	00:16:13	Ryo Kamiya	4K!?	
240	00:16:16	tamachan0312	アイカツやん	
241	00:16:26	渚乃奏	ねこさんのリアクションが良すぎて笑う	
242	00:16:31	リフェ	4Kってすごいなぁ	
243	00:16:38	joe hakata	盤石の布陣だ	
244	00:16:48	ゾンビはっか	王道を行く	
245	00:17:12	カーマイン	濃ゆいな〜	
246	00:17:18	joe hakata	配慮が光る	
247	00:19:10	茂衣介	KOAN！	
248	00:19:14	クイニーのいえ	aphexのflimいい！	
249	00:19:18	Clacklin/クラックリン	こっちみながらおみずのむのすき	
250	00:19:23	seka s	aphex twin！	
251	00:19:26	内海柚	エイフェックスいいよね・・・	
252	00:19:28	joe hakata	aphexいいよね・・・・いい・・・・	
253	00:19:34	MONO	film！！！	
254	00:19:39	たんこぶ	わかる	
255	00:19:40	タケノコ男	革命前夜すき	
256	00:19:42	JUNY	いい…	
257	00:19:44	竹輪	革命前夜分かる	
258	00:19:46	渚乃奏	やはりミソシタは革命前夜か	
259	00:19:47	motiyomogi	わかる	
260	00:19:49	joe hakata	革命前夜分かるよ	
261	00:19:49	ミワタリ	わかる	
262	00:19:49	カーマイン	王道	
263	00:19:50	tamachan0312	いいよね…	
264	00:19:51	ichikazeyaga	ミソシタはいいぞ	
265	00:19:51	ぴねかっと	革命前夜はマジかっこいい	
266	00:19:53	モヒカン	ミソシタがベタですいませんと言われる日が来るとは	
267	00:20:01	joe hakata	最近だ！	
268	00:20:08	ichikazeyaga	めっちゃ新しいな	
269	00:20:39	zon 〇	革命前夜の闇は深い	
270	00:20:45	覆面忍者	ヤカさんツイーヨで流してくれてんのありがてぇてぇ	
271	00:20:49	joe hakata	今試しに効いたけど、刺さるわあ・・・	
272	00:20:53	ますかっと61	よさそう	
273	00:21:02	ホワイトラン衛兵	気になる	
274	00:21:14	佐藤仁	ミソシタ好き	
275	00:21:17	ichikazeyaga	信者w	
276	00:21:46	ichikazeyaga	すごい太っ腹	
277	00:21:50	motiyomogi	はえー	
278	00:22:01	たんこぶ	草	
279	00:22:03	タケノコ男	草	
280	00:22:06	めるカバ	推しに貢ぐファンの鑑	
281	00:22:07	ichikazeyaga	ダイマ草	
282	00:22:11	カーマイン	草	
283	00:22:44	竹輪	草	
284	00:22:50	joe hakata	唐突すぎぃ！	
285	00:23:00	ichikazeyaga	めっちゃテンションあがるやつやん	
286	00:23:09	ぴねかっと	愛がすごい	
287	00:23:11	JUNY	こんさうんど	
288	00:23:21	motiyomogi	布教しとる	
289	00:24:03	タケノコ男	ダイマすき	
290	00:24:04	joe hakata	10年・・・！	
291	00:24:07	リフェ	10年ってすごいなぁ	
292	00:24:13	めるカバ	そんなに	
293	00:24:13	竹輪	へぇ〜	
294	00:24:14	ichikazeyaga	すげえ	
295	00:24:22	おうばどらいぶch	すごい	
296	00:24:28	seka s	すごいな	
297	00:24:46	佐藤仁	草	
298	00:26:23	タケノコ男	聴いてみたい	
299	00:26:43	ぴねかっと	今ヤカさんのツイートから飛んで聴いてるけどいいね	
300	00:26:59	クイニーのいえ	Squarepusherもいい･･･	
301	00:27:02	Ken Boost	エイフェックスの出身地って昔はヒューマンリーグとかも輩出してたっけ	
302	00:27:17	seka s	草	
303	00:27:30	Ken Boost	エイフェックスのお約束アートワークほんと好き	
304	00:27:30	ichikazeyaga	草	
305	00:27:34	竹輪	草	
306	00:27:38	motiyomogi	草	
307	00:27:47	カーマイン	見たことあるわ	
308	00:27:50	おうばどらいぶch	自分で雑コラしてるのほんとすき	
309	00:27:54	佐藤仁	わかる	
310	00:28:01	Ken Boost	日本であんなことをやるのは｢東脳｣の佐藤理ぐらいだなｗ	
311	00:28:03	タケノコ男	いいよね...	
312	00:28:04	めるカバ	ミソシタがベタというVの界隈	
313	00:28:41	佐藤仁	ミソシタがベタって結構なパワーワードだな	
314	00:28:43	渚乃奏	革命前夜の完成度は異常だからなぁ	
315	00:28:48	あまいさい	わかる	
316	00:28:52	JUNY	じゃあ同じ場にいたんだｗ	
317	00:28:59	タケノコ男	ミソパーティーすごかった	
318	00:29:02	eve 8848	わかる	
319	00:29:04	ichikazeyaga	ライブいきてえぇ	
320	00:29:05	竹輪	わかる	
321	00:29:11	渚乃奏	私もミソパ行きました（人生相談でディスられてきた）	
322	00:29:33	あまいさい	確かに	
323	00:29:35	ichikazeyaga	BOOL時代もCG使ってたもんな	
324	00:29:40	阿久津零	エア飲み物	
325	00:29:46	カーマイン	2枚目待ってるよミソシタ	
326	00:29:49	クイニーのいえ	いまやサザン パフューム ミソシタだから･･･	
327	00:29:52	渚乃奏	BOOLファンとしてもミソシタメジャーは本当に嬉しい	
328	00:29:55	Inium Effectoidのお部屋	Flim好きなのー、ぼくもー	
329	00:30:01	ichikazeyaga	VTuber最速レベルでメジャーデビューしたのはビビった	
330	00:30:02	茂衣介	瞑想的なMVがポイント高い	
331	00:30:08	めるカバ	MFB	
332	00:30:20	リフェ	メジャーデビューは驚いたなぁ	
333	00:30:21	タケノコ男	なるほど	
334	00:30:29	motiyomogi	なるほどね	
335	00:30:54	Ken Boost	ミソシタのマジモンのニューウェイブ感すき	
336	00:31:04	リフェ	なるほど	
337	00:31:11	竹輪	なるほど	
338	00:31:16	カーマイン	なるほど	
339	00:31:16	渚乃奏	革命前夜コピーしてみたけど、すごい音少なくてビビりましたね	
340	00:31:22	ichikazeyaga	なるほど	
341	00:31:32	ネオンドッグ	味濃い方が売れるラーメンみたいな話だな	
342	00:31:34	あまいさい	なるほど	
343	00:32:15	タケノコ男	へー	
344	00:32:16	佐藤仁	ほうほう	
345	00:32:17	うぇいのる	そうなんだ	
346	00:32:18	Ken Boost	サントラを選出とはまた面白いチョイス	
347	00:32:23	あまいさい	あーー	
348	00:32:24	motiyomogi	リッジ！	
349	00:32:25	ichikazeyaga	響さんか	
350	00:32:26	joe hakata	R4 is 神 of GOD	
351	00:32:27	なんたら	あー…	
352	00:32:27	ミヤビハルカ	おおお	
353	00:32:27	めるカバ	リッジわかるーーーー	
354	00:32:31	MONO	リッジレーサーわかる	
355	00:32:34	天鳥ココロ	ミディさん！？	
356	00:32:35	V-Road Travelers Broadcasting 55.9	R4	
357	00:32:35	リフェ	わかるけど、面白いチョイス	
358	00:32:35	カーマイン	FAガールに出てた人か	
359	00:32:35	JUNY	ぶちあがっとる	
360	00:32:36	Clacklin/クラックリン	R4！	
361	00:32:48	おうばどらいぶch	R4だー！！	
362	00:33:00	x 7up	R4かー！！	
363	00:33:19	カーマイン	リィィィッジレイサァァァァァァァ！！！	
364	00:33:37	tamachan0312	それは聞くしかない	
365	00:33:38	ますかっと61	いいすねええ	
366	00:33:46	ぴねかっと	いいね	
367	00:33:50	joe hakata	あーこれいいわ・・・	
368	00:33:54	ichikazeyaga	座組がいい	
369	00:34:11	joe hakata	幸福感わかる	
370	00:34:19	御早和杯	ヒゲドライバー！	
371	00:34:53	ichikazeyaga	個性豊かなメンバーやな	
372	00:35:07	tamachan0312	今聞いてるけど最高やなこれ	
373	00:35:40	ホワイトラン衛兵	わかる	
374	00:35:40	ますかっと61	そんなこと言ったらアイちゃんも、、	
375	00:35:55	seka s	坂本真綾さんほんといいわ	
376	00:35:58	x 7up	プラチナ・・・！	
377	00:35:59	渚乃奏	坂本真綾さんいいなあ	
378	00:36:02	うぇいのる	すごいいい…	
379	00:36:02	ichikazeyaga	声優さんの歌手活動も当たり前みたいになってきて、作詞作曲も豪華になってきた感	
380	00:36:09	めるカバ	真綾のキャラソン聴いてくれよな！	
381	00:36:23	ナウ	おいしい煮玉子	
382	00:36:55	阿久津零	渋谷系はなんだかんだでいつの時代も色褪せない感じある	
383	00:37:02	たんこぶ	リッジは最高！！！	
384	00:37:04	seka s	リッジレーサーの名前をここで聞くとは……！	
385	00:37:06	めるカバ	リッジすき	
386	00:37:10	Clacklin/クラックリン	限界化してる	
387	00:37:15	V-Road Travelers Broadcasting 55.9	リッジ	
388	00:37:16	x 7up	リッジすきー！	
389	00:37:20	カーマイン	懐かしい	
390	00:37:33	ぴねかっと	疾走感がよき	
391	00:37:38	リフェ	リッジの曲良かったー	
392	00:37:56	Ken Boost	ロッテルダムをぶち込んだのは凄いよねｗ	
393	00:38:02	x 7up	リッジが出たんでプレステ買った！	
394	00:38:03	Inium Effectoidのお部屋	後で聴いてみよう	
395	00:38:06	joe hakata	R4のMove On レースゲームとは思えないくらいメロディが強い	
396	00:38:11	めるカバ	運転中に聴くと事故る名盤	
397	00:38:28	カーマイン	CDプレーヤーに入れればそのままサントラになるんだっけ	
398	00:38:41	究極ド根性ダイコン	カービィは王道	
399	00:38:46	タケノコ男	わかる	
400	00:38:47	ミワタリ	カービィわかる	
401	00:38:48	ぴねかっと	カービィのBGM大好き	
402	00:38:48	seka s	クロノア	
403	00:38:52	tamachan0312	聖剣伝説LOM・・・	
404	00:38:53	リフェ	わかる	
405	00:38:54	内海柚	JSRFとか好き	
406	00:38:56	x 7up	カーヴィは良いね	
407	00:38:58	Ken Boost	ナムコといえばエスコン3もサントラのセンスぶっ飛んでた。ゲーム中の効果音との重複を前提とか言う異次元のサウンドプロダクション	
408	00:39:01	ますかっと61	ソニックアドベンチャー２！！	
409	00:39:06	seka s	カービィいいよね！	
410	00:39:23	天鳥ココロ	カービィの曲好き	
411	00:39:25	joe hakata	アトリエシリーズ	
412	00:39:28	カーマイン	服部隆之のIQとか…	
413	00:39:31	motiyomogi	斑鳩のBGMすき	
414	00:39:53	x 7up	アルトネリコシリーズすき	
415	00:39:54	リフェ	カービィは楽譜配布してるのか…	
416	00:40:06	Ken Boost	セガサターンのNightsのサントラすき	
417	00:40:14	seka s	クロノア２語られて嬉しい…ほんといいから聴いて…	
418	00:40:21	めるカバ	ループして聴くからゲームのBGMってすごく大事	
419	00:40:21	究極ド根性ダイコン	ダラバーのサントラもいいぞ	
420	00:40:25	DFC	Xiすき	
