行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	こみこ	おいしい にたまご	
1	00:00:00	岸辺一徳	「：クゥchannelクゥフランゾーパー：」とかで単語登録をしておくとサクサク出せるようになるぞ	
2	00:00:00	らうらう	クゥフランゾーパー2	
3	00:00:00	なんたら	IMEの辞書機能は便利だぞ꧁꧂	
4	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
5	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
6	00:00:00	ナウ	起きてるかな？	
7	00:00:00	ねこくーる	おいしい煮玉子	
8	00:00:00	岸辺一徳	おいしい煮玉子	
9	00:00:00	sio3go	おいしい煮玉子	
10	00:00:00	らうらう	すやすや姉ちゃんかわいい高評価	
11	00:00:00	こみこ	下品なノックして起こさなきゃ…	
12	00:00:00	スモーク	おいたま	
13	00:00:00	あい	おいしい煮玉子	
14	00:00:00	らうらう	もうすぐ！(遅刻)	
15	00:00:00	ジョナサン・グレーン	すやすや姉ちゃんかわいい	
16	00:00:00	なんたら	敬老の日イブだから問題ない	
17	00:00:00	竹輪	かわいい	
18	00:00:00	バリ島のサボテン	もうすぐ！	
19	00:00:00	ナウ	もうすぐ！	
20	00:00:00	天然ステルス	エンディングまで煮玉子	
21	00:00:00	ヘンリーダーガー	いつもの遅刻	
22	00:00:00	mori mori	ブタは出ないんだよなあ	
23	00:00:00	ブロア	告知したから遅刻じゃない定期	
24	00:00:00	岸辺一徳	もうすぐ！高評価！	
25	00:00:00	究極ド根性ダイコン	1時間は誤差	
26	00:00:00	タケノコ男	おいしい煮玉子	
27	00:00:00	ジョナサン・グレーン	もうすぐ！←かわいい	
28	00:00:00	鈴木おじさん	ダチョウの煮玉子	
29	00:00:00	岸辺一徳	サッカーだってロスタイムあるのに姉ちゃんに適用されないのはずるい	
30	00:00:00	ナウ	まだ何もロスしてないのにロスタイムとは	
31	00:00:00	岸辺一徳	姉ちゃんロスつらいよね…	
32	00:00:00	10あああ	おいしい煮玉子	
33	00:00:00	こみこ	お化粧してるのかな	
34	00:00:00	ゴライアン	こんにちは	
35	00:00:00	カギアカギ	姉ちゃん分が不足してきた...	
36	00:00:00	竹輪	そもそも姉ちゃんが始まる時が10時なので遅刻は絶対におこらない	
37	00:00:00	ほるもん	おはようございます	
38	00:00:00	らうらう	​おはようございます	
39	00:00:00	岸辺一徳	姉ニッジ天文台きたな	
40	00:00:00	なんたら	ゾーパー家標準時	
41	00:00:00	近藤大輔	そろそろ１０時かな？	
42	00:00:00	ログ	そうかまだ10時じゃないんだな	
43	00:00:00	山梨悟	mother1初見だから楽しみ	
44	00:00:00	mk 95	姉ちゃんが10時に始めると言ったんだから始まった時間が10時なのだ	
45	00:00:00	ナウ	１０時になるまで泣くんじゃない	
46	00:00:00	らうらう	どっちのカメラつかうんだろう	
47	00:00:00	ヘンリーダーガー	そんなチャック・ノリスみたいな	
