行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	なんたら	チラ見せして焦らすなんてテクニシャンだなあ…	
1	00:00:00	秋箱	まって…可愛い姉ちゃん見てないんだけど…	
2	00:00:00	岸辺一徳	すき	
3	00:00:00	じょーげん	あーすき	
4	00:00:00	いぶきんぐ	どうせ死ぬってときは姉ちゃんに額の番号読み上げられたい	
5	00:00:00	HILO	ケモミミ姉ちゃんかわいかったよ	
6	00:00:00	ジャック・オー	千年帽子の中はああなってたのかー	
7	00:00:00	秋箱	姉ちゃんが不足して死にそう	
8	00:00:00	カーマイン	これは…姉ちゃんのかわいいが集中しすぎて、オーバーロードしているのか？	
9	00:00:00	なんたら	姉ちゃん分が不足して死んだ	
10	00:00:00	ねこくーる	もふりたい	
11	00:00:00	周恩来	姉ちゃんに焦らされとる…	
12	00:00:00	らうらう	しっぽは？しっぽもついとるんか？	
13	00:00:00	究極ド根性ダイコン	千年帽子はケモ耳隠すためのものだったのか…	
14	00:00:00	岸辺一徳	姉ちゃん魔性すぎる…すき…	
15	00:00:00	HILO	これはけもみみおーこくとのコラボですね	
16	00:00:00	陰キャバス竹中	お願いしますYoutube様はやく	
17	00:00:00	ジョナサン・グレーン	姉ちゃん…姉ちゃんどこ…	
18	00:00:00	クゥの部屋 Ch	yる	
19	00:00:00	Redmix	ｙ	
20	00:00:00	うぇいのる	まだなの…姉ちゃん…	
21	00:00:00	T.のかね	ｙる	
22	00:00:00	biggs	ｙ	
23	00:00:00	ジョナサン・グレーン	y	
24	00:00:00	秋箱	yる！yるきた！	
25	00:00:00	じょーげん	Y	
26	00:00:00	むらさきあんこ	ｙったあ！	
27	00:00:00	カーマイン	姉ちゃん！！	
28	00:00:00	鈴木おじさん	ｙるのか！	
29	00:00:00	こみこ	ｙるね	
30	00:00:00	岸辺一徳	る	
31	00:00:00	らうらう	y	
32	00:00:00	なんたら	ｙる	
33	00:00:00	ヌルヌペペ	Ｙ	
34	00:00:00	ジャック・オー	ｙ	
35	00:00:00	あい	ｙ	
36	00:00:00	Cランサー	yる	
37	00:00:00	陰キャバス竹中	ｙ	
38	00:00:00	HILO	姉ちゃん！	
39	00:00:00	岸辺一徳	yる！yる！	
40	00:00:00	うぇいのる	yられたい	
41	00:00:00	mk 95	yったぜ	
42	00:00:00	Redmix	ｙるまで待つ	
43	00:00:00	鈴木おじさん	ｙるんだな！今ここで！	
44	00:00:00	周恩来	yるんですかやったー！	
45	00:00:00	近藤亮	yったあああああああ	
46	00:00:00	ジャック・オー	ｙりおるマーン	
47	00:00:00	スモーク	気を落ち着かせておかないと	
48	00:00:00	nokonokoasyu	yてる	
49	00:00:00	じょーげん	ただいまのちゅっちゅ！！！！！	
50	00:00:00	カーマイン		￥120
51	00:00:13	あい	おいしい煮玉子	
