行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	フレイムリンクス	おいしいダチョウ〜	
1	00:00:00	うぇいのる	おいしい煮玉子	
2	00:00:00	らうらう	おいしい煮玉子	
3	00:00:00	なんたら	おいしい煮玉子	
4	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
5	00:00:00	天然ステルス	おいしい煮玉子	
6	00:00:00	スモーク	おいたま	
7	00:00:00	ドラさん	おいしい煮玉子	
8	00:00:00	あい	おいしい煮玉子	
9	00:00:00	あまいさい	おいしい煮玉子	
10	00:00:00	motiyomogi	おいしい煮玉子	
11	00:00:00	こみこ	おいしい煮玉子	
12	00:00:00	biki koto	おいしい煮玉子	
13	00:00:00	さんぽーる祐三	おいしいFinal Fantasy	
14	00:00:00	タケノコ男	おいしい煮玉子	
15	00:00:10	リフェ	おいしい煮玉子	
16	00:00:14	あい	おいしい煮玉子	
17	00:00:16	らうらう	？！？！？！？！	
18	00:00:17	桜田紅	おいしい煮玉子	
19	00:00:18	さんぽーる祐三	おいしい煮玉子	
20	00:00:18	らうらう	おいしい煮玉子	
21	00:00:21	FFDD	おいしい煮玉子	
22	00:00:22	Redmix	おいしい煮玉子	
23	00:00:23	eve	おいしい煮玉子	
24	00:00:23	うぇいのる	おいしい煮玉子	
25	00:00:23	天然ステルス	スマブラだこれ！	
26	00:00:25	ナウ	おいしい煮玉子	
27	00:00:29	motiyomogi	おいしい煮玉子	
28	00:00:30	佐藤太郎	こんばんは	
29	00:00:30	プラスワン	おいしい	
30	00:00:30	あい	？	
31	00:00:30	mori mori	美味しい煮玉子！	
32	00:00:34	さんぽーる祐三	あれ	
33	00:00:37	なんたら	ドンキー…？	
34	00:00:38	いぶきんぐ	おいしい煮玉子	
35	00:00:39	_ Die	おいしい煮玉子	
36	00:00:40	せせらぎ	これがDK64ですか？	
37	00:00:40	たんこぶ	こんばんはー	
38	00:00:42	らうらう	今日スマブラだったんだ	
39	00:00:43	ジョナサン・グレーン	！？	
40	00:00:45	みつはちみつ	おいしい煮玉子	
41	00:00:45	ナウ	こんばんはbot	
42	00:00:46	こみこ	これが64の画質か	
43	00:00:51	クイニーのいえ	おいしい煮玉子	
44	00:00:51	尾花	おいしい煮玉子	
45	00:00:53	ハリナ	ドンキー？？？	
46	00:00:53	なんたら	ゆびかわいい	
47	00:00:55	ドラさん	おいしい煮玉子スマッシュブラザーズ	
48	00:00:55	もっけいChannel	おいしい煮玉子	
49	00:01:04	mori mori	そうねDK64の対戦面白いしね	
50	00:01:04	うぇいのる	楽しいスマブラ	
51	00:01:05	ねこくーる	おいしい煮玉子	
52	00:01:10	カーマイン	おいしい煮玉子	
53	00:01:12	プラスワン	おいしい煮玉子	
54	00:01:16	mori mori	草	
55	00:01:20	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝ ってあれっ？	
56	00:01:20	タケノコ男	かわいい	
57	00:01:20	らうらう	かわいい	
58	00:01:23	ジョナサン・グレーン	草	
59	00:01:23	あい	おめでとう	
60	00:01:28	せせらぎ	すごい！	
61	00:01:30	さんぽーる祐三	ビリ数6で草	
62	00:01:31	ジョナサン・グレーン	かわいい	
63	00:01:32	スモーク	さす姉	
64	00:01:36	じょーげん	おいしい煮玉子	
65	00:00:00	フレイムリンクス	おいしいダチョウ〜	
66	00:00:00	うぇいのる	おいしい煮玉子	
67	00:00:00	らうらう	おいしい煮玉子	
68	00:00:00	なんたら	おいしい煮玉子	
69	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
70	00:00:00	天然ステルス	おいしい煮玉子	
71	00:00:00	スモーク	おいたま	
72	00:00:00	ドラさん	おいしい煮玉子	
73	00:00:00	あい	おいしい煮玉子	
74	00:00:00	あまいさい	おいしい煮玉子	
75	00:00:00	motiyomogi	おいしい煮玉子	
76	00:00:00	こみこ	おいしい煮玉子	
77	00:00:00	biki koto	おいしい煮玉子	
78	00:00:00	さんぽーる祐三	おいしいFinal Fantasy	
79	00:00:00	タケノコ男	おいしい煮玉子	
80	00:00:10	リフェ	おいしい煮玉子	
81	00:00:14	あい	おいしい煮玉子	
82	00:00:16	らうらう	？！？！？！？！	
83	00:00:17	桜田紅	おいしい煮玉子	
84	00:00:18	さんぽーる祐三	おいしい煮玉子	
85	00:00:18	らうらう	おいしい煮玉子	
86	00:00:21	FFDD	おいしい煮玉子	
87	00:00:22	Redmix	おいしい煮玉子	
88	00:00:23	eve	おいしい煮玉子	
89	00:00:23	うぇいのる	おいしい煮玉子	
90	00:00:23	天然ステルス	スマブラだこれ！	
91	00:00:25	ナウ	おいしい煮玉子	
92	00:00:29	motiyomogi	おいしい煮玉子	
93	00:00:30	佐藤太郎	こんばんは	
94	00:00:30	プラスワン	おいしい	
95	00:00:30	あい	？	
96	00:00:30	mori mori	美味しい煮玉子！	
97	00:00:34	さんぽーる祐三	あれ	
98	00:00:37	なんたら	ドンキー…？	
99	00:00:38	いぶきんぐ	おいしい煮玉子	
100	00:00:39	_ Die	おいしい煮玉子	
101	00:00:40	せせらぎ	これがDK64ですか？	
102	00:00:40	たんこぶ	こんばんはー	
103	00:00:42	らうらう	今日スマブラだったんだ	
104	00:00:43	ジョナサン・グレーン	！？	
105	00:00:45	みつはちみつ	おいしい煮玉子	
106	00:00:45	ナウ	こんばんはbot	
107	00:00:46	こみこ	これが64の画質か	
108	00:00:51	クイニーのいえ	おいしい煮玉子	
109	00:00:51	尾花	おいしい煮玉子	
110	00:00:53	ハリナ	ドンキー？？？	
111	00:00:53	なんたら	ゆびかわいい	
112	00:00:55	ドラさん	おいしい煮玉子スマッシュブラザーズ	
113	00:00:55	もっけいChannel	おいしい煮玉子	
114	00:01:04	mori mori	そうねDK64の対戦面白いしね	
115	00:01:04	うぇいのる	楽しいスマブラ	
116	00:01:05	ねこくーる	おいしい煮玉子	
117	00:01:10	カーマイン	おいしい煮玉子	
118	00:01:12	プラスワン	おいしい煮玉子	
119	00:01:16	mori mori	草	
120	00:01:20	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝ ってあれっ？	
121	00:01:20	タケノコ男	かわいい	
122	00:01:20	らうらう	かわいい	
123	00:01:23	ジョナサン・グレーン	草	
124	00:01:23	あい	おめでとう	
125	00:01:28	せせらぎ	すごい！	
