行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	キタカシ	おいしい煮玉子	
1	00:00:00	Shota Hamada	おいしい煮玉子	
2	00:00:00	キタカシ	おいしい煮玉子🐞	
3	00:00:00	岸辺一徳	おいしい煮玉子	
4	00:00:00	スモーク	おいしい煮玉子	
5	00:00:00	らうらう	おいしい煮玉子	
6	00:00:00	Eトマト	おいしい煮玉子	
7	00:00:00	ミワタリ	おいしい煮玉子	
8	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
9	00:00:00	JUNY	おいしい煮玉子	
10	00:00:00	じょーげん	おいしい煮玉子	
11	00:00:00	eve 8848	おいしい煮玉子	
12	00:00:00	_ Die	おいしい煮玉子	
13	00:00:00	東京コノハムシ	おいしい煮玉子	
14	00:00:00	えび	おいしい煮玉子	
15	00:00:00	りあすて	プレミアム動画から	
16	00:00:00	Garden	おいしい煮玉子	
17	00:00:00	こみこ	おいしいケンくん	
18	00:00:00	なんたら	おいしい煮玉子	
19	00:00:00	厳かな守護者P	おいしい煮玉子	
20	00:00:00	らうらう	​おいしいリア充	
21	00:00:00	東京コノハムシ	おいしい煮玉子無双	
22	00:00:00	にけい	虫からのこれ	
23	00:00:00	T.のかね	おいしい煮玉子	
24	00:00:00	じょーげん	姉妹揃ってクリスマスを冒涜するのいいね…	
25	00:00:00	ジョナサン・グレーン	おいしい待機	
26	00:00:00	東京コノハムシ	マリリン・マンソン的なあれ	
27	00:00:00	らうらう	サンタ服でゴキブリつぶすのおもしろい	
28	00:00:00	ジョナサン・グレーン	8歳と9歳と10歳の時と！12歳と13歳の時も僕はずっと！待って…待っ…うーん…	
29	00:00:00	キタカシ	一体何を…	
30	00:00:00	えび		￥100
31	00:00:00	カーマイン	おつかれ煮玉子	￥500
32	00:00:07	T.のかね	ちゃんと待ってろ	
33	00:00:10	らうらう	#アンチクリスマス #サンタの髭を毟り取れ #トナカイを解放せよ	
34	00:00:12	にけい	姉ちゃんはまだJCなのになぜクリスマスに対してあんなにあんななんだ…	
35	00:00:17	ジョナサン・グレーン	おいしい煮玉子	
36	00:00:19	motiyomogi	おいしい煮玉子	
37	00:00:19	岸辺一徳	おいしい煮玉子	
38	00:00:21	ミワタリ	おいしい煮玉子	
39	00:00:23	タケノコ男	おいしい煮玉子	
40	00:00:24	T.のかね	おいしい煮玉子	
41	00:00:24	FFDD	おいしい煮玉子	
42	00:00:24	らうらう	おいしい煮玉子	
43	00:00:25	JUNY	かわいい	
44	00:00:26	こみこ	おいしい煮玉子	
45	00:00:27	キタカシ	美味しい煮玉子	
46	00:00:29	八木谷	おいしい煮玉子	
47	00:00:29	東京コノハムシ	おいしい煮玉子	
48	00:00:29	_ Die	おいしい煮玉子	
49	00:00:31	たんこぶ	こんばんはー	
50	00:00:31	なんたら	おいしい煮玉子	
51	00:00:32	ジャック・オー	おいしい煮玉子:クゥフランゾーパールゥフランゾーパー:	
52	00:00:33	ホワイトラン衛兵	おいしい煮玉子	
53	00:00:35	桜田紅	おいしい煮玉子	
54	00:00:35	ほるもん	おいしい煮玉子	
55	00:00:35	ゼッケン100	おいしい煮玉子	
56	00:00:38	大野カムイ	おいしい煮玉子	
57	00:00:39	J u d a s s	Merry おいしい煮玉子 Eve	
58	00:00:40	伏葦たぐい	おいしい煮玉子	
59	00:00:42	りあすて	おいしい煮玉子	
60	00:00:42	カギアカギ	おいしい煮玉子	
61	00:00:42	やみくも	おいしい煮玉子	
62	00:00:44	eve 8848	おいしい煮玉子	
63	00:00:46	いぶきんぐ	おいしい煮玉子	
64	00:00:50	Ami Saika	おしいいし煮子子	
65	00:00:50	カーマイン	おいしい煮玉子	
66	00:00:55	Shota Hamada	おいしい煮玉子	
67	00:00:55	なんたら	服借りたの？	
68	00:01:02	Clacklin/クラックリン	おいしい煮玉子	
69	00:01:05	えび	おいしい煮玉子	
70	00:01:07	じょーげん	おおいし	
71	00:01:07	にけい	おいしい煮玉子ましまし	
72	00:01:08	りあすて	姉妹おそろい！なのか！	
73	00:01:15	ジョナサン・グレーン	サンタ服の大姉ちゃんだ！	
74	00:01:15	スモーク	かわいい	
75	00:01:17	ゼッケン100	おそろいかわいい	
76	00:01:24	_ Die	かわいい	
77	00:01:27	ミワタリ	かわいい	
78	00:01:31	タケノコ男	かわいい	
79	00:01:33	なんたら	なんかプルプルしてる	
80	00:00:00	キタカシ	おいしい煮玉子	
81	00:00:00	Shota Hamada	おいしい煮玉子	
82	00:00:00	キタカシ	おいしい煮玉子🐞	
83	00:00:00	岸辺一徳	おいしい煮玉子	
84	00:00:00	スモーク	おいしい煮玉子	
85	00:00:00	らうらう	おいしい煮玉子	
86	00:00:00	Eトマト	おいしい煮玉子	
87	00:00:00	ミワタリ	おいしい煮玉子	
