行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	クゥの部屋 Ch	ttt	
1	00:00:00	あい	おいしい煮玉子」	
2	00:00:00	らうらう	おいしい煮玉子	
3	00:00:00	竹輪	おいたま〜	
4	00:00:00	_ Die	おいしい煮玉子	
5	00:00:00	habanero	おいしい煮玉子	
6	00:00:00	バリ島のサボテン	おいしい煮玉子	
7	00:00:00	近藤亮	おいしい煮玉子	
8	00:00:00	nokonokoasyu	おいしい煮玉子	
9	00:00:00	こみこ	おいしいダメタマゴ	
10	00:00:00	天然ステルス	おいしい煮玉子	
11	00:00:00	Redmix	おいしい煮玉子	
12	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
13	00:00:00	究極ド根性ダイコン	おいしいタマゴ	
14	00:00:00	mk 95	おいしい煮玉子	
15	00:00:12	aru ku	おいまご	
16	00:00:15	バリ島のサボテン	おいしい煮玉子	
17	00:00:16	eve	おいしい煮玉子	
18	00:00:16	あい	おいしい煮玉子	
19	00:00:18	ふじ	おいしい煮玉子	
20	00:00:20	むらさきあんこ	おいしい煮玉子	
21	00:00:21	食べる小魚	おいたまー	
22	00:00:22	灘こよみ	おいたま	
23	00:00:23	らうらう	おいしい煮玉子	
24	00:00:23	habanero	おいしい煮玉子	
25	00:00:26	こみこ	おいしい煮玉子	
26	00:00:28	いぶきんぐ	おいしい煮玉子	
27	00:00:29	せせらぎ	こんにちわ	
28	00:00:29	BDUパイソン	こんばんは✨	
29	00:00:29	袖口	おいしい煮玉子	
30	00:00:31	ジョナサン・グレーン	おいたま〜	
31	00:00:31	オオサキユリ	おいしい煮玉子	
32	00:00:32	竹輪	おいしい煮玉子〜！	
33	00:00:32	fami fami	おいしい煮玉子	
34	00:00:35	にいやまざくろ	おいしい煮玉子	
35	00:00:36	ヤマえもん	おいしい煮玉子	
36	00:00:39	nokonokoasyu	おいしいアネデパミ	
37	00:00:42	ねこくーる	こんばんは	
38	00:00:44	さらしな	​おいしい煮玉子	
39	00:00:44	よもよも	おいしいにたまご	
40	00:00:44	竹輪	今日は遅刻なしだね！	
41	00:00:45	真新八	おいしい煮玉子^~	
42	00:00:45	_ Die	おいしい煮玉子	
43	00:00:45	究極ド根性ダイコン	今の「ちょっと待って…」めっちゃかわいかった	
44	00:00:46	ジャック・オー	おいしい煮玉子	
45	00:00:46	せせらぎ	GBプレイヤ使うのかな？	
46	00:00:47	ジュンペイ	今日の姉ちゃんもかわいい	
47	00:00:48	弐号。あくじき	おいしいにたまごー	
48	00:00:50	バリ島のサボテン	おいしいけつばん	
