行番号	投稿時間	投稿者	メッセージ	スパチャ
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	Eトマト	おいしい煮玉子	
3	00:00:00	スモーク	おいしい煮玉子	
4	00:00:00	リフェ	おいしい煮玉子	
5	00:00:00	竹輪	おいしい煮玉子	
6	00:00:00	sas b	おいしい煮玉子	
7	00:00:19	aarar scsrt	おいしい煮玉子	
8	00:00:24	桜田紅	おいしい煮玉子	
9	00:00:28	Eトマト	始まったー	
10	00:00:31	さらら。	おいしい煮玉子	
11	00:00:32	ねぎ男	おいしい煮玉子	
12	00:00:33	竹輪	かわいい	
13	00:00:35	motiyomogi	おいしい煮玉子	
14	00:00:36	リフェ	おいしい煮玉子	
15	00:00:36	JUNY	おいしい煮玉子	
16	00:00:36	らうらう	よろしくおねがいします	
17	00:00:43	なんたら	おいしい煮玉子	
18	00:00:44	ヘンリーダーガー	おいしい煮玉子	
19	00:00:48	ナウ	おいしい煮玉子	
20	00:00:53	お誕生日席	おいしい煮玉子	
21	00:00:54	Eトマト	燃料すげぇ！	
22	00:00:56	タケノコ男	おいしい煮玉子	
23	00:01:03	ジャック・オー	おいしい煮玉子	
24	00:01:08	ねこくーる	こんばんは見玉子	
25	00:01:16	sas b	略してギルカツ	
26	00:01:41	こみこ	おいしい煮玉子	
27	00:02:10	Nal Otokomos	おいしい煮玉子	
28	00:02:18	パンセポンセ	おいしい煮玉子	
29	00:02:30	さらら。	それ関係なく誰でも入れるんやで	
30	00:02:34	らうらう	すごい	
31	00:02:35	竹輪	国際的	
32	00:02:43	motiyomogi	かわいい	
33	00:02:44	いぶきんぐ	おいしい煮玉子	
34	00:02:48	タケノコ男	グローバルだね	
35	00:03:10	biki koto	おいしい煮玉子かな	
36	00:03:14	さらら。	ちなみに許可制はバグで申請通らないことがある	
37	00:03:22	こみこ	色々なゲームに広がるおいしい煮玉子ギルド	
38	00:03:25	motiyomogi	音声入力たすかる	
39	00:03:57	らうらう	​かわいい	
40	00:04:01	タケノコ男	かわいい	
41	00:04:03	竹輪	かわいい	
42	00:04:05	sas b	かわいい	
43	00:04:07	スモーク	かわいい	
44	00:04:08	motiyomogi	かわいい	
45	00:04:13	リフェ	かわいい	
46	00:04:15	なんたら	くぅちゃん	
47	00:04:16	biki koto	おる	
48	00:04:22	らうらう	やっておる	
49	00:04:24	さらら。	かわいい	
50	00:04:25	ねぎ男	やっておるやっておる	
51	00:04:34	JUNY	おる	
52	00:04:38	motiyomogi	なるほどね	
53	00:04:41	ジャック・オー	kawaii	
54	00:04:46	竹輪	配慮えらい	
55	00:05:52	タケノコ男	やっぱり姉ちゃんカナダなんだ	
56	00:05:53	T.のかね	おいしい煮玉子	
58	00:00:00	らうらう	おいしい煮玉子	
59	00:00:00	Eトマト	おいしい煮玉子	
60	00:00:00	スモーク	おいしい煮玉子	
61	00:00:00	リフェ	おいしい煮玉子	
62	00:00:00	竹輪	おいしい煮玉子	
63	00:00:00	sas b	おいしい煮玉子	
64	00:00:19	aarar scsrt	おいしい煮玉子	
65	00:00:24	桜田紅	おいしい煮玉子	
66	00:00:28	Eトマト	始まったー	
67	00:00:31	さらら。	おいしい煮玉子	
68	00:00:32	ねぎ男	おいしい煮玉子	
69	00:00:33	竹輪	かわいい	
70	00:00:35	motiyomogi	おいしい煮玉子	
71	00:00:36	リフェ	おいしい煮玉子	
72	00:00:36	JUNY	おいしい煮玉子	
73	00:00:36	らうらう	よろしくおねがいします	
74	00:00:43	なんたら	おいしい煮玉子	
75	00:00:44	ヘンリーダーガー	おいしい煮玉子	
76	00:00:48	ナウ	おいしい煮玉子	
77	00:00:53	お誕生日席	おいしい煮玉子	
78	00:00:54	Eトマト	燃料すげぇ！	
79	00:00:56	タケノコ男	おいしい煮玉子	
80	00:01:03	ジャック・オー	おいしい煮玉子	
81	00:01:08	ねこくーる	こんばんは見玉子	
82	00:01:16	sas b	略してギルカツ	
83	00:01:41	こみこ	おいしい煮玉子	
84	00:02:10	Nal Otokomos	おいしい煮玉子	
85	00:02:18	パンセポンセ	おいしい煮玉子	
86	00:02:30	さらら。	それ関係なく誰でも入れるんやで	
87	00:02:34	らうらう	すごい	
