行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ぴねかっと	おいしい煮玉子	
1	00:00:00	HILO	がんばえー	
2	00:00:00	Clacklin/クラックリン	焦らなくていいよ…	
3	00:00:11	ねぎ男	おかえり	
4	00:00:11	らうらう	なったー	
5	00:00:12	JUNY	音でてる！	
6	00:00:14	eve	おいしい煮玉子	
7	00:00:14	ホワイトラン衛兵	おかえり煮玉子	
8	00:00:14	究極ド根性ダイコン	おかえり	
9	00:00:15	メリロット	ドォーン	
10	00:00:15	いぶきんぐ	音出てる！	
11	00:00:16	近藤亮	おかえり	
12	00:00:16	Eトマト	おかえり	
13	00:00:17	ナウ	おかえり	
14	00:00:17	motiyomogi	おかえり	
15	00:00:18	えび	おいしい煮玉子	
16	00:00:18	桜田紅	おいしい煮玉子	
17	00:00:22	カギアカギ	音出てる！	
18	00:00:22	mori mori	音だ	
19	00:00:22	タケノコ男	おいしい煮玉子	
20	00:00:22	スモーク	おかえり	
21	00:00:23	ヘンリーダーガー	音聞こえる！	
22	00:00:24	eve	音聞こえる！	
23	00:00:24	ジャック・オー	おかえり	
24	00:00:25	Shuzo	おい煮玉子	
25	00:00:26	パンセポンセ	おかえり	
26	00:00:27	ホワイトラン衛兵	音が出てる！えらい！	
27	00:00:29	ジャック・オー	音入った！	
28	00:00:29	JUNY	おいしい煮玉子	
29	00:00:30	おさかな	きれいな音楽	
30	00:00:30	HILO	おかえり	
31	00:00:31	ねぎ男	ご機嫌なBGM	
32	00:00:32	りあすて	音が出てる！高評価！	
33	00:00:32	なる	おいしい煮玉子	
34	00:00:34	Clacklin/クラックリン	完璧！音量バランスもいいと思う	
35	00:00:35	うぇいのる	おいしい煮玉子	
36	00:00:36	ふーばー	おいしい煮玉子	
37	00:00:37	えび	ご機嫌な音楽だ！	
38	00:00:38	デンキヒツジ	おいしい煮玉子	
39	00:00:46	Shuzo	だいたい定刻	
40	00:00:46	motiyomogi	うれしいなあ	
41	00:00:46	ヌルヌペペ	おいしい煮玉子	
42	00:00:48	にけい	おいしい煮玉子	
43	00:00:52	ジャック・オー	改善できた！えらい！	
44	00:00:52	味付けタマゴ	おかえり煮玉子	
45	00:00:54	りあすて	45分は四捨五入したら0分だから定刻	
46	00:00:55	JUNY	バーロー？	
47	00:00:56	HILO	勝ったな、風呂行ってくる	
48	00:00:56	究極ド根性ダイコン	おいしい煮玉子	
49	00:00:59	J u d a s s	それもまた煮玉子	
50	00:01:00	スモーク	時差があるからしょうがない	
51	00:01:00	パンセポンセ	草	
52	00:01:02	はまちハウマッチ	おかえり	
53	00:00:00	ぴねかっと	おいしい煮玉子	
54	00:00:00	HILO	がんばえー	
55	00:00:00	Clacklin/クラックリン	焦らなくていいよ…	
56	00:00:11	ねぎ男	おかえり	
57	00:00:11	らうらう	なったー	
58	00:00:12	JUNY	音でてる！	
59	00:00:14	eve	おいしい煮玉子	
60	00:00:14	ホワイトラン衛兵	おかえり煮玉子	
61	00:00:14	究極ド根性ダイコン	おかえり	
62	00:00:15	メリロット	ドォーン	
63	00:00:15	いぶきんぐ	音出てる！	
64	00:00:16	近藤亮	おかえり	
65	00:00:16	Eトマト	おかえり	
66	00:00:17	ナウ	おかえり	
67	00:00:17	motiyomogi	おかえり	
68	00:00:18	えび	おいしい煮玉子	
69	00:00:18	桜田紅	おいしい煮玉子	
70	00:00:22	カギアカギ	音出てる！	
71	00:00:22	mori mori	音だ	
72	00:00:22	タケノコ男	おいしい煮玉子	
73	00:00:22	スモーク	おかえり	
74	00:00:23	ヘンリーダーガー	音聞こえる！	
75	00:00:24	eve	音聞こえる！	
76	00:00:24	ジャック・オー	おかえり	
77	00:00:25	Shuzo	おい煮玉子	
78	00:00:26	パンセポンセ	おかえり	
79	00:00:27	ホワイトラン衛兵	音が出てる！えらい！	
80	00:00:29	ジャック・オー	音入った！	
81	00:00:29	JUNY	おいしい煮玉子	
82	00:00:30	おさかな	きれいな音楽	
83	00:00:30	HILO	おかえり	
84	00:00:31	ねぎ男	ご機嫌なBGM	
85	00:00:32	りあすて	音が出てる！高評価！	
86	00:00:32	なる	おいしい煮玉子	
87	00:00:34	Clacklin/クラックリン	完璧！音量バランスもいいと思う	
88	00:00:35	うぇいのる	おいしい煮玉子	
89	00:00:36	ふーばー	おいしい煮玉子	
90	00:00:37	えび	ご機嫌な音楽だ！	
91	00:00:38	デンキヒツジ	おいしい煮玉子	
92	00:00:46	Shuzo	だいたい定刻	
93	00:00:46	motiyomogi	うれしいなあ	
94	00:00:46	ヌルヌペペ	おいしい煮玉子	
95	00:00:48	にけい	おいしい煮玉子	
96	00:00:52	ジャック・オー	改善できた！えらい！	
97	00:00:52	味付けタマゴ	おかえり煮玉子	
98	00:00:54	りあすて	45分は四捨五入したら0分だから定刻	
99	00:00:55	JUNY	バーロー？	
100	00:00:56	HILO	勝ったな、風呂行ってくる	
