行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ネズミ2/2/6	‘ 四	
1	00:00:00	ネズミ2/2/6	‘ (仮)	
2	00:00:00	ネズミ2/2/6	‘ 八	
3	00:00:00	こみこ	苦行待機	
4	00:00:00	꧁꧂クゥの部屋꧁꧂	四八マンの朝は早い	
5	00:00:00	Garden	おはようございます	
6	00:00:00	カツキ	おはようございます・・・いつ見ても禍々しいゲームだ	
7	00:00:00	タタリ	苦行	
8	00:00:00	kuto	今週の苦行タイム	
9	00:00:00	Luce	おは姉	
10	00:00:00	とり	精神を鍛えに	
11	00:00:00	AC	苦行	
12	00:00:00	弥七	苦行好きね	
13	00:00:00	むらさきあんこ	姉ちゃんを通せば苦行も緩和するかもしれない…	
14	00:00:00	アルケム	やめなされやめなされ・・・・	
15	00:00:00	天田聖	ああ姉ちゃんの道連れが増えていく	
16	00:00:00	早坂達夫	来てしまった・・・	
17	00:00:00	アルケム	四十八は東京シナリオだけ好き、あと嫌い	
18	00:00:00	ヒリア	苦行大好きクゥ姉ちゃん	
19	00:00:00	tamachan0312	姉ちゃんもキラっとプリチャン見よ	
20	00:00:00	カツキ	とりあえず×ボタンは封印ですね・・・	
21	00:00:00	mori mori	グッモーニン姉ちゃん	
22	00:00:00	らうらう	遅 刻 確 定	
23	00:00:00	やよん	四八（仮）耐久実況！（プレイヤーも視聴者も」耐久）	
24	00:00:00	こみこ	遅刻はいつものこと	
25	00:00:00	りこった	あと15分くらいかな	
26	00:00:00	アルケム	姉ちゃんいつも遅刻してんな	
27	00:00:00	AC	とろろ	
28	00:00:00	tamachan0312	実際割と面白いシナリオもあるから…	
29	00:00:00	天田聖	姉ちゃんもうチャットにいたで	
30	00:00:00	らうらう	とろろやめろ	
31	00:00:00	やよん	姉ちゃんの地域ではまだ１０時じゃない可能性も	
32	00:00:00	AC	とろろやヒバゴンよりファミ通編がキツかったゾ	
33	00:00:00	アルケム	広島からはじめて？	
34	00:00:00	かーるポン	おはよー	
35	00:00:00	ヘンリーダーガー	ゾーパー家特有の遅刻	
36	00:00:00	らうらう	時差ならしかたない	
37	00:00:00	名馬ポニー	いま委員長に揉まれて遅刻してるのでは？	
38	00:00:00	むらさきあんこ	女の子は準備に時間かかるんだ	
39	00:00:00	いそら	四八耐久は頭おかしなるで	
40	00:00:00	もっけいChannel	まさか初見なわけ	
41	00:00:00	ナウ	備えよう	
42	00:00:00	竹輪	遅れたかと思ったけど安心した	
43	00:00:00	タコスドン	のど飴代	￥200
44	00:00:00	いぶきんぐ		￥1,000
45	00:00:00	ネズミ2/2/6	佐竹君香典	￥200
46	00:00:00	gasmo		￥100
47	00:00:00	ネズミ2/2/6	終戦記念	￥200
48	00:00:00	ネズミ2/2/6		￥100
49	00:00:00	かーるポン		￥100
50	00:00:00	らうらう		￥100
51	00:00:11	mori mori	草	
52	00:00:13	ねた	あれ？	
53	00:00:15	かーるポン	あれ？	
54	00:00:16	りこった	ルゥ姉ちゃんだ	
55	00:00:23	potage10	！？	
56	00:00:23	弥七	大姉ちゃん？	
57	00:00:23	Garden	ルゥちゃんになってる	
58	00:00:23	こみこ	大姉ちゃん！？	
59	00:00:25	アルケム	お姉様～	
60	00:00:25	まぃと	あれ	
61	00:00:26	早坂達夫	大姉ちゃん！？	
62	00:00:26	ヘンリーダーガー	ルゥ姉ちゃんでするの！？	
63	00:00:27	kuto	アバター間違えてない？	
64	00:00:27	れもんれもん	こマ？	
65	00:00:28	ヒリア	大姉ちゃん！？	
66	00:00:29	Ushi Mitz	大姉ちゃんじゃないか	
67	00:00:30	ねこじゃらしかざりん	おはよう！姉さn...!?	
68	00:00:31	ナウ	クゥちゃんはどこ・・・どこ	
69	00:00:32	もっけいChannel	！？	
70	00:00:32	竹輪	ルゥ姉ちゃん！	
71	00:00:35	アルケム	草	
72	00:00:37	もっけいChannel	草	
73	00:00:37	はるにれ	れらたんｗ	
74	00:00:38	うきた秀家	姉ちゃんの姉ちゃんじゃん	
75	00:00:38	ジュンペイ	れらたんじゃねぇか！	
76	00:00:39	Ami Saika	れらたんが！	
77	00:00:40	ナウ	れらたん！？	
78	00:00:40	阿久津零	あれ？ルゥ姉ちゃんだった	
79	00:00:40	天田聖	れらたんｗ	
80	00:00:42	mori mori	サブリミナルれらたん	
81	00:00:42	ちょびグンマー	草	
82	00:00:42	sio3go	お姉ちゃんだ	
83	00:00:43	らうらう	ルゥ姉！！！！！！！！！	
84	00:00:43	たこす	草	
85	00:00:43	もっけいChannel	実質コラボ	
86	00:00:43	ドンさん	あるえ	
87	00:00:43	まきお	プンレクじゃないのにルゥ姉ちゃん！？	
88	00:00:44	むらさきあんこ	一瞬れらたんもでたぞ！	
89	00:00:44	まにとば	サブリミナルれらたん	
90	00:00:48	ミワタリ	ルゥ姉ちゃん！	
91	00:00:48	ゴギガガガギゴ	ルゥ姉ちゃん！？何故ここに！？自力で脱出を！？	
92	00:00:50	メレンゲ	ルゥ姉ちゃん…	
93	00:00:00	ネズミ2/2/6	‘ 四	
94	00:00:00	ネズミ2/2/6	‘ (仮)	
95	00:00:00	ネズミ2/2/6	‘ 八	
96	00:00:00	こみこ	苦行待機	
97	00:00:00	꧁꧂クゥの部屋꧁꧂	四八マンの朝は早い	
98	00:00:00	Garden	おはようございます	
99	00:00:00	カツキ	おはようございます・・・いつ見ても禍々しいゲームだ	
100	00:00:00	タタリ	苦行	
101	00:00:00	kuto	今週の苦行タイム	
102	00:00:00	Luce	おは姉	
103	00:00:00	とり	精神を鍛えに	
104	00:00:00	AC	苦行	
105	00:00:00	弥七	苦行好きね	
106	00:00:00	むらさきあんこ	姉ちゃんを通せば苦行も緩和するかもしれない…	
107	00:00:00	アルケム	やめなされやめなされ・・・・	
108	00:00:00	天田聖	ああ姉ちゃんの道連れが増えていく	
109	00:00:00	早坂達夫	来てしまった・・・	
110	00:00:00	アルケム	四十八は東京シナリオだけ好き、あと嫌い	
111	00:00:00	ヒリア	苦行大好きクゥ姉ちゃん	
112	00:00:00	tamachan0312	姉ちゃんもキラっとプリチャン見よ	
113	00:00:00	カツキ	とりあえず×ボタンは封印ですね・・・	
114	00:00:00	mori mori	グッモーニン姉ちゃん	
115	00:00:00	らうらう	遅 刻 確 定	
116	00:00:00	やよん	四八（仮）耐久実況！（プレイヤーも視聴者も」耐久）	
117	00:00:00	こみこ	遅刻はいつものこと	
118	00:00:00	りこった	あと15分くらいかな	
119	00:00:00	アルケム	姉ちゃんいつも遅刻してんな	
120	00:00:00	AC	とろろ	
121	00:00:00	tamachan0312	実際割と面白いシナリオもあるから…	
122	00:00:00	天田聖	姉ちゃんもうチャットにいたで	
123	00:00:00	らうらう	とろろやめろ	
124	00:00:00	やよん	姉ちゃんの地域ではまだ１０時じゃない可能性も	
125	00:00:00	AC	とろろやヒバゴンよりファミ通編がキツかったゾ	
126	00:00:00	アルケム	広島からはじめて？	
127	00:00:00	かーるポン	おはよー	
128	00:00:00	ヘンリーダーガー	ゾーパー家特有の遅刻	
129	00:00:00	らうらう	時差ならしかたない	
130	00:00:00	名馬ポニー	いま委員長に揉まれて遅刻してるのでは？	
131	00:00:00	むらさきあんこ	女の子は準備に時間かかるんだ	
132	00:00:00	いそら	四八耐久は頭おかしなるで	
133	00:00:00	もっけいChannel	まさか初見なわけ	
134	00:00:00	ナウ	備えよう	
135	00:00:00	竹輪	遅れたかと思ったけど安心した	
136	00:00:00	タコスドン	のど飴代	￥200
137	00:00:00	いぶきんぐ		￥1,000
138	00:00:00	ネズミ2/2/6	佐竹君香典	￥200
139	00:00:00	gasmo		￥100
140	00:00:00	ネズミ2/2/6	終戦記念	￥200
141	00:00:00	ネズミ2/2/6		￥100
