行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	キタカシ	おいしい煮玉子	
1	00:00:00	Eトマト	おいしいメガ煮玉子	
2	00:00:00	_ Tamaya	おいしいおにぎり	
3	00:00:00	スモーク	おいしい煮玉子 想像力豊かな修正班にかかればサムネのピカチュウの股間も修正されちまうんだ	
4	00:00:00	竹輪	おいたま！	
5	00:00:00	えび	おいしい煮玉子	
6	00:00:00	ジョナサン・グレーン	おいしいポロック	
7	00:00:00	キタカシ	美味しい煮玉子４分前	
8	00:00:00	バーチャルミク廃立花	おいしいみず	
9	00:00:00	近藤亮	おいしい煮玉子	
10	00:00:00	天然ステルス	おいしい煮玉子	
11	00:00:00	東京コノハムシ	ミックスオレ	
12	00:00:00	にけい	甘くて苦いマーマレード	
13	00:00:00	味付けタマゴ	おいしいポフィン	
14	00:00:00	さんぽーる	おいしい生理用食塩水	
15	00:00:00	T.のかね	おいしい煮玉子	
16	00:00:00	周恩来	おいしい煮玉子	
17	00:00:00	フレイムリンクス	おいしいきんのたま～	
18	00:00:00	eve 8848	おいしい煮玉子	
19	00:00:00	JUNY	姉ちゃんがおいしい煮玉子作ってるとこ久々にみた	
20	00:00:00	タケノコ男	おいしい煮玉子	
21	00:00:00	_ Die	おいしい煮玉子	
22	00:00:00	ごーごー	おいしい煮玉子	
23	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
24	00:00:00	ジュンペイ	おじさんのきんのたま	
25	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
26	00:00:00	東京コノハムシ	以外！それはおいしい煮玉子	
27	00:00:00	あい	おいしい煮玉子	
28	00:00:00	Eトマト	おいしい煮玉子って？	
29	00:00:00	近藤大輔	おいしいきんのたま	
30	00:00:00	さんぽーる	ああ！	
31	00:00:00	うぇいのる	おいしい煮玉子	
32	00:00:12	ジュンペイ	ああ！	
33	00:00:13	ジョナサン・グレーン	ああ！	
34	00:00:13	むらさきあんこ	おいしいズリのみ	
35	00:00:15	ホワイトラン衛兵	おいしい煮玉子	
36	00:00:15	なんたら	おいしい煮玉子	
37	00:00:17	さんぽーる	おいしい煮玉子	
38	00:00:18	天然ステルス	おいしい煮玉子	
39	00:00:23	近藤亮	おいしい煮玉子	
40	00:00:23	ジュンペイ	おいしい煮玉子	
41	00:00:23	Eトマト	おいしい煮玉子Z	
42	00:00:24	周恩来	おいしい煮玉子	
43	00:00:26	あまいさい	おいしい煮玉子	
44	00:00:27	Ushi Mitz	おいしい煮玉子	
45	00:00:28	あい	おいしい煮玉子	
46	00:00:28	ロンドベルジェニ	おいしい煮玉子	
47	00:00:30	えび	おいたま～	
48	00:00:30	うぇいのる	おいしい煮玉子	
49	00:00:31	竹輪	おいしい煮玉子	
50	00:00:31	拡散の尖兵	おいしい煮玉子	
51	00:00:32	さんぽーる	声入ってないかわいい	
52	00:00:33	近藤亮	音がしない	
53	00:00:34	なる	おいしい煮玉子	
54	00:00:34	ygk ichi	おいしい煮玉子	
55	00:00:35	Eトマト	声聞こえないよー	
56	00:00:35	ss kk	​おいしい煮玉子	
57	00:00:36	あい	かわいい	
58	00:00:36	東京コノハムシ	おいしい煮玉子	
59	00:00:36	Garden	おいしい煮玉子	
60	00:00:36	ZW犬死無能盾-肉無鶏	おいしい煮玉子	
61	00:00:37	タケノコ男	おいしい煮玉子	
62	00:00:38	JUNY	おいしい煮玉子	
63	00:00:38	オオサキユリ	おいしい煮玉子	
64	00:00:39	うぇいのる	かわいい	
65	00:00:40	スモーク	かわいい	
66	00:00:40	究極ド根性ダイコン	おいしい煮玉子	
67	00:00:40	_ Die	かわいい	
68	00:00:41	竹輪	かわいい	
69	00:00:42	周恩来	おいしい煮玉子	
70	00:00:42	なんたら	おいしい煮玉子投げちゃダメだよ！	
71	00:00:43	ジョナサン・グレーン	おいたま〜	
72	00:00:43	eve 8848	かわいい	
73	00:00:43	くら	おいしい煮玉子	
74	00:00:45	ホワイトラン衛兵	かわいい	
75	00:00:46	周恩来	かわいい	
76	00:00:46	T.のかね	おいしい煮玉子	
77	00:00:46	ジャック・オー	おいしい煮玉子	
78	00:00:47	さんぽーる	おいしい煮玉子	
79	00:00:47	ナウ	おいしい煮玉子	
80	00:00:48	近藤亮	かわいい	
