行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	おおーしん	待機	
1	00:00:00	ジャック・オー	おいしい煮玉子	
2	00:00:00	Shuzo	おいしい煮玉子	
3	00:00:00	小さい胡麻塩	おいしい煮玉子	
4	00:00:00	桜田紅	おいしい煮玉子	
5	00:00:00	らうらう	おいしい煮玉子	
6	00:00:00	むむめめ	おいしい煮玉子	
7	00:00:00	リフェ	おいしい煮玉子	
8	00:00:00	JUNY	おいしい煮玉子	
9	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
10	00:00:00	カギカギ	おいしい煮玉子	
11	00:00:00	D W	おいしい煮玉子	
12	00:00:00	ぽぼす	おいしい煮玉子	
13	00:00:00	ジョナサン・グレーン	平成最後の煮玉子	
14	00:00:00	_ Die	おいしい煮玉子	
15	00:00:00	T.のかね	おいしい煮玉子	
16	00:00:00	たんこぶ	おいしい平成	
17	00:00:00	ゼッケン100	おいしい煮玉子	
18	00:00:00	Shota Hamada	おいしい煮玉子	
19	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
20	00:00:00	ねころじかる	おいしい煮玉子	
21	00:00:00	ニャンコ先生	おいしい煮玉子	
22	00:00:00	K. u	おいしい煮玉子	
23	00:00:00	Ryo Kamiya	おいしい煮玉子	
24	00:00:00	阿久津零	おいしい煮玉子	
25	00:00:00	八木谷	おいしい煮玉子	
26	00:00:00	Ami Saika	おいしい煮玉子	
27	00:00:00	nendoki	おいしい煮玉子	
28	00:00:00	山城モネ	おいしい煮玉子	
29	00:00:00	sio3go	おいしい煮玉子	
30	00:00:00	Ami Saika	へいせいじゃんぷ	
31	00:00:00	岸辺一徳	おいしい煮玉子	
32	00:00:00	永井かたり	待機	
33	00:00:00	東京コノハムシ	おいしい煮玉子	
34	00:00:00	竹輪	おいしい煮玉子	
35	00:00:00	ミワタリ	おいしい煮玉子	
36	00:00:00	いぶきんぐ	おいしい煮玉子	
37	00:00:13	motiyomogi	おいしい煮玉子	
38	00:00:13	ホワイトラン衛兵	おいしい煮玉子	
39	00:00:14	JUNY	はじまった	
40	00:00:14	ジャック・オー	おいしい煮玉子	
41	00:00:16	seafood	おいしい煮玉子	
42	00:00:16	miso	おいしい煮玉子	
43	00:00:17	Ryo Kamiya	おいしい煮玉子	
44	00:00:19	_ Die	おいしい煮玉子	
45	00:00:22	タケノコ男	おいしい煮玉子	
46	00:00:22	ミワタリ	おいしい煮玉子	
47	00:00:22	T.のかね	おいしい煮玉子	
48	00:00:23	biggs	おいしい煮玉子	
49	00:00:24	Shuzo	姉ちゃんどこ…	
50	00:00:26	eve	おいしい煮玉子	
51	00:00:27	K. u	おいしい煮玉子	
52	00:00:27	Ami Saika	おいしい煮玉子	
53	00:00:28	カギカギ	おいしい煮玉子	
54	00:00:29	ジョナサン・グレーン	おいしい煮玉子	
55	00:00:31	らうらう	​おいしい煮玉子	
56	00:00:32	雨乃夏風	こんばんわ～	
57	00:00:35	JUNY	こんばんはー	
58	00:00:36	小さい胡麻塩	おいしい煮玉子	
59	00:00:36	ゼッケン100	おいしい煮玉子	
60	00:00:38	_ Die	こんばんはー	
61	00:00:39	らうらう	こんばんわ	
62	00:00:39	ゼッケン100	こんばんわ	
63	00:00:39	せせらぎ	こんばんわ～楽しみ～	
64	00:00:40	匿名希望	こんばんは	
65	00:00:42	たんこぶ	こんばんは～	
66	00:00:43	motiyomogi	こんばんはー	
67	00:00:46	ミワタリ	こんばんは	
68	00:00:52	ニャンコ先生	さくたそ	
69	00:00:54	毒入りトマト	こんばんはー	
70	00:00:55	Ami Saika	連休中だしな	
71	00:01:04	八木谷	こんばんはー	
72	00:01:10	リフェ	こんばんはー	
73	00:01:10	おおーしん	こんばんわー	
74	00:01:14	D W	たしかに	
75	00:01:15	たんこぶ	さよなら平成～！！イエイイエイ！！！	
76	00:01:15	東京コノハムシ	おいしい煮玉子	
77	00:01:17	ねころじかる	こんばんはー	
78	00:01:17	Shuzo	草	
79	00:01:18	いぶきんぐ	草	
80	00:01:20	ジャック・オー	こんばんはー	
81	00:01:22	motiyomogi	草	
82	00:01:23	Ami Saika	草	
83	00:01:24	_ Die	草	
84	00:01:24	ホワイトラン衛兵	草	
85	00:01:25	D W	こんばんわ	
86	00:01:26	ミワタリ	草	
87	00:00:00	おおーしん	待機	
88	00:00:00	ジャック・オー	おいしい煮玉子	
89	00:00:00	Shuzo	おいしい煮玉子	
90	00:00:00	小さい胡麻塩	おいしい煮玉子	
91	00:00:00	桜田紅	おいしい煮玉子	
92	00:00:00	らうらう	おいしい煮玉子	
93	00:00:00	むむめめ	おいしい煮玉子	
94	00:00:00	リフェ	おいしい煮玉子	
95	00:00:00	JUNY	おいしい煮玉子	
96	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
97	00:00:00	カギカギ	おいしい煮玉子	
98	00:00:00	D W	おいしい煮玉子	
99	00:00:00	ぽぼす	おいしい煮玉子	
100	00:00:00	ジョナサン・グレーン	平成最後の煮玉子	
101	00:00:00	_ Die	おいしい煮玉子	
102	00:00:00	T.のかね	おいしい煮玉子	
103	00:00:00	たんこぶ	おいしい平成	
104	00:00:00	ゼッケン100	おいしい煮玉子	
105	00:00:00	Shota Hamada	おいしい煮玉子	
106	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
107	00:00:00	ねころじかる	おいしい煮玉子	
108	00:00:00	ニャンコ先生	おいしい煮玉子	
109	00:00:00	K. u	おいしい煮玉子	
110	00:00:00	Ryo Kamiya	おいしい煮玉子	
111	00:00:00	阿久津零	おいしい煮玉子	
112	00:00:00	八木谷	おいしい煮玉子	
113	00:00:00	Ami Saika	おいしい煮玉子	
114	00:00:00	nendoki	おいしい煮玉子	
115	00:00:00	山城モネ	おいしい煮玉子	
116	00:00:00	sio3go	おいしい煮玉子	
117	00:00:00	Ami Saika	へいせいじゃんぷ	
