行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	Clacklin/クラックリン		￥100
1	00:00:00	えび		￥100
2	00:00:00	なんたら		￥100
3	00:00:00	なんたら		￥100
4	00:00:00	カーマイン		￥120
5	00:00:00	スモーク		￥100
6	00:00:00	さんぽーる祐三		￥120
7	00:00:18	motiyomogi	おいしい煮玉子	
8	00:00:18	せせらぎ	おいたま～	
9	00:00:19	ゴライアン	美味しいに卵	
10	00:00:20	Clacklin/クラックリン	おいしい煮玉子♪	
11	00:00:21	Eトマト	おいしい煮玉子	
12	00:00:21	うぇいのる	おいしい煮玉子	
13	00:00:23	_ Tamaya	おいしい煮玉子	
14	00:00:23	御早和杯	おいしい煮玉子	
15	00:00:24	オオサキユリ	おいしい煮玉子	
16	00:00:24	ナウ	おいしい煮玉子	
17	00:00:25	天然ステルス	おいしい煮玉子	
18	00:00:28	ジャック・オー	おいしい煮玉子	
19	00:00:28	sio3go	おいしい煮玉子	
20	00:00:29	タケノコ男	おいしい煮玉子	
21	00:00:29	なまこ	おいたま	
22	00:00:30	りあすて	おいしい煮玉子	
23	00:00:31	J T	おいいしい煮玉子	
24	00:00:31	JUNY	おいしい煮玉子	
25	00:00:33	スモーク	おいしい煮玉子	
26	00:00:33	たんこぶ	こんにちはー	
27	00:00:33	なんたら	おいしい煮玉子	
28	00:00:35	わっしーな	おいしい煮玉子	
29	00:00:39	八木谷	おいしい煮玉子	
30	00:00:50	しろいぬ	おいしい煮玉子	
31	00:00:51	カギアカギ	おいしい煮玉子	
32	00:00:53	リフェ	おいしい煮玉子	
33	00:00:58	汁汁煮汁	おいしい煮玉子	
34	00:01:06	しょんぼりさん12	おいしい煮卵	
35	00:01:08	Eトマト	上がドラゴンズレアですよ	
36	00:01:17	Yohsuke	クゥさんこんにちわ。	
37	00:01:20	ほるもん	おいしい煮玉子	
38	00:01:22	リフェ	枠がドラゴンズレアになってるよ	
39	00:01:26	まろ	おいしい煮玉子	
40	00:01:28	Eトマト	楽譜地	
41	00:01:30	タケノコ男	枠が	
42	00:01:31	せせらぎ	画面上部	
43	00:01:37	かたもく	おいしいマトリクス	
44	00:01:41	御早和杯	こっちはコンボイになってる	
45	00:01:43	りあすて	画面の方	
46	00:01:43	なんたら	配信画面の方の枠だよ	
47	00:01:48	ぷりん	こんにちは	
48	00:01:56	りあすて	OK	
49	00:01:58	スモーク	おｋ	
50	00:00:00	Clacklin/クラックリン		￥100
51	00:00:00	えび		￥100
52	00:00:00	なんたら		￥100
