行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	りょう八咫烏ヒナ愛し隊所属	これは期待	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	いぶきんぐ	おいしい煮玉子	
3	00:00:00	リフェ	おいしい煮玉子	
4	00:00:00	カギカギ	おいしい煮玉子	
5	00:00:00	スモーク	おいしい煮玉子	
6	00:00:00	むむめめ	おいしい煮玉子	
7	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
8	00:00:00	竹輪	おいしい煮玉子	
9	00:00:00	K. u	おいしい煮玉子	
10	00:00:00	通り縋りのRPGマニア	美味しい煮玉子	
11	00:00:00	タケノコ男	おいしい煮玉子	
12	00:00:00	かげを	おいしい煮玉子	
13	00:00:00	ねこくーる	おいしい煮玉子	
14	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
15	00:00:00	H Y	かの有名な...おいしい煮玉子	
16	00:00:00	うぇいのる	おいしい煮玉子	
17	00:00:00	君山銀針	おいしい煮玉子	
18	00:00:00	mk 95	おいしい煮玉子	
19	00:00:00	通り縋りのRPGマニア	一方その頃、汐華初瑠乃君は…浪川に声変わりしていたッ！！！！！	
20	00:00:14	motiyomogi	おいしい煮玉子	
21	00:00:16	ナウ	おいしい煮玉子	
22	00:00:16	ジョナサン・グレーン	おいしい煮玉子	
23	00:00:21	ジャック・オー	おいしい煮玉子	
24	00:00:22	カギカギ	おいしい煮玉子	
25	00:00:23	リフェ	おいしい煮玉子	
26	00:00:23	らうらう	​おいしい煮玉子	
27	00:00:24	Ryo Kamiya	おいしい煮玉子	
28	00:00:25	いぶきんぐ	おいしい煮玉子	
29	00:00:25	ぽぼす	おいしい煮玉子	
30	00:00:27	ホワイトラン衛兵	おいしい煮玉子	
31	00:00:27	タケノコ男	おいしい煮玉子	
32	00:00:29	おさかな	おいしい煮玉子	
33	00:00:31	mori mori	奇妙な煮玉子	
34	00:00:32	ヘンリーダーガー	おいしい煮玉子	
35	00:00:32	助六	おいしい煮玉子	
36	00:00:32	ナウ	マイク直ったの？	
37	00:00:33	竹輪	おいしい煮玉子	
38	00:00:34	通り縋りのRPGマニア	おいしい煮玉子	
39	00:00:35	小さい胡麻塩	おいしい煮玉子	
40	00:00:37	ねこくーる	こんばんは	
41	00:00:48	takuya zantou	おいしい煮玉子	
42	00:00:52	御早和杯	おいしい煮玉子	
43	00:00:56	らうらう	なにがし	
44	00:00:59	zero kuma	おいしい煮玉子	
45	00:01:01	助六	アブドゥルはブ男	
46	00:01:08	あかまたなざき	おいしい煮玉子	
47	00:01:10	拡散の尖兵	おいしい煮玉子	
48	00:01:16	御早和杯	そうかな？	
49	00:01:22	mori mori	気のせいじゃなかった	
50	00:01:35	ジョナサン・グレーン	ｳﾜｳﾜｳﾜｳﾜｳﾜｳﾜ	
51	00:01:38	拡散の尖兵	なんてやる気のないオラオラ	
52	00:01:42	ワイン妖精	こんばん煮玉子	
53	00:01:43	ディープブリザード	おいしい煮卵	
54	00:01:48	リフェ	草	
55	00:01:50	城ヶ崎涼	草	
56	00:01:50	カギカギ	草	
57	00:01:51	むむめめ	草	
58	00:01:51	mori mori	な～い！	
59	00:01:51	motiyomogi	データがな～い！	
60	00:01:51	おさかな	データがな～い	
61	00:01:52	タケノコ男	草	
62	00:01:52	ねこくーる	草	
63	00:01:54	いぶきんぐ	草	
64	00:01:54	かげを	草	
65	00:01:55	ナウ	なんだろうこのノリ	
66	00:01:56	ジャック・オー	ロードしてもかまいませんねッ！	
67	00:01:56	うぇいのる	草	
68	00:01:58	mk 95	草	
69	00:00:00	りょう八咫烏ヒナ愛し隊所属	これは期待	
70	00:00:00	らうらう	おいしい煮玉子	
71	00:00:00	いぶきんぐ	おいしい煮玉子	
72	00:00:00	リフェ	おいしい煮玉子	
73	00:00:00	カギカギ	おいしい煮玉子	
74	00:00:00	スモーク	おいしい煮玉子	
75	00:00:00	むむめめ	おいしい煮玉子	
76	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
77	00:00:00	竹輪	おいしい煮玉子	
78	00:00:00	K. u	おいしい煮玉子	
79	00:00:00	通り縋りのRPGマニア	美味しい煮玉子	
80	00:00:00	タケノコ男	おいしい煮玉子	
81	00:00:00	かげを	おいしい煮玉子	
82	00:00:00	ねこくーる	おいしい煮玉子	
83	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
84	00:00:00	H Y	かの有名な...おいしい煮玉子	
85	00:00:00	うぇいのる	おいしい煮玉子	
86	00:00:00	君山銀針	おいしい煮玉子	
87	00:00:00	mk 95	おいしい煮玉子	
88	00:00:00	通り縋りのRPGマニア	一方その頃、汐華初瑠乃君は…浪川に声変わりしていたッ！！！！！	
89	00:00:14	motiyomogi	おいしい煮玉子	
90	00:00:16	ナウ	おいしい煮玉子	
91	00:00:16	ジョナサン・グレーン	おいしい煮玉子	
92	00:00:21	ジャック・オー	おいしい煮玉子	
93	00:00:22	カギカギ	おいしい煮玉子	
94	00:00:23	リフェ	おいしい煮玉子	
95	00:00:23	らうらう	​おいしい煮玉子	
96	00:00:24	Ryo Kamiya	おいしい煮玉子	
97	00:00:25	いぶきんぐ	おいしい煮玉子	
98	00:00:25	ぽぼす	おいしい煮玉子	
99	00:00:27	ホワイトラン衛兵	おいしい煮玉子	
100	00:00:27	タケノコ男	おいしい煮玉子	
101	00:00:29	おさかな	おいしい煮玉子	
102	00:00:31	mori mori	奇妙な煮玉子	
103	00:00:32	ヘンリーダーガー	おいしい煮玉子	
104	00:00:32	助六	おいしい煮玉子	
105	00:00:32	ナウ	マイク直ったの？	
106	00:00:33	竹輪	おいしい煮玉子	
107	00:00:34	通り縋りのRPGマニア	おいしい煮玉子	
108	00:00:35	小さい胡麻塩	おいしい煮玉子	
109	00:00:37	ねこくーる	こんばんは	
110	00:00:48	takuya zantou	おいしい煮玉子	
111	00:00:52	御早和杯	おいしい煮玉子	
112	00:00:56	らうらう	なにがし	
113	00:00:59	zero kuma	おいしい煮玉子	
114	00:01:01	助六	アブドゥルはブ男	
115	00:01:08	あかまたなざき	おいしい煮玉子	
116	00:01:10	拡散の尖兵	おいしい煮玉子	
117	00:01:16	御早和杯	そうかな？	
118	00:01:22	mori mori	気のせいじゃなかった	
119	00:01:35	ジョナサン・グレーン	ｳﾜｳﾜｳﾜｳﾜｳﾜｳﾜ	
120	00:01:38	拡散の尖兵	なんてやる気のないオラオラ	
121	00:01:42	ワイン妖精	こんばん煮玉子	
122	00:01:43	ディープブリザード	おいしい煮卵	
123	00:01:48	リフェ	草	
124	00:01:50	城ヶ崎涼	草	
125	00:01:50	カギカギ	草	
126	00:01:51	むむめめ	草	
127	00:01:51	mori mori	な～い！	
128	00:01:51	motiyomogi	データがな～い！	
129	00:01:51	おさかな	データがな～い	
130	00:01:52	タケノコ男	草	
131	00:01:52	ねこくーる	草	
132	00:01:54	いぶきんぐ	草	
133	00:01:54	かげを	草	
134	00:01:55	ナウ	なんだろうこのノリ	
135	00:01:56	ジャック・オー	ロードしてもかまいませんねッ！	
136	00:01:56	うぇいのる	草	
